result/io_traces.ns434.oracleGeneral.zst LeCaR cache size    56685, 15600000 req, miss ratio 0.1931, byte miss ratio 0.1931
result/io_traces.ns434.oracleGeneral.zst LeCaR cache size   188951, 15600000 req, miss ratio 0.1359, byte miss ratio 0.1359
result/io_traces.ns434.oracleGeneral.zst LeCaR cache size   377903, 15600000 req, miss ratio 0.1246, byte miss ratio 0.1246
result/io_traces.ns434.oracleGeneral.zst LeCaR cache size   755806, 15600000 req, miss ratio 0.1231, byte miss ratio 0.1231
result/io_traces.ns434.oracleGeneral.zst LeCaR cache size  1511613, 15600000 req, miss ratio 0.1215, byte miss ratio 0.1215
result/io_traces.ns434.oracleGeneral.zst FIFO cache size     1889, 15600000 req, miss ratio 0.4782, byte miss ratio 0.4782
result/io_traces.ns434.oracleGeneral.zst FIFO cache size     5668, 15600000 req, miss ratio 0.3552, byte miss ratio 0.3552
result/io_traces.ns434.oracleGeneral.zst FIFO cache size    18895, 15600000 req, miss ratio 0.2716, byte miss ratio 0.2716
result/io_traces.ns434.oracleGeneral.zst FIFO cache size    56685, 15600000 req, miss ratio 0.2066, byte miss ratio 0.2066
result/io_traces.ns434.oracleGeneral.zst FIFO cache size   188951, 15600000 req, miss ratio 0.1507, byte miss ratio 0.1507
result/io_traces.ns434.oracleGeneral.zst FIFO cache size   377903, 15600000 req, miss ratio 0.1348, byte miss ratio 0.1348
result/io_traces.ns434.oracleGeneral.zst FIFO cache size   755806, 15600000 req, miss ratio 0.1280, byte miss ratio 0.1280
result/io_traces.ns434.oracleGeneral.zst FIFO cache size  1511613, 15600000 req, miss ratio 0.1241, byte miss ratio 0.1241
result/io_traces.ns434.oracleGeneral.zst S3FIFO-1 cache size     1889, 15600000 req, miss ratio 0.3238, byte miss ratio 0.3238
result/io_traces.ns434.oracleGeneral.zst S3FIFO-1 cache size     5668, 15600000 req, miss ratio 0.2895, byte miss ratio 0.2895
result/io_traces.ns434.oracleGeneral.zst S3FIFO-1 cache size    18895, 15600000 req, miss ratio 0.2504, byte miss ratio 0.2504
result/io_traces.ns434.oracleGeneral.zst S3FIFO-1 cache size    56685, 15600000 req, miss ratio 0.2027, byte miss ratio 0.2027
result/io_traces.ns434.oracleGeneral.zst S3FIFO-1 cache size   188951, 15600000 req, miss ratio 0.1435, byte miss ratio 0.1435
result/io_traces.ns434.oracleGeneral.zst S3FIFO-1 cache size   377903, 15600000 req, miss ratio 0.1338, byte miss ratio 0.1338
result/io_traces.ns434.oracleGeneral.zst S3FIFO-1 cache size   755806, 15600000 req, miss ratio 0.1258, byte miss ratio 0.1258
result/io_traces.ns434.oracleGeneral.zst S3FIFO-1 cache size  1511613, 15600000 req, miss ratio 0.1215, byte miss ratio 0.1215
result/io_traces.ns434.oracleGeneral.zst clock2 cache size     1889, 15600000 req, miss ratio 0.3953, byte miss ratio 0.3953
result/io_traces.ns434.oracleGeneral.zst clock2 cache size     5668, 15600000 req, miss ratio 0.2951, byte miss ratio 0.2951
result/io_traces.ns434.oracleGeneral.zst clock2 cache size    18895, 15600000 req, miss ratio 0.2504, byte miss ratio 0.2504
result/io_traces.ns434.oracleGeneral.zst clock2 cache size    56685, 15600000 req, miss ratio 0.2009, byte miss ratio 0.2009
result/io_traces.ns434.oracleGeneral.zst clock2 cache size   188951, 15600000 req, miss ratio 0.1422, byte miss ratio 0.1422
result/io_traces.ns434.oracleGeneral.zst clock2 cache size   377903, 15600000 req, miss ratio 0.1266, byte miss ratio 0.1266
result/io_traces.ns434.oracleGeneral.zst clock2 cache size   755806, 15600000 req, miss ratio 0.1232, byte miss ratio 0.1232
result/io_traces.ns434.oracleGeneral.zst clock2 cache size  1511613, 15600000 req, miss ratio 0.1215, byte miss ratio 0.1215
result/io_traces.ns434.oracleGeneral.zst S3FIFO-d-1 cache size     1889, 15600000 req, miss ratio 0.3239, byte miss ratio 0.3239
result/io_traces.ns434.oracleGeneral.zst S3FIFO-d-1 cache size     5668, 15600000 req, miss ratio 0.2868, byte miss ratio 0.2868
result/io_traces.ns434.oracleGeneral.zst S3FIFO-d-1 cache size    18895, 15600000 req, miss ratio 0.2482, byte miss ratio 0.2482
result/io_traces.ns434.oracleGeneral.zst S3FIFO-d-1 cache size    56685, 15600000 req, miss ratio 0.1970, byte miss ratio 0.1970
result/io_traces.ns434.oracleGeneral.zst S3FIFO-d-1 cache size   188951, 15600000 req, miss ratio 0.1381, byte miss ratio 0.1381
result/io_traces.ns434.oracleGeneral.zst S3FIFO-d-1 cache size   377903, 15600000 req, miss ratio 0.1279, byte miss ratio 0.1279
result/io_traces.ns434.oracleGeneral.zst S3FIFO-d-1 cache size   755806, 15600000 req, miss ratio 0.1244, byte miss ratio 0.1244
result/io_traces.ns434.oracleGeneral.zst S3FIFO-d-1 cache size  1511613, 15600000 req, miss ratio 0.1215, byte miss ratio 0.1215
result/io_traces.ns434.oracleGeneral.zst LRB cache size     1889, 15600000 req, miss ratio 0.3362, byte miss ratio 0.3362
result/io_traces.ns434.oracleGeneral.zst LRB cache size     5668, 15600000 req, miss ratio 0.2906, byte miss ratio 0.2906
result/io_traces.ns434.oracleGeneral.zst LRB cache size    18895, 15600000 req, miss ratio 0.2479, byte miss ratio 0.2479
result/io_traces.ns434.oracleGeneral.zst LRB cache size    56685, 15600000 req, miss ratio 0.1815, byte miss ratio 0.1815
result/io_traces.ns434.oracleGeneral.zst LRB cache size   188951, 15600000 req, miss ratio 0.1410, byte miss ratio 0.1410
result/io_traces.ns434.oracleGeneral.zst LRB cache size   377903, 15600000 req, miss ratio 0.1263, byte miss ratio 0.1263
result/io_traces.ns434.oracleGeneral.zst LRB cache size   755806, 15600000 req, miss ratio 0.1236, byte miss ratio 0.1236
result/io_traces.ns434.oracleGeneral.zst LRB cache size  1511613, 15600000 req, miss ratio 0.1215, byte miss ratio 0.1215
result/io_traces.ns434.oracleGeneral.zst B-LRU cache size     1889, 15600000 req, miss ratio 0.4095, byte miss ratio 0.4095
result/io_traces.ns434.oracleGeneral.zst B-LRU cache size     5668, 15600000 req, miss ratio 0.3092, byte miss ratio 0.3092
result/io_traces.ns434.oracleGeneral.zst B-LRU cache size    18895, 15600000 req, miss ratio 0.2641, byte miss ratio 0.2641
result/io_traces.ns434.oracleGeneral.zst B-LRU cache size    56685, 15600000 req, miss ratio 0.2176, byte miss ratio 0.2176
result/io_traces.ns434.oracleGeneral.zst B-LRU cache size   188951, 15600000 req, miss ratio 0.1825, byte miss ratio 0.1825
result/io_traces.ns434.oracleGeneral.zst B-LRU cache size   377903, 15600000 req, miss ratio 0.1813, byte miss ratio 0.1813
result/io_traces.ns434.oracleGeneral.zst B-LRU cache size   755806, 15600000 req, miss ratio 0.1807, byte miss ratio 0.1807
result/io_traces.ns434.oracleGeneral.zst B-LRU cache size  1511613, 15600000 req, miss ratio 0.1806, byte miss ratio 0.1806
result/io_traces.ns434.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1889, 15600000 req, miss ratio 0.4207, byte miss ratio 0.4207
result/io_traces.ns434.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5668, 15600000 req, miss ratio 0.3139, byte miss ratio 0.3139
result/io_traces.ns434.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18895, 15600000 req, miss ratio 0.2642, byte miss ratio 0.2642
result/io_traces.ns434.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    56685, 15600000 req, miss ratio 0.2183, byte miss ratio 0.2183
result/io_traces.ns434.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   188951, 15600000 req, miss ratio 0.1635, byte miss ratio 0.1635
result/io_traces.ns434.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   377903, 15600000 req, miss ratio 0.1348, byte miss ratio 0.1348
result/io_traces.ns434.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   755806, 15600000 req, miss ratio 0.1241, byte miss ratio 0.1241
result/io_traces.ns434.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1511613, 15600000 req, miss ratio 0.1221, byte miss ratio 0.1221
result/io_traces.ns434.oracleGeneral.zst TwoQ cache size     1889, 15600000 req, miss ratio 0.3361, byte miss ratio 0.3361
result/io_traces.ns434.oracleGeneral.zst TwoQ cache size     5668, 15600000 req, miss ratio 0.2879, byte miss ratio 0.2879
result/io_traces.ns434.oracleGeneral.zst TwoQ cache size    18895, 15600000 req, miss ratio 0.2538, byte miss ratio 0.2538
result/io_traces.ns434.oracleGeneral.zst TwoQ cache size    56685, 15600000 req, miss ratio 0.1990, byte miss ratio 0.1990
result/io_traces.ns434.oracleGeneral.zst TwoQ cache size   188951, 15600000 req, miss ratio 0.1378, byte miss ratio 0.1378
result/io_traces.ns434.oracleGeneral.zst TwoQ cache size   377903, 15600000 req, miss ratio 0.1279, byte miss ratio 0.1279
result/io_traces.ns434.oracleGeneral.zst TwoQ cache size   755806, 15600000 req, miss ratio 0.1257, byte miss ratio 0.1257
result/io_traces.ns434.oracleGeneral.zst TwoQ cache size  1511613, 15600000 req, miss ratio 0.1241, byte miss ratio 0.1241
result/io_traces.ns434.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1889, 15600000 req, miss ratio 0.3374, byte miss ratio 0.3374
result/io_traces.ns434.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5668, 15600000 req, miss ratio 0.3060, byte miss ratio 0.3060
result/io_traces.ns434.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18895, 15600000 req, miss ratio 0.2656, byte miss ratio 0.2656
result/io_traces.ns434.oracleGeneral.zst S4LRU(25:25:25:25) cache size    56685, 15600000 req, miss ratio 0.2151, byte miss ratio 0.2151
result/io_traces.ns434.oracleGeneral.zst S4LRU(25:25:25:25) cache size   188951, 15600000 req, miss ratio 0.1432, byte miss ratio 0.1432
result/io_traces.ns434.oracleGeneral.zst S4LRU(25:25:25:25) cache size   377903, 15600000 req, miss ratio 0.1338, byte miss ratio 0.1338
result/io_traces.ns434.oracleGeneral.zst S4LRU(25:25:25:25) cache size   755806, 15600000 req, miss ratio 0.1248, byte miss ratio 0.1248
result/io_traces.ns434.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1511613, 15600000 req, miss ratio 0.1215, byte miss ratio 0.1215
result/io_traces.ns434.oracleGeneral.zst S3FIFO-d cache size     1889, 15600000 req, miss ratio 0.3245, byte miss ratio 0.3245
result/io_traces.ns434.oracleGeneral.zst S3FIFO-d cache size     5668, 15600000 req, miss ratio 0.2872, byte miss ratio 0.2872
result/io_traces.ns434.oracleGeneral.zst S3FIFO-d cache size    18895, 15600000 req, miss ratio 0.2506, byte miss ratio 0.2506
result/io_traces.ns434.oracleGeneral.zst S3FIFO-d cache size    56685, 15600000 req, miss ratio 0.2006, byte miss ratio 0.2006
result/io_traces.ns434.oracleGeneral.zst S3FIFO-d cache size   188951, 15600000 req, miss ratio 0.1386, byte miss ratio 0.1386
result/io_traces.ns434.oracleGeneral.zst S3FIFO-d cache size   377903, 15600000 req, miss ratio 0.1299, byte miss ratio 0.1299
result/io_traces.ns434.oracleGeneral.zst S3FIFO-d cache size   755806, 15600000 req, miss ratio 0.1236, byte miss ratio 0.1236
result/io_traces.ns434.oracleGeneral.zst S3FIFO-d cache size  1511613, 15600000 req, miss ratio 0.1217, byte miss ratio 0.1217
result/io_traces.ns434.oracleGeneral.zst S3FIFO cache size     1889, 15600000 req, miss ratio 0.3254, byte miss ratio 0.3254
result/io_traces.ns434.oracleGeneral.zst S3FIFO cache size     5668, 15600000 req, miss ratio 0.2899, byte miss ratio 0.2899
result/io_traces.ns434.oracleGeneral.zst S3FIFO cache size    18895, 15600000 req, miss ratio 0.2522, byte miss ratio 0.2522
result/io_traces.ns434.oracleGeneral.zst S3FIFO cache size    56685, 15600000 req, miss ratio 0.2049, byte miss ratio 0.2049
result/io_traces.ns434.oracleGeneral.zst S3FIFO cache size   188951, 15600000 req, miss ratio 0.1470, byte miss ratio 0.1470
