result/cdn2_colo28.ns667.oracleGeneral.zst ARC cache size    30888, 2296440 req, miss ratio 0.0189, byte miss ratio 0.0189
result/cdn2_colo28.ns667.oracleGeneral.zst Clock cache size       38, 2296440 req, miss ratio 0.9165, byte miss ratio 0.9165
result/cdn2_colo28.ns667.oracleGeneral.zst Clock cache size      115, 2296440 req, miss ratio 0.7859, byte miss ratio 0.7859
result/cdn2_colo28.ns667.oracleGeneral.zst Clock cache size      386, 2296440 req, miss ratio 0.6037, byte miss ratio 0.6037
result/cdn2_colo28.ns667.oracleGeneral.zst Clock cache size     1158, 2296440 req, miss ratio 0.4219, byte miss ratio 0.4219
result/cdn2_colo28.ns667.oracleGeneral.zst Clock cache size     3861, 2296440 req, miss ratio 0.2204, byte miss ratio 0.2204
result/cdn2_colo28.ns667.oracleGeneral.zst Clock cache size     7722, 2296440 req, miss ratio 0.1260, byte miss ratio 0.1260
result/cdn2_colo28.ns667.oracleGeneral.zst Clock cache size    15444, 2296440 req, miss ratio 0.0571, byte miss ratio 0.0571
result/cdn2_colo28.ns667.oracleGeneral.zst Clock cache size    30888, 2296440 req, miss ratio 0.0193, byte miss ratio 0.0193
result/cdn2_colo28.ns667.oracleGeneral.zst LIRS cache size       38, 2296440 req, miss ratio 0.7940, byte miss ratio 0.7940
result/cdn2_colo28.ns667.oracleGeneral.zst LIRS cache size      115, 2296440 req, miss ratio 0.6697, byte miss ratio 0.6697
result/cdn2_colo28.ns667.oracleGeneral.zst LIRS cache size      386, 2296440 req, miss ratio 0.5153, byte miss ratio 0.5153
result/cdn2_colo28.ns667.oracleGeneral.zst LIRS cache size     1158, 2296440 req, miss ratio 0.3614, byte miss ratio 0.3614
result/cdn2_colo28.ns667.oracleGeneral.zst LIRS cache size     3861, 2296440 req, miss ratio 0.1910, byte miss ratio 0.1910
result/cdn2_colo28.ns667.oracleGeneral.zst LIRS cache size     7722, 2296440 req, miss ratio 0.1115, byte miss ratio 0.1115
result/cdn2_colo28.ns667.oracleGeneral.zst LIRS cache size    15444, 2296440 req, miss ratio 0.0503, byte miss ratio 0.0503
result/cdn2_colo28.ns667.oracleGeneral.zst LIRS cache size    30888, 2296440 req, miss ratio 0.0191, byte miss ratio 0.0191
result/cdn2_colo28.ns667.oracleGeneral.zst LRU cache size       38, 2296440 req, miss ratio 0.9218, byte miss ratio 0.9218
result/cdn2_colo28.ns667.oracleGeneral.zst LRU cache size      115, 2296440 req, miss ratio 0.8015, byte miss ratio 0.8015
result/cdn2_colo28.ns667.oracleGeneral.zst LRU cache size      386, 2296440 req, miss ratio 0.6193, byte miss ratio 0.6193
result/cdn2_colo28.ns667.oracleGeneral.zst LRU cache size     1158, 2296440 req, miss ratio 0.4350, byte miss ratio 0.4350
result/cdn2_colo28.ns667.oracleGeneral.zst LRU cache size     3861, 2296440 req, miss ratio 0.2301, byte miss ratio 0.2301
result/cdn2_colo28.ns667.oracleGeneral.zst LRU cache size     7722, 2296440 req, miss ratio 0.1315, byte miss ratio 0.1315
result/cdn2_colo28.ns667.oracleGeneral.zst LRU cache size    15444, 2296440 req, miss ratio 0.0599, byte miss ratio 0.0599
result/cdn2_colo28.ns667.oracleGeneral.zst LRU cache size    30888, 2296440 req, miss ratio 0.0196, byte miss ratio 0.0196
result/cdn2_colo28.ns667.oracleGeneral.zst LHD cache size       38, 2296440 req, miss ratio 0.8114, byte miss ratio 0.8114
result/cdn2_colo28.ns667.oracleGeneral.zst LHD cache size      115, 2296440 req, miss ratio 0.7046, byte miss ratio 0.7046
result/cdn2_colo28.ns667.oracleGeneral.zst LHD cache size      386, 2296440 req, miss ratio 0.5836, byte miss ratio 0.5836
result/cdn2_colo28.ns667.oracleGeneral.zst LHD cache size     1158, 2296440 req, miss ratio 0.4040, byte miss ratio 0.4040
result/cdn2_colo28.ns667.oracleGeneral.zst LHD cache size     3861, 2296440 req, miss ratio 0.2094, byte miss ratio 0.2094
result/cdn2_colo28.ns667.oracleGeneral.zst LHD cache size     7722, 2296440 req, miss ratio 0.1212, byte miss ratio 0.1212
result/cdn2_colo28.ns667.oracleGeneral.zst LHD cache size    15444, 2296440 req, miss ratio 0.0559, byte miss ratio 0.0559
result/cdn2_colo28.ns667.oracleGeneral.zst LHD cache size    30888, 2296440 req, miss ratio 0.0201, byte miss ratio 0.0201
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-d-1 cache size       38, 2296440 req, miss ratio 0.7853, byte miss ratio 0.7853
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-d-1 cache size      115, 2296440 req, miss ratio 0.6614, byte miss ratio 0.6614
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-d-1 cache size      386, 2296440 req, miss ratio 0.5059, byte miss ratio 0.5059
