result/tencentBlock.ns1849.oracleGeneral.zst LeCaR cache size      351, 3272425 req, miss ratio 0.5209, byte miss ratio 0.5209
result/tencentBlock.ns1849.oracleGeneral.zst LeCaR cache size     1055, 3272425 req, miss ratio 0.4478, byte miss ratio 0.4478
result/tencentBlock.ns1849.oracleGeneral.zst LeCaR cache size     3519, 3272425 req, miss ratio 0.3239, byte miss ratio 0.3239
result/tencentBlock.ns1849.oracleGeneral.zst LeCaR cache size    10559, 3272425 req, miss ratio 0.3003, byte miss ratio 0.3003
result/tencentBlock.ns1849.oracleGeneral.zst LeCaR cache size    35199, 3272425 req, miss ratio 0.2405, byte miss ratio 0.2405
result/tencentBlock.ns1849.oracleGeneral.zst LeCaR cache size    70399, 3272425 req, miss ratio 0.1822, byte miss ratio 0.1822
result/tencentBlock.ns1849.oracleGeneral.zst LeCaR cache size   140799, 3272425 req, miss ratio 0.1201, byte miss ratio 0.1201
result/tencentBlock.ns1849.oracleGeneral.zst LeCaR cache size   281598, 3272425 req, miss ratio 0.1081, byte miss ratio 0.1081
result/tencentBlock.ns1849.oracleGeneral.zst Clock cache size      351, 3272425 req, miss ratio 0.5241, byte miss ratio 0.5241
result/tencentBlock.ns1849.oracleGeneral.zst Clock cache size     1055, 3272425 req, miss ratio 0.4482, byte miss ratio 0.4482
result/tencentBlock.ns1849.oracleGeneral.zst Clock cache size     3519, 3272425 req, miss ratio 0.3367, byte miss ratio 0.3367
result/tencentBlock.ns1849.oracleGeneral.zst Clock cache size    10559, 3272425 req, miss ratio 0.3015, byte miss ratio 0.3015
result/tencentBlock.ns1849.oracleGeneral.zst Clock cache size    35199, 3272425 req, miss ratio 0.2463, byte miss ratio 0.2463
result/tencentBlock.ns1849.oracleGeneral.zst Clock cache size    70399, 3272425 req, miss ratio 0.2072, byte miss ratio 0.2072
result/tencentBlock.ns1849.oracleGeneral.zst Clock cache size   140799, 3272425 req, miss ratio 0.1284, byte miss ratio 0.1284
result/tencentBlock.ns1849.oracleGeneral.zst Clock cache size   281598, 3272425 req, miss ratio 0.1087, byte miss ratio 0.1087
result/tencentBlock.ns1849.oracleGeneral.zst Cacheus cache size      351, 3272425 req, miss ratio 0.5111, byte miss ratio 0.5111
result/tencentBlock.ns1849.oracleGeneral.zst Cacheus cache size     1055, 3272425 req, miss ratio 0.4251, byte miss ratio 0.4251
result/tencentBlock.ns1849.oracleGeneral.zst Cacheus cache size     3519, 3272425 req, miss ratio 0.3189, byte miss ratio 0.3189
result/tencentBlock.ns1849.oracleGeneral.zst Cacheus cache size    10559, 3272425 req, miss ratio 0.2940, byte miss ratio 0.2940
result/tencentBlock.ns1849.oracleGeneral.zst Cacheus cache size    35199, 3272425 req, miss ratio 0.2400, byte miss ratio 0.2400
result/tencentBlock.ns1849.oracleGeneral.zst Cacheus cache size    70399, 3272425 req, miss ratio 0.1832, byte miss ratio 0.1832
result/tencentBlock.ns1849.oracleGeneral.zst Cacheus cache size   140799, 3272425 req, miss ratio 0.1208, byte miss ratio 0.1208
result/tencentBlock.ns1849.oracleGeneral.zst Cacheus cache size   281598, 3272425 req, miss ratio 0.1084, byte miss ratio 0.1084
result/tencentBlock.ns1849.oracleGeneral.zst ARC cache size      351, 3272425 req, miss ratio 0.5113, byte miss ratio 0.5113
result/tencentBlock.ns1849.oracleGeneral.zst ARC cache size     1055, 3272425 req, miss ratio 0.4141, byte miss ratio 0.4141
result/tencentBlock.ns1849.oracleGeneral.zst ARC cache size     3519, 3272425 req, miss ratio 0.3157, byte miss ratio 0.3157
result/tencentBlock.ns1849.oracleGeneral.zst ARC cache size    10559, 3272425 req, miss ratio 0.2912, byte miss ratio 0.2912
result/tencentBlock.ns1849.oracleGeneral.zst ARC cache size    35199, 3272425 req, miss ratio 0.2487, byte miss ratio 0.2487
result/tencentBlock.ns1849.oracleGeneral.zst ARC cache size    70399, 3272425 req, miss ratio 0.1946, byte miss ratio 0.1946
result/tencentBlock.ns1849.oracleGeneral.zst ARC cache size   140799, 3272425 req, miss ratio 0.1214, byte miss ratio 0.1214
result/tencentBlock.ns1849.oracleGeneral.zst ARC cache size   281598, 3272425 req, miss ratio 0.1085, byte miss ratio 0.1085
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-d-1 cache size      351, 3272425 req, miss ratio 0.5123, byte miss ratio 0.5123
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-d-1 cache size     1055, 3272425 req, miss ratio 0.3982, byte miss ratio 0.3982
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-d-1 cache size     3519, 3272425 req, miss ratio 0.3154, byte miss ratio 0.3154
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-d-1 cache size    10559, 3272425 req, miss ratio 0.2891, byte miss ratio 0.2891
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-d-1 cache size    35199, 3272425 req, miss ratio 0.2439, byte miss ratio 0.2439
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-d-1 cache size    70399, 3272425 req, miss ratio 0.1949, byte miss ratio 0.1949
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-d-1 cache size   140799, 3272425 req, miss ratio 0.1242, byte miss ratio 0.1242
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-d-1 cache size   281598, 3272425 req, miss ratio 0.1083, byte miss ratio 0.1083
result/tencentBlock.ns1849.oracleGeneral.zst LRB cache size      351, 3272425 req, miss ratio 0.5648, byte miss ratio 0.5648
result/tencentBlock.ns1849.oracleGeneral.zst LRB cache size     1055, 3272425 req, miss ratio 0.3954, byte miss ratio 0.3954
result/tencentBlock.ns1849.oracleGeneral.zst LRB cache size     3519, 3272425 req, miss ratio 0.3217, byte miss ratio 0.3217
result/tencentBlock.ns1849.oracleGeneral.zst LRB cache size    10559, 3272425 req, miss ratio 0.2917, byte miss ratio 0.2917
result/tencentBlock.ns1849.oracleGeneral.zst LRB cache size    35199, 3272425 req, miss ratio 0.2407, byte miss ratio 0.2407
result/tencentBlock.ns1849.oracleGeneral.zst LRB cache size    70399, 3272425 req, miss ratio 0.1773, byte miss ratio 0.1773
result/tencentBlock.ns1849.oracleGeneral.zst LRB cache size   140799, 3272425 req, miss ratio 0.1216, byte miss ratio 0.1216
result/tencentBlock.ns1849.oracleGeneral.zst LRB cache size   281598, 3272425 req, miss ratio 0.1081, byte miss ratio 0.1081
result/tencentBlock.ns1849.oracleGeneral.zst B-LRU cache size      351, 3272425 req, miss ratio 0.5668, byte miss ratio 0.5668
result/tencentBlock.ns1849.oracleGeneral.zst B-LRU cache size     1055, 3272425 req, miss ratio 0.4866, byte miss ratio 0.4866
result/tencentBlock.ns1849.oracleGeneral.zst B-LRU cache size     3519, 3272425 req, miss ratio 0.3846, byte miss ratio 0.3846
result/tencentBlock.ns1849.oracleGeneral.zst B-LRU cache size    10559, 3272425 req, miss ratio 0.3537, byte miss ratio 0.3537
result/tencentBlock.ns1849.oracleGeneral.zst B-LRU cache size    35199, 3272425 req, miss ratio 0.3010, byte miss ratio 0.3010
result/tencentBlock.ns1849.oracleGeneral.zst B-LRU cache size    70399, 3272425 req, miss ratio 0.2450, byte miss ratio 0.2450
result/tencentBlock.ns1849.oracleGeneral.zst B-LRU cache size   140799, 3272425 req, miss ratio 0.2012, byte miss ratio 0.2012
result/tencentBlock.ns1849.oracleGeneral.zst B-LRU cache size   281598, 3272425 req, miss ratio 0.1962, byte miss ratio 0.1962
result/tencentBlock.ns1849.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      351, 3272425 req, miss ratio 0.5605, byte miss ratio 0.5605
result/tencentBlock.ns1849.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1055, 3272425 req, miss ratio 0.4691, byte miss ratio 0.4691
result/tencentBlock.ns1849.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3519, 3272425 req, miss ratio 0.3522, byte miss ratio 0.3522
result/tencentBlock.ns1849.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10559, 3272425 req, miss ratio 0.3106, byte miss ratio 0.3106
result/tencentBlock.ns1849.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    35199, 3272425 req, miss ratio 0.2710, byte miss ratio 0.2710
result/tencentBlock.ns1849.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    70399, 3272425 req, miss ratio 0.2366, byte miss ratio 0.2366
result/tencentBlock.ns1849.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   140799, 3272425 req, miss ratio 0.1595, byte miss ratio 0.1595
result/tencentBlock.ns1849.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   281598, 3272425 req, miss ratio 0.1154, byte miss ratio 0.1154
