result/cdn2_allcolo.ns1189.oracleGeneral.zst Cacheus cache size   111204, 17796147 req, miss ratio 0.0268, byte miss ratio 0.0268
result/cdn2_allcolo.ns1189.oracleGeneral.zst Cacheus cache size   222409, 17796147 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_allcolo.ns1189.oracleGeneral.zst FIFO cache size      278, 17796147 req, miss ratio 0.8918, byte miss ratio 0.8918
result/cdn2_allcolo.ns1189.oracleGeneral.zst FIFO cache size      834, 17796147 req, miss ratio 0.7754, byte miss ratio 0.7754
result/cdn2_allcolo.ns1189.oracleGeneral.zst FIFO cache size     2780, 17796147 req, miss ratio 0.5736, byte miss ratio 0.5736
result/cdn2_allcolo.ns1189.oracleGeneral.zst FIFO cache size     8340, 17796147 req, miss ratio 0.3588, byte miss ratio 0.3588
result/cdn2_allcolo.ns1189.oracleGeneral.zst FIFO cache size    27801, 17796147 req, miss ratio 0.1651, byte miss ratio 0.1651
result/cdn2_allcolo.ns1189.oracleGeneral.zst FIFO cache size    55602, 17796147 req, miss ratio 0.0898, byte miss ratio 0.0898
result/cdn2_allcolo.ns1189.oracleGeneral.zst FIFO cache size   111204, 17796147 req, miss ratio 0.0424, byte miss ratio 0.0424
result/cdn2_allcolo.ns1189.oracleGeneral.zst FIFO cache size   222409, 17796147 req, miss ratio 0.0203, byte miss ratio 0.0203
result/cdn2_allcolo.ns1189.oracleGeneral.zst LeCaR cache size      278, 17796147 req, miss ratio 0.8790, byte miss ratio 0.8790
result/cdn2_allcolo.ns1189.oracleGeneral.zst LeCaR cache size      834, 17796147 req, miss ratio 0.7429, byte miss ratio 0.7429
result/cdn2_allcolo.ns1189.oracleGeneral.zst LeCaR cache size     2780, 17796147 req, miss ratio 0.5070, byte miss ratio 0.5070
result/cdn2_allcolo.ns1189.oracleGeneral.zst LeCaR cache size     8340, 17796147 req, miss ratio 0.2916, byte miss ratio 0.2916
result/cdn2_allcolo.ns1189.oracleGeneral.zst LeCaR cache size    27801, 17796147 req, miss ratio 0.1176, byte miss ratio 0.1176
result/cdn2_allcolo.ns1189.oracleGeneral.zst LeCaR cache size    55602, 17796147 req, miss ratio 0.0576, byte miss ratio 0.0576
result/cdn2_allcolo.ns1189.oracleGeneral.zst LeCaR cache size   111204, 17796147 req, miss ratio 0.0267, byte miss ratio 0.0267
result/cdn2_allcolo.ns1189.oracleGeneral.zst LeCaR cache size   222409, 17796147 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-1 cache size      278, 17796147 req, miss ratio 0.7834, byte miss ratio 0.7834
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-1 cache size      834, 17796147 req, miss ratio 0.6285, byte miss ratio 0.6285
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-1 cache size     2780, 17796147 req, miss ratio 0.4258, byte miss ratio 0.4258
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-1 cache size     8340, 17796147 req, miss ratio 0.2571, byte miss ratio 0.2571
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-1 cache size    27801, 17796147 req, miss ratio 0.1081, byte miss ratio 0.1081
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-1 cache size    55602, 17796147 req, miss ratio 0.0540, byte miss ratio 0.0540
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-1 cache size   111204, 17796147 req, miss ratio 0.0257, byte miss ratio 0.0257
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-1 cache size   222409, 17796147 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_allcolo.ns1189.oracleGeneral.zst LHD cache size      278, 17796147 req, miss ratio 0.8483, byte miss ratio 0.8483
result/cdn2_allcolo.ns1189.oracleGeneral.zst LHD cache size      834, 17796147 req, miss ratio 0.6886, byte miss ratio 0.6886
result/cdn2_allcolo.ns1189.oracleGeneral.zst LHD cache size     2780, 17796147 req, miss ratio 0.4656, byte miss ratio 0.4656
result/cdn2_allcolo.ns1189.oracleGeneral.zst LHD cache size     8340, 17796147 req, miss ratio 0.2768, byte miss ratio 0.2768
result/cdn2_allcolo.ns1189.oracleGeneral.zst LHD cache size    27801, 17796147 req, miss ratio 0.1161, byte miss ratio 0.1161
result/cdn2_allcolo.ns1189.oracleGeneral.zst LHD cache size    55602, 17796147 req, miss ratio 0.0583, byte miss ratio 0.0583
result/cdn2_allcolo.ns1189.oracleGeneral.zst LHD cache size   111204, 17796147 req, miss ratio 0.0277, byte miss ratio 0.0277
result/cdn2_allcolo.ns1189.oracleGeneral.zst LHD cache size   222409, 17796147 req, miss ratio 0.0164, byte miss ratio 0.0164
