result/tencentBlock.ns14460.oracleGeneral.zst S3FIFO-1 cache size      703, 3131541 req, miss ratio 0.8281, byte miss ratio 0.8281
result/tencentBlock.ns14460.oracleGeneral.zst S3FIFO-1 cache size     2111, 3131541 req, miss ratio 0.8239, byte miss ratio 0.8239
result/tencentBlock.ns14460.oracleGeneral.zst S3FIFO-1 cache size     7039, 3131541 req, miss ratio 0.8117, byte miss ratio 0.8117
result/tencentBlock.ns14460.oracleGeneral.zst S3FIFO-1 cache size    21117, 3131541 req, miss ratio 0.7728, byte miss ratio 0.7728
result/tencentBlock.ns14460.oracleGeneral.zst S3FIFO-1 cache size    70391, 3131541 req, miss ratio 0.6230, byte miss ratio 0.6230
result/tencentBlock.ns14460.oracleGeneral.zst S3FIFO-1 cache size   140782, 3131541 req, miss ratio 0.5376, byte miss ratio 0.5376
result/tencentBlock.ns14460.oracleGeneral.zst S3FIFO-1 cache size   281564, 3131541 req, miss ratio 0.2482, byte miss ratio 0.2482
result/tencentBlock.ns14460.oracleGeneral.zst S3FIFO-1 cache size   563128, 3131541 req, miss ratio 0.2257, byte miss ratio 0.2257
result/tencentBlock.ns14460.oracleGeneral.zst LeCaR cache size      703, 3131541 req, miss ratio 0.8351, byte miss ratio 0.8351
result/tencentBlock.ns14460.oracleGeneral.zst LeCaR cache size     2111, 3131541 req, miss ratio 0.8270, byte miss ratio 0.8270
result/tencentBlock.ns14460.oracleGeneral.zst LeCaR cache size     7039, 3131541 req, miss ratio 0.8184, byte miss ratio 0.8184
result/tencentBlock.ns14460.oracleGeneral.zst LeCaR cache size    21117, 3131541 req, miss ratio 0.8100, byte miss ratio 0.8100
result/tencentBlock.ns14460.oracleGeneral.zst LeCaR cache size    70391, 3131541 req, miss ratio 0.7311, byte miss ratio 0.7311
result/tencentBlock.ns14460.oracleGeneral.zst LeCaR cache size   140782, 3131541 req, miss ratio 0.6301, byte miss ratio 0.6301
result/tencentBlock.ns14460.oracleGeneral.zst LeCaR cache size   281564, 3131541 req, miss ratio 0.2619, byte miss ratio 0.2619
result/tencentBlock.ns14460.oracleGeneral.zst LeCaR cache size   563128, 3131541 req, miss ratio 0.2258, byte miss ratio 0.2258
result/tencentBlock.ns14460.oracleGeneral.zst Clock cache size      703, 3131541 req, miss ratio 0.8377, byte miss ratio 0.8377
result/tencentBlock.ns14460.oracleGeneral.zst Clock cache size     2111, 3131541 req, miss ratio 0.8287, byte miss ratio 0.8287
result/tencentBlock.ns14460.oracleGeneral.zst Clock cache size     7039, 3131541 req, miss ratio 0.8190, byte miss ratio 0.8190
result/tencentBlock.ns14460.oracleGeneral.zst Clock cache size    21117, 3131541 req, miss ratio 0.8112, byte miss ratio 0.8112
result/tencentBlock.ns14460.oracleGeneral.zst Clock cache size    70391, 3131541 req, miss ratio 0.7309, byte miss ratio 0.7309
result/tencentBlock.ns14460.oracleGeneral.zst Clock cache size   140782, 3131541 req, miss ratio 0.6140, byte miss ratio 0.6140
result/tencentBlock.ns14460.oracleGeneral.zst Clock cache size   281564, 3131541 req, miss ratio 0.2716, byte miss ratio 0.2716
result/tencentBlock.ns14460.oracleGeneral.zst Clock cache size   563128, 3131541 req, miss ratio 0.2257, byte miss ratio 0.2257
result/tencentBlock.ns14460.oracleGeneral.zst LIRS cache size      703, 3131541 req, miss ratio 0.8394, byte miss ratio 0.8394
result/tencentBlock.ns14460.oracleGeneral.zst LIRS cache size     2111, 3131541 req, miss ratio 0.8305, byte miss ratio 0.8305
result/tencentBlock.ns14460.oracleGeneral.zst LIRS cache size     7039, 3131541 req, miss ratio 0.8131, byte miss ratio 0.8131
result/tencentBlock.ns14460.oracleGeneral.zst LIRS cache size    21117, 3131541 req, miss ratio 0.7638, byte miss ratio 0.7638
result/tencentBlock.ns14460.oracleGeneral.zst LIRS cache size    70391, 3131541 req, miss ratio 0.6046, byte miss ratio 0.6046
result/tencentBlock.ns14460.oracleGeneral.zst LIRS cache size   140782, 3131541 req, miss ratio 0.4423, byte miss ratio 0.4423
result/tencentBlock.ns14460.oracleGeneral.zst LIRS cache size   281564, 3131541 req, miss ratio 0.2634, byte miss ratio 0.2634
result/tencentBlock.ns14460.oracleGeneral.zst LIRS cache size   563128, 3131541 req, miss ratio 0.2286, byte miss ratio 0.2286
result/tencentBlock.ns14460.oracleGeneral.zst Cacheus cache size      703, 3131541 req, miss ratio 0.8273, byte miss ratio 0.8273
result/tencentBlock.ns14460.oracleGeneral.zst Cacheus cache size     2111, 3131541 req, miss ratio 0.8242, byte miss ratio 0.8242
result/tencentBlock.ns14460.oracleGeneral.zst Cacheus cache size     7039, 3131541 req, miss ratio 0.8129, byte miss ratio 0.8129
result/tencentBlock.ns14460.oracleGeneral.zst Cacheus cache size    21117, 3131541 req, miss ratio 0.7737, byte miss ratio 0.7737
result/tencentBlock.ns14460.oracleGeneral.zst Cacheus cache size    70391, 3131541 req, miss ratio 0.6684, byte miss ratio 0.6684
result/tencentBlock.ns14460.oracleGeneral.zst Cacheus cache size   140782, 3131541 req, miss ratio 0.5345, byte miss ratio 0.5345
result/tencentBlock.ns14460.oracleGeneral.zst Cacheus cache size   281564, 3131541 req, miss ratio 0.2718, byte miss ratio 0.2718
result/tencentBlock.ns14460.oracleGeneral.zst Cacheus cache size   563128, 3131541 req, miss ratio 0.2260, byte miss ratio 0.2260
result/tencentBlock.ns14460.oracleGeneral.zst LHD cache size      703, 3131541 req, miss ratio 0.8361, byte miss ratio 0.8361
result/tencentBlock.ns14460.oracleGeneral.zst LHD cache size     2111, 3131541 req, miss ratio 0.8271, byte miss ratio 0.8271
result/tencentBlock.ns14460.oracleGeneral.zst LHD cache size     7039, 3131541 req, miss ratio 0.8168, byte miss ratio 0.8168
result/tencentBlock.ns14460.oracleGeneral.zst LHD cache size    21117, 3131541 req, miss ratio 0.7950, byte miss ratio 0.7950
