result/tencentBlock.ns19430.oracleGeneral.zst Clock cache size      320, 23508842 req, miss ratio 0.9989, byte miss ratio 0.9989
result/tencentBlock.ns19430.oracleGeneral.zst Clock cache size      962, 23508842 req, miss ratio 0.9660, byte miss ratio 0.9660
result/tencentBlock.ns19430.oracleGeneral.zst Clock cache size     3207, 23508842 req, miss ratio 0.5012, byte miss ratio 0.5012
result/tencentBlock.ns19430.oracleGeneral.zst Clock cache size     9621, 23508842 req, miss ratio 0.0588, byte miss ratio 0.0588
result/tencentBlock.ns19430.oracleGeneral.zst Clock cache size    32072, 23508842 req, miss ratio 0.0442, byte miss ratio 0.0442
result/tencentBlock.ns19430.oracleGeneral.zst Clock cache size    64144, 23508842 req, miss ratio 0.0394, byte miss ratio 0.0394
result/tencentBlock.ns19430.oracleGeneral.zst Clock cache size   128289, 23508842 req, miss ratio 0.0189, byte miss ratio 0.0189
result/tencentBlock.ns19430.oracleGeneral.zst Clock cache size   256579, 23508842 req, miss ratio 0.0138, byte miss ratio 0.0138
result/tencentBlock.ns19430.oracleGeneral.zst LHD cache size      320, 23508842 req, miss ratio 0.9404, byte miss ratio 0.9404
result/tencentBlock.ns19430.oracleGeneral.zst LHD cache size      962, 23508842 req, miss ratio 0.8289, byte miss ratio 0.8289
result/tencentBlock.ns19430.oracleGeneral.zst LHD cache size     3207, 23508842 req, miss ratio 0.4093, byte miss ratio 0.4093
result/tencentBlock.ns19430.oracleGeneral.zst LHD cache size     9621, 23508842 req, miss ratio 0.0556, byte miss ratio 0.0556
result/tencentBlock.ns19430.oracleGeneral.zst LHD cache size    32072, 23508842 req, miss ratio 0.0428, byte miss ratio 0.0428
result/tencentBlock.ns19430.oracleGeneral.zst LHD cache size    64144, 23508842 req, miss ratio 0.0339, byte miss ratio 0.0339
result/tencentBlock.ns19430.oracleGeneral.zst LHD cache size   128289, 23508842 req, miss ratio 0.0203, byte miss ratio 0.0203
result/tencentBlock.ns19430.oracleGeneral.zst LHD cache size   256579, 23508842 req, miss ratio 0.0138, byte miss ratio 0.0138
result/tencentBlock.ns19430.oracleGeneral.zst LIRS cache size      320, 23508842 req, miss ratio 0.9318, byte miss ratio 0.9318
result/tencentBlock.ns19430.oracleGeneral.zst LIRS cache size      962, 23508842 req, miss ratio 0.8080, byte miss ratio 0.8080
result/tencentBlock.ns19430.oracleGeneral.zst LIRS cache size     3207, 23508842 req, miss ratio 0.4072, byte miss ratio 0.4072
result/tencentBlock.ns19430.oracleGeneral.zst LIRS cache size     9621, 23508842 req, miss ratio 0.0538, byte miss ratio 0.0538
result/tencentBlock.ns19430.oracleGeneral.zst LIRS cache size    32072, 23508842 req, miss ratio 0.0423, byte miss ratio 0.0423
result/tencentBlock.ns19430.oracleGeneral.zst LIRS cache size    64144, 23508842 req, miss ratio 0.0292, byte miss ratio 0.0292
