result/tencentBlock.ns8709.oracleGeneral.zst LHD cache size      236, 1772948 req, miss ratio 0.4828, byte miss ratio 0.4828
result/tencentBlock.ns8709.oracleGeneral.zst LHD cache size      710, 1772948 req, miss ratio 0.4679, byte miss ratio 0.4679
result/tencentBlock.ns8709.oracleGeneral.zst LHD cache size     2366, 1772948 req, miss ratio 0.4622, byte miss ratio 0.4622
result/tencentBlock.ns8709.oracleGeneral.zst LHD cache size     7100, 1772948 req, miss ratio 0.4544, byte miss ratio 0.4544
result/tencentBlock.ns8709.oracleGeneral.zst LHD cache size    23668, 1772948 req, miss ratio 0.4007, byte miss ratio 0.4007
result/tencentBlock.ns8709.oracleGeneral.zst LHD cache size    47336, 1772948 req, miss ratio 0.3389, byte miss ratio 0.3389
result/tencentBlock.ns8709.oracleGeneral.zst LHD cache size    94672, 1772948 req, miss ratio 0.2061, byte miss ratio 0.2061
result/tencentBlock.ns8709.oracleGeneral.zst LHD cache size   189344, 1772948 req, miss ratio 0.1368, byte miss ratio 0.1368
result/tencentBlock.ns8709.oracleGeneral.zst LIRS cache size      236, 1772948 req, miss ratio 0.5633, byte miss ratio 0.5633
result/tencentBlock.ns8709.oracleGeneral.zst LIRS cache size      710, 1772948 req, miss ratio 0.4976, byte miss ratio 0.4976
result/tencentBlock.ns8709.oracleGeneral.zst LIRS cache size     2366, 1772948 req, miss ratio 0.4660, byte miss ratio 0.4660
result/tencentBlock.ns8709.oracleGeneral.zst LIRS cache size     7100, 1772948 req, miss ratio 0.4567, byte miss ratio 0.4567
result/tencentBlock.ns8709.oracleGeneral.zst LIRS cache size    23668, 1772948 req, miss ratio 0.4026, byte miss ratio 0.4026
result/tencentBlock.ns8709.oracleGeneral.zst LIRS cache size    47336, 1772948 req, miss ratio 0.3452, byte miss ratio 0.3452
result/tencentBlock.ns8709.oracleGeneral.zst LIRS cache size    94672, 1772948 req, miss ratio 0.2014, byte miss ratio 0.2014
result/tencentBlock.ns8709.oracleGeneral.zst LIRS cache size   189344, 1772948 req, miss ratio 0.1382, byte miss ratio 0.1382
result/tencentBlock.ns8709.oracleGeneral.zst Clock cache size      236, 1772948 req, miss ratio 0.4802, byte miss ratio 0.4802
result/tencentBlock.ns8709.oracleGeneral.zst Clock cache size      710, 1772948 req, miss ratio 0.4678, byte miss ratio 0.4678
result/tencentBlock.ns8709.oracleGeneral.zst Clock cache size     2366, 1772948 req, miss ratio 0.4627, byte miss ratio 0.4627
result/tencentBlock.ns8709.oracleGeneral.zst Clock cache size     7100, 1772948 req, miss ratio 0.4596, byte miss ratio 0.4596
result/tencentBlock.ns8709.oracleGeneral.zst Clock cache size    23668, 1772948 req, miss ratio 0.4126, byte miss ratio 0.4126
result/tencentBlock.ns8709.oracleGeneral.zst Clock cache size    47336, 1772948 req, miss ratio 0.3629, byte miss ratio 0.3629
result/tencentBlock.ns8709.oracleGeneral.zst Clock cache size    94672, 1772948 req, miss ratio 0.2426, byte miss ratio 0.2426
result/tencentBlock.ns8709.oracleGeneral.zst Clock cache size   189344, 1772948 req, miss ratio 0.1505, byte miss ratio 0.1505
result/tencentBlock.ns8709.oracleGeneral.zst Cacheus cache size      236, 1772948 req, miss ratio 0.4748, byte miss ratio 0.4748
result/tencentBlock.ns8709.oracleGeneral.zst Cacheus cache size      710, 1772948 req, miss ratio 0.4656, byte miss ratio 0.4656
result/tencentBlock.ns8709.oracleGeneral.zst Cacheus cache size     2366, 1772948 req, miss ratio 0.4620, byte miss ratio 0.4620
result/tencentBlock.ns8709.oracleGeneral.zst Cacheus cache size     7100, 1772948 req, miss ratio 0.4572, byte miss ratio 0.4572
result/tencentBlock.ns8709.oracleGeneral.zst Cacheus cache size    23668, 1772948 req, miss ratio 0.4121, byte miss ratio 0.4121
result/tencentBlock.ns8709.oracleGeneral.zst Cacheus cache size    47336, 1772948 req, miss ratio 0.3814, byte miss ratio 0.3814
result/tencentBlock.ns8709.oracleGeneral.zst Cacheus cache size    94672, 1772948 req, miss ratio 0.2365, byte miss ratio 0.2365
result/tencentBlock.ns8709.oracleGeneral.zst Cacheus cache size   189344, 1772948 req, miss ratio 0.1377, byte miss ratio 0.1377
result/tencentBlock.ns8709.oracleGeneral.zst S3FIFO-1 cache size      236, 1772948 req, miss ratio 0.4743, byte miss ratio 0.4743
result/tencentBlock.ns8709.oracleGeneral.zst S3FIFO-1 cache size      710, 1772948 req, miss ratio 0.4660, byte miss ratio 0.4660
result/tencentBlock.ns8709.oracleGeneral.zst S3FIFO-1 cache size     2366, 1772948 req, miss ratio 0.4615, byte miss ratio 0.4615
result/tencentBlock.ns8709.oracleGeneral.zst S3FIFO-1 cache size     7100, 1772948 req, miss ratio 0.4559, byte miss ratio 0.4559
result/tencentBlock.ns8709.oracleGeneral.zst S3FIFO-1 cache size    23668, 1772948 req, miss ratio 0.3992, byte miss ratio 0.3992
result/tencentBlock.ns8709.oracleGeneral.zst S3FIFO-1 cache size    47336, 1772948 req, miss ratio 0.3462, byte miss ratio 0.3462
result/tencentBlock.ns8709.oracleGeneral.zst S3FIFO-1 cache size    94672, 1772948 req, miss ratio 0.2243, byte miss ratio 0.2243
result/tencentBlock.ns8709.oracleGeneral.zst S3FIFO-1 cache size   189344, 1772948 req, miss ratio 0.1462, byte miss ratio 0.1462
result/tencentBlock.ns8709.oracleGeneral.zst clock2 cache size      236, 1772948 req, miss ratio 0.4805, byte miss ratio 0.4805
result/tencentBlock.ns8709.oracleGeneral.zst clock2 cache size      710, 1772948 req, miss ratio 0.4676, byte miss ratio 0.4676
result/tencentBlock.ns8709.oracleGeneral.zst clock2 cache size     2366, 1772948 req, miss ratio 0.4627, byte miss ratio 0.4627
result/tencentBlock.ns8709.oracleGeneral.zst clock2 cache size     7100, 1772948 req, miss ratio 0.4597, byte miss ratio 0.4597
result/tencentBlock.ns8709.oracleGeneral.zst clock2 cache size    23668, 1772948 req, miss ratio 0.4259, byte miss ratio 0.4259
result/tencentBlock.ns8709.oracleGeneral.zst clock2 cache size    47336, 1772948 req, miss ratio 0.3758, byte miss ratio 0.3758
result/tencentBlock.ns8709.oracleGeneral.zst clock2 cache size    94672, 1772948 req, miss ratio 0.2676, byte miss ratio 0.2676
result/tencentBlock.ns8709.oracleGeneral.zst clock2 cache size   189344, 1772948 req, miss ratio 0.1349, byte miss ratio 0.1349
result/tencentBlock.ns8709.oracleGeneral.zst LeCaR cache size      236, 1772948 req, miss ratio 0.4790, byte miss ratio 0.4790
result/tencentBlock.ns8709.oracleGeneral.zst LeCaR cache size      710, 1772948 req, miss ratio 0.4674, byte miss ratio 0.4674
result/tencentBlock.ns8709.oracleGeneral.zst LeCaR cache size     2366, 1772948 req, miss ratio 0.4623, byte miss ratio 0.4623
result/tencentBlock.ns8709.oracleGeneral.zst LeCaR cache size     7100, 1772948 req, miss ratio 0.4585, byte miss ratio 0.4585
result/tencentBlock.ns8709.oracleGeneral.zst LeCaR cache size    23668, 1772948 req, miss ratio 0.4045, byte miss ratio 0.4045
result/tencentBlock.ns8709.oracleGeneral.zst LeCaR cache size    47336, 1772948 req, miss ratio 0.3501, byte miss ratio 0.3501
result/tencentBlock.ns8709.oracleGeneral.zst LeCaR cache size    94672, 1772948 req, miss ratio 0.2037, byte miss ratio 0.2037
result/tencentBlock.ns8709.oracleGeneral.zst LeCaR cache size   189344, 1772948 req, miss ratio 0.1374, byte miss ratio 0.1374
result/tencentBlock.ns8709.oracleGeneral.zst LRU cache size      236, 1772948 req, miss ratio 0.4801, byte miss ratio 0.4801
result/tencentBlock.ns8709.oracleGeneral.zst LRU cache size      710, 1772948 req, miss ratio 0.4680, byte miss ratio 0.4680
result/tencentBlock.ns8709.oracleGeneral.zst LRU cache size     2366, 1772948 req, miss ratio 0.4628, byte miss ratio 0.4628
result/tencentBlock.ns8709.oracleGeneral.zst LRU cache size     7100, 1772948 req, miss ratio 0.4597, byte miss ratio 0.4597
result/tencentBlock.ns8709.oracleGeneral.zst LRU cache size    23668, 1772948 req, miss ratio 0.4063, byte miss ratio 0.4063
result/tencentBlock.ns8709.oracleGeneral.zst LRU cache size    47336, 1772948 req, miss ratio 0.3614, byte miss ratio 0.3614
result/tencentBlock.ns8709.oracleGeneral.zst LRU cache size    94672, 1772948 req, miss ratio 0.2179, byte miss ratio 0.2179
result/tencentBlock.ns8709.oracleGeneral.zst LRU cache size   189344, 1772948 req, miss ratio 0.1371, byte miss ratio 0.1371
result/tencentBlock.ns8709.oracleGeneral.zst FIFO cache size      236, 1772948 req, miss ratio 0.5166, byte miss ratio 0.5166
result/tencentBlock.ns8709.oracleGeneral.zst FIFO cache size      710, 1772948 req, miss ratio 0.4844, byte miss ratio 0.4844
result/tencentBlock.ns8709.oracleGeneral.zst FIFO cache size     2366, 1772948 req, miss ratio 0.4692, byte miss ratio 0.4692
result/tencentBlock.ns8709.oracleGeneral.zst FIFO cache size     7100, 1772948 req, miss ratio 0.4625, byte miss ratio 0.4625
result/tencentBlock.ns8709.oracleGeneral.zst FIFO cache size    23668, 1772948 req, miss ratio 0.4172, byte miss ratio 0.4172
result/tencentBlock.ns8709.oracleGeneral.zst FIFO cache size    47336, 1772948 req, miss ratio 0.3775, byte miss ratio 0.3775
result/tencentBlock.ns8709.oracleGeneral.zst FIFO cache size    94672, 1772948 req, miss ratio 0.2552, byte miss ratio 0.2552
result/tencentBlock.ns8709.oracleGeneral.zst FIFO cache size   189344, 1772948 req, miss ratio 0.1568, byte miss ratio 0.1568
result/tencentBlock.ns8709.oracleGeneral.zst ARC cache size      236, 1772948 req, miss ratio 0.4734, byte miss ratio 0.4734
result/tencentBlock.ns8709.oracleGeneral.zst ARC cache size      710, 1772948 req, miss ratio 0.4656, byte miss ratio 0.4656
result/tencentBlock.ns8709.oracleGeneral.zst ARC cache size     2366, 1772948 req, miss ratio 0.4617, byte miss ratio 0.4617
result/tencentBlock.ns8709.oracleGeneral.zst ARC cache size     7100, 1772948 req, miss ratio 0.4559, byte miss ratio 0.4559
result/tencentBlock.ns8709.oracleGeneral.zst ARC cache size    23668, 1772948 req, miss ratio 0.4077, byte miss ratio 0.4077
result/tencentBlock.ns8709.oracleGeneral.zst ARC cache size    47336, 1772948 req, miss ratio 0.3334, byte miss ratio 0.3334
result/tencentBlock.ns8709.oracleGeneral.zst ARC cache size    94672, 1772948 req, miss ratio 0.2143, byte miss ratio 0.2143
result/tencentBlock.ns8709.oracleGeneral.zst ARC cache size   189344, 1772948 req, miss ratio 0.1398, byte miss ratio 0.1398
result/tencentBlock.ns8709.oracleGeneral.zst S3FIFO-d-1 cache size      236, 1772948 req, miss ratio 0.4717, byte miss ratio 0.4717
result/tencentBlock.ns8709.oracleGeneral.zst S3FIFO-d-1 cache size      710, 1772948 req, miss ratio 0.4654, byte miss ratio 0.4654
result/tencentBlock.ns8709.oracleGeneral.zst S3FIFO-d-1 cache size     2366, 1772948 req, miss ratio 0.4614, byte miss ratio 0.4614
result/tencentBlock.ns8709.oracleGeneral.zst S3FIFO-d-1 cache size     7100, 1772948 req, miss ratio 0.4559, byte miss ratio 0.4559
result/tencentBlock.ns8709.oracleGeneral.zst S3FIFO-d-1 cache size    23668, 1772948 req, miss ratio 0.3988, byte miss ratio 0.3988
result/tencentBlock.ns8709.oracleGeneral.zst S3FIFO-d-1 cache size    47336, 1772948 req, miss ratio 0.3466, byte miss ratio 0.3466
result/tencentBlock.ns8709.oracleGeneral.zst S3FIFO-d-1 cache size    94672, 1772948 req, miss ratio 0.2198, byte miss ratio 0.2198
result/tencentBlock.ns8709.oracleGeneral.zst S3FIFO-d-1 cache size   189344, 1772948 req, miss ratio 0.1424, byte miss ratio 0.1424
result/tencentBlock.ns8709.oracleGeneral.zst LRB cache size      236, 1772948 req, miss ratio 0.6494, byte miss ratio 0.6494
result/tencentBlock.ns8709.oracleGeneral.zst LRB cache size      710, 1772948 req, miss ratio 0.5342, byte miss ratio 0.5342
result/tencentBlock.ns8709.oracleGeneral.zst LRB cache size     2366, 1772948 req, miss ratio 0.4793, byte miss ratio 0.4793
result/tencentBlock.ns8709.oracleGeneral.zst LRB cache size     7100, 1772948 req, miss ratio 0.4415, byte miss ratio 0.4415
result/tencentBlock.ns8709.oracleGeneral.zst LRB cache size    23668, 1772948 req, miss ratio 0.3703, byte miss ratio 0.3703
result/tencentBlock.ns8709.oracleGeneral.zst LRB cache size    47336, 1772948 req, miss ratio 0.2966, byte miss ratio 0.2966
result/tencentBlock.ns8709.oracleGeneral.zst LRB cache size    94672, 1772948 req, miss ratio 0.1682, byte miss ratio 0.1682
result/tencentBlock.ns8709.oracleGeneral.zst LRB cache size   189344, 1772948 req, miss ratio 0.1371, byte miss ratio 0.1371
result/tencentBlock.ns8709.oracleGeneral.zst B-LRU cache size      236, 1772948 req, miss ratio 0.5517, byte miss ratio 0.5517
result/tencentBlock.ns8709.oracleGeneral.zst B-LRU cache size      710, 1772948 req, miss ratio 0.5422, byte miss ratio 0.5422
result/tencentBlock.ns8709.oracleGeneral.zst B-LRU cache size     2366, 1772948 req, miss ratio 0.5377, byte miss ratio 0.5377
result/tencentBlock.ns8709.oracleGeneral.zst B-LRU cache size     7100, 1772948 req, miss ratio 0.5344, byte miss ratio 0.5344
result/tencentBlock.ns8709.oracleGeneral.zst B-LRU cache size    23668, 1772948 req, miss ratio 0.4872, byte miss ratio 0.4872
result/tencentBlock.ns8709.oracleGeneral.zst B-LRU cache size    47336, 1772948 req, miss ratio 0.4422, byte miss ratio 0.4422
result/tencentBlock.ns8709.oracleGeneral.zst B-LRU cache size    94672, 1772948 req, miss ratio 0.3171, byte miss ratio 0.3171
result/tencentBlock.ns8709.oracleGeneral.zst B-LRU cache size   189344, 1772948 req, miss ratio 0.2530, byte miss ratio 0.2530
result/tencentBlock.ns8709.oracleGeneral.zst TwoQ cache size      236, 1772948 req, miss ratio 0.4720, byte miss ratio 0.4720
result/tencentBlock.ns8709.oracleGeneral.zst TwoQ cache size      710, 1772948 req, miss ratio 0.4649, byte miss ratio 0.4649
result/tencentBlock.ns8709.oracleGeneral.zst TwoQ cache size     2366, 1772948 req, miss ratio 0.4613, byte miss ratio 0.4613
result/tencentBlock.ns8709.oracleGeneral.zst TwoQ cache size     7100, 1772948 req, miss ratio 0.4538, byte miss ratio 0.4538
result/tencentBlock.ns8709.oracleGeneral.zst TwoQ cache size    23668, 1772948 req, miss ratio 0.3774, byte miss ratio 0.3774
result/tencentBlock.ns8709.oracleGeneral.zst TwoQ cache size    47336, 1772948 req, miss ratio 0.3110, byte miss ratio 0.3110
result/tencentBlock.ns8709.oracleGeneral.zst TwoQ cache size    94672, 1772948 req, miss ratio 0.1980, byte miss ratio 0.1980
result/tencentBlock.ns8709.oracleGeneral.zst TwoQ cache size   189344, 1772948 req, miss ratio 0.1568, byte miss ratio 0.1568
result/tencentBlock.ns8709.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      236, 1772948 req, miss ratio 0.4863, byte miss ratio 0.4863
result/tencentBlock.ns8709.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      710, 1772948 req, miss ratio 0.4702, byte miss ratio 0.4702
result/tencentBlock.ns8709.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2366, 1772948 req, miss ratio 0.4636, byte miss ratio 0.4636
result/tencentBlock.ns8709.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7100, 1772948 req, miss ratio 0.4591, byte miss ratio 0.4591
result/tencentBlock.ns8709.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    23668, 1772948 req, miss ratio 0.4380, byte miss ratio 0.4380
result/tencentBlock.ns8709.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    47336, 1772948 req, miss ratio 0.3944, byte miss ratio 0.3944
result/tencentBlock.ns8709.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    94672, 1772948 req, miss ratio 0.2723, byte miss ratio 0.2723
result/tencentBlock.ns8709.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   189344, 1772948 req, miss ratio 0.1528, byte miss ratio 0.1528
result/tencentBlock.ns8709.oracleGeneral.zst S4LRU(25:25:25:25) cache size      236, 1772948 req, miss ratio 0.4843, byte miss ratio 0.4843
result/tencentBlock.ns8709.oracleGeneral.zst S4LRU(25:25:25:25) cache size      710, 1772948 req, miss ratio 0.4687, byte miss ratio 0.4687
result/tencentBlock.ns8709.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2366, 1772948 req, miss ratio 0.4626, byte miss ratio 0.4626
result/tencentBlock.ns8709.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7100, 1772948 req, miss ratio 0.4592, byte miss ratio 0.4592
