result/cdn2_colo28.ns4984.oracleGeneral.zst clock2 cache size    20706, 1185248 req, miss ratio 0.0602, byte miss ratio 0.0602
result/cdn2_colo28.ns4984.oracleGeneral.zst clock2 cache size    41412, 1185248 req, miss ratio 0.0446, byte miss ratio 0.0446
result/cdn2_colo28.ns4984.oracleGeneral.zst FIFO cache size       51, 1185248 req, miss ratio 0.7083, byte miss ratio 0.7083
result/cdn2_colo28.ns4984.oracleGeneral.zst FIFO cache size      155, 1185248 req, miss ratio 0.5428, byte miss ratio 0.5428
result/cdn2_colo28.ns4984.oracleGeneral.zst FIFO cache size      517, 1185248 req, miss ratio 0.4101, byte miss ratio 0.4101
result/cdn2_colo28.ns4984.oracleGeneral.zst FIFO cache size     1552, 1185248 req, miss ratio 0.3001, byte miss ratio 0.3001
result/cdn2_colo28.ns4984.oracleGeneral.zst FIFO cache size     5176, 1185248 req, miss ratio 0.1834, byte miss ratio 0.1834
result/cdn2_colo28.ns4984.oracleGeneral.zst FIFO cache size    10353, 1185248 req, miss ratio 0.1270, byte miss ratio 0.1270
result/cdn2_colo28.ns4984.oracleGeneral.zst FIFO cache size    20706, 1185248 req, miss ratio 0.0790, byte miss ratio 0.0790
result/cdn2_colo28.ns4984.oracleGeneral.zst FIFO cache size    41412, 1185248 req, miss ratio 0.0503, byte miss ratio 0.0503
result/cdn2_colo28.ns4984.oracleGeneral.zst Cacheus cache size       51, 1185248 req, miss ratio 0.5892, byte miss ratio 0.5892
result/cdn2_colo28.ns4984.oracleGeneral.zst Cacheus cache size      155, 1185248 req, miss ratio 0.4415, byte miss ratio 0.4415
result/cdn2_colo28.ns4984.oracleGeneral.zst Cacheus cache size      517, 1185248 req, miss ratio 0.3446, byte miss ratio 0.3446
result/cdn2_colo28.ns4984.oracleGeneral.zst Cacheus cache size     1552, 1185248 req, miss ratio 0.2392, byte miss ratio 0.2392
result/cdn2_colo28.ns4984.oracleGeneral.zst Cacheus cache size     5176, 1185248 req, miss ratio 0.1452, byte miss ratio 0.1452
result/cdn2_colo28.ns4984.oracleGeneral.zst Cacheus cache size    10353, 1185248 req, miss ratio 0.0979, byte miss ratio 0.0979
result/cdn2_colo28.ns4984.oracleGeneral.zst Cacheus cache size    20706, 1185248 req, miss ratio 0.0601, byte miss ratio 0.0601
result/cdn2_colo28.ns4984.oracleGeneral.zst Cacheus cache size    41412, 1185248 req, miss ratio 0.0451, byte miss ratio 0.0451
result/cdn2_colo28.ns4984.oracleGeneral.zst LRU cache size       51, 1185248 req, miss ratio 0.6720, byte miss ratio 0.6720
result/cdn2_colo28.ns4984.oracleGeneral.zst LRU cache size      155, 1185248 req, miss ratio 0.4838, byte miss ratio 0.4838
result/cdn2_colo28.ns4984.oracleGeneral.zst LRU cache size      517, 1185248 req, miss ratio 0.3696, byte miss ratio 0.3696
result/cdn2_colo28.ns4984.oracleGeneral.zst LRU cache size     1552, 1185248 req, miss ratio 0.2666, byte miss ratio 0.2666
result/cdn2_colo28.ns4984.oracleGeneral.zst LRU cache size     5176, 1185248 req, miss ratio 0.1544, byte miss ratio 0.1544
result/cdn2_colo28.ns4984.oracleGeneral.zst LRU cache size    10353, 1185248 req, miss ratio 0.1032, byte miss ratio 0.1032
result/cdn2_colo28.ns4984.oracleGeneral.zst LRU cache size    20706, 1185248 req, miss ratio 0.0630, byte miss ratio 0.0630
