result/tencentBlock.ns14030.oracleGeneral.zst FIFO cache size       62, 2545649 req, miss ratio 0.5894, byte miss ratio 0.5894
result/tencentBlock.ns14030.oracleGeneral.zst FIFO cache size      188, 2545649 req, miss ratio 0.4251, byte miss ratio 0.4251
result/tencentBlock.ns14030.oracleGeneral.zst FIFO cache size      627, 2545649 req, miss ratio 0.1448, byte miss ratio 0.1448
result/tencentBlock.ns14030.oracleGeneral.zst FIFO cache size     1883, 2545649 req, miss ratio 0.0946, byte miss ratio 0.0946
result/tencentBlock.ns14030.oracleGeneral.zst FIFO cache size     6277, 2545649 req, miss ratio 0.0800, byte miss ratio 0.0800
result/tencentBlock.ns14030.oracleGeneral.zst FIFO cache size    12554, 2545649 req, miss ratio 0.0651, byte miss ratio 0.0651
result/tencentBlock.ns14030.oracleGeneral.zst FIFO cache size    25109, 2545649 req, miss ratio 0.0398, byte miss ratio 0.0398
result/tencentBlock.ns14030.oracleGeneral.zst FIFO cache size    50219, 2545649 req, miss ratio 0.0252, byte miss ratio 0.0252
result/tencentBlock.ns14030.oracleGeneral.zst ARC cache size       62, 2545649 req, miss ratio 0.4379, byte miss ratio 0.4379
result/tencentBlock.ns14030.oracleGeneral.zst ARC cache size      188, 2545649 req, miss ratio 0.3227, byte miss ratio 0.3227
result/tencentBlock.ns14030.oracleGeneral.zst ARC cache size      627, 2545649 req, miss ratio 0.1079, byte miss ratio 0.1079
result/tencentBlock.ns14030.oracleGeneral.zst ARC cache size     1883, 2545649 req, miss ratio 0.0795, byte miss ratio 0.0795
result/tencentBlock.ns14030.oracleGeneral.zst ARC cache size     6277, 2545649 req, miss ratio 0.0692, byte miss ratio 0.0692
result/tencentBlock.ns14030.oracleGeneral.zst ARC cache size    12554, 2545649 req, miss ratio 0.0600, byte miss ratio 0.0600
result/tencentBlock.ns14030.oracleGeneral.zst ARC cache size    25109, 2545649 req, miss ratio 0.0346, byte miss ratio 0.0346
result/tencentBlock.ns14030.oracleGeneral.zst ARC cache size    50219, 2545649 req, miss ratio 0.0247, byte miss ratio 0.0247
result/tencentBlock.ns14030.oracleGeneral.zst LRU cache size       62, 2545649 req, miss ratio 0.5309, byte miss ratio 0.5309
result/tencentBlock.ns14030.oracleGeneral.zst LRU cache size      188, 2545649 req, miss ratio 0.4064, byte miss ratio 0.4064
result/tencentBlock.ns14030.oracleGeneral.zst LRU cache size      627, 2545649 req, miss ratio 0.1168, byte miss ratio 0.1168
result/tencentBlock.ns14030.oracleGeneral.zst LRU cache size     1883, 2545649 req, miss ratio 0.0849, byte miss ratio 0.0849
result/tencentBlock.ns14030.oracleGeneral.zst LRU cache size     6277, 2545649 req, miss ratio 0.0754, byte miss ratio 0.0754
result/tencentBlock.ns14030.oracleGeneral.zst LRU cache size    12554, 2545649 req, miss ratio 0.0600, byte miss ratio 0.0600
result/tencentBlock.ns14030.oracleGeneral.zst LRU cache size    25109, 2545649 req, miss ratio 0.0337, byte miss ratio 0.0337
