result/tencentBlock.ns1796.oracleGeneral.zst FIFO cache size       92, 1426642 req, miss ratio 0.4230, byte miss ratio 0.4230
result/tencentBlock.ns1796.oracleGeneral.zst FIFO cache size      277, 1426642 req, miss ratio 0.3219, byte miss ratio 0.3219
result/tencentBlock.ns1796.oracleGeneral.zst FIFO cache size      926, 1426642 req, miss ratio 0.2733, byte miss ratio 0.2733
result/tencentBlock.ns1796.oracleGeneral.zst FIFO cache size     2778, 1426642 req, miss ratio 0.2192, byte miss ratio 0.2192
result/tencentBlock.ns1796.oracleGeneral.zst FIFO cache size     9260, 1426642 req, miss ratio 0.1797, byte miss ratio 0.1797
result/tencentBlock.ns1796.oracleGeneral.zst FIFO cache size    18520, 1426642 req, miss ratio 0.1285, byte miss ratio 0.1285
result/tencentBlock.ns1796.oracleGeneral.zst FIFO cache size    37041, 1426642 req, miss ratio 0.0975, byte miss ratio 0.0975
result/tencentBlock.ns1796.oracleGeneral.zst FIFO cache size    74082, 1426642 req, miss ratio 0.0785, byte miss ratio 0.0785
result/tencentBlock.ns1796.oracleGeneral.zst Cacheus cache size       92, 1426642 req, miss ratio 0.3338, byte miss ratio 0.3338
result/tencentBlock.ns1796.oracleGeneral.zst Cacheus cache size      277, 1426642 req, miss ratio 0.2669, byte miss ratio 0.2669
result/tencentBlock.ns1796.oracleGeneral.zst Cacheus cache size      926, 1426642 req, miss ratio 0.2279, byte miss ratio 0.2279
result/tencentBlock.ns1796.oracleGeneral.zst Cacheus cache size     2778, 1426642 req, miss ratio 0.1875, byte miss ratio 0.1875
result/tencentBlock.ns1796.oracleGeneral.zst Cacheus cache size     9260, 1426642 req, miss ratio 0.1600, byte miss ratio 0.1600
result/tencentBlock.ns1796.oracleGeneral.zst Cacheus cache size    18520, 1426642 req, miss ratio 0.1166, byte miss ratio 0.1166
result/tencentBlock.ns1796.oracleGeneral.zst Cacheus cache size    37041, 1426642 req, miss ratio 0.0807, byte miss ratio 0.0807
result/tencentBlock.ns1796.oracleGeneral.zst Cacheus cache size    74082, 1426642 req, miss ratio 0.0652, byte miss ratio 0.0652
result/tencentBlock.ns1796.oracleGeneral.zst LeCaR cache size       92, 1426642 req, miss ratio 0.3644, byte miss ratio 0.3644
result/tencentBlock.ns1796.oracleGeneral.zst LeCaR cache size      277, 1426642 req, miss ratio 0.2769, byte miss ratio 0.2769
result/tencentBlock.ns1796.oracleGeneral.zst LeCaR cache size      926, 1426642 req, miss ratio 0.2488, byte miss ratio 0.2488
result/tencentBlock.ns1796.oracleGeneral.zst LeCaR cache size     2778, 1426642 req, miss ratio 0.1906, byte miss ratio 0.1906
result/tencentBlock.ns1796.oracleGeneral.zst LeCaR cache size     9260, 1426642 req, miss ratio 0.1746, byte miss ratio 0.1746
result/tencentBlock.ns1796.oracleGeneral.zst LeCaR cache size    18520, 1426642 req, miss ratio 0.1162, byte miss ratio 0.1162
result/tencentBlock.ns1796.oracleGeneral.zst LeCaR cache size    37041, 1426642 req, miss ratio 0.0798, byte miss ratio 0.0798
result/tencentBlock.ns1796.oracleGeneral.zst LeCaR cache size    74082, 1426642 req, miss ratio 0.0658, byte miss ratio 0.0658
result/tencentBlock.ns1796.oracleGeneral.zst clock2 cache size       92, 1426642 req, miss ratio 0.3660, byte miss ratio 0.3660
result/tencentBlock.ns1796.oracleGeneral.zst clock2 cache size      277, 1426642 req, miss ratio 0.2788, byte miss ratio 0.2788
result/tencentBlock.ns1796.oracleGeneral.zst clock2 cache size      926, 1426642 req, miss ratio 0.2525, byte miss ratio 0.2525
result/tencentBlock.ns1796.oracleGeneral.zst clock2 cache size     2778, 1426642 req, miss ratio 0.1950, byte miss ratio 0.1950
result/tencentBlock.ns1796.oracleGeneral.zst clock2 cache size     9260, 1426642 req, miss ratio 0.1758, byte miss ratio 0.1758
result/tencentBlock.ns1796.oracleGeneral.zst clock2 cache size    18520, 1426642 req, miss ratio 0.1256, byte miss ratio 0.1256
result/tencentBlock.ns1796.oracleGeneral.zst clock2 cache size    37041, 1426642 req, miss ratio 0.0812, byte miss ratio 0.0812
result/tencentBlock.ns1796.oracleGeneral.zst clock2 cache size    74082, 1426642 req, miss ratio 0.0651, byte miss ratio 0.0651
result/tencentBlock.ns1796.oracleGeneral.zst LHD cache size       92, 1426642 req, miss ratio 0.3538, byte miss ratio 0.3538
result/tencentBlock.ns1796.oracleGeneral.zst LHD cache size      277, 1426642 req, miss ratio 0.2732, byte miss ratio 0.2732
result/tencentBlock.ns1796.oracleGeneral.zst LHD cache size      926, 1426642 req, miss ratio 0.2524, byte miss ratio 0.2524
result/tencentBlock.ns1796.oracleGeneral.zst LHD cache size     2778, 1426642 req, miss ratio 0.1920, byte miss ratio 0.1920
result/tencentBlock.ns1796.oracleGeneral.zst LHD cache size     9260, 1426642 req, miss ratio 0.1712, byte miss ratio 0.1712
result/tencentBlock.ns1796.oracleGeneral.zst LHD cache size    18520, 1426642 req, miss ratio 0.1233, byte miss ratio 0.1233
result/tencentBlock.ns1796.oracleGeneral.zst LHD cache size    37041, 1426642 req, miss ratio 0.0824, byte miss ratio 0.0824
result/tencentBlock.ns1796.oracleGeneral.zst LHD cache size    74082, 1426642 req, miss ratio 0.0668, byte miss ratio 0.0668
result/tencentBlock.ns1796.oracleGeneral.zst LIRS cache size       92, 1426642 req, miss ratio 0.3318, byte miss ratio 0.3318
result/tencentBlock.ns1796.oracleGeneral.zst LIRS cache size      277, 1426642 req, miss ratio 0.2751, byte miss ratio 0.2751
result/tencentBlock.ns1796.oracleGeneral.zst LIRS cache size      926, 1426642 req, miss ratio 0.2120, byte miss ratio 0.2120
result/tencentBlock.ns1796.oracleGeneral.zst LIRS cache size     2778, 1426642 req, miss ratio 0.1866, byte miss ratio 0.1866
result/tencentBlock.ns1796.oracleGeneral.zst LIRS cache size     9260, 1426642 req, miss ratio 0.1525, byte miss ratio 0.1525
result/tencentBlock.ns1796.oracleGeneral.zst LIRS cache size    18520, 1426642 req, miss ratio 0.1135, byte miss ratio 0.1135
result/tencentBlock.ns1796.oracleGeneral.zst LIRS cache size    37041, 1426642 req, miss ratio 0.0764, byte miss ratio 0.0764
result/tencentBlock.ns1796.oracleGeneral.zst LIRS cache size    74082, 1426642 req, miss ratio 0.0663, byte miss ratio 0.0663
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-1 cache size       92, 1426642 req, miss ratio 0.3352, byte miss ratio 0.3352
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-1 cache size      277, 1426642 req, miss ratio 0.2600, byte miss ratio 0.2600
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-1 cache size      926, 1426642 req, miss ratio 0.2057, byte miss ratio 0.2057
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-1 cache size     2778, 1426642 req, miss ratio 0.1839, byte miss ratio 0.1839
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-1 cache size     9260, 1426642 req, miss ratio 0.1518, byte miss ratio 0.1518
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-1 cache size    18520, 1426642 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-1 cache size    37041, 1426642 req, miss ratio 0.0733, byte miss ratio 0.0733
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-1 cache size    74082, 1426642 req, miss ratio 0.0651, byte miss ratio 0.0651
result/tencentBlock.ns1796.oracleGeneral.zst Clock cache size       92, 1426642 req, miss ratio 0.3690, byte miss ratio 0.3690
result/tencentBlock.ns1796.oracleGeneral.zst Clock cache size      277, 1426642 req, miss ratio 0.2812, byte miss ratio 0.2812
result/tencentBlock.ns1796.oracleGeneral.zst Clock cache size      926, 1426642 req, miss ratio 0.2533, byte miss ratio 0.2533
result/tencentBlock.ns1796.oracleGeneral.zst Clock cache size     2778, 1426642 req, miss ratio 0.1934, byte miss ratio 0.1934
result/tencentBlock.ns1796.oracleGeneral.zst Clock cache size     9260, 1426642 req, miss ratio 0.1799, byte miss ratio 0.1799
result/tencentBlock.ns1796.oracleGeneral.zst Clock cache size    18520, 1426642 req, miss ratio 0.1249, byte miss ratio 0.1249
result/tencentBlock.ns1796.oracleGeneral.zst Clock cache size    37041, 1426642 req, miss ratio 0.0849, byte miss ratio 0.0849
result/tencentBlock.ns1796.oracleGeneral.zst Clock cache size    74082, 1426642 req, miss ratio 0.0651, byte miss ratio 0.0651
result/tencentBlock.ns1796.oracleGeneral.zst LRU cache size       92, 1426642 req, miss ratio 0.3725, byte miss ratio 0.3725
result/tencentBlock.ns1796.oracleGeneral.zst LRU cache size      277, 1426642 req, miss ratio 0.2823, byte miss ratio 0.2823
result/tencentBlock.ns1796.oracleGeneral.zst LRU cache size      926, 1426642 req, miss ratio 0.2569, byte miss ratio 0.2569
result/tencentBlock.ns1796.oracleGeneral.zst LRU cache size     2778, 1426642 req, miss ratio 0.1943, byte miss ratio 0.1943
result/tencentBlock.ns1796.oracleGeneral.zst LRU cache size     9260, 1426642 req, miss ratio 0.1778, byte miss ratio 0.1778
result/tencentBlock.ns1796.oracleGeneral.zst LRU cache size    18520, 1426642 req, miss ratio 0.1231, byte miss ratio 0.1231
result/tencentBlock.ns1796.oracleGeneral.zst LRU cache size    37041, 1426642 req, miss ratio 0.0908, byte miss ratio 0.0908
result/tencentBlock.ns1796.oracleGeneral.zst LRU cache size    74082, 1426642 req, miss ratio 0.0661, byte miss ratio 0.0661
result/tencentBlock.ns1796.oracleGeneral.zst ARC cache size       92, 1426642 req, miss ratio 0.3233, byte miss ratio 0.3233
result/tencentBlock.ns1796.oracleGeneral.zst ARC cache size      277, 1426642 req, miss ratio 0.2614, byte miss ratio 0.2614
result/tencentBlock.ns1796.oracleGeneral.zst ARC cache size      926, 1426642 req, miss ratio 0.2133, byte miss ratio 0.2133
result/tencentBlock.ns1796.oracleGeneral.zst ARC cache size     2778, 1426642 req, miss ratio 0.1859, byte miss ratio 0.1859
result/tencentBlock.ns1796.oracleGeneral.zst ARC cache size     9260, 1426642 req, miss ratio 0.1605, byte miss ratio 0.1605
result/tencentBlock.ns1796.oracleGeneral.zst ARC cache size    18520, 1426642 req, miss ratio 0.1174, byte miss ratio 0.1174
result/tencentBlock.ns1796.oracleGeneral.zst ARC cache size    37041, 1426642 req, miss ratio 0.0749, byte miss ratio 0.0749
result/tencentBlock.ns1796.oracleGeneral.zst ARC cache size    74082, 1426642 req, miss ratio 0.0651, byte miss ratio 0.0651
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-d-1 cache size       92, 1426642 req, miss ratio 0.3334, byte miss ratio 0.3334
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-d-1 cache size      277, 1426642 req, miss ratio 0.2597, byte miss ratio 0.2597
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-d-1 cache size      926, 1426642 req, miss ratio 0.2058, byte miss ratio 0.2058
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-d-1 cache size     2778, 1426642 req, miss ratio 0.1839, byte miss ratio 0.1839
