result/w58.oracleGeneral.bin.zst LRU cache size   135135, 10530695 req, miss ratio 0.3987, byte miss ratio 0.3987
result/w58.oracleGeneral.bin.zst LRU cache size   270270, 10530695 req, miss ratio 0.2585, byte miss ratio 0.2585
result/w58.oracleGeneral.bin.zst LRU cache size   540540, 10530695 req, miss ratio 0.1708, byte miss ratio 0.1708
result/w58.oracleGeneral.bin.zst LRU cache size  1081080, 10530695 req, miss ratio 0.1410, byte miss ratio 0.1410
result/w58.oracleGeneral.bin.zst LHD cache size     1351, 10530695 req, miss ratio 0.6237, byte miss ratio 0.6237
result/w58.oracleGeneral.bin.zst LHD cache size     4054, 10530695 req, miss ratio 0.5509, byte miss ratio 0.5509
result/w58.oracleGeneral.bin.zst LHD cache size    13513, 10530695 req, miss ratio 0.4874, byte miss ratio 0.4874
result/w58.oracleGeneral.bin.zst LHD cache size    40540, 10530695 req, miss ratio 0.4344, byte miss ratio 0.4344
result/w58.oracleGeneral.bin.zst LHD cache size   135135, 10530695 req, miss ratio 0.3362, byte miss ratio 0.3362
result/w58.oracleGeneral.bin.zst LHD cache size   270270, 10530695 req, miss ratio 0.2323, byte miss ratio 0.2323
result/w58.oracleGeneral.bin.zst LHD cache size   540540, 10530695 req, miss ratio 0.1601, byte miss ratio 0.1601
result/w58.oracleGeneral.bin.zst LHD cache size  1081080, 10530695 req, miss ratio 0.1376, byte miss ratio 0.1376
result/w58.oracleGeneral.bin.zst clock2 cache size     1351, 10530695 req, miss ratio 0.6299, byte miss ratio 0.6299
result/w58.oracleGeneral.bin.zst clock2 cache size     4054, 10530695 req, miss ratio 0.5533, byte miss ratio 0.5533
result/w58.oracleGeneral.bin.zst clock2 cache size    13513, 10530695 req, miss ratio 0.4969, byte miss ratio 0.4969
result/w58.oracleGeneral.bin.zst clock2 cache size    40540, 10530695 req, miss ratio 0.4459, byte miss ratio 0.4459
result/w58.oracleGeneral.bin.zst clock2 cache size   135135, 10530695 req, miss ratio 0.3935, byte miss ratio 0.3935
result/w58.oracleGeneral.bin.zst clock2 cache size   270270, 10530695 req, miss ratio 0.2583, byte miss ratio 0.2583
result/w58.oracleGeneral.bin.zst clock2 cache size   540540, 10530695 req, miss ratio 0.1574, byte miss ratio 0.1574
result/w58.oracleGeneral.bin.zst clock2 cache size  1081080, 10530695 req, miss ratio 0.1376, byte miss ratio 0.1376
result/w58.oracleGeneral.bin.zst Cacheus cache size     1351, 10530695 req, miss ratio 0.6134, byte miss ratio 0.6134
result/w58.oracleGeneral.bin.zst Cacheus cache size     4054, 10530695 req, miss ratio 0.5405, byte miss ratio 0.5405
result/w58.oracleGeneral.bin.zst Cacheus cache size    13513, 10530695 req, miss ratio 0.4856, byte miss ratio 0.4856
result/w58.oracleGeneral.bin.zst Cacheus cache size    40540, 10530695 req, miss ratio 0.4217, byte miss ratio 0.4217
result/w58.oracleGeneral.bin.zst Cacheus cache size   135135, 10530695 req, miss ratio 0.3791, byte miss ratio 0.3791
result/w58.oracleGeneral.bin.zst Cacheus cache size   270270, 10530695 req, miss ratio 0.2295, byte miss ratio 0.2295
result/w58.oracleGeneral.bin.zst Cacheus cache size   540540, 10530695 req, miss ratio 0.1482, byte miss ratio 0.1482
result/w58.oracleGeneral.bin.zst Cacheus cache size  1081080, 10530695 req, miss ratio 0.1394, byte miss ratio 0.1394
result/w58.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1351, 10530695 req, miss ratio 0.6099, byte miss ratio 0.6099
result/w58.oracleGeneral.bin.zst S3FIFO-d-1 cache size     4054, 10530695 req, miss ratio 0.5399, byte miss ratio 0.5399
result/w58.oracleGeneral.bin.zst S3FIFO-d-1 cache size    13513, 10530695 req, miss ratio 0.4709, byte miss ratio 0.4709
result/w58.oracleGeneral.bin.zst S3FIFO-d-1 cache size    40540, 10530695 req, miss ratio 0.4122, byte miss ratio 0.4122
result/w58.oracleGeneral.bin.zst S3FIFO-d-1 cache size   135135, 10530695 req, miss ratio 0.3436, byte miss ratio 0.3436
result/w58.oracleGeneral.bin.zst S3FIFO-d-1 cache size   270270, 10530695 req, miss ratio 0.2233, byte miss ratio 0.2233
result/w58.oracleGeneral.bin.zst S3FIFO-d-1 cache size   540540, 10530695 req, miss ratio 0.1713, byte miss ratio 0.1713
result/w58.oracleGeneral.bin.zst S3FIFO-d-1 cache size  1081080, 10530695 req, miss ratio 0.1376, byte miss ratio 0.1376
result/w58.oracleGeneral.bin.zst LRB cache size     1351, 10530695 req, miss ratio 0.6337, byte miss ratio 0.6337
result/w58.oracleGeneral.bin.zst LRB cache size     4054, 10530695 req, miss ratio 0.5510, byte miss ratio 0.5510
result/w58.oracleGeneral.bin.zst LRB cache size    13513, 10530695 req, miss ratio 0.4795, byte miss ratio 0.4795
result/w58.oracleGeneral.bin.zst LRB cache size    40540, 10530695 req, miss ratio 0.4328, byte miss ratio 0.4328
result/w58.oracleGeneral.bin.zst LRB cache size   135135, 10530695 req, miss ratio 0.3185, byte miss ratio 0.3185
result/w58.oracleGeneral.bin.zst LRB cache size   270270, 10530695 req, miss ratio 0.2418, byte miss ratio 0.2418
result/w58.oracleGeneral.bin.zst LRB cache size   540540, 10530695 req, miss ratio 0.1647, byte miss ratio 0.1647
result/w58.oracleGeneral.bin.zst LRB cache size  1081080, 10530695 req, miss ratio 0.1446, byte miss ratio 0.1446
result/w58.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1351, 10530695 req, miss ratio 0.6456, byte miss ratio 0.6456
result/w58.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     4054, 10530695 req, miss ratio 0.5714, byte miss ratio 0.5714
result/w58.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    13513, 10530695 req, miss ratio 0.5110, byte miss ratio 0.5110
result/w58.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    40540, 10530695 req, miss ratio 0.4584, byte miss ratio 0.4584
result/w58.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   135135, 10530695 req, miss ratio 0.3636, byte miss ratio 0.3636
result/w58.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   270270, 10530695 req, miss ratio 0.2651, byte miss ratio 0.2651
result/w58.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   540540, 10530695 req, miss ratio 0.1922, byte miss ratio 0.1922
result/w58.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size  1081080, 10530695 req, miss ratio 0.1545, byte miss ratio 0.1545
