result/tencentBlock.ns22041.oracleGeneral.zst ARC cache size      255, 1807091 req, miss ratio 0.4954, byte miss ratio 0.4954
result/tencentBlock.ns22041.oracleGeneral.zst ARC cache size      765, 1807091 req, miss ratio 0.4911, byte miss ratio 0.4911
result/tencentBlock.ns22041.oracleGeneral.zst ARC cache size     2550, 1807091 req, miss ratio 0.4894, byte miss ratio 0.4894
result/tencentBlock.ns22041.oracleGeneral.zst ARC cache size     7651, 1807091 req, miss ratio 0.4889, byte miss ratio 0.4889
result/tencentBlock.ns22041.oracleGeneral.zst ARC cache size    25504, 1807091 req, miss ratio 0.4284, byte miss ratio 0.4284
result/tencentBlock.ns22041.oracleGeneral.zst ARC cache size    51009, 1807091 req, miss ratio 0.3843, byte miss ratio 0.3843
result/tencentBlock.ns22041.oracleGeneral.zst ARC cache size   102018, 1807091 req, miss ratio 0.2193, byte miss ratio 0.2193
result/tencentBlock.ns22041.oracleGeneral.zst ARC cache size   204037, 1807091 req, miss ratio 0.1503, byte miss ratio 0.1503
result/tencentBlock.ns22041.oracleGeneral.zst Cacheus cache size      255, 1807091 req, miss ratio 0.4958, byte miss ratio 0.4958
result/tencentBlock.ns22041.oracleGeneral.zst Cacheus cache size      765, 1807091 req, miss ratio 0.4911, byte miss ratio 0.4911
result/tencentBlock.ns22041.oracleGeneral.zst Cacheus cache size     2550, 1807091 req, miss ratio 0.4891, byte miss ratio 0.4891
result/tencentBlock.ns22041.oracleGeneral.zst Cacheus cache size     7651, 1807091 req, miss ratio 0.4883, byte miss ratio 0.4883
result/tencentBlock.ns22041.oracleGeneral.zst Cacheus cache size    25504, 1807091 req, miss ratio 0.4437, byte miss ratio 0.4437
result/tencentBlock.ns22041.oracleGeneral.zst Cacheus cache size    51009, 1807091 req, miss ratio 0.4180, byte miss ratio 0.4180
result/tencentBlock.ns22041.oracleGeneral.zst Cacheus cache size   102018, 1807091 req, miss ratio 0.2233, byte miss ratio 0.2233
result/tencentBlock.ns22041.oracleGeneral.zst Cacheus cache size   204037, 1807091 req, miss ratio 0.1501, byte miss ratio 0.1501
result/tencentBlock.ns22041.oracleGeneral.zst clock2 cache size      255, 1807091 req, miss ratio 0.5042, byte miss ratio 0.5042
result/tencentBlock.ns22041.oracleGeneral.zst clock2 cache size      765, 1807091 req, miss ratio 0.4924, byte miss ratio 0.4924
result/tencentBlock.ns22041.oracleGeneral.zst clock2 cache size     2550, 1807091 req, miss ratio 0.4896, byte miss ratio 0.4896
result/tencentBlock.ns22041.oracleGeneral.zst clock2 cache size     7651, 1807091 req, miss ratio 0.4884, byte miss ratio 0.4884
result/tencentBlock.ns22041.oracleGeneral.zst clock2 cache size    25504, 1807091 req, miss ratio 0.4688, byte miss ratio 0.4688
result/tencentBlock.ns22041.oracleGeneral.zst clock2 cache size    51009, 1807091 req, miss ratio 0.4198, byte miss ratio 0.4198
result/tencentBlock.ns22041.oracleGeneral.zst clock2 cache size   102018, 1807091 req, miss ratio 0.2877, byte miss ratio 0.2877
result/tencentBlock.ns22041.oracleGeneral.zst clock2 cache size   204037, 1807091 req, miss ratio 0.1513, byte miss ratio 0.1513
result/tencentBlock.ns22041.oracleGeneral.zst LHD cache size      255, 1807091 req, miss ratio 0.5026, byte miss ratio 0.5026
result/tencentBlock.ns22041.oracleGeneral.zst LHD cache size      765, 1807091 req, miss ratio 0.4930, byte miss ratio 0.4930
result/tencentBlock.ns22041.oracleGeneral.zst LHD cache size     2550, 1807091 req, miss ratio 0.4894, byte miss ratio 0.4894
result/tencentBlock.ns22041.oracleGeneral.zst LHD cache size     7651, 1807091 req, miss ratio 0.4858, byte miss ratio 0.4858
result/tencentBlock.ns22041.oracleGeneral.zst LHD cache size    25504, 1807091 req, miss ratio 0.4356, byte miss ratio 0.4356
result/tencentBlock.ns22041.oracleGeneral.zst LHD cache size    51009, 1807091 req, miss ratio 0.3807, byte miss ratio 0.3807
result/tencentBlock.ns22041.oracleGeneral.zst LHD cache size   102018, 1807091 req, miss ratio 0.2143, byte miss ratio 0.2143
result/tencentBlock.ns22041.oracleGeneral.zst LHD cache size   204037, 1807091 req, miss ratio 0.1468, byte miss ratio 0.1468
result/tencentBlock.ns22041.oracleGeneral.zst LeCaR cache size      255, 1807091 req, miss ratio 0.5028, byte miss ratio 0.5028
result/tencentBlock.ns22041.oracleGeneral.zst LeCaR cache size      765, 1807091 req, miss ratio 0.4924, byte miss ratio 0.4924
result/tencentBlock.ns22041.oracleGeneral.zst LeCaR cache size     2550, 1807091 req, miss ratio 0.4897, byte miss ratio 0.4897
result/tencentBlock.ns22041.oracleGeneral.zst LeCaR cache size     7651, 1807091 req, miss ratio 0.4885, byte miss ratio 0.4885
result/tencentBlock.ns22041.oracleGeneral.zst LeCaR cache size    25504, 1807091 req, miss ratio 0.4470, byte miss ratio 0.4470
result/tencentBlock.ns22041.oracleGeneral.zst LeCaR cache size    51009, 1807091 req, miss ratio 0.4176, byte miss ratio 0.4176
result/tencentBlock.ns22041.oracleGeneral.zst LeCaR cache size   102018, 1807091 req, miss ratio 0.2149, byte miss ratio 0.2149
result/tencentBlock.ns22041.oracleGeneral.zst LeCaR cache size   204037, 1807091 req, miss ratio 0.1476, byte miss ratio 0.1476
result/tencentBlock.ns22041.oracleGeneral.zst FIFO cache size      255, 1807091 req, miss ratio 0.5689, byte miss ratio 0.5689
result/tencentBlock.ns22041.oracleGeneral.zst FIFO cache size      765, 1807091 req, miss ratio 0.5179, byte miss ratio 0.5179
result/tencentBlock.ns22041.oracleGeneral.zst FIFO cache size     2550, 1807091 req, miss ratio 0.4980, byte miss ratio 0.4980
result/tencentBlock.ns22041.oracleGeneral.zst FIFO cache size     7651, 1807091 req, miss ratio 0.4915, byte miss ratio 0.4915
result/tencentBlock.ns22041.oracleGeneral.zst FIFO cache size    25504, 1807091 req, miss ratio 0.4634, byte miss ratio 0.4634
result/tencentBlock.ns22041.oracleGeneral.zst FIFO cache size    51009, 1807091 req, miss ratio 0.4360, byte miss ratio 0.4360
result/tencentBlock.ns22041.oracleGeneral.zst FIFO cache size   102018, 1807091 req, miss ratio 0.2727, byte miss ratio 0.2727
result/tencentBlock.ns22041.oracleGeneral.zst FIFO cache size   204037, 1807091 req, miss ratio 0.1664, byte miss ratio 0.1664
result/tencentBlock.ns22041.oracleGeneral.zst S3FIFO-1 cache size      255, 1807091 req, miss ratio 0.4999, byte miss ratio 0.4999
result/tencentBlock.ns22041.oracleGeneral.zst S3FIFO-1 cache size      765, 1807091 req, miss ratio 0.4931, byte miss ratio 0.4931
result/tencentBlock.ns22041.oracleGeneral.zst S3FIFO-1 cache size     2550, 1807091 req, miss ratio 0.4901, byte miss ratio 0.4901
result/tencentBlock.ns22041.oracleGeneral.zst S3FIFO-1 cache size     7651, 1807091 req, miss ratio 0.4876, byte miss ratio 0.4876
result/tencentBlock.ns22041.oracleGeneral.zst S3FIFO-1 cache size    25504, 1807091 req, miss ratio 0.4225, byte miss ratio 0.4225
result/tencentBlock.ns22041.oracleGeneral.zst S3FIFO-1 cache size    51009, 1807091 req, miss ratio 0.3769, byte miss ratio 0.3769
result/tencentBlock.ns22041.oracleGeneral.zst S3FIFO-1 cache size   102018, 1807091 req, miss ratio 0.2162, byte miss ratio 0.2162
result/tencentBlock.ns22041.oracleGeneral.zst S3FIFO-1 cache size   204037, 1807091 req, miss ratio 0.1507, byte miss ratio 0.1507
result/tencentBlock.ns22041.oracleGeneral.zst LIRS cache size      255, 1807091 req, miss ratio 0.5454, byte miss ratio 0.5454
result/tencentBlock.ns22041.oracleGeneral.zst LIRS cache size      765, 1807091 req, miss ratio 0.5184, byte miss ratio 0.5184
result/tencentBlock.ns22041.oracleGeneral.zst LIRS cache size     2550, 1807091 req, miss ratio 0.4967, byte miss ratio 0.4967
result/tencentBlock.ns22041.oracleGeneral.zst LIRS cache size     7651, 1807091 req, miss ratio 0.4875, byte miss ratio 0.4875
result/tencentBlock.ns22041.oracleGeneral.zst LIRS cache size    25504, 1807091 req, miss ratio 0.4176, byte miss ratio 0.4176
result/tencentBlock.ns22041.oracleGeneral.zst LIRS cache size    51009, 1807091 req, miss ratio 0.3348, byte miss ratio 0.3348
result/tencentBlock.ns22041.oracleGeneral.zst LIRS cache size   102018, 1807091 req, miss ratio 0.2077, byte miss ratio 0.2077
result/tencentBlock.ns22041.oracleGeneral.zst LIRS cache size   204037, 1807091 req, miss ratio 0.1430, byte miss ratio 0.1430
result/tencentBlock.ns22041.oracleGeneral.zst Clock cache size      255, 1807091 req, miss ratio 0.5058, byte miss ratio 0.5058
