result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LeCaR cache size   274604, 671148881 req, miss ratio 0.0005, byte miss ratio 0.0005
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LHD cache size      343, 671148881 req, miss ratio 0.0242, byte miss ratio 0.0242
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LHD cache size     1029, 671148881 req, miss ratio 0.0216, byte miss ratio 0.0216
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LHD cache size     3432, 671148881 req, miss ratio 0.0156, byte miss ratio 0.0156
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LHD cache size    10297, 671148881 req, miss ratio 0.0082, byte miss ratio 0.0082
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LHD cache size    34325, 671148881 req, miss ratio 0.0034, byte miss ratio 0.0034
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LHD cache size    68651, 671148881 req, miss ratio 0.0020, byte miss ratio 0.0020
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LHD cache size   137302, 671148881 req, miss ratio 0.0011, byte miss ratio 0.0011
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LHD cache size   274604, 671148881 req, miss ratio 0.0006, byte miss ratio 0.0006
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst clock2 cache size      343, 671148881 req, miss ratio 0.0304, byte miss ratio 0.0304
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst clock2 cache size     1029, 671148881 req, miss ratio 0.0225, byte miss ratio 0.0225
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst clock2 cache size     3432, 671148881 req, miss ratio 0.0159, byte miss ratio 0.0159
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst clock2 cache size    10297, 671148881 req, miss ratio 0.0083, byte miss ratio 0.0083
