result/io_traces.ns66.oracleGeneral.zst FIFO cache size    14636, 39200000 req, miss ratio 0.1979, byte miss ratio 0.1979
result/io_traces.ns66.oracleGeneral.zst FIFO cache size    43910, 39200000 req, miss ratio 0.1466, byte miss ratio 0.1466
result/io_traces.ns66.oracleGeneral.zst FIFO cache size   146368, 39200000 req, miss ratio 0.0836, byte miss ratio 0.0836
result/io_traces.ns66.oracleGeneral.zst FIFO cache size   292737, 39200000 req, miss ratio 0.0637, byte miss ratio 0.0637
result/io_traces.ns66.oracleGeneral.zst FIFO cache size   585474, 39200000 req, miss ratio 0.0527, byte miss ratio 0.0527
result/io_traces.ns66.oracleGeneral.zst FIFO cache size  1170949, 39200000 req, miss ratio 0.0414, byte miss ratio 0.0414
result/io_traces.ns66.oracleGeneral.zst S3FIFO-1 cache size     1463, 39200000 req, miss ratio 0.2216, byte miss ratio 0.2216
result/io_traces.ns66.oracleGeneral.zst S3FIFO-1 cache size     4391, 39200000 req, miss ratio 0.1989, byte miss ratio 0.1989
result/io_traces.ns66.oracleGeneral.zst S3FIFO-1 cache size    14636, 39200000 req, miss ratio 0.1793, byte miss ratio 0.1793
result/io_traces.ns66.oracleGeneral.zst S3FIFO-1 cache size    43910, 39200000 req, miss ratio 0.1469, byte miss ratio 0.1469
result/io_traces.ns66.oracleGeneral.zst S3FIFO-1 cache size   146368, 39200000 req, miss ratio 0.0885, byte miss ratio 0.0885
result/io_traces.ns66.oracleGeneral.zst S3FIFO-1 cache size   292737, 39200000 req, miss ratio 0.0603, byte miss ratio 0.0603
result/io_traces.ns66.oracleGeneral.zst S3FIFO-1 cache size   585474, 39200000 req, miss ratio 0.0505, byte miss ratio 0.0505
result/io_traces.ns66.oracleGeneral.zst S3FIFO-1 cache size  1170949, 39200000 req, miss ratio 0.0400, byte miss ratio 0.0400
result/io_traces.ns66.oracleGeneral.zst Cacheus cache size     1463, 39200000 req, miss ratio 0.2323, byte miss ratio 0.2323
result/io_traces.ns66.oracleGeneral.zst Cacheus cache size     4391, 39200000 req, miss ratio 0.2044, byte miss ratio 0.2044
result/io_traces.ns66.oracleGeneral.zst Cacheus cache size    14636, 39200000 req, miss ratio 0.1818, byte miss ratio 0.1818
result/io_traces.ns66.oracleGeneral.zst Cacheus cache size    43910, 39200000 req, miss ratio 0.1442, byte miss ratio 0.1442
result/io_traces.ns66.oracleGeneral.zst Cacheus cache size   146368, 39200000 req, miss ratio 0.0733, byte miss ratio 0.0733
result/io_traces.ns66.oracleGeneral.zst Cacheus cache size   292737, 39200000 req, miss ratio 0.0559, byte miss ratio 0.0559
result/io_traces.ns66.oracleGeneral.zst Cacheus cache size   585474, 39200000 req, miss ratio 0.0575, byte miss ratio 0.0575
result/io_traces.ns66.oracleGeneral.zst Cacheus cache size  1170949, 39200000 req, miss ratio 0.0406, byte miss ratio 0.0406
result/io_traces.ns66.oracleGeneral.zst LHD cache size     1463, 39200000 req, miss ratio 0.2247, byte miss ratio 0.2247
result/io_traces.ns66.oracleGeneral.zst LHD cache size     4391, 39200000 req, miss ratio 0.1975, byte miss ratio 0.1975
result/io_traces.ns66.oracleGeneral.zst LHD cache size    14636, 39200000 req, miss ratio 0.1718, byte miss ratio 0.1718
result/io_traces.ns66.oracleGeneral.zst LHD cache size    43910, 39200000 req, miss ratio 0.1252, byte miss ratio 0.1252
result/io_traces.ns66.oracleGeneral.zst LHD cache size   146368, 39200000 req, miss ratio 0.0724, byte miss ratio 0.0724
result/io_traces.ns66.oracleGeneral.zst LHD cache size   292737, 39200000 req, miss ratio 0.0558, byte miss ratio 0.0558
result/io_traces.ns66.oracleGeneral.zst LHD cache size   585474, 39200000 req, miss ratio 0.0466, byte miss ratio 0.0466
result/io_traces.ns66.oracleGeneral.zst LHD cache size  1170949, 39200000 req, miss ratio 0.0392, byte miss ratio 0.0392
result/io_traces.ns66.oracleGeneral.zst S3FIFO-d-1 cache size     1463, 39200000 req, miss ratio 0.2220, byte miss ratio 0.2220
result/io_traces.ns66.oracleGeneral.zst S3FIFO-d-1 cache size     4391, 39200000 req, miss ratio 0.1991, byte miss ratio 0.1991
result/io_traces.ns66.oracleGeneral.zst S3FIFO-d-1 cache size    14636, 39200000 req, miss ratio 0.1791, byte miss ratio 0.1791
result/io_traces.ns66.oracleGeneral.zst S3FIFO-d-1 cache size    43910, 39200000 req, miss ratio 0.1443, byte miss ratio 0.1443
result/io_traces.ns66.oracleGeneral.zst S3FIFO-d-1 cache size   146368, 39200000 req, miss ratio 0.0791, byte miss ratio 0.0791
result/io_traces.ns66.oracleGeneral.zst S3FIFO-d-1 cache size   292737, 39200000 req, miss ratio 0.0565, byte miss ratio 0.0565
result/io_traces.ns66.oracleGeneral.zst S3FIFO-d-1 cache size   585474, 39200000 req, miss ratio 0.0498, byte miss ratio 0.0498
result/io_traces.ns66.oracleGeneral.zst S3FIFO-d-1 cache size  1170949, 39200000 req, miss ratio 0.0409, byte miss ratio 0.0409
result/io_traces.ns66.oracleGeneral.zst LRB cache size     1463, 39200000 req, miss ratio 0.2650, byte miss ratio 0.2650
result/io_traces.ns66.oracleGeneral.zst LRB cache size     4391, 39200000 req, miss ratio 0.2066, byte miss ratio 0.2066
result/io_traces.ns66.oracleGeneral.zst LRB cache size    14636, 39200000 req, miss ratio 0.1719, byte miss ratio 0.1719
result/io_traces.ns66.oracleGeneral.zst LRB cache size    43910, 39200000 req, miss ratio 0.1363, byte miss ratio 0.1363
result/io_traces.ns66.oracleGeneral.zst LRB cache size   146368, 39200000 req, miss ratio 0.0803, byte miss ratio 0.0803
result/io_traces.ns66.oracleGeneral.zst LRB cache size   292737, 39200000 req, miss ratio 0.0611, byte miss ratio 0.0611
result/io_traces.ns66.oracleGeneral.zst LRB cache size   585474, 39200000 req, miss ratio 0.0485, byte miss ratio 0.0485
result/io_traces.ns66.oracleGeneral.zst LRB cache size  1170949, 39200000 req, miss ratio 0.0400, byte miss ratio 0.0400
result/io_traces.ns66.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1463, 39200000 req, miss ratio 0.2610, byte miss ratio 0.2610
result/io_traces.ns66.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4391, 39200000 req, miss ratio 0.2300, byte miss ratio 0.2300
result/io_traces.ns66.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14636, 39200000 req, miss ratio 0.1986, byte miss ratio 0.1986
result/io_traces.ns66.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    43910, 39200000 req, miss ratio 0.1664, byte miss ratio 0.1664
