result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst Cacheus cache size     9229, 171305316 req, miss ratio 0.1369, byte miss ratio 0.1369
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst Cacheus cache size    27688, 171305316 req, miss ratio 0.0840, byte miss ratio 0.0840
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst Cacheus cache size    92294, 171305316 req, miss ratio 0.0392, byte miss ratio 0.0392
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst Cacheus cache size   184588, 171305316 req, miss ratio 0.0237, byte miss ratio 0.0237
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst Cacheus cache size   369177, 171305316 req, miss ratio 0.0112, byte miss ratio 0.0112
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst Cacheus cache size   738354, 171305316 req, miss ratio 0.0055, byte miss ratio 0.0055
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LHD cache size      922, 171305316 req, miss ratio 0.3208, byte miss ratio 0.3208
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LHD cache size     2768, 171305316 req, miss ratio 0.2289, byte miss ratio 0.2289
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LHD cache size     9229, 171305316 req, miss ratio 0.1360, byte miss ratio 0.1360
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LHD cache size    27688, 171305316 req, miss ratio 0.0776, byte miss ratio 0.0776
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LHD cache size    92294, 171305316 req, miss ratio 0.0373, byte miss ratio 0.0373
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LHD cache size   184588, 171305316 req, miss ratio 0.0227, byte miss ratio 0.0227
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LHD cache size   369177, 171305316 req, miss ratio 0.0110, byte miss ratio 0.0110
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LHD cache size   738354, 171305316 req, miss ratio 0.0056, byte miss ratio 0.0056
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size      922, 171305316 req, miss ratio 0.3194, byte miss ratio 0.3194
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     2768, 171305316 req, miss ratio 0.2308, byte miss ratio 0.2308
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     9229, 171305316 req, miss ratio 0.1337, byte miss ratio 0.1337
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    27688, 171305316 req, miss ratio 0.0756, byte miss ratio 0.0756
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    92294, 171305316 req, miss ratio 0.0357, byte miss ratio 0.0357
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   184588, 171305316 req, miss ratio 0.0207, byte miss ratio 0.0207
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   369177, 171305316 req, miss ratio 0.0101, byte miss ratio 0.0101
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   738354, 171305316 req, miss ratio 0.0062, byte miss ratio 0.0062
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst FIFO cache size      922, 171305316 req, miss ratio 0.3358, byte miss ratio 0.3358
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst FIFO cache size     2768, 171305316 req, miss ratio 0.2639, byte miss ratio 0.2639
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst FIFO cache size     9229, 171305316 req, miss ratio 0.1585, byte miss ratio 0.1585
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst FIFO cache size    27688, 171305316 req, miss ratio 0.0914, byte miss ratio 0.0914
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst FIFO cache size    92294, 171305316 req, miss ratio 0.0460, byte miss ratio 0.0460
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst FIFO cache size   184588, 171305316 req, miss ratio 0.0287, byte miss ratio 0.0287
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst FIFO cache size   369177, 171305316 req, miss ratio 0.0146, byte miss ratio 0.0146
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst FIFO cache size   738354, 171305316 req, miss ratio 0.0070, byte miss ratio 0.0070
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst Clock cache size      922, 171305316 req, miss ratio 0.3286, byte miss ratio 0.3286
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst Clock cache size     2768, 171305316 req, miss ratio 0.2537, byte miss ratio 0.2537
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst Clock cache size     9229, 171305316 req, miss ratio 0.1402, byte miss ratio 0.1402
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst Clock cache size    27688, 171305316 req, miss ratio 0.0801, byte miss ratio 0.0801
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst Clock cache size    92294, 171305316 req, miss ratio 0.0388, byte miss ratio 0.0388
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst Clock cache size   184588, 171305316 req, miss ratio 0.0237, byte miss ratio 0.0237
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst Clock cache size   369177, 171305316 req, miss ratio 0.0117, byte miss ratio 0.0117
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst Clock cache size   738354, 171305316 req, miss ratio 0.0062, byte miss ratio 0.0062
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      922, 171305316 req, miss ratio 0.3220, byte miss ratio 0.3220
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     2768, 171305316 req, miss ratio 0.2351, byte miss ratio 0.2351
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     9229, 171305316 req, miss ratio 0.1422, byte miss ratio 0.1422
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    27688, 171305316 req, miss ratio 0.0809, byte miss ratio 0.0809
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    92294, 171305316 req, miss ratio 0.0372, byte miss ratio 0.0372
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   184588, 171305316 req, miss ratio 0.0214, byte miss ratio 0.0214
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   369177, 171305316 req, miss ratio 0.0102, byte miss ratio 0.0102
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   738354, 171305316 req, miss ratio 0.0062, byte miss ratio 0.0062
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LRB cache size      922, 171305316 req, miss ratio 0.3032, byte miss ratio 0.3032
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LRB cache size     2768, 171305316 req, miss ratio 0.2270, byte miss ratio 0.2270
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LRB cache size     9229, 171305316 req, miss ratio 0.1393, byte miss ratio 0.1393
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LRB cache size    27688, 171305316 req, miss ratio 0.0767, byte miss ratio 0.0767
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LRB cache size    92294, 171305316 req, miss ratio 0.0359, byte miss ratio 0.0359
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LRB cache size   184588, 171305316 req, miss ratio 0.0197, byte miss ratio 0.0197
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LRB cache size   369177, 171305316 req, miss ratio 0.0090, byte miss ratio 0.0090
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LRB cache size   738354, 171305316 req, miss ratio 0.0056, byte miss ratio 0.0056
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      922, 171305316 req, miss ratio 0.3275, byte miss ratio 0.3275
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     2768, 171305316 req, miss ratio 0.2570, byte miss ratio 0.2570
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     9229, 171305316 req, miss ratio 0.1487, byte miss ratio 0.1487
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    27688, 171305316 req, miss ratio 0.0859, byte miss ratio 0.0859
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    92294, 171305316 req, miss ratio 0.0408, byte miss ratio 0.0408
