result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LeCaR cache size    30214, 29422879 req, miss ratio 0.3483, byte miss ratio 0.3483
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LeCaR cache size   100716, 29422879 req, miss ratio 0.1845, byte miss ratio 0.1845
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LeCaR cache size   201432, 29422879 req, miss ratio 0.1071, byte miss ratio 0.1071
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LeCaR cache size   402864, 29422879 req, miss ratio 0.0544, byte miss ratio 0.0544
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LeCaR cache size   805728, 29422879 req, miss ratio 0.0352, byte miss ratio 0.0352
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst Cacheus cache size     1007, 29422879 req, miss ratio 0.8280, byte miss ratio 0.8280
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst Cacheus cache size     3021, 29422879 req, miss ratio 0.7167, byte miss ratio 0.7167
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst Cacheus cache size    10071, 29422879 req, miss ratio 0.5161, byte miss ratio 0.5161
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst Cacheus cache size    30214, 29422879 req, miss ratio 0.3597, byte miss ratio 0.3597
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst Cacheus cache size   100716, 29422879 req, miss ratio 0.1859, byte miss ratio 0.1859
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst Cacheus cache size   201432, 29422879 req, miss ratio 0.1122, byte miss ratio 0.1122
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst Cacheus cache size   402864, 29422879 req, miss ratio 0.0561, byte miss ratio 0.0561
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst Cacheus cache size   805728, 29422879 req, miss ratio 0.0359, byte miss ratio 0.0359
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LHD cache size     1007, 29422879 req, miss ratio 0.8424, byte miss ratio 0.8424
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LHD cache size     3021, 29422879 req, miss ratio 0.7380, byte miss ratio 0.7380
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LHD cache size    10071, 29422879 req, miss ratio 0.5296, byte miss ratio 0.5296
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LHD cache size    30214, 29422879 req, miss ratio 0.3464, byte miss ratio 0.3464
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LHD cache size   100716, 29422879 req, miss ratio 0.1862, byte miss ratio 0.1862
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LHD cache size   201432, 29422879 req, miss ratio 0.1098, byte miss ratio 0.1098
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LHD cache size   402864, 29422879 req, miss ratio 0.0563, byte miss ratio 0.0563
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LHD cache size   805728, 29422879 req, miss ratio 0.0356, byte miss ratio 0.0356
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst ARC cache size     1007, 29422879 req, miss ratio 0.8259, byte miss ratio 0.8259
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst ARC cache size     3021, 29422879 req, miss ratio 0.7053, byte miss ratio 0.7053
