result/tencentBlock.ns10742.oracleGeneral.zst FIFO cache size       66, 6142123 req, miss ratio 0.7496, byte miss ratio 0.7496
result/tencentBlock.ns10742.oracleGeneral.zst FIFO cache size      198, 6142123 req, miss ratio 0.6335, byte miss ratio 0.6335
result/tencentBlock.ns10742.oracleGeneral.zst FIFO cache size      663, 6142123 req, miss ratio 0.1337, byte miss ratio 0.1337
result/tencentBlock.ns10742.oracleGeneral.zst FIFO cache size     1989, 6142123 req, miss ratio 0.0635, byte miss ratio 0.0635
result/tencentBlock.ns10742.oracleGeneral.zst FIFO cache size     6630, 6142123 req, miss ratio 0.0498, byte miss ratio 0.0498
result/tencentBlock.ns10742.oracleGeneral.zst FIFO cache size    13260, 6142123 req, miss ratio 0.0387, byte miss ratio 0.0387
result/tencentBlock.ns10742.oracleGeneral.zst FIFO cache size    26521, 6142123 req, miss ratio 0.0233, byte miss ratio 0.0233
result/tencentBlock.ns10742.oracleGeneral.zst FIFO cache size    53042, 6142123 req, miss ratio 0.0154, byte miss ratio 0.0154
result/tencentBlock.ns10742.oracleGeneral.zst LHD cache size       66, 6142123 req, miss ratio 0.6691, byte miss ratio 0.6691
result/tencentBlock.ns10742.oracleGeneral.zst LHD cache size      198, 6142123 req, miss ratio 0.3869, byte miss ratio 0.3869
result/tencentBlock.ns10742.oracleGeneral.zst LHD cache size      663, 6142123 req, miss ratio 0.0738, byte miss ratio 0.0738
result/tencentBlock.ns10742.oracleGeneral.zst LHD cache size     1989, 6142123 req, miss ratio 0.0517, byte miss ratio 0.0517
result/tencentBlock.ns10742.oracleGeneral.zst LHD cache size     6630, 6142123 req, miss ratio 0.0421, byte miss ratio 0.0421
result/tencentBlock.ns10742.oracleGeneral.zst LHD cache size    13260, 6142123 req, miss ratio 0.0327, byte miss ratio 0.0327
result/tencentBlock.ns10742.oracleGeneral.zst LHD cache size    26521, 6142123 req, miss ratio 0.0200, byte miss ratio 0.0200
result/tencentBlock.ns10742.oracleGeneral.zst LHD cache size    53042, 6142123 req, miss ratio 0.0116, byte miss ratio 0.0116
result/tencentBlock.ns10742.oracleGeneral.zst LIRS cache size       66, 6142123 req, miss ratio 0.6037, byte miss ratio 0.6037
result/tencentBlock.ns10742.oracleGeneral.zst LIRS cache size      198, 6142123 req, miss ratio 0.3237, byte miss ratio 0.3237
result/tencentBlock.ns10742.oracleGeneral.zst LIRS cache size      663, 6142123 req, miss ratio 0.0682, byte miss ratio 0.0682
