result/tencentBlock.ns9951.oracleGeneral.zst FIFO cache size      698, 4043845 req, miss ratio 0.3386, byte miss ratio 0.3386
result/tencentBlock.ns9951.oracleGeneral.zst FIFO cache size     2094, 4043845 req, miss ratio 0.3226, byte miss ratio 0.3226
result/tencentBlock.ns9951.oracleGeneral.zst FIFO cache size     6980, 4043845 req, miss ratio 0.3147, byte miss ratio 0.3147
result/tencentBlock.ns9951.oracleGeneral.zst FIFO cache size    20940, 4043845 req, miss ratio 0.3111, byte miss ratio 0.3111
result/tencentBlock.ns9951.oracleGeneral.zst FIFO cache size    69800, 4043845 req, miss ratio 0.2816, byte miss ratio 0.2816
result/tencentBlock.ns9951.oracleGeneral.zst FIFO cache size   139601, 4043845 req, miss ratio 0.2327, byte miss ratio 0.2327
result/tencentBlock.ns9951.oracleGeneral.zst FIFO cache size   279203, 4043845 req, miss ratio 0.2030, byte miss ratio 0.2030
result/tencentBlock.ns9951.oracleGeneral.zst FIFO cache size   558406, 4043845 req, miss ratio 0.1849, byte miss ratio 0.1849
result/tencentBlock.ns9951.oracleGeneral.zst ARC cache size      698, 4043845 req, miss ratio 0.3141, byte miss ratio 0.3141
result/tencentBlock.ns9951.oracleGeneral.zst ARC cache size     2094, 4043845 req, miss ratio 0.3120, byte miss ratio 0.3120
result/tencentBlock.ns9951.oracleGeneral.zst ARC cache size     6980, 4043845 req, miss ratio 0.3102, byte miss ratio 0.3102
result/tencentBlock.ns9951.oracleGeneral.zst ARC cache size    20940, 4043845 req, miss ratio 0.3095, byte miss ratio 0.3095
result/tencentBlock.ns9951.oracleGeneral.zst ARC cache size    69800, 4043845 req, miss ratio 0.2517, byte miss ratio 0.2517
result/tencentBlock.ns9951.oracleGeneral.zst ARC cache size   139601, 4043845 req, miss ratio 0.1836, byte miss ratio 0.1836
result/tencentBlock.ns9951.oracleGeneral.zst ARC cache size   279203, 4043845 req, miss ratio 0.1781, byte miss ratio 0.1781
result/tencentBlock.ns9951.oracleGeneral.zst ARC cache size   558406, 4043845 req, miss ratio 0.1727, byte miss ratio 0.1727
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-1 cache size      698, 4043845 req, miss ratio 0.3137, byte miss ratio 0.3137
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-1 cache size     2094, 4043845 req, miss ratio 0.3115, byte miss ratio 0.3115
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-1 cache size     6980, 4043845 req, miss ratio 0.3099, byte miss ratio 0.3099
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-1 cache size    20940, 4043845 req, miss ratio 0.2989, byte miss ratio 0.2989
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-1 cache size    69800, 4043845 req, miss ratio 0.2506, byte miss ratio 0.2506
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-1 cache size   139601, 4043845 req, miss ratio 0.1837, byte miss ratio 0.1837
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-1 cache size   279203, 4043845 req, miss ratio 0.1781, byte miss ratio 0.1781
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-1 cache size   558406, 4043845 req, miss ratio 0.1727, byte miss ratio 0.1727
result/tencentBlock.ns9951.oracleGeneral.zst Cacheus cache size      698, 4043845 req, miss ratio 0.3160, byte miss ratio 0.3160
result/tencentBlock.ns9951.oracleGeneral.zst Cacheus cache size     2094, 4043845 req, miss ratio 0.3120, byte miss ratio 0.3120
result/tencentBlock.ns9951.oracleGeneral.zst Cacheus cache size     6980, 4043845 req, miss ratio 0.3103, byte miss ratio 0.3103
result/tencentBlock.ns9951.oracleGeneral.zst Cacheus cache size    20940, 4043845 req, miss ratio 0.3035, byte miss ratio 0.3035
result/tencentBlock.ns9951.oracleGeneral.zst Cacheus cache size    69800, 4043845 req, miss ratio 0.2160, byte miss ratio 0.2160
result/tencentBlock.ns9951.oracleGeneral.zst Cacheus cache size   139601, 4043845 req, miss ratio 0.1921, byte miss ratio 0.1921
result/tencentBlock.ns9951.oracleGeneral.zst Cacheus cache size   279203, 4043845 req, miss ratio 0.1780, byte miss ratio 0.1780
result/tencentBlock.ns9951.oracleGeneral.zst Cacheus cache size   558406, 4043845 req, miss ratio 0.1767, byte miss ratio 0.1767
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-d-1 cache size      698, 4043845 req, miss ratio 0.3134, byte miss ratio 0.3134
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-d-1 cache size     2094, 4043845 req, miss ratio 0.3115, byte miss ratio 0.3115
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-d-1 cache size     6980, 4043845 req, miss ratio 0.3099, byte miss ratio 0.3099
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-d-1 cache size    20940, 4043845 req, miss ratio 0.2989, byte miss ratio 0.2989
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-d-1 cache size    69800, 4043845 req, miss ratio 0.2506, byte miss ratio 0.2506
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-d-1 cache size   139601, 4043845 req, miss ratio 0.1837, byte miss ratio 0.1837
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-d-1 cache size   279203, 4043845 req, miss ratio 0.1781, byte miss ratio 0.1781
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-d-1 cache size   558406, 4043845 req, miss ratio 0.1727, byte miss ratio 0.1727
