result/tencentBlock.ns5262.oracleGeneral.zst FIFO cache size      180, 4026616 req, miss ratio 0.4718, byte miss ratio 0.4718
result/tencentBlock.ns5262.oracleGeneral.zst FIFO cache size      542, 4026616 req, miss ratio 0.3985, byte miss ratio 0.3985
result/tencentBlock.ns5262.oracleGeneral.zst FIFO cache size     1808, 4026616 req, miss ratio 0.3569, byte miss ratio 0.3569
result/tencentBlock.ns5262.oracleGeneral.zst FIFO cache size     5426, 4026616 req, miss ratio 0.3369, byte miss ratio 0.3369
result/tencentBlock.ns5262.oracleGeneral.zst FIFO cache size    18089, 4026616 req, miss ratio 0.2728, byte miss ratio 0.2728
result/tencentBlock.ns5262.oracleGeneral.zst FIFO cache size    36178, 4026616 req, miss ratio 0.2105, byte miss ratio 0.2105
result/tencentBlock.ns5262.oracleGeneral.zst FIFO cache size    72357, 4026616 req, miss ratio 0.1269, byte miss ratio 0.1269
result/tencentBlock.ns5262.oracleGeneral.zst FIFO cache size   144714, 4026616 req, miss ratio 0.0600, byte miss ratio 0.0600
result/tencentBlock.ns5262.oracleGeneral.zst LHD cache size      180, 4026616 req, miss ratio 0.3937, byte miss ratio 0.3937
result/tencentBlock.ns5262.oracleGeneral.zst LHD cache size      542, 4026616 req, miss ratio 0.3584, byte miss ratio 0.3584
result/tencentBlock.ns5262.oracleGeneral.zst LHD cache size     1808, 4026616 req, miss ratio 0.3345, byte miss ratio 0.3345
result/tencentBlock.ns5262.oracleGeneral.zst LHD cache size     5426, 4026616 req, miss ratio 0.3176, byte miss ratio 0.3176
result/tencentBlock.ns5262.oracleGeneral.zst LHD cache size    18089, 4026616 req, miss ratio 0.2577, byte miss ratio 0.2577
result/tencentBlock.ns5262.oracleGeneral.zst LHD cache size    36178, 4026616 req, miss ratio 0.1667, byte miss ratio 0.1667
result/tencentBlock.ns5262.oracleGeneral.zst LHD cache size    72357, 4026616 req, miss ratio 0.0856, byte miss ratio 0.0856
result/tencentBlock.ns5262.oracleGeneral.zst LHD cache size   144714, 4026616 req, miss ratio 0.0475, byte miss ratio 0.0475
result/tencentBlock.ns5262.oracleGeneral.zst LeCaR cache size      180, 4026616 req, miss ratio 0.4036, byte miss ratio 0.4036
result/tencentBlock.ns5262.oracleGeneral.zst LeCaR cache size      542, 4026616 req, miss ratio 0.3575, byte miss ratio 0.3575
