result/tencentBlock.ns11301.oracleGeneral.zst ARC cache size      149, 9092222 req, miss ratio 0.8253, byte miss ratio 0.8253
result/tencentBlock.ns11301.oracleGeneral.zst ARC cache size      447, 9092222 req, miss ratio 0.8026, byte miss ratio 0.8026
result/tencentBlock.ns11301.oracleGeneral.zst ARC cache size     1491, 9092222 req, miss ratio 0.7843, byte miss ratio 0.7843
result/tencentBlock.ns11301.oracleGeneral.zst ARC cache size     4473, 9092222 req, miss ratio 0.7760, byte miss ratio 0.7760
result/tencentBlock.ns11301.oracleGeneral.zst ARC cache size    14911, 9092222 req, miss ratio 0.5034, byte miss ratio 0.5034
result/tencentBlock.ns11301.oracleGeneral.zst ARC cache size    29822, 9092222 req, miss ratio 0.0701, byte miss ratio 0.0701
result/tencentBlock.ns11301.oracleGeneral.zst ARC cache size    59644, 9092222 req, miss ratio 0.0587, byte miss ratio 0.0587
result/tencentBlock.ns11301.oracleGeneral.zst ARC cache size   119288, 9092222 req, miss ratio 0.0174, byte miss ratio 0.0174
result/tencentBlock.ns11301.oracleGeneral.zst LRU cache size      149, 9092222 req, miss ratio 0.8398, byte miss ratio 0.8398
result/tencentBlock.ns11301.oracleGeneral.zst LRU cache size      447, 9092222 req, miss ratio 0.8137, byte miss ratio 0.8137
result/tencentBlock.ns11301.oracleGeneral.zst LRU cache size     1491, 9092222 req, miss ratio 0.8044, byte miss ratio 0.8044
result/tencentBlock.ns11301.oracleGeneral.zst LRU cache size     4473, 9092222 req, miss ratio 0.8004, byte miss ratio 0.8004
result/tencentBlock.ns11301.oracleGeneral.zst LRU cache size    14911, 9092222 req, miss ratio 0.6528, byte miss ratio 0.6528
result/tencentBlock.ns11301.oracleGeneral.zst LRU cache size    29822, 9092222 req, miss ratio 0.1155, byte miss ratio 0.1155
result/tencentBlock.ns11301.oracleGeneral.zst LRU cache size    59644, 9092222 req, miss ratio 0.0592, byte miss ratio 0.0592
result/tencentBlock.ns11301.oracleGeneral.zst LRU cache size   119288, 9092222 req, miss ratio 0.0175, byte miss ratio 0.0175
result/tencentBlock.ns11301.oracleGeneral.zst LeCaR cache size      149, 9092222 req, miss ratio 0.8352, byte miss ratio 0.8352
result/tencentBlock.ns11301.oracleGeneral.zst LeCaR cache size      447, 9092222 req, miss ratio 0.8111, byte miss ratio 0.8111
result/tencentBlock.ns11301.oracleGeneral.zst LeCaR cache size     1491, 9092222 req, miss ratio 0.8030, byte miss ratio 0.8030
result/tencentBlock.ns11301.oracleGeneral.zst LeCaR cache size     4473, 9092222 req, miss ratio 0.7983, byte miss ratio 0.7983
result/tencentBlock.ns11301.oracleGeneral.zst LeCaR cache size    14911, 9092222 req, miss ratio 0.5601, byte miss ratio 0.5601
result/tencentBlock.ns11301.oracleGeneral.zst LeCaR cache size    29822, 9092222 req, miss ratio 0.0760, byte miss ratio 0.0760
result/tencentBlock.ns11301.oracleGeneral.zst LeCaR cache size    59644, 9092222 req, miss ratio 0.0550, byte miss ratio 0.0550
result/tencentBlock.ns11301.oracleGeneral.zst LeCaR cache size   119288, 9092222 req, miss ratio 0.0175, byte miss ratio 0.0175
result/tencentBlock.ns11301.oracleGeneral.zst S3FIFO-1 cache size      149, 9092222 req, miss ratio 0.8266, byte miss ratio 0.8266
result/tencentBlock.ns11301.oracleGeneral.zst S3FIFO-1 cache size      447, 9092222 req, miss ratio 0.8025, byte miss ratio 0.8025
result/tencentBlock.ns11301.oracleGeneral.zst S3FIFO-1 cache size     1491, 9092222 req, miss ratio 0.7840, byte miss ratio 0.7840
result/tencentBlock.ns11301.oracleGeneral.zst S3FIFO-1 cache size     4473, 9092222 req, miss ratio 0.6934, byte miss ratio 0.6934
result/tencentBlock.ns11301.oracleGeneral.zst S3FIFO-1 cache size    14911, 9092222 req, miss ratio 0.4774, byte miss ratio 0.4774
result/tencentBlock.ns11301.oracleGeneral.zst S3FIFO-1 cache size    29822, 9092222 req, miss ratio 0.0721, byte miss ratio 0.0721
result/tencentBlock.ns11301.oracleGeneral.zst S3FIFO-1 cache size    59644, 9092222 req, miss ratio 0.0540, byte miss ratio 0.0540
result/tencentBlock.ns11301.oracleGeneral.zst S3FIFO-1 cache size   119288, 9092222 req, miss ratio 0.0177, byte miss ratio 0.0177
result/tencentBlock.ns11301.oracleGeneral.zst LHD cache size      149, 9092222 req, miss ratio 0.8416, byte miss ratio 0.8416
result/tencentBlock.ns11301.oracleGeneral.zst LHD cache size      447, 9092222 req, miss ratio 0.8143, byte miss ratio 0.8143
result/tencentBlock.ns11301.oracleGeneral.zst LHD cache size     1491, 9092222 req, miss ratio 0.7862, byte miss ratio 0.7862
result/tencentBlock.ns11301.oracleGeneral.zst LHD cache size     4473, 9092222 req, miss ratio 0.7253, byte miss ratio 0.7253
result/tencentBlock.ns11301.oracleGeneral.zst LHD cache size    14911, 9092222 req, miss ratio 0.4691, byte miss ratio 0.4691
result/tencentBlock.ns11301.oracleGeneral.zst LHD cache size    29822, 9092222 req, miss ratio 0.0862, byte miss ratio 0.0862
result/tencentBlock.ns11301.oracleGeneral.zst LHD cache size    59644, 9092222 req, miss ratio 0.0502, byte miss ratio 0.0502
result/tencentBlock.ns11301.oracleGeneral.zst LHD cache size   119288, 9092222 req, miss ratio 0.0181, byte miss ratio 0.0181
result/tencentBlock.ns11301.oracleGeneral.zst Clock cache size      149, 9092222 req, miss ratio 0.8380, byte miss ratio 0.8380
result/tencentBlock.ns11301.oracleGeneral.zst Clock cache size      447, 9092222 req, miss ratio 0.8129, byte miss ratio 0.8129
result/tencentBlock.ns11301.oracleGeneral.zst Clock cache size     1491, 9092222 req, miss ratio 0.8042, byte miss ratio 0.8042
result/tencentBlock.ns11301.oracleGeneral.zst Clock cache size     4473, 9092222 req, miss ratio 0.8000, byte miss ratio 0.8000
result/tencentBlock.ns11301.oracleGeneral.zst Clock cache size    14911, 9092222 req, miss ratio 0.6527, byte miss ratio 0.6527
result/tencentBlock.ns11301.oracleGeneral.zst Clock cache size    29822, 9092222 req, miss ratio 0.0985, byte miss ratio 0.0985
result/tencentBlock.ns11301.oracleGeneral.zst Clock cache size    59644, 9092222 req, miss ratio 0.0576, byte miss ratio 0.0576
result/tencentBlock.ns11301.oracleGeneral.zst Clock cache size   119288, 9092222 req, miss ratio 0.0180, byte miss ratio 0.0180
result/tencentBlock.ns11301.oracleGeneral.zst clock2 cache size      149, 9092222 req, miss ratio 0.8372, byte miss ratio 0.8372
result/tencentBlock.ns11301.oracleGeneral.zst clock2 cache size      447, 9092222 req, miss ratio 0.8123, byte miss ratio 0.8123
result/tencentBlock.ns11301.oracleGeneral.zst clock2 cache size     1491, 9092222 req, miss ratio 0.8038, byte miss ratio 0.8038
result/tencentBlock.ns11301.oracleGeneral.zst clock2 cache size     4473, 9092222 req, miss ratio 0.7994, byte miss ratio 0.7994
result/tencentBlock.ns11301.oracleGeneral.zst clock2 cache size    14911, 9092222 req, miss ratio 0.6476, byte miss ratio 0.6476
result/tencentBlock.ns11301.oracleGeneral.zst clock2 cache size    29822, 9092222 req, miss ratio 0.0789, byte miss ratio 0.0789
result/tencentBlock.ns11301.oracleGeneral.zst clock2 cache size    59644, 9092222 req, miss ratio 0.0556, byte miss ratio 0.0556
result/tencentBlock.ns11301.oracleGeneral.zst clock2 cache size   119288, 9092222 req, miss ratio 0.0179, byte miss ratio 0.0179
result/tencentBlock.ns11301.oracleGeneral.zst LIRS cache size      149, 9092222 req, miss ratio 0.8251, byte miss ratio 0.8251
result/tencentBlock.ns11301.oracleGeneral.zst LIRS cache size      447, 9092222 req, miss ratio 0.8045, byte miss ratio 0.8045
result/tencentBlock.ns11301.oracleGeneral.zst LIRS cache size     1491, 9092222 req, miss ratio 0.7837, byte miss ratio 0.7837
result/tencentBlock.ns11301.oracleGeneral.zst LIRS cache size     4473, 9092222 req, miss ratio 0.7167, byte miss ratio 0.7167
result/tencentBlock.ns11301.oracleGeneral.zst LIRS cache size    14911, 9092222 req, miss ratio 0.3512, byte miss ratio 0.3512
result/tencentBlock.ns11301.oracleGeneral.zst LIRS cache size    29822, 9092222 req, miss ratio 0.0692, byte miss ratio 0.0692
result/tencentBlock.ns11301.oracleGeneral.zst LIRS cache size    59644, 9092222 req, miss ratio 0.0462, byte miss ratio 0.0462
result/tencentBlock.ns11301.oracleGeneral.zst LIRS cache size   119288, 9092222 req, miss ratio 0.0174, byte miss ratio 0.0174
result/tencentBlock.ns11301.oracleGeneral.zst Cacheus cache size      149, 9092222 req, miss ratio 0.8296, byte miss ratio 0.8296
result/tencentBlock.ns11301.oracleGeneral.zst Cacheus cache size      447, 9092222 req, miss ratio 0.8036, byte miss ratio 0.8036
result/tencentBlock.ns11301.oracleGeneral.zst Cacheus cache size     1491, 9092222 req, miss ratio 0.7896, byte miss ratio 0.7896
result/tencentBlock.ns11301.oracleGeneral.zst Cacheus cache size     4473, 9092222 req, miss ratio 0.7613, byte miss ratio 0.7613
result/tencentBlock.ns11301.oracleGeneral.zst Cacheus cache size    14911, 9092222 req, miss ratio 0.6418, byte miss ratio 0.6418
result/tencentBlock.ns11301.oracleGeneral.zst Cacheus cache size    29822, 9092222 req, miss ratio 0.0744, byte miss ratio 0.0744
result/tencentBlock.ns11301.oracleGeneral.zst Cacheus cache size    59644, 9092222 req, miss ratio 0.0548, byte miss ratio 0.0548
result/tencentBlock.ns11301.oracleGeneral.zst Cacheus cache size   119288, 9092222 req, miss ratio 0.0174, byte miss ratio 0.0174
result/tencentBlock.ns11301.oracleGeneral.zst FIFO cache size      149, 9092222 req, miss ratio 0.8554, byte miss ratio 0.8554
result/tencentBlock.ns11301.oracleGeneral.zst FIFO cache size      447, 9092222 req, miss ratio 0.8226, byte miss ratio 0.8226
result/tencentBlock.ns11301.oracleGeneral.zst FIFO cache size     1491, 9092222 req, miss ratio 0.8076, byte miss ratio 0.8076
