result/blender_adaptive_cache.1.oracleGeneral.sample10.zst Clock cache size   930163, 302534839 req, miss ratio 0.0431, byte miss ratio 0.0431
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst Clock cache size  1860326, 302534839 req, miss ratio 0.0372, byte miss ratio 0.0372
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst Clock cache size  3720653, 302534839 req, miss ratio 0.0332, byte miss ratio 0.0332
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst Clock cache size  7441306, 302534839 req, miss ratio 0.0309, byte miss ratio 0.0309
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LRU cache size     9301, 302534839 req, miss ratio 0.1796, byte miss ratio 0.1796
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LRU cache size    27904, 302534839 req, miss ratio 0.1152, byte miss ratio 0.1152
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LRU cache size    93016, 302534839 req, miss ratio 0.0773, byte miss ratio 0.0773
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LRU cache size   279048, 302534839 req, miss ratio 0.0566, byte miss ratio 0.0566
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LRU cache size   930163, 302534839 req, miss ratio 0.0423, byte miss ratio 0.0423
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LRU cache size  1860326, 302534839 req, miss ratio 0.0364, byte miss ratio 0.0364
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LRU cache size  3720653, 302534839 req, miss ratio 0.0326, byte miss ratio 0.0326
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LRU cache size  7441306, 302534839 req, miss ratio 0.0309, byte miss ratio 0.0309
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LIRS cache size     9301, 302534839 req, miss ratio 0.1729, byte miss ratio 0.1729
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LIRS cache size    27904, 302534839 req, miss ratio 0.1161, byte miss ratio 0.1161
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LIRS cache size    93016, 302534839 req, miss ratio 0.0790, byte miss ratio 0.0790
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LIRS cache size   279048, 302534839 req, miss ratio 0.0580, byte miss ratio 0.0580
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LIRS cache size   930163, 302534839 req, miss ratio 0.0432, byte miss ratio 0.0432
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LIRS cache size  1860326, 302534839 req, miss ratio 0.0372, byte miss ratio 0.0372
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LIRS cache size  3720653, 302534839 req, miss ratio 0.0333, byte miss ratio 0.0333
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LIRS cache size  7441306, 302534839 req, miss ratio 0.0310, byte miss ratio 0.0310
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst clock2 cache size     9301, 302534839 req, miss ratio 0.1725, byte miss ratio 0.1725
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst clock2 cache size    27904, 302534839 req, miss ratio 0.1120, byte miss ratio 0.1120
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst clock2 cache size    93016, 302534839 req, miss ratio 0.0755, byte miss ratio 0.0755
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst clock2 cache size   279048, 302534839 req, miss ratio 0.0556, byte miss ratio 0.0556
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst clock2 cache size   930163, 302534839 req, miss ratio 0.0416, byte miss ratio 0.0416
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst clock2 cache size  1860326, 302534839 req, miss ratio 0.0362, byte miss ratio 0.0362
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst clock2 cache size  3720653, 302534839 req, miss ratio 0.0327, byte miss ratio 0.0327
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst clock2 cache size  7441306, 302534839 req, miss ratio 0.0309, byte miss ratio 0.0309
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LeCaR cache size     9301, 302534839 req, miss ratio 0.1745, byte miss ratio 0.1745
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LeCaR cache size    27904, 302534839 req, miss ratio 0.1127, byte miss ratio 0.1127
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LeCaR cache size    93016, 302534839 req, miss ratio 0.0760, byte miss ratio 0.0760
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LeCaR cache size   279048, 302534839 req, miss ratio 0.0561, byte miss ratio 0.0561
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LeCaR cache size   930163, 302534839 req, miss ratio 0.0422, byte miss ratio 0.0422
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LeCaR cache size  1860326, 302534839 req, miss ratio 0.0364, byte miss ratio 0.0364
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LeCaR cache size  3720653, 302534839 req, miss ratio 0.0327, byte miss ratio 0.0327
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LeCaR cache size  7441306, 302534839 req, miss ratio 0.0309, byte miss ratio 0.0309
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     9301, 302534839 req, miss ratio 0.1626, byte miss ratio 0.1626
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    27904, 302534839 req, miss ratio 0.1072, byte miss ratio 0.1072
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    93016, 302534839 req, miss ratio 0.0722, byte miss ratio 0.0722
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   279048, 302534839 req, miss ratio 0.0538, byte miss ratio 0.0538
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   930163, 302534839 req, miss ratio 0.0407, byte miss ratio 0.0407
