result/tencentBlock.ns6025.oracleGeneral.zst ARC cache size      133, 2930217 req, miss ratio 0.2964, byte miss ratio 0.2964
result/tencentBlock.ns6025.oracleGeneral.zst ARC cache size      400, 2930217 req, miss ratio 0.2454, byte miss ratio 0.2454
result/tencentBlock.ns6025.oracleGeneral.zst ARC cache size     1334, 2930217 req, miss ratio 0.2338, byte miss ratio 0.2338
result/tencentBlock.ns6025.oracleGeneral.zst ARC cache size     4004, 2930217 req, miss ratio 0.2130, byte miss ratio 0.2130
result/tencentBlock.ns6025.oracleGeneral.zst ARC cache size    13347, 2930217 req, miss ratio 0.2031, byte miss ratio 0.2031
result/tencentBlock.ns6025.oracleGeneral.zst ARC cache size    26694, 2930217 req, miss ratio 0.1938, byte miss ratio 0.1938
result/tencentBlock.ns6025.oracleGeneral.zst ARC cache size    53389, 2930217 req, miss ratio 0.1573, byte miss ratio 0.1573
result/tencentBlock.ns6025.oracleGeneral.zst ARC cache size   106779, 2930217 req, miss ratio 0.0490, byte miss ratio 0.0490
result/tencentBlock.ns6025.oracleGeneral.zst LIRS cache size      133, 2930217 req, miss ratio 0.3294, byte miss ratio 0.3294
result/tencentBlock.ns6025.oracleGeneral.zst LIRS cache size      400, 2930217 req, miss ratio 0.2608, byte miss ratio 0.2608
result/tencentBlock.ns6025.oracleGeneral.zst LIRS cache size     1334, 2930217 req, miss ratio 0.2422, byte miss ratio 0.2422
result/tencentBlock.ns6025.oracleGeneral.zst LIRS cache size     4004, 2930217 req, miss ratio 0.2153, byte miss ratio 0.2153
result/tencentBlock.ns6025.oracleGeneral.zst LIRS cache size    13347, 2930217 req, miss ratio 0.2038, byte miss ratio 0.2038
result/tencentBlock.ns6025.oracleGeneral.zst LIRS cache size    26694, 2930217 req, miss ratio 0.1934, byte miss ratio 0.1934
result/tencentBlock.ns6025.oracleGeneral.zst LIRS cache size    53389, 2930217 req, miss ratio 0.1771, byte miss ratio 0.1771
result/tencentBlock.ns6025.oracleGeneral.zst LIRS cache size   106779, 2930217 req, miss ratio 0.0495, byte miss ratio 0.0495
result/tencentBlock.ns6025.oracleGeneral.zst FIFO cache size      133, 2930217 req, miss ratio 0.3943, byte miss ratio 0.3943
result/tencentBlock.ns6025.oracleGeneral.zst FIFO cache size      400, 2930217 req, miss ratio 0.2915, byte miss ratio 0.2915
result/tencentBlock.ns6025.oracleGeneral.zst FIFO cache size     1334, 2930217 req, miss ratio 0.2519, byte miss ratio 0.2519
result/tencentBlock.ns6025.oracleGeneral.zst FIFO cache size     4004, 2930217 req, miss ratio 0.2290, byte miss ratio 0.2290
result/tencentBlock.ns6025.oracleGeneral.zst FIFO cache size    13347, 2930217 req, miss ratio 0.2149, byte miss ratio 0.2149
result/tencentBlock.ns6025.oracleGeneral.zst FIFO cache size    26694, 2930217 req, miss ratio 0.2029, byte miss ratio 0.2029
result/tencentBlock.ns6025.oracleGeneral.zst FIFO cache size    53389, 2930217 req, miss ratio 0.1520, byte miss ratio 0.1520
result/tencentBlock.ns6025.oracleGeneral.zst FIFO cache size   106779, 2930217 req, miss ratio 0.0631, byte miss ratio 0.0631
result/tencentBlock.ns6025.oracleGeneral.zst LHD cache size      133, 2930217 req, miss ratio 0.3557, byte miss ratio 0.3557
result/tencentBlock.ns6025.oracleGeneral.zst LHD cache size      400, 2930217 req, miss ratio 0.2502, byte miss ratio 0.2502
result/tencentBlock.ns6025.oracleGeneral.zst LHD cache size     1334, 2930217 req, miss ratio 0.2355, byte miss ratio 0.2355
result/tencentBlock.ns6025.oracleGeneral.zst LHD cache size     4004, 2930217 req, miss ratio 0.2145, byte miss ratio 0.2145
result/tencentBlock.ns6025.oracleGeneral.zst LHD cache size    13347, 2930217 req, miss ratio 0.1993, byte miss ratio 0.1993
result/tencentBlock.ns6025.oracleGeneral.zst LHD cache size    26694, 2930217 req, miss ratio 0.1800, byte miss ratio 0.1800
result/tencentBlock.ns6025.oracleGeneral.zst LHD cache size    53389, 2930217 req, miss ratio 0.1424, byte miss ratio 0.1424
result/tencentBlock.ns6025.oracleGeneral.zst LHD cache size   106779, 2930217 req, miss ratio 0.0542, byte miss ratio 0.0542
result/tencentBlock.ns6025.oracleGeneral.zst S3FIFO-1 cache size      133, 2930217 req, miss ratio 0.3006, byte miss ratio 0.3006
result/tencentBlock.ns6025.oracleGeneral.zst S3FIFO-1 cache size      400, 2930217 req, miss ratio 0.2456, byte miss ratio 0.2456
result/tencentBlock.ns6025.oracleGeneral.zst S3FIFO-1 cache size     1334, 2930217 req, miss ratio 0.2330, byte miss ratio 0.2330
result/tencentBlock.ns6025.oracleGeneral.zst S3FIFO-1 cache size     4004, 2930217 req, miss ratio 0.2115, byte miss ratio 0.2115
result/tencentBlock.ns6025.oracleGeneral.zst S3FIFO-1 cache size    13347, 2930217 req, miss ratio 0.2015, byte miss ratio 0.2015
result/tencentBlock.ns6025.oracleGeneral.zst S3FIFO-1 cache size    26694, 2930217 req, miss ratio 0.1893, byte miss ratio 0.1893
result/tencentBlock.ns6025.oracleGeneral.zst S3FIFO-1 cache size    53389, 2930217 req, miss ratio 0.1692, byte miss ratio 0.1692
result/tencentBlock.ns6025.oracleGeneral.zst S3FIFO-1 cache size   106779, 2930217 req, miss ratio 0.0500, byte miss ratio 0.0500
result/tencentBlock.ns6025.oracleGeneral.zst Cacheus cache size      133, 2930217 req, miss ratio 0.3033, byte miss ratio 0.3033
result/tencentBlock.ns6025.oracleGeneral.zst Cacheus cache size      400, 2930217 req, miss ratio 0.2453, byte miss ratio 0.2453
result/tencentBlock.ns6025.oracleGeneral.zst Cacheus cache size     1334, 2930217 req, miss ratio 0.2339, byte miss ratio 0.2339
result/tencentBlock.ns6025.oracleGeneral.zst Cacheus cache size     4004, 2930217 req, miss ratio 0.2139, byte miss ratio 0.2139
result/tencentBlock.ns6025.oracleGeneral.zst Cacheus cache size    13347, 2930217 req, miss ratio 0.2043, byte miss ratio 0.2043
result/tencentBlock.ns6025.oracleGeneral.zst Cacheus cache size    26694, 2930217 req, miss ratio 0.1978, byte miss ratio 0.1978
result/tencentBlock.ns6025.oracleGeneral.zst Cacheus cache size    53389, 2930217 req, miss ratio 0.1533, byte miss ratio 0.1533
result/tencentBlock.ns6025.oracleGeneral.zst Cacheus cache size   106779, 2930217 req, miss ratio 0.0489, byte miss ratio 0.0489
result/tencentBlock.ns6025.oracleGeneral.zst LeCaR cache size      133, 2930217 req, miss ratio 0.3172, byte miss ratio 0.3172
result/tencentBlock.ns6025.oracleGeneral.zst LeCaR cache size      400, 2930217 req, miss ratio 0.2501, byte miss ratio 0.2501
result/tencentBlock.ns6025.oracleGeneral.zst LeCaR cache size     1334, 2930217 req, miss ratio 0.2366, byte miss ratio 0.2366
result/tencentBlock.ns6025.oracleGeneral.zst LeCaR cache size     4004, 2930217 req, miss ratio 0.2152, byte miss ratio 0.2152
result/tencentBlock.ns6025.oracleGeneral.zst LeCaR cache size    13347, 2930217 req, miss ratio 0.2075, byte miss ratio 0.2075
result/tencentBlock.ns6025.oracleGeneral.zst LeCaR cache size    26694, 2930217 req, miss ratio 0.1965, byte miss ratio 0.1965
result/tencentBlock.ns6025.oracleGeneral.zst LeCaR cache size    53389, 2930217 req, miss ratio 0.1504, byte miss ratio 0.1504
result/tencentBlock.ns6025.oracleGeneral.zst LeCaR cache size   106779, 2930217 req, miss ratio 0.0489, byte miss ratio 0.0489
result/tencentBlock.ns6025.oracleGeneral.zst Clock cache size      133, 2930217 req, miss ratio 0.3230, byte miss ratio 0.3230
result/tencentBlock.ns6025.oracleGeneral.zst Clock cache size      400, 2930217 req, miss ratio 0.2525, byte miss ratio 0.2525
result/tencentBlock.ns6025.oracleGeneral.zst Clock cache size     1334, 2930217 req, miss ratio 0.2376, byte miss ratio 0.2376
result/tencentBlock.ns6025.oracleGeneral.zst Clock cache size     4004, 2930217 req, miss ratio 0.2296, byte miss ratio 0.2296
result/tencentBlock.ns6025.oracleGeneral.zst Clock cache size    13347, 2930217 req, miss ratio 0.2079, byte miss ratio 0.2079
result/tencentBlock.ns6025.oracleGeneral.zst Clock cache size    26694, 2930217 req, miss ratio 0.2017, byte miss ratio 0.2017
result/tencentBlock.ns6025.oracleGeneral.zst Clock cache size    53389, 2930217 req, miss ratio 0.1869, byte miss ratio 0.1869
result/tencentBlock.ns6025.oracleGeneral.zst Clock cache size   106779, 2930217 req, miss ratio 0.0502, byte miss ratio 0.0502
result/tencentBlock.ns6025.oracleGeneral.zst LRU cache size      133, 2930217 req, miss ratio 0.3217, byte miss ratio 0.3217
result/tencentBlock.ns6025.oracleGeneral.zst LRU cache size      400, 2930217 req, miss ratio 0.2517, byte miss ratio 0.2517
result/tencentBlock.ns6025.oracleGeneral.zst LRU cache size     1334, 2930217 req, miss ratio 0.2368, byte miss ratio 0.2368
result/tencentBlock.ns6025.oracleGeneral.zst LRU cache size     4004, 2930217 req, miss ratio 0.2152, byte miss ratio 0.2152
result/tencentBlock.ns6025.oracleGeneral.zst LRU cache size    13347, 2930217 req, miss ratio 0.2081, byte miss ratio 0.2081
result/tencentBlock.ns6025.oracleGeneral.zst LRU cache size    26694, 2930217 req, miss ratio 0.1969, byte miss ratio 0.1969
result/tencentBlock.ns6025.oracleGeneral.zst LRU cache size    53389, 2930217 req, miss ratio 0.1507, byte miss ratio 0.1507
result/tencentBlock.ns6025.oracleGeneral.zst LRU cache size   106779, 2930217 req, miss ratio 0.0489, byte miss ratio 0.0489
result/tencentBlock.ns6025.oracleGeneral.zst clock2 cache size      133, 2930217 req, miss ratio 0.3351, byte miss ratio 0.3351
result/tencentBlock.ns6025.oracleGeneral.zst clock2 cache size      400, 2930217 req, miss ratio 0.2552, byte miss ratio 0.2552
result/tencentBlock.ns6025.oracleGeneral.zst clock2 cache size     1334, 2930217 req, miss ratio 0.2387, byte miss ratio 0.2387
result/tencentBlock.ns6025.oracleGeneral.zst clock2 cache size     4004, 2930217 req, miss ratio 0.2307, byte miss ratio 0.2307
result/tencentBlock.ns6025.oracleGeneral.zst clock2 cache size    13347, 2930217 req, miss ratio 0.2073, byte miss ratio 0.2073
result/tencentBlock.ns6025.oracleGeneral.zst clock2 cache size    26694, 2930217 req, miss ratio 0.2008, byte miss ratio 0.2008
result/tencentBlock.ns6025.oracleGeneral.zst clock2 cache size    53389, 2930217 req, miss ratio 0.1718, byte miss ratio 0.1718
result/tencentBlock.ns6025.oracleGeneral.zst clock2 cache size   106779, 2930217 req, miss ratio 0.0519, byte miss ratio 0.0519
result/tencentBlock.ns6025.oracleGeneral.zst S3FIFO-d-1 cache size      133, 2930217 req, miss ratio 0.2989, byte miss ratio 0.2989
result/tencentBlock.ns6025.oracleGeneral.zst S3FIFO-d-1 cache size      400, 2930217 req, miss ratio 0.2446, byte miss ratio 0.2446
result/tencentBlock.ns6025.oracleGeneral.zst S3FIFO-d-1 cache size     1334, 2930217 req, miss ratio 0.2326, byte miss ratio 0.2326
result/tencentBlock.ns6025.oracleGeneral.zst S3FIFO-d-1 cache size     4004, 2930217 req, miss ratio 0.2115, byte miss ratio 0.2115
result/tencentBlock.ns6025.oracleGeneral.zst S3FIFO-d-1 cache size    13347, 2930217 req, miss ratio 0.2015, byte miss ratio 0.2015
result/tencentBlock.ns6025.oracleGeneral.zst S3FIFO-d-1 cache size    26694, 2930217 req, miss ratio 0.1892, byte miss ratio 0.1892
result/tencentBlock.ns6025.oracleGeneral.zst S3FIFO-d-1 cache size    53389, 2930217 req, miss ratio 0.1690, byte miss ratio 0.1690
result/tencentBlock.ns6025.oracleGeneral.zst S3FIFO-d-1 cache size   106779, 2930217 req, miss ratio 0.0501, byte miss ratio 0.0501
result/tencentBlock.ns6025.oracleGeneral.zst LRB cache size      133, 2930217 req, miss ratio 0.4001, byte miss ratio 0.4001
