result/tencentBlock.ns12341.oracleGeneral.zst Clock cache size       56, 3950682 req, miss ratio 0.7275, byte miss ratio 0.7275
result/tencentBlock.ns12341.oracleGeneral.zst Clock cache size      169, 3950682 req, miss ratio 0.6976, byte miss ratio 0.6976
result/tencentBlock.ns12341.oracleGeneral.zst Clock cache size      563, 3950682 req, miss ratio 0.6840, byte miss ratio 0.6840
result/tencentBlock.ns12341.oracleGeneral.zst Clock cache size     1691, 3950682 req, miss ratio 0.6783, byte miss ratio 0.6783
result/tencentBlock.ns12341.oracleGeneral.zst Clock cache size     5638, 3950682 req, miss ratio 0.6691, byte miss ratio 0.6691
result/tencentBlock.ns12341.oracleGeneral.zst Clock cache size    11276, 3950682 req, miss ratio 0.2891, byte miss ratio 0.2891
result/tencentBlock.ns12341.oracleGeneral.zst Clock cache size    22552, 3950682 req, miss ratio 0.0521, byte miss ratio 0.0521
result/tencentBlock.ns12341.oracleGeneral.zst Clock cache size    45104, 3950682 req, miss ratio 0.0157, byte miss ratio 0.0157
result/tencentBlock.ns12341.oracleGeneral.zst LIRS cache size       56, 3950682 req, miss ratio 0.7020, byte miss ratio 0.7020
result/tencentBlock.ns12341.oracleGeneral.zst LIRS cache size      169, 3950682 req, miss ratio 0.6802, byte miss ratio 0.6802
result/tencentBlock.ns12341.oracleGeneral.zst LIRS cache size      563, 3950682 req, miss ratio 0.6598, byte miss ratio 0.6598
result/tencentBlock.ns12341.oracleGeneral.zst LIRS cache size     1691, 3950682 req, miss ratio 0.6302, byte miss ratio 0.6302
result/tencentBlock.ns12341.oracleGeneral.zst LIRS cache size     5638, 3950682 req, miss ratio 0.4158, byte miss ratio 0.4158
result/tencentBlock.ns12341.oracleGeneral.zst LIRS cache size    11276, 3950682 req, miss ratio 0.1955, byte miss ratio 0.1955
result/tencentBlock.ns12341.oracleGeneral.zst LIRS cache size    22552, 3950682 req, miss ratio 0.0453, byte miss ratio 0.0453
result/tencentBlock.ns12341.oracleGeneral.zst LIRS cache size    45104, 3950682 req, miss ratio 0.0144, byte miss ratio 0.0144
result/tencentBlock.ns12341.oracleGeneral.zst LRU cache size       56, 3950682 req, miss ratio 0.7295, byte miss ratio 0.7295
result/tencentBlock.ns12341.oracleGeneral.zst LRU cache size      169, 3950682 req, miss ratio 0.6992, byte miss ratio 0.6992
result/tencentBlock.ns12341.oracleGeneral.zst LRU cache size      563, 3950682 req, miss ratio 0.6846, byte miss ratio 0.6846
result/tencentBlock.ns12341.oracleGeneral.zst LRU cache size     1691, 3950682 req, miss ratio 0.6790, byte miss ratio 0.6790
result/tencentBlock.ns12341.oracleGeneral.zst LRU cache size     5638, 3950682 req, miss ratio 0.6760, byte miss ratio 0.6760
result/tencentBlock.ns12341.oracleGeneral.zst LRU cache size    11276, 3950682 req, miss ratio 0.3128, byte miss ratio 0.3128
result/tencentBlock.ns12341.oracleGeneral.zst LRU cache size    22552, 3950682 req, miss ratio 0.0518, byte miss ratio 0.0518
result/tencentBlock.ns12341.oracleGeneral.zst LRU cache size    45104, 3950682 req, miss ratio 0.0147, byte miss ratio 0.0147
result/tencentBlock.ns12341.oracleGeneral.zst LeCaR cache size       56, 3950682 req, miss ratio 0.7231, byte miss ratio 0.7231
result/tencentBlock.ns12341.oracleGeneral.zst LeCaR cache size      169, 3950682 req, miss ratio 0.6950, byte miss ratio 0.6950
result/tencentBlock.ns12341.oracleGeneral.zst LeCaR cache size      563, 3950682 req, miss ratio 0.6774, byte miss ratio 0.6774
result/tencentBlock.ns12341.oracleGeneral.zst LeCaR cache size     1691, 3950682 req, miss ratio 0.6652, byte miss ratio 0.6652
result/tencentBlock.ns12341.oracleGeneral.zst LeCaR cache size     5638, 3950682 req, miss ratio 0.6699, byte miss ratio 0.6699
result/tencentBlock.ns12341.oracleGeneral.zst LeCaR cache size    11276, 3950682 req, miss ratio 0.2593, byte miss ratio 0.2593
result/tencentBlock.ns12341.oracleGeneral.zst LeCaR cache size    22552, 3950682 req, miss ratio 0.0488, byte miss ratio 0.0488
result/tencentBlock.ns12341.oracleGeneral.zst LeCaR cache size    45104, 3950682 req, miss ratio 0.0144, byte miss ratio 0.0144
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO-d-1 cache size       56, 3950682 req, miss ratio 0.7000, byte miss ratio 0.7000
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO-d-1 cache size      169, 3950682 req, miss ratio 0.6749, byte miss ratio 0.6749
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO-d-1 cache size      563, 3950682 req, miss ratio 0.6579, byte miss ratio 0.6579
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO-d-1 cache size     1691, 3950682 req, miss ratio 0.6403, byte miss ratio 0.6403
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO-d-1 cache size     5638, 3950682 req, miss ratio 0.4221, byte miss ratio 0.4221
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO-d-1 cache size    11276, 3950682 req, miss ratio 0.2542, byte miss ratio 0.2542
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO-d-1 cache size    22552, 3950682 req, miss ratio 0.0479, byte miss ratio 0.0479
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO-d-1 cache size    45104, 3950682 req, miss ratio 0.0158, byte miss ratio 0.0158
result/tencentBlock.ns12341.oracleGeneral.zst LRB cache size       56, 3950682 req, miss ratio 0.7065, byte miss ratio 0.7065
result/tencentBlock.ns12341.oracleGeneral.zst LRB cache size      169, 3950682 req, miss ratio 0.6784, byte miss ratio 0.6784
result/tencentBlock.ns12341.oracleGeneral.zst LRB cache size      563, 3950682 req, miss ratio 0.6471, byte miss ratio 0.6471
result/tencentBlock.ns12341.oracleGeneral.zst LRB cache size     1691, 3950682 req, miss ratio 0.5857, byte miss ratio 0.5857
result/tencentBlock.ns12341.oracleGeneral.zst LRB cache size     5638, 3950682 req, miss ratio 0.4160, byte miss ratio 0.4160
result/tencentBlock.ns12341.oracleGeneral.zst LRB cache size    11276, 3950682 req, miss ratio 0.1838, byte miss ratio 0.1838
result/tencentBlock.ns12341.oracleGeneral.zst LRB cache size    22552, 3950682 req, miss ratio 0.0431, byte miss ratio 0.0431
result/tencentBlock.ns12341.oracleGeneral.zst LRB cache size    45104, 3950682 req, miss ratio 0.0155, byte miss ratio 0.0155
