result/tencentBlock.ns20689.oracleGeneral.zst LHD cache size      344, 2187938 req, miss ratio 0.5740, byte miss ratio 0.5740
result/tencentBlock.ns20689.oracleGeneral.zst LHD cache size     1034, 2187938 req, miss ratio 0.5345, byte miss ratio 0.5345
result/tencentBlock.ns20689.oracleGeneral.zst LHD cache size     3449, 2187938 req, miss ratio 0.5040, byte miss ratio 0.5040
result/tencentBlock.ns20689.oracleGeneral.zst LHD cache size    10348, 2187938 req, miss ratio 0.4381, byte miss ratio 0.4381
result/tencentBlock.ns20689.oracleGeneral.zst LHD cache size    34493, 2187938 req, miss ratio 0.2905, byte miss ratio 0.2905
result/tencentBlock.ns20689.oracleGeneral.zst LHD cache size    68987, 2187938 req, miss ratio 0.1852, byte miss ratio 0.1852
result/tencentBlock.ns20689.oracleGeneral.zst LHD cache size   137974, 2187938 req, miss ratio 0.1598, byte miss ratio 0.1598
result/tencentBlock.ns20689.oracleGeneral.zst LHD cache size   275949, 2187938 req, miss ratio 0.1579, byte miss ratio 0.1579
result/tencentBlock.ns20689.oracleGeneral.zst clock2 cache size      344, 2187938 req, miss ratio 0.5691, byte miss ratio 0.5691
result/tencentBlock.ns20689.oracleGeneral.zst clock2 cache size     1034, 2187938 req, miss ratio 0.5371, byte miss ratio 0.5371
result/tencentBlock.ns20689.oracleGeneral.zst clock2 cache size     3449, 2187938 req, miss ratio 0.5122, byte miss ratio 0.5122
result/tencentBlock.ns20689.oracleGeneral.zst clock2 cache size    10348, 2187938 req, miss ratio 0.4503, byte miss ratio 0.4503
result/tencentBlock.ns20689.oracleGeneral.zst clock2 cache size    34493, 2187938 req, miss ratio 0.3275, byte miss ratio 0.3275
result/tencentBlock.ns20689.oracleGeneral.zst clock2 cache size    68987, 2187938 req, miss ratio 0.2031, byte miss ratio 0.2031
result/tencentBlock.ns20689.oracleGeneral.zst clock2 cache size   137974, 2187938 req, miss ratio 0.1611, byte miss ratio 0.1611
result/tencentBlock.ns20689.oracleGeneral.zst clock2 cache size   275949, 2187938 req, miss ratio 0.1577, byte miss ratio 0.1577
result/tencentBlock.ns20689.oracleGeneral.zst LeCaR cache size      344, 2187938 req, miss ratio 0.5699, byte miss ratio 0.5699
result/tencentBlock.ns20689.oracleGeneral.zst LeCaR cache size     1034, 2187938 req, miss ratio 0.5366, byte miss ratio 0.5366
result/tencentBlock.ns20689.oracleGeneral.zst LeCaR cache size     3449, 2187938 req, miss ratio 0.5105, byte miss ratio 0.5105
result/tencentBlock.ns20689.oracleGeneral.zst LeCaR cache size    10348, 2187938 req, miss ratio 0.4418, byte miss ratio 0.4418
result/tencentBlock.ns20689.oracleGeneral.zst LeCaR cache size    34493, 2187938 req, miss ratio 0.2975, byte miss ratio 0.2975
result/tencentBlock.ns20689.oracleGeneral.zst LeCaR cache size    68987, 2187938 req, miss ratio 0.1879, byte miss ratio 0.1879
result/tencentBlock.ns20689.oracleGeneral.zst LeCaR cache size   137974, 2187938 req, miss ratio 0.1594, byte miss ratio 0.1594
