result/tencentBlock.ns2376.oracleGeneral.zst LHD cache size  1805120, 60202760 req, miss ratio 0.0388, byte miss ratio 0.0388
result/tencentBlock.ns2376.oracleGeneral.zst LeCaR cache size     2256, 60202760 req, miss ratio 0.7906, byte miss ratio 0.7906
result/tencentBlock.ns2376.oracleGeneral.zst LeCaR cache size     6769, 60202760 req, miss ratio 0.6685, byte miss ratio 0.6685
result/tencentBlock.ns2376.oracleGeneral.zst LeCaR cache size    22564, 60202760 req, miss ratio 0.5548, byte miss ratio 0.5548
result/tencentBlock.ns2376.oracleGeneral.zst LeCaR cache size    67692, 60202760 req, miss ratio 0.4401, byte miss ratio 0.4401
result/tencentBlock.ns2376.oracleGeneral.zst LeCaR cache size   225640, 60202760 req, miss ratio 0.2123, byte miss ratio 0.2123
result/tencentBlock.ns2376.oracleGeneral.zst LeCaR cache size   451280, 60202760 req, miss ratio 0.1253, byte miss ratio 0.1253
result/tencentBlock.ns2376.oracleGeneral.zst LeCaR cache size   902560, 60202760 req, miss ratio 0.0532, byte miss ratio 0.0532
result/tencentBlock.ns2376.oracleGeneral.zst LeCaR cache size  1805120, 60202760 req, miss ratio 0.0381, byte miss ratio 0.0381
result/tencentBlock.ns2376.oracleGeneral.zst ARC cache size     2256, 60202760 req, miss ratio 0.7824, byte miss ratio 0.7824
result/tencentBlock.ns2376.oracleGeneral.zst ARC cache size     6769, 60202760 req, miss ratio 0.6641, byte miss ratio 0.6641
result/tencentBlock.ns2376.oracleGeneral.zst ARC cache size    22564, 60202760 req, miss ratio 0.5549, byte miss ratio 0.5549
result/tencentBlock.ns2376.oracleGeneral.zst ARC cache size    67692, 60202760 req, miss ratio 0.4366, byte miss ratio 0.4366
result/tencentBlock.ns2376.oracleGeneral.zst ARC cache size   225640, 60202760 req, miss ratio 0.2274, byte miss ratio 0.2274
result/tencentBlock.ns2376.oracleGeneral.zst ARC cache size   451280, 60202760 req, miss ratio 0.1319, byte miss ratio 0.1319
result/tencentBlock.ns2376.oracleGeneral.zst ARC cache size   902560, 60202760 req, miss ratio 0.0522, byte miss ratio 0.0522
result/tencentBlock.ns2376.oracleGeneral.zst ARC cache size  1805120, 60202760 req, miss ratio 0.0384, byte miss ratio 0.0384
result/tencentBlock.ns2376.oracleGeneral.zst clock2 cache size     2256, 60202760 req, miss ratio 0.7888, byte miss ratio 0.7888
result/tencentBlock.ns2376.oracleGeneral.zst clock2 cache size     6769, 60202760 req, miss ratio 0.6682, byte miss ratio 0.6682
result/tencentBlock.ns2376.oracleGeneral.zst clock2 cache size    22564, 60202760 req, miss ratio 0.5506, byte miss ratio 0.5506
result/tencentBlock.ns2376.oracleGeneral.zst clock2 cache size    67692, 60202760 req, miss ratio 0.4374, byte miss ratio 0.4374
result/tencentBlock.ns2376.oracleGeneral.zst clock2 cache size   225640, 60202760 req, miss ratio 0.2175, byte miss ratio 0.2175
result/tencentBlock.ns2376.oracleGeneral.zst clock2 cache size   451280, 60202760 req, miss ratio 0.1220, byte miss ratio 0.1220
result/tencentBlock.ns2376.oracleGeneral.zst clock2 cache size   902560, 60202760 req, miss ratio 0.0541, byte miss ratio 0.0541
result/tencentBlock.ns2376.oracleGeneral.zst clock2 cache size  1805120, 60202760 req, miss ratio 0.0383, byte miss ratio 0.0383
result/tencentBlock.ns2376.oracleGeneral.zst Clock cache size     2256, 60202760 req, miss ratio 0.7921, byte miss ratio 0.7921
result/tencentBlock.ns2376.oracleGeneral.zst Clock cache size     6769, 60202760 req, miss ratio 0.6701, byte miss ratio 0.6701
result/tencentBlock.ns2376.oracleGeneral.zst Clock cache size    22564, 60202760 req, miss ratio 0.5571, byte miss ratio 0.5571
result/tencentBlock.ns2376.oracleGeneral.zst Clock cache size    67692, 60202760 req, miss ratio 0.4453, byte miss ratio 0.4453
result/tencentBlock.ns2376.oracleGeneral.zst Clock cache size   225640, 60202760 req, miss ratio 0.2206, byte miss ratio 0.2206
result/tencentBlock.ns2376.oracleGeneral.zst Clock cache size   451280, 60202760 req, miss ratio 0.1275, byte miss ratio 0.1275
result/tencentBlock.ns2376.oracleGeneral.zst Clock cache size   902560, 60202760 req, miss ratio 0.0585, byte miss ratio 0.0585
result/tencentBlock.ns2376.oracleGeneral.zst Clock cache size  1805120, 60202760 req, miss ratio 0.0387, byte miss ratio 0.0387
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO-d-1 cache size     2256, 60202760 req, miss ratio 0.7838, byte miss ratio 0.7838
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO-d-1 cache size     6769, 60202760 req, miss ratio 0.6637, byte miss ratio 0.6637
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO-d-1 cache size    22564, 60202760 req, miss ratio 0.5415, byte miss ratio 0.5415
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO-d-1 cache size    67692, 60202760 req, miss ratio 0.4203, byte miss ratio 0.4203
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO-d-1 cache size   225640, 60202760 req, miss ratio 0.2188, byte miss ratio 0.2188
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO-d-1 cache size   451280, 60202760 req, miss ratio 0.1235, byte miss ratio 0.1235
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO-d-1 cache size   902560, 60202760 req, miss ratio 0.0592, byte miss ratio 0.0592
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO-d-1 cache size  1805120, 60202760 req, miss ratio 0.0388, byte miss ratio 0.0388
result/tencentBlock.ns2376.oracleGeneral.zst LRB cache size     2256, 60202760 req, miss ratio 0.7924, byte miss ratio 0.7924
result/tencentBlock.ns2376.oracleGeneral.zst LRB cache size     6769, 60202760 req, miss ratio 0.6850, byte miss ratio 0.6850
result/tencentBlock.ns2376.oracleGeneral.zst LRB cache size    22564, 60202760 req, miss ratio 0.5622, byte miss ratio 0.5622
result/tencentBlock.ns2376.oracleGeneral.zst LRB cache size    67692, 60202760 req, miss ratio 0.4121, byte miss ratio 0.4121
result/tencentBlock.ns2376.oracleGeneral.zst LRB cache size   225640, 60202760 req, miss ratio 0.2060, byte miss ratio 0.2060
result/tencentBlock.ns2376.oracleGeneral.zst LRB cache size   451280, 60202760 req, miss ratio 0.1128, byte miss ratio 0.1128
result/tencentBlock.ns2376.oracleGeneral.zst LRB cache size   902560, 60202760 req, miss ratio 0.0554, byte miss ratio 0.0554
result/tencentBlock.ns2376.oracleGeneral.zst LRB cache size  1805120, 60202760 req, miss ratio 0.0393, byte miss ratio 0.0393
result/tencentBlock.ns2376.oracleGeneral.zst B-LRU cache size     2256, 60202760 req, miss ratio 0.8116, byte miss ratio 0.8116
result/tencentBlock.ns2376.oracleGeneral.zst B-LRU cache size     6769, 60202760 req, miss ratio 0.6888, byte miss ratio 0.6888
result/tencentBlock.ns2376.oracleGeneral.zst B-LRU cache size    22564, 60202760 req, miss ratio 0.5783, byte miss ratio 0.5783
