result/w46.oracleGeneral.bin.zst LIRS cache size    13781, 11550125 req, miss ratio 0.5884, byte miss ratio 0.5884
result/w46.oracleGeneral.bin.zst LIRS cache size    45938, 11550125 req, miss ratio 0.5493, byte miss ratio 0.5493
result/w46.oracleGeneral.bin.zst LIRS cache size   137814, 11550125 req, miss ratio 0.5182, byte miss ratio 0.5182
result/w46.oracleGeneral.bin.zst LIRS cache size   459383, 11550125 req, miss ratio 0.4802, byte miss ratio 0.4802
result/w46.oracleGeneral.bin.zst LIRS cache size   918766, 11550125 req, miss ratio 0.4594, byte miss ratio 0.4594
result/w46.oracleGeneral.bin.zst LIRS cache size  1837532, 11550125 req, miss ratio 0.4424, byte miss ratio 0.4424
result/w46.oracleGeneral.bin.zst LIRS cache size  3675065, 11550125 req, miss ratio 0.4032, byte miss ratio 0.4032
result/w46.oracleGeneral.bin.zst Clock cache size     4593, 11550125 req, miss ratio 0.6438, byte miss ratio 0.6438
result/w46.oracleGeneral.bin.zst Clock cache size    13781, 11550125 req, miss ratio 0.6148, byte miss ratio 0.6148
result/w46.oracleGeneral.bin.zst Clock cache size    45938, 11550125 req, miss ratio 0.5817, byte miss ratio 0.5817
result/w46.oracleGeneral.bin.zst Clock cache size   137814, 11550125 req, miss ratio 0.5252, byte miss ratio 0.5252
result/w46.oracleGeneral.bin.zst Clock cache size   459383, 11550125 req, miss ratio 0.4482, byte miss ratio 0.4482
result/w46.oracleGeneral.bin.zst Clock cache size   918766, 11550125 req, miss ratio 0.4237, byte miss ratio 0.4237
result/w46.oracleGeneral.bin.zst Clock cache size  1837532, 11550125 req, miss ratio 0.4059, byte miss ratio 0.4059
result/w46.oracleGeneral.bin.zst Clock cache size  3675065, 11550125 req, miss ratio 0.3983, byte miss ratio 0.3983
result/w46.oracleGeneral.bin.zst clock2 cache size     4593, 11550125 req, miss ratio 0.6424, byte miss ratio 0.6424
result/w46.oracleGeneral.bin.zst clock2 cache size    13781, 11550125 req, miss ratio 0.6129, byte miss ratio 0.6129
result/w46.oracleGeneral.bin.zst clock2 cache size    45938, 11550125 req, miss ratio 0.5792, byte miss ratio 0.5792
