result/io_traces.ns436.oracleGeneral.zst ARC cache size     1664, 2000000 req, miss ratio 0.4507, byte miss ratio 0.4507
result/io_traces.ns436.oracleGeneral.zst ARC cache size     4994, 2000000 req, miss ratio 0.4488, byte miss ratio 0.4488
result/io_traces.ns436.oracleGeneral.zst ARC cache size    16647, 2000000 req, miss ratio 0.3346, byte miss ratio 0.3346
result/io_traces.ns436.oracleGeneral.zst ARC cache size    33294, 2000000 req, miss ratio 0.2317, byte miss ratio 0.2317
result/io_traces.ns436.oracleGeneral.zst ARC cache size    66588, 2000000 req, miss ratio 0.0871, byte miss ratio 0.0871
result/io_traces.ns436.oracleGeneral.zst ARC cache size   133176, 2000000 req, miss ratio 0.0847, byte miss ratio 0.0847
result/io_traces.ns436.oracleGeneral.zst Clock cache size      166, 2000000 req, miss ratio 0.4726, byte miss ratio 0.4726
result/io_traces.ns436.oracleGeneral.zst Clock cache size      499, 2000000 req, miss ratio 0.4576, byte miss ratio 0.4576
result/io_traces.ns436.oracleGeneral.zst Clock cache size     1664, 2000000 req, miss ratio 0.4518, byte miss ratio 0.4518
result/io_traces.ns436.oracleGeneral.zst Clock cache size     4994, 2000000 req, miss ratio 0.4497, byte miss ratio 0.4497
result/io_traces.ns436.oracleGeneral.zst Clock cache size    16647, 2000000 req, miss ratio 0.3633, byte miss ratio 0.3633
result/io_traces.ns436.oracleGeneral.zst Clock cache size    33294, 2000000 req, miss ratio 0.2450, byte miss ratio 0.2450
result/io_traces.ns436.oracleGeneral.zst Clock cache size    66588, 2000000 req, miss ratio 0.0926, byte miss ratio 0.0926
result/io_traces.ns436.oracleGeneral.zst Clock cache size   133176, 2000000 req, miss ratio 0.0849, byte miss ratio 0.0849
result/io_traces.ns436.oracleGeneral.zst LHD cache size      166, 2000000 req, miss ratio 0.4686, byte miss ratio 0.4686
result/io_traces.ns436.oracleGeneral.zst LHD cache size      499, 2000000 req, miss ratio 0.4580, byte miss ratio 0.4580
