result/cdn2_allcolo.ns283.oracleGeneral.zst LeCaR cache size    36604, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst LeCaR cache size    73208, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst LIRS cache size       91, 34337798 req, miss ratio 0.1228, byte miss ratio 0.1228
result/cdn2_allcolo.ns283.oracleGeneral.zst LIRS cache size      274, 34337798 req, miss ratio 0.0475, byte miss ratio 0.0475
result/cdn2_allcolo.ns283.oracleGeneral.zst LIRS cache size      915, 34337798 req, miss ratio 0.0132, byte miss ratio 0.0132
result/cdn2_allcolo.ns283.oracleGeneral.zst LIRS cache size     2745, 34337798 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_allcolo.ns283.oracleGeneral.zst LIRS cache size     9151, 34337798 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_allcolo.ns283.oracleGeneral.zst LIRS cache size    18302, 34337798 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_allcolo.ns283.oracleGeneral.zst LIRS cache size    36604, 34337798 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns283.oracleGeneral.zst LIRS cache size    73208, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst LHD cache size       91, 34337798 req, miss ratio 0.1280, byte miss ratio 0.1280
result/cdn2_allcolo.ns283.oracleGeneral.zst LHD cache size      274, 34337798 req, miss ratio 0.0534, byte miss ratio 0.0534
result/cdn2_allcolo.ns283.oracleGeneral.zst LHD cache size      915, 34337798 req, miss ratio 0.0150, byte miss ratio 0.0150
result/cdn2_allcolo.ns283.oracleGeneral.zst LHD cache size     2745, 34337798 req, miss ratio 0.0053, byte miss ratio 0.0053
result/cdn2_allcolo.ns283.oracleGeneral.zst LHD cache size     9151, 34337798 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_allcolo.ns283.oracleGeneral.zst LHD cache size    18302, 34337798 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns283.oracleGeneral.zst LHD cache size    36604, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst LHD cache size    73208, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst Clock cache size       91, 34337798 req, miss ratio 0.1480, byte miss ratio 0.1480
result/cdn2_allcolo.ns283.oracleGeneral.zst Clock cache size      274, 34337798 req, miss ratio 0.0572, byte miss ratio 0.0572
result/cdn2_allcolo.ns283.oracleGeneral.zst Clock cache size      915, 34337798 req, miss ratio 0.0153, byte miss ratio 0.0153
result/cdn2_allcolo.ns283.oracleGeneral.zst Clock cache size     2745, 34337798 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn2_allcolo.ns283.oracleGeneral.zst Clock cache size     9151, 34337798 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_allcolo.ns283.oracleGeneral.zst Clock cache size    18302, 34337798 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_allcolo.ns283.oracleGeneral.zst Clock cache size    36604, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst Clock cache size    73208, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst LRU cache size       91, 34337798 req, miss ratio 0.1556, byte miss ratio 0.1556
result/cdn2_allcolo.ns283.oracleGeneral.zst LRU cache size      274, 34337798 req, miss ratio 0.0601, byte miss ratio 0.0601
result/cdn2_allcolo.ns283.oracleGeneral.zst LRU cache size      915, 34337798 req, miss ratio 0.0159, byte miss ratio 0.0159
result/cdn2_allcolo.ns283.oracleGeneral.zst LRU cache size     2745, 34337798 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn2_allcolo.ns283.oracleGeneral.zst LRU cache size     9151, 34337798 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_allcolo.ns283.oracleGeneral.zst LRU cache size    18302, 34337798 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns283.oracleGeneral.zst LRU cache size    36604, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst LRU cache size    73208, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-d-1 cache size       91, 34337798 req, miss ratio 0.1205, byte miss ratio 0.1205
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-d-1 cache size      274, 34337798 req, miss ratio 0.0467, byte miss ratio 0.0467
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-d-1 cache size      915, 34337798 req, miss ratio 0.0131, byte miss ratio 0.0131
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-d-1 cache size     2745, 34337798 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-d-1 cache size     9151, 34337798 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-d-1 cache size    18302, 34337798 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-d-1 cache size    36604, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-d-1 cache size    73208, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst LRB cache size       91, 34337798 req, miss ratio 0.1074, byte miss ratio 0.1074
