result/tencentBlock.ns5732.oracleGeneral.zst Cacheus cache size     4063, 9980890 req, miss ratio 0.9934, byte miss ratio 0.9934
result/tencentBlock.ns5732.oracleGeneral.zst Cacheus cache size    12189, 9980890 req, miss ratio 0.9903, byte miss ratio 0.9903
result/tencentBlock.ns5732.oracleGeneral.zst Cacheus cache size    40631, 9980890 req, miss ratio 0.9632, byte miss ratio 0.9632
result/tencentBlock.ns5732.oracleGeneral.zst Cacheus cache size   121895, 9980890 req, miss ratio 0.8789, byte miss ratio 0.8789
result/tencentBlock.ns5732.oracleGeneral.zst Cacheus cache size   406319, 9980890 req, miss ratio 0.6734, byte miss ratio 0.6734
result/tencentBlock.ns5732.oracleGeneral.zst Cacheus cache size   812638, 9980890 req, miss ratio 0.6122, byte miss ratio 0.6122
result/tencentBlock.ns5732.oracleGeneral.zst Cacheus cache size  1625277, 9980890 req, miss ratio 0.5159, byte miss ratio 0.5159
result/tencentBlock.ns5732.oracleGeneral.zst Cacheus cache size  3250554, 9980890 req, miss ratio 0.4198, byte miss ratio 0.4198
result/tencentBlock.ns5732.oracleGeneral.zst LHD cache size     4063, 9980890 req, miss ratio 0.9918, byte miss ratio 0.9918
result/tencentBlock.ns5732.oracleGeneral.zst LHD cache size    12189, 9980890 req, miss ratio 0.9827, byte miss ratio 0.9827
result/tencentBlock.ns5732.oracleGeneral.zst LHD cache size    40631, 9980890 req, miss ratio 0.9477, byte miss ratio 0.9477
result/tencentBlock.ns5732.oracleGeneral.zst LHD cache size   121895, 9980890 req, miss ratio 0.8411, byte miss ratio 0.8411
result/tencentBlock.ns5732.oracleGeneral.zst LHD cache size   406319, 9980890 req, miss ratio 0.6549, byte miss ratio 0.6549
result/tencentBlock.ns5732.oracleGeneral.zst LHD cache size   812638, 9980890 req, miss ratio 0.5768, byte miss ratio 0.5768
result/tencentBlock.ns5732.oracleGeneral.zst LHD cache size  1625277, 9980890 req, miss ratio 0.5088, byte miss ratio 0.5088
result/tencentBlock.ns5732.oracleGeneral.zst LHD cache size  3250554, 9980890 req, miss ratio 0.4243, byte miss ratio 0.4243
result/tencentBlock.ns5732.oracleGeneral.zst LeCaR cache size     4063, 9980890 req, miss ratio 0.9950, byte miss ratio 0.9950
result/tencentBlock.ns5732.oracleGeneral.zst LeCaR cache size    12189, 9980890 req, miss ratio 0.9934, byte miss ratio 0.9934
result/tencentBlock.ns5732.oracleGeneral.zst LeCaR cache size    40631, 9980890 req, miss ratio 0.9647, byte miss ratio 0.9647
result/tencentBlock.ns5732.oracleGeneral.zst LeCaR cache size   121895, 9980890 req, miss ratio 0.8402, byte miss ratio 0.8402
result/tencentBlock.ns5732.oracleGeneral.zst LeCaR cache size   406319, 9980890 req, miss ratio 0.6347, byte miss ratio 0.6347
result/tencentBlock.ns5732.oracleGeneral.zst LeCaR cache size   812638, 9980890 req, miss ratio 0.5736, byte miss ratio 0.5736
result/tencentBlock.ns5732.oracleGeneral.zst LeCaR cache size  1625277, 9980890 req, miss ratio 0.5105, byte miss ratio 0.5105
result/tencentBlock.ns5732.oracleGeneral.zst LeCaR cache size  3250554, 9980890 req, miss ratio 0.4239, byte miss ratio 0.4239
result/tencentBlock.ns5732.oracleGeneral.zst FIFO cache size     4063, 9980890 req, miss ratio 0.9952, byte miss ratio 0.9952
result/tencentBlock.ns5732.oracleGeneral.zst FIFO cache size    12189, 9980890 req, miss ratio 0.9934, byte miss ratio 0.9934
result/tencentBlock.ns5732.oracleGeneral.zst FIFO cache size    40631, 9980890 req, miss ratio 0.9731, byte miss ratio 0.9731
result/tencentBlock.ns5732.oracleGeneral.zst FIFO cache size   121895, 9980890 req, miss ratio 0.8543, byte miss ratio 0.8543
result/tencentBlock.ns5732.oracleGeneral.zst FIFO cache size   406319, 9980890 req, miss ratio 0.6481, byte miss ratio 0.6481
result/tencentBlock.ns5732.oracleGeneral.zst FIFO cache size   812638, 9980890 req, miss ratio 0.5832, byte miss ratio 0.5832
result/tencentBlock.ns5732.oracleGeneral.zst FIFO cache size  1625277, 9980890 req, miss ratio 0.5177, byte miss ratio 0.5177
result/tencentBlock.ns5732.oracleGeneral.zst FIFO cache size  3250554, 9980890 req, miss ratio 0.4283, byte miss ratio 0.4283
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-d-1 cache size     4063, 9980890 req, miss ratio 0.9933, byte miss ratio 0.9933
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-d-1 cache size    12189, 9980890 req, miss ratio 0.9902, byte miss ratio 0.9902
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-d-1 cache size    40631, 9980890 req, miss ratio 0.9581, byte miss ratio 0.9581
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-d-1 cache size   121895, 9980890 req, miss ratio 0.8584, byte miss ratio 0.8584
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-d-1 cache size   406319, 9980890 req, miss ratio 0.6430, byte miss ratio 0.6430
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-d-1 cache size   812638, 9980890 req, miss ratio 0.5844, byte miss ratio 0.5844
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-d-1 cache size  1625277, 9980890 req, miss ratio 0.5254, byte miss ratio 0.5254
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-d-1 cache size  3250554, 9980890 req, miss ratio 0.4198, byte miss ratio 0.4198
result/tencentBlock.ns5732.oracleGeneral.zst LRB cache size     4063, 9980890 req, miss ratio 0.9924, byte miss ratio 0.9924
result/tencentBlock.ns5732.oracleGeneral.zst LRB cache size    12189, 9980890 req, miss ratio 0.9852, byte miss ratio 0.9852
result/tencentBlock.ns5732.oracleGeneral.zst LRB cache size    40631, 9980890 req, miss ratio 0.9618, byte miss ratio 0.9618
result/tencentBlock.ns5732.oracleGeneral.zst LRB cache size   121895, 9980890 req, miss ratio 0.9079, byte miss ratio 0.9079
result/tencentBlock.ns5732.oracleGeneral.zst LRB cache size   406319, 9980890 req, miss ratio 0.8158, byte miss ratio 0.8158
result/tencentBlock.ns5732.oracleGeneral.zst LRB cache size   812638, 9980890 req, miss ratio 0.6323, byte miss ratio 0.6323
result/tencentBlock.ns5732.oracleGeneral.zst LRB cache size  1625277, 9980890 req, miss ratio 0.5145, byte miss ratio 0.5145
result/tencentBlock.ns5732.oracleGeneral.zst LRB cache size  3250554, 9980890 req, miss ratio 0.4222, byte miss ratio 0.4222
result/tencentBlock.ns5732.oracleGeneral.zst TwoQ cache size     4063, 9980890 req, miss ratio 0.9941, byte miss ratio 0.9941
result/tencentBlock.ns5732.oracleGeneral.zst TwoQ cache size    12189, 9980890 req, miss ratio 0.9916, byte miss ratio 0.9916
result/tencentBlock.ns5732.oracleGeneral.zst TwoQ cache size    40631, 9980890 req, miss ratio 0.9668, byte miss ratio 0.9668
result/tencentBlock.ns5732.oracleGeneral.zst TwoQ cache size   121895, 9980890 req, miss ratio 0.8942, byte miss ratio 0.8942
result/tencentBlock.ns5732.oracleGeneral.zst TwoQ cache size   406319, 9980890 req, miss ratio 0.7155, byte miss ratio 0.7155
result/tencentBlock.ns5732.oracleGeneral.zst TwoQ cache size   812638, 9980890 req, miss ratio 0.5819, byte miss ratio 0.5819
result/tencentBlock.ns5732.oracleGeneral.zst TwoQ cache size  1625277, 9980890 req, miss ratio 0.5140, byte miss ratio 0.5140
result/tencentBlock.ns5732.oracleGeneral.zst TwoQ cache size  3250554, 9980890 req, miss ratio 0.4283, byte miss ratio 0.4283
result/tencentBlock.ns5732.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4063, 9980890 req, miss ratio 0.9942, byte miss ratio 0.9942
result/tencentBlock.ns5732.oracleGeneral.zst S4LRU(25:25:25:25) cache size    12189, 9980890 req, miss ratio 0.9887, byte miss ratio 0.9887
result/tencentBlock.ns5732.oracleGeneral.zst S4LRU(25:25:25:25) cache size    40631, 9980890 req, miss ratio 0.9769, byte miss ratio 0.9769
result/tencentBlock.ns5732.oracleGeneral.zst S4LRU(25:25:25:25) cache size   121895, 9980890 req, miss ratio 0.9455, byte miss ratio 0.9455
result/tencentBlock.ns5732.oracleGeneral.zst S4LRU(25:25:25:25) cache size   406319, 9980890 req, miss ratio 0.7499, byte miss ratio 0.7499
result/tencentBlock.ns5732.oracleGeneral.zst S4LRU(25:25:25:25) cache size   812638, 9980890 req, miss ratio 0.6267, byte miss ratio 0.6267
result/tencentBlock.ns5732.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1625277, 9980890 req, miss ratio 0.5099, byte miss ratio 0.5099
result/tencentBlock.ns5732.oracleGeneral.zst S4LRU(25:25:25:25) cache size  3250554, 9980890 req, miss ratio 0.4222, byte miss ratio 0.4222
result/tencentBlock.ns5732.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4063, 9980890 req, miss ratio 0.9943, byte miss ratio 0.9943
result/tencentBlock.ns5732.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    12189, 9980890 req, miss ratio 0.9895, byte miss ratio 0.9895
result/tencentBlock.ns5732.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    40631, 9980890 req, miss ratio 0.9591, byte miss ratio 0.9591
