result/cdn2_allcolo.ns1457.oracleGeneral.zst LeCaR cache size    21849, 8539974 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1457.oracleGeneral.zst LeCaR cache size    43699, 8539974 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns1457.oracleGeneral.zst FIFO cache size       54, 8539974 req, miss ratio 0.1771, byte miss ratio 0.1771
result/cdn2_allcolo.ns1457.oracleGeneral.zst FIFO cache size      163, 8539974 req, miss ratio 0.0626, byte miss ratio 0.0626
result/cdn2_allcolo.ns1457.oracleGeneral.zst FIFO cache size      546, 8539974 req, miss ratio 0.0185, byte miss ratio 0.0185
result/cdn2_allcolo.ns1457.oracleGeneral.zst FIFO cache size     1638, 8539974 req, miss ratio 0.0099, byte miss ratio 0.0099
result/cdn2_allcolo.ns1457.oracleGeneral.zst FIFO cache size     5462, 8539974 req, miss ratio 0.0076, byte miss ratio 0.0076
result/cdn2_allcolo.ns1457.oracleGeneral.zst FIFO cache size    10924, 8539974 req, miss ratio 0.0070, byte miss ratio 0.0070
result/cdn2_allcolo.ns1457.oracleGeneral.zst FIFO cache size    21849, 8539974 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns1457.oracleGeneral.zst FIFO cache size    43699, 8539974 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1457.oracleGeneral.zst ARC cache size       54, 8539974 req, miss ratio 0.0948, byte miss ratio 0.0948
result/cdn2_allcolo.ns1457.oracleGeneral.zst ARC cache size      163, 8539974 req, miss ratio 0.0388, byte miss ratio 0.0388
result/cdn2_allcolo.ns1457.oracleGeneral.zst ARC cache size      546, 8539974 req, miss ratio 0.0107, byte miss ratio 0.0107
result/cdn2_allcolo.ns1457.oracleGeneral.zst ARC cache size     1638, 8539974 req, miss ratio 0.0073, byte miss ratio 0.0073
result/cdn2_allcolo.ns1457.oracleGeneral.zst ARC cache size     5462, 8539974 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns1457.oracleGeneral.zst ARC cache size    10924, 8539974 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns1457.oracleGeneral.zst ARC cache size    21849, 8539974 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1457.oracleGeneral.zst ARC cache size    43699, 8539974 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns1457.oracleGeneral.zst Clock cache size       54, 8539974 req, miss ratio 0.1182, byte miss ratio 0.1182
result/cdn2_allcolo.ns1457.oracleGeneral.zst Clock cache size      163, 8539974 req, miss ratio 0.0415, byte miss ratio 0.0415
result/cdn2_allcolo.ns1457.oracleGeneral.zst Clock cache size      546, 8539974 req, miss ratio 0.0114, byte miss ratio 0.0114
result/cdn2_allcolo.ns1457.oracleGeneral.zst Clock cache size     1638, 8539974 req, miss ratio 0.0076, byte miss ratio 0.0076
result/cdn2_allcolo.ns1457.oracleGeneral.zst Clock cache size     5462, 8539974 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_allcolo.ns1457.oracleGeneral.zst Clock cache size    10924, 8539974 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns1457.oracleGeneral.zst Clock cache size    21849, 8539974 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1457.oracleGeneral.zst Clock cache size    43699, 8539974 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns1457.oracleGeneral.zst Cacheus cache size       54, 8539974 req, miss ratio 0.0839, byte miss ratio 0.0839
