result/tencentBlock.ns7169.oracleGeneral.zst LRU cache size      234, 3156395 req, miss ratio 0.3685, byte miss ratio 0.3685
result/tencentBlock.ns7169.oracleGeneral.zst LRU cache size      704, 3156395 req, miss ratio 0.3333, byte miss ratio 0.3333
result/tencentBlock.ns7169.oracleGeneral.zst LRU cache size     2349, 3156395 req, miss ratio 0.3025, byte miss ratio 0.3025
result/tencentBlock.ns7169.oracleGeneral.zst LRU cache size     7047, 3156395 req, miss ratio 0.2681, byte miss ratio 0.2681
result/tencentBlock.ns7169.oracleGeneral.zst LRU cache size    23492, 3156395 req, miss ratio 0.2266, byte miss ratio 0.2266
result/tencentBlock.ns7169.oracleGeneral.zst LRU cache size    46984, 3156395 req, miss ratio 0.1888, byte miss ratio 0.1888
result/tencentBlock.ns7169.oracleGeneral.zst LRU cache size    93968, 3156395 req, miss ratio 0.0995, byte miss ratio 0.0995
result/tencentBlock.ns7169.oracleGeneral.zst LRU cache size   187937, 3156395 req, miss ratio 0.0752, byte miss ratio 0.0752
result/tencentBlock.ns7169.oracleGeneral.zst Clock cache size      234, 3156395 req, miss ratio 0.3643, byte miss ratio 0.3643
result/tencentBlock.ns7169.oracleGeneral.zst Clock cache size      704, 3156395 req, miss ratio 0.3314, byte miss ratio 0.3314
result/tencentBlock.ns7169.oracleGeneral.zst Clock cache size     2349, 3156395 req, miss ratio 0.3026, byte miss ratio 0.3026
result/tencentBlock.ns7169.oracleGeneral.zst Clock cache size     7047, 3156395 req, miss ratio 0.2668, byte miss ratio 0.2668
result/tencentBlock.ns7169.oracleGeneral.zst Clock cache size    23492, 3156395 req, miss ratio 0.2287, byte miss ratio 0.2287
result/tencentBlock.ns7169.oracleGeneral.zst Clock cache size    46984, 3156395 req, miss ratio 0.1772, byte miss ratio 0.1772
result/tencentBlock.ns7169.oracleGeneral.zst Clock cache size    93968, 3156395 req, miss ratio 0.0953, byte miss ratio 0.0953
result/tencentBlock.ns7169.oracleGeneral.zst Clock cache size   187937, 3156395 req, miss ratio 0.0749, byte miss ratio 0.0749
result/tencentBlock.ns7169.oracleGeneral.zst LHD cache size      234, 3156395 req, miss ratio 0.3556, byte miss ratio 0.3556
result/tencentBlock.ns7169.oracleGeneral.zst LHD cache size      704, 3156395 req, miss ratio 0.3259, byte miss ratio 0.3259
result/tencentBlock.ns7169.oracleGeneral.zst LHD cache size     2349, 3156395 req, miss ratio 0.2925, byte miss ratio 0.2925
result/tencentBlock.ns7169.oracleGeneral.zst LHD cache size     7047, 3156395 req, miss ratio 0.2626, byte miss ratio 0.2626
result/tencentBlock.ns7169.oracleGeneral.zst LHD cache size    23492, 3156395 req, miss ratio 0.2239, byte miss ratio 0.2239
result/tencentBlock.ns7169.oracleGeneral.zst LHD cache size    46984, 3156395 req, miss ratio 0.1602, byte miss ratio 0.1602
result/tencentBlock.ns7169.oracleGeneral.zst LHD cache size    93968, 3156395 req, miss ratio 0.0953, byte miss ratio 0.0953
result/tencentBlock.ns7169.oracleGeneral.zst LHD cache size   187937, 3156395 req, miss ratio 0.0754, byte miss ratio 0.0754
result/tencentBlock.ns7169.oracleGeneral.zst LeCaR cache size      234, 3156395 req, miss ratio 0.3541, byte miss ratio 0.3541
result/tencentBlock.ns7169.oracleGeneral.zst LeCaR cache size      704, 3156395 req, miss ratio 0.3284, byte miss ratio 0.3284
result/tencentBlock.ns7169.oracleGeneral.zst LeCaR cache size     2349, 3156395 req, miss ratio 0.2964, byte miss ratio 0.2964
result/tencentBlock.ns7169.oracleGeneral.zst LeCaR cache size     7047, 3156395 req, miss ratio 0.2670, byte miss ratio 0.2670
result/tencentBlock.ns7169.oracleGeneral.zst LeCaR cache size    23492, 3156395 req, miss ratio 0.2267, byte miss ratio 0.2267
result/tencentBlock.ns7169.oracleGeneral.zst LeCaR cache size    46984, 3156395 req, miss ratio 0.1683, byte miss ratio 0.1683
result/tencentBlock.ns7169.oracleGeneral.zst LeCaR cache size    93968, 3156395 req, miss ratio 0.0943, byte miss ratio 0.0943
result/tencentBlock.ns7169.oracleGeneral.zst LeCaR cache size   187937, 3156395 req, miss ratio 0.0750, byte miss ratio 0.0750
result/tencentBlock.ns7169.oracleGeneral.zst LIRS cache size      234, 3156395 req, miss ratio 0.3441, byte miss ratio 0.3441
result/tencentBlock.ns7169.oracleGeneral.zst LIRS cache size      704, 3156395 req, miss ratio 0.3206, byte miss ratio 0.3206
result/tencentBlock.ns7169.oracleGeneral.zst LIRS cache size     2349, 3156395 req, miss ratio 0.2821, byte miss ratio 0.2821
result/tencentBlock.ns7169.oracleGeneral.zst LIRS cache size     7047, 3156395 req, miss ratio 0.2589, byte miss ratio 0.2589
result/tencentBlock.ns7169.oracleGeneral.zst LIRS cache size    23492, 3156395 req, miss ratio 0.2109, byte miss ratio 0.2109
result/tencentBlock.ns7169.oracleGeneral.zst LIRS cache size    46984, 3156395 req, miss ratio 0.1401, byte miss ratio 0.1401
result/tencentBlock.ns7169.oracleGeneral.zst LIRS cache size    93968, 3156395 req, miss ratio 0.0915, byte miss ratio 0.0915
result/tencentBlock.ns7169.oracleGeneral.zst LIRS cache size   187937, 3156395 req, miss ratio 0.0754, byte miss ratio 0.0754
result/tencentBlock.ns7169.oracleGeneral.zst FIFO cache size      234, 3156395 req, miss ratio 0.4273, byte miss ratio 0.4273
result/tencentBlock.ns7169.oracleGeneral.zst FIFO cache size      704, 3156395 req, miss ratio 0.3569, byte miss ratio 0.3569
result/tencentBlock.ns7169.oracleGeneral.zst FIFO cache size     2349, 3156395 req, miss ratio 0.3142, byte miss ratio 0.3142
result/tencentBlock.ns7169.oracleGeneral.zst FIFO cache size     7047, 3156395 req, miss ratio 0.2790, byte miss ratio 0.2790
result/tencentBlock.ns7169.oracleGeneral.zst FIFO cache size    23492, 3156395 req, miss ratio 0.2300, byte miss ratio 0.2300
result/tencentBlock.ns7169.oracleGeneral.zst FIFO cache size    46984, 3156395 req, miss ratio 0.2038, byte miss ratio 0.2038
