result/tencentBlock.ns5274.oracleGeneral.zst FIFO cache size      128, 3430345 req, miss ratio 0.5309, byte miss ratio 0.5309
result/tencentBlock.ns5274.oracleGeneral.zst FIFO cache size      386, 3430345 req, miss ratio 0.3713, byte miss ratio 0.3713
result/tencentBlock.ns5274.oracleGeneral.zst FIFO cache size     1286, 3430345 req, miss ratio 0.2910, byte miss ratio 0.2910
result/tencentBlock.ns5274.oracleGeneral.zst FIFO cache size     3860, 3430345 req, miss ratio 0.2408, byte miss ratio 0.2408
result/tencentBlock.ns5274.oracleGeneral.zst FIFO cache size    12869, 3430345 req, miss ratio 0.1839, byte miss ratio 0.1839
result/tencentBlock.ns5274.oracleGeneral.zst FIFO cache size    25738, 3430345 req, miss ratio 0.1596, byte miss ratio 0.1596
result/tencentBlock.ns5274.oracleGeneral.zst FIFO cache size    51477, 3430345 req, miss ratio 0.1051, byte miss ratio 0.1051
result/tencentBlock.ns5274.oracleGeneral.zst FIFO cache size   102955, 3430345 req, miss ratio 0.0498, byte miss ratio 0.0498
result/tencentBlock.ns5274.oracleGeneral.zst Clock cache size      128, 3430345 req, miss ratio 0.4500, byte miss ratio 0.4500
result/tencentBlock.ns5274.oracleGeneral.zst Clock cache size      386, 3430345 req, miss ratio 0.3148, byte miss ratio 0.3148
result/tencentBlock.ns5274.oracleGeneral.zst Clock cache size     1286, 3430345 req, miss ratio 0.2517, byte miss ratio 0.2517
result/tencentBlock.ns5274.oracleGeneral.zst Clock cache size     3860, 3430345 req, miss ratio 0.2176, byte miss ratio 0.2176
result/tencentBlock.ns5274.oracleGeneral.zst Clock cache size    12869, 3430345 req, miss ratio 0.1553, byte miss ratio 0.1553
result/tencentBlock.ns5274.oracleGeneral.zst Clock cache size    25738, 3430345 req, miss ratio 0.1410, byte miss ratio 0.1410
result/tencentBlock.ns5274.oracleGeneral.zst Clock cache size    51477, 3430345 req, miss ratio 0.0896, byte miss ratio 0.0896
result/tencentBlock.ns5274.oracleGeneral.zst Clock cache size   102955, 3430345 req, miss ratio 0.0398, byte miss ratio 0.0398
result/tencentBlock.ns5274.oracleGeneral.zst LRU cache size      128, 3430345 req, miss ratio 0.4665, byte miss ratio 0.4665
result/tencentBlock.ns5274.oracleGeneral.zst LRU cache size      386, 3430345 req, miss ratio 0.3200, byte miss ratio 0.3200
result/tencentBlock.ns5274.oracleGeneral.zst LRU cache size     1286, 3430345 req, miss ratio 0.2592, byte miss ratio 0.2592
result/tencentBlock.ns5274.oracleGeneral.zst LRU cache size     3860, 3430345 req, miss ratio 0.2185, byte miss ratio 0.2185
result/tencentBlock.ns5274.oracleGeneral.zst LRU cache size    12869, 3430345 req, miss ratio 0.1572, byte miss ratio 0.1572
result/tencentBlock.ns5274.oracleGeneral.zst LRU cache size    25738, 3430345 req, miss ratio 0.1426, byte miss ratio 0.1426
result/tencentBlock.ns5274.oracleGeneral.zst LRU cache size    51477, 3430345 req, miss ratio 0.0854, byte miss ratio 0.0854
result/tencentBlock.ns5274.oracleGeneral.zst LRU cache size   102955, 3430345 req, miss ratio 0.0388, byte miss ratio 0.0388
