result/tencentBlock.ns25476.oracleGeneral.zst Clock cache size      730, 9950670 req, miss ratio 0.7712, byte miss ratio 0.7712
result/tencentBlock.ns25476.oracleGeneral.zst Clock cache size     2192, 9950670 req, miss ratio 0.6922, byte miss ratio 0.6922
result/tencentBlock.ns25476.oracleGeneral.zst Clock cache size     7309, 9950670 req, miss ratio 0.5030, byte miss ratio 0.5030
result/tencentBlock.ns25476.oracleGeneral.zst Clock cache size    21929, 9950670 req, miss ratio 0.3584, byte miss ratio 0.3584
result/tencentBlock.ns25476.oracleGeneral.zst Clock cache size    73099, 9950670 req, miss ratio 0.1211, byte miss ratio 0.1211
result/tencentBlock.ns25476.oracleGeneral.zst Clock cache size   146199, 9950670 req, miss ratio 0.0906, byte miss ratio 0.0906
result/tencentBlock.ns25476.oracleGeneral.zst Clock cache size   292398, 9950670 req, miss ratio 0.0783, byte miss ratio 0.0783
result/tencentBlock.ns25476.oracleGeneral.zst Clock cache size   584796, 9950670 req, miss ratio 0.0736, byte miss ratio 0.0736
result/tencentBlock.ns25476.oracleGeneral.zst clock2 cache size      730, 9950670 req, miss ratio 0.7695, byte miss ratio 0.7695
result/tencentBlock.ns25476.oracleGeneral.zst clock2 cache size     2192, 9950670 req, miss ratio 0.6889, byte miss ratio 0.6889
result/tencentBlock.ns25476.oracleGeneral.zst clock2 cache size     7309, 9950670 req, miss ratio 0.5004, byte miss ratio 0.5004
result/tencentBlock.ns25476.oracleGeneral.zst clock2 cache size    21929, 9950670 req, miss ratio 0.3769, byte miss ratio 0.3769
result/tencentBlock.ns25476.oracleGeneral.zst clock2 cache size    73099, 9950670 req, miss ratio 0.1111, byte miss ratio 0.1111
result/tencentBlock.ns25476.oracleGeneral.zst clock2 cache size   146199, 9950670 req, miss ratio 0.0876, byte miss ratio 0.0876
result/tencentBlock.ns25476.oracleGeneral.zst clock2 cache size   292398, 9950670 req, miss ratio 0.0761, byte miss ratio 0.0761
result/tencentBlock.ns25476.oracleGeneral.zst clock2 cache size   584796, 9950670 req, miss ratio 0.0736, byte miss ratio 0.0736
