result/tencentBlock.ns17261.oracleGeneral.zst LeCaR cache size      138, 1365010 req, miss ratio 0.5726, byte miss ratio 0.5726
result/tencentBlock.ns17261.oracleGeneral.zst LeCaR cache size      414, 1365010 req, miss ratio 0.5489, byte miss ratio 0.5489
result/tencentBlock.ns17261.oracleGeneral.zst LeCaR cache size     1381, 1365010 req, miss ratio 0.5441, byte miss ratio 0.5441
result/tencentBlock.ns17261.oracleGeneral.zst LeCaR cache size     4145, 1365010 req, miss ratio 0.5392, byte miss ratio 0.5392
result/tencentBlock.ns17261.oracleGeneral.zst LeCaR cache size    13817, 1365010 req, miss ratio 0.5286, byte miss ratio 0.5286
result/tencentBlock.ns17261.oracleGeneral.zst LeCaR cache size    27634, 1365010 req, miss ratio 0.4380, byte miss ratio 0.4380
result/tencentBlock.ns17261.oracleGeneral.zst LeCaR cache size    55268, 1365010 req, miss ratio 0.3611, byte miss ratio 0.3611
result/tencentBlock.ns17261.oracleGeneral.zst LeCaR cache size   110536, 1365010 req, miss ratio 0.1279, byte miss ratio 0.1279
result/tencentBlock.ns17261.oracleGeneral.zst ARC cache size      138, 1365010 req, miss ratio 0.5541, byte miss ratio 0.5541
result/tencentBlock.ns17261.oracleGeneral.zst ARC cache size      414, 1365010 req, miss ratio 0.5453, byte miss ratio 0.5453
result/tencentBlock.ns17261.oracleGeneral.zst ARC cache size     1381, 1365010 req, miss ratio 0.5415, byte miss ratio 0.5415
result/tencentBlock.ns17261.oracleGeneral.zst ARC cache size     4145, 1365010 req, miss ratio 0.5331, byte miss ratio 0.5331
result/tencentBlock.ns17261.oracleGeneral.zst ARC cache size    13817, 1365010 req, miss ratio 0.5237, byte miss ratio 0.5237
result/tencentBlock.ns17261.oracleGeneral.zst ARC cache size    27634, 1365010 req, miss ratio 0.4185, byte miss ratio 0.4185
result/tencentBlock.ns17261.oracleGeneral.zst ARC cache size    55268, 1365010 req, miss ratio 0.3669, byte miss ratio 0.3669
result/tencentBlock.ns17261.oracleGeneral.zst ARC cache size   110536, 1365010 req, miss ratio 0.1346, byte miss ratio 0.1346
result/tencentBlock.ns17261.oracleGeneral.zst S3FIFO-1 cache size      138, 1365010 req, miss ratio 0.5563, byte miss ratio 0.5563
result/tencentBlock.ns17261.oracleGeneral.zst S3FIFO-1 cache size      414, 1365010 req, miss ratio 0.5468, byte miss ratio 0.5468
result/tencentBlock.ns17261.oracleGeneral.zst S3FIFO-1 cache size     1381, 1365010 req, miss ratio 0.5408, byte miss ratio 0.5408
result/tencentBlock.ns17261.oracleGeneral.zst S3FIFO-1 cache size     4145, 1365010 req, miss ratio 0.5324, byte miss ratio 0.5324
result/tencentBlock.ns17261.oracleGeneral.zst S3FIFO-1 cache size    13817, 1365010 req, miss ratio 0.4762, byte miss ratio 0.4762
result/tencentBlock.ns17261.oracleGeneral.zst S3FIFO-1 cache size    27634, 1365010 req, miss ratio 0.4110, byte miss ratio 0.4110
result/tencentBlock.ns17261.oracleGeneral.zst S3FIFO-1 cache size    55268, 1365010 req, miss ratio 0.3263, byte miss ratio 0.3263
result/tencentBlock.ns17261.oracleGeneral.zst S3FIFO-1 cache size   110536, 1365010 req, miss ratio 0.1370, byte miss ratio 0.1370
result/tencentBlock.ns17261.oracleGeneral.zst Clock cache size      138, 1365010 req, miss ratio 0.5764, byte miss ratio 0.5764
result/tencentBlock.ns17261.oracleGeneral.zst Clock cache size      414, 1365010 req, miss ratio 0.5493, byte miss ratio 0.5493
result/tencentBlock.ns17261.oracleGeneral.zst Clock cache size     1381, 1365010 req, miss ratio 0.5446, byte miss ratio 0.5446
result/tencentBlock.ns17261.oracleGeneral.zst Clock cache size     4145, 1365010 req, miss ratio 0.5400, byte miss ratio 0.5400
result/tencentBlock.ns17261.oracleGeneral.zst Clock cache size    13817, 1365010 req, miss ratio 0.5289, byte miss ratio 0.5289
result/tencentBlock.ns17261.oracleGeneral.zst Clock cache size    27634, 1365010 req, miss ratio 0.4492, byte miss ratio 0.4492
result/tencentBlock.ns17261.oracleGeneral.zst Clock cache size    55268, 1365010 req, miss ratio 0.3713, byte miss ratio 0.3713
result/tencentBlock.ns17261.oracleGeneral.zst Clock cache size   110536, 1365010 req, miss ratio 0.1473, byte miss ratio 0.1473
result/tencentBlock.ns17261.oracleGeneral.zst LIRS cache size      138, 1365010 req, miss ratio 0.6162, byte miss ratio 0.6162
result/tencentBlock.ns17261.oracleGeneral.zst LIRS cache size      414, 1365010 req, miss ratio 0.5937, byte miss ratio 0.5937
result/tencentBlock.ns17261.oracleGeneral.zst LIRS cache size     1381, 1365010 req, miss ratio 0.5452, byte miss ratio 0.5452
result/tencentBlock.ns17261.oracleGeneral.zst LIRS cache size     4145, 1365010 req, miss ratio 0.5340, byte miss ratio 0.5340
result/tencentBlock.ns17261.oracleGeneral.zst LIRS cache size    13817, 1365010 req, miss ratio 0.4799, byte miss ratio 0.4799
result/tencentBlock.ns17261.oracleGeneral.zst LIRS cache size    27634, 1365010 req, miss ratio 0.4082, byte miss ratio 0.4082
result/tencentBlock.ns17261.oracleGeneral.zst LIRS cache size    55268, 1365010 req, miss ratio 0.2899, byte miss ratio 0.2899
result/tencentBlock.ns17261.oracleGeneral.zst LIRS cache size   110536, 1365010 req, miss ratio 0.1268, byte miss ratio 0.1268
result/tencentBlock.ns17261.oracleGeneral.zst Cacheus cache size      138, 1365010 req, miss ratio 0.5553, byte miss ratio 0.5553
