result/tencentBlock.ns19926.oracleGeneral.zst S3FIFO-1 cache size      280, 1217097 req, miss ratio 0.6312, byte miss ratio 0.6312
result/tencentBlock.ns19926.oracleGeneral.zst S3FIFO-1 cache size      840, 1217097 req, miss ratio 0.6182, byte miss ratio 0.6182
result/tencentBlock.ns19926.oracleGeneral.zst S3FIFO-1 cache size     2800, 1217097 req, miss ratio 0.6167, byte miss ratio 0.6167
result/tencentBlock.ns19926.oracleGeneral.zst S3FIFO-1 cache size     8401, 1217097 req, miss ratio 0.6147, byte miss ratio 0.6147
result/tencentBlock.ns19926.oracleGeneral.zst S3FIFO-1 cache size    28004, 1217097 req, miss ratio 0.5009, byte miss ratio 0.5009
result/tencentBlock.ns19926.oracleGeneral.zst S3FIFO-1 cache size    56008, 1217097 req, miss ratio 0.3966, byte miss ratio 0.3966
result/tencentBlock.ns19926.oracleGeneral.zst S3FIFO-1 cache size   112016, 1217097 req, miss ratio 0.2610, byte miss ratio 0.2610
result/tencentBlock.ns19926.oracleGeneral.zst S3FIFO-1 cache size   224032, 1217097 req, miss ratio 0.2314, byte miss ratio 0.2314
result/tencentBlock.ns19926.oracleGeneral.zst LHD cache size      280, 1217097 req, miss ratio 0.6276, byte miss ratio 0.6276
result/tencentBlock.ns19926.oracleGeneral.zst LHD cache size      840, 1217097 req, miss ratio 0.6206, byte miss ratio 0.6206
result/tencentBlock.ns19926.oracleGeneral.zst LHD cache size     2800, 1217097 req, miss ratio 0.6178, byte miss ratio 0.6178
result/tencentBlock.ns19926.oracleGeneral.zst LHD cache size     8401, 1217097 req, miss ratio 0.6142, byte miss ratio 0.6142
result/tencentBlock.ns19926.oracleGeneral.zst LHD cache size    28004, 1217097 req, miss ratio 0.5305, byte miss ratio 0.5305
result/tencentBlock.ns19926.oracleGeneral.zst LHD cache size    56008, 1217097 req, miss ratio 0.4504, byte miss ratio 0.4504
result/tencentBlock.ns19926.oracleGeneral.zst LHD cache size   112016, 1217097 req, miss ratio 0.2780, byte miss ratio 0.2780
result/tencentBlock.ns19926.oracleGeneral.zst LHD cache size   224032, 1217097 req, miss ratio 0.2314, byte miss ratio 0.2314
result/tencentBlock.ns19926.oracleGeneral.zst clock2 cache size      280, 1217097 req, miss ratio 0.6231, byte miss ratio 0.6231
result/tencentBlock.ns19926.oracleGeneral.zst clock2 cache size      840, 1217097 req, miss ratio 0.6203, byte miss ratio 0.6203
result/tencentBlock.ns19926.oracleGeneral.zst clock2 cache size     2800, 1217097 req, miss ratio 0.6181, byte miss ratio 0.6181
result/tencentBlock.ns19926.oracleGeneral.zst clock2 cache size     8401, 1217097 req, miss ratio 0.6167, byte miss ratio 0.6167
result/tencentBlock.ns19926.oracleGeneral.zst clock2 cache size    28004, 1217097 req, miss ratio 0.5406, byte miss ratio 0.5406
result/tencentBlock.ns19926.oracleGeneral.zst clock2 cache size    56008, 1217097 req, miss ratio 0.4692, byte miss ratio 0.4692
result/tencentBlock.ns19926.oracleGeneral.zst clock2 cache size   112016, 1217097 req, miss ratio 0.2752, byte miss ratio 0.2752
result/tencentBlock.ns19926.oracleGeneral.zst clock2 cache size   224032, 1217097 req, miss ratio 0.2314, byte miss ratio 0.2314
result/tencentBlock.ns19926.oracleGeneral.zst Clock cache size      280, 1217097 req, miss ratio 0.6249, byte miss ratio 0.6249
result/tencentBlock.ns19926.oracleGeneral.zst Clock cache size      840, 1217097 req, miss ratio 0.6207, byte miss ratio 0.6207
result/tencentBlock.ns19926.oracleGeneral.zst Clock cache size     2800, 1217097 req, miss ratio 0.6182, byte miss ratio 0.6182
result/tencentBlock.ns19926.oracleGeneral.zst Clock cache size     8401, 1217097 req, miss ratio 0.6168, byte miss ratio 0.6168
result/tencentBlock.ns19926.oracleGeneral.zst Clock cache size    28004, 1217097 req, miss ratio 0.5400, byte miss ratio 0.5400
result/tencentBlock.ns19926.oracleGeneral.zst Clock cache size    56008, 1217097 req, miss ratio 0.4614, byte miss ratio 0.4614
result/tencentBlock.ns19926.oracleGeneral.zst Clock cache size   112016, 1217097 req, miss ratio 0.2796, byte miss ratio 0.2796
result/tencentBlock.ns19926.oracleGeneral.zst Clock cache size   224032, 1217097 req, miss ratio 0.2314, byte miss ratio 0.2314
result/tencentBlock.ns19926.oracleGeneral.zst LRU cache size      280, 1217097 req, miss ratio 0.6261, byte miss ratio 0.6261
result/tencentBlock.ns19926.oracleGeneral.zst LRU cache size      840, 1217097 req, miss ratio 0.6210, byte miss ratio 0.6210
result/tencentBlock.ns19926.oracleGeneral.zst LRU cache size     2800, 1217097 req, miss ratio 0.6182, byte miss ratio 0.6182
result/tencentBlock.ns19926.oracleGeneral.zst LRU cache size     8401, 1217097 req, miss ratio 0.6169, byte miss ratio 0.6169
result/tencentBlock.ns19926.oracleGeneral.zst LRU cache size    28004, 1217097 req, miss ratio 0.5415, byte miss ratio 0.5415
result/tencentBlock.ns19926.oracleGeneral.zst LRU cache size    56008, 1217097 req, miss ratio 0.4690, byte miss ratio 0.4690
result/tencentBlock.ns19926.oracleGeneral.zst LRU cache size   112016, 1217097 req, miss ratio 0.2650, byte miss ratio 0.2650
result/tencentBlock.ns19926.oracleGeneral.zst LRU cache size   224032, 1217097 req, miss ratio 0.2313, byte miss ratio 0.2313
result/tencentBlock.ns19926.oracleGeneral.zst Cacheus cache size      280, 1217097 req, miss ratio 0.6213, byte miss ratio 0.6213
result/tencentBlock.ns19926.oracleGeneral.zst Cacheus cache size      840, 1217097 req, miss ratio 0.6183, byte miss ratio 0.6183
result/tencentBlock.ns19926.oracleGeneral.zst Cacheus cache size     2800, 1217097 req, miss ratio 0.6172, byte miss ratio 0.6172
result/tencentBlock.ns19926.oracleGeneral.zst Cacheus cache size     8401, 1217097 req, miss ratio 0.6157, byte miss ratio 0.6157
result/tencentBlock.ns19926.oracleGeneral.zst Cacheus cache size    28004, 1217097 req, miss ratio 0.5301, byte miss ratio 0.5301
result/tencentBlock.ns19926.oracleGeneral.zst Cacheus cache size    56008, 1217097 req, miss ratio 0.4185, byte miss ratio 0.4185
result/tencentBlock.ns19926.oracleGeneral.zst Cacheus cache size   112016, 1217097 req, miss ratio 0.2749, byte miss ratio 0.2749
result/tencentBlock.ns19926.oracleGeneral.zst Cacheus cache size   224032, 1217097 req, miss ratio 0.2327, byte miss ratio 0.2327
result/tencentBlock.ns19926.oracleGeneral.zst ARC cache size      280, 1217097 req, miss ratio 0.6211, byte miss ratio 0.6211
result/tencentBlock.ns19926.oracleGeneral.zst ARC cache size      840, 1217097 req, miss ratio 0.6183, byte miss ratio 0.6183
