result/io_traces.ns509.oracleGeneral.zst clock2 cache size    17232, 22400000 req, miss ratio 0.1658, byte miss ratio 0.1658
result/io_traces.ns509.oracleGeneral.zst clock2 cache size    51698, 22400000 req, miss ratio 0.1214, byte miss ratio 0.1214
result/io_traces.ns509.oracleGeneral.zst clock2 cache size   172329, 22400000 req, miss ratio 0.0843, byte miss ratio 0.0843
result/io_traces.ns509.oracleGeneral.zst clock2 cache size   344659, 22400000 req, miss ratio 0.0801, byte miss ratio 0.0801
result/io_traces.ns509.oracleGeneral.zst clock2 cache size   689318, 22400000 req, miss ratio 0.0793, byte miss ratio 0.0793
result/io_traces.ns509.oracleGeneral.zst clock2 cache size  1378636, 22400000 req, miss ratio 0.0770, byte miss ratio 0.0770
result/io_traces.ns509.oracleGeneral.zst S3FIFO-1 cache size     1723, 22400000 req, miss ratio 0.2445, byte miss ratio 0.2445
result/io_traces.ns509.oracleGeneral.zst S3FIFO-1 cache size     5169, 22400000 req, miss ratio 0.2177, byte miss ratio 0.2177
result/io_traces.ns509.oracleGeneral.zst S3FIFO-1 cache size    17232, 22400000 req, miss ratio 0.1637, byte miss ratio 0.1637
result/io_traces.ns509.oracleGeneral.zst S3FIFO-1 cache size    51698, 22400000 req, miss ratio 0.1287, byte miss ratio 0.1287
result/io_traces.ns509.oracleGeneral.zst S3FIFO-1 cache size   172329, 22400000 req, miss ratio 0.0819, byte miss ratio 0.0819
result/io_traces.ns509.oracleGeneral.zst S3FIFO-1 cache size   344659, 22400000 req, miss ratio 0.0802, byte miss ratio 0.0802
result/io_traces.ns509.oracleGeneral.zst S3FIFO-1 cache size   689318, 22400000 req, miss ratio 0.0790, byte miss ratio 0.0790
result/io_traces.ns509.oracleGeneral.zst S3FIFO-1 cache size  1378636, 22400000 req, miss ratio 0.0770, byte miss ratio 0.0770
result/io_traces.ns509.oracleGeneral.zst ARC cache size     1723, 22400000 req, miss ratio 0.2534, byte miss ratio 0.2534
result/io_traces.ns509.oracleGeneral.zst ARC cache size     5169, 22400000 req, miss ratio 0.2158, byte miss ratio 0.2158
result/io_traces.ns509.oracleGeneral.zst ARC cache size    17232, 22400000 req, miss ratio 0.1614, byte miss ratio 0.1614
result/io_traces.ns509.oracleGeneral.zst ARC cache size    51698, 22400000 req, miss ratio 0.1177, byte miss ratio 0.1177
result/io_traces.ns509.oracleGeneral.zst ARC cache size   172329, 22400000 req, miss ratio 0.0836, byte miss ratio 0.0836
result/io_traces.ns509.oracleGeneral.zst ARC cache size   344659, 22400000 req, miss ratio 0.0803, byte miss ratio 0.0803
result/io_traces.ns509.oracleGeneral.zst ARC cache size   689318, 22400000 req, miss ratio 0.0794, byte miss ratio 0.0794
result/io_traces.ns509.oracleGeneral.zst ARC cache size  1378636, 22400000 req, miss ratio 0.0770, byte miss ratio 0.0770
result/io_traces.ns509.oracleGeneral.zst LIRS cache size     1723, 22400000 req, miss ratio 0.2626, byte miss ratio 0.2626
result/io_traces.ns509.oracleGeneral.zst LIRS cache size     5169, 22400000 req, miss ratio 0.2250, byte miss ratio 0.2250
result/io_traces.ns509.oracleGeneral.zst LIRS cache size    17232, 22400000 req, miss ratio 0.1675, byte miss ratio 0.1675
result/io_traces.ns509.oracleGeneral.zst LIRS cache size    51698, 22400000 req, miss ratio 0.1379, byte miss ratio 0.1379
result/io_traces.ns509.oracleGeneral.zst LIRS cache size   172329, 22400000 req, miss ratio 0.1005, byte miss ratio 0.1005
result/io_traces.ns509.oracleGeneral.zst LIRS cache size   344659, 22400000 req, miss ratio 0.0925, byte miss ratio 0.0925
result/io_traces.ns509.oracleGeneral.zst LIRS cache size   689318, 22400000 req, miss ratio 0.0838, byte miss ratio 0.0838
result/io_traces.ns509.oracleGeneral.zst LIRS cache size  1378636, 22400000 req, miss ratio 0.0773, byte miss ratio 0.0773
result/io_traces.ns509.oracleGeneral.zst S3FIFO-d-1 cache size     1723, 22400000 req, miss ratio 0.2469, byte miss ratio 0.2469
result/io_traces.ns509.oracleGeneral.zst S3FIFO-d-1 cache size     5169, 22400000 req, miss ratio 0.2164, byte miss ratio 0.2164
result/io_traces.ns509.oracleGeneral.zst S3FIFO-d-1 cache size    17232, 22400000 req, miss ratio 0.1626, byte miss ratio 0.1626
result/io_traces.ns509.oracleGeneral.zst S3FIFO-d-1 cache size    51698, 22400000 req, miss ratio 0.1171, byte miss ratio 0.1171
result/io_traces.ns509.oracleGeneral.zst S3FIFO-d-1 cache size   172329, 22400000 req, miss ratio 0.0814, byte miss ratio 0.0814
result/io_traces.ns509.oracleGeneral.zst S3FIFO-d-1 cache size   344659, 22400000 req, miss ratio 0.0802, byte miss ratio 0.0802
result/io_traces.ns509.oracleGeneral.zst S3FIFO-d-1 cache size   689318, 22400000 req, miss ratio 0.0790, byte miss ratio 0.0790
result/io_traces.ns509.oracleGeneral.zst S3FIFO-d-1 cache size  1378636, 22400000 req, miss ratio 0.0770, byte miss ratio 0.0770
result/io_traces.ns509.oracleGeneral.zst LRB cache size     1723, 22400000 req, miss ratio 0.2581, byte miss ratio 0.2581
result/io_traces.ns509.oracleGeneral.zst LRB cache size     5169, 22400000 req, miss ratio 0.2191, byte miss ratio 0.2191
result/io_traces.ns509.oracleGeneral.zst LRB cache size    17232, 22400000 req, miss ratio 0.1591, byte miss ratio 0.1591
result/io_traces.ns509.oracleGeneral.zst LRB cache size    51698, 22400000 req, miss ratio 0.1176, byte miss ratio 0.1176
result/io_traces.ns509.oracleGeneral.zst LRB cache size   172329, 22400000 req, miss ratio 0.0826, byte miss ratio 0.0826
result/io_traces.ns509.oracleGeneral.zst LRB cache size   344659, 22400000 req, miss ratio 0.0806, byte miss ratio 0.0806
result/io_traces.ns509.oracleGeneral.zst LRB cache size   689318, 22400000 req, miss ratio 0.0796, byte miss ratio 0.0796
result/io_traces.ns509.oracleGeneral.zst LRB cache size  1378636, 22400000 req, miss ratio 0.0770, byte miss ratio 0.0770
result/io_traces.ns509.oracleGeneral.zst B-LRU cache size     1723, 22400000 req, miss ratio 0.3266, byte miss ratio 0.3266
result/io_traces.ns509.oracleGeneral.zst B-LRU cache size     5169, 22400000 req, miss ratio 0.2441, byte miss ratio 0.2441
result/io_traces.ns509.oracleGeneral.zst B-LRU cache size    17232, 22400000 req, miss ratio 0.1928, byte miss ratio 0.1928
result/io_traces.ns509.oracleGeneral.zst B-LRU cache size    51698, 22400000 req, miss ratio 0.1557, byte miss ratio 0.1557
result/io_traces.ns509.oracleGeneral.zst B-LRU cache size   172329, 22400000 req, miss ratio 0.1329, byte miss ratio 0.1329
result/io_traces.ns509.oracleGeneral.zst B-LRU cache size   344659, 22400000 req, miss ratio 0.1320, byte miss ratio 0.1320
result/io_traces.ns509.oracleGeneral.zst B-LRU cache size   689318, 22400000 req, miss ratio 0.1313, byte miss ratio 0.1313
result/io_traces.ns509.oracleGeneral.zst B-LRU cache size  1378636, 22400000 req, miss ratio 0.1312, byte miss ratio 0.1312
result/io_traces.ns509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1723, 22400000 req, miss ratio 0.3369, byte miss ratio 0.3369
result/io_traces.ns509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5169, 22400000 req, miss ratio 0.2373, byte miss ratio 0.2373
result/io_traces.ns509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    17232, 22400000 req, miss ratio 0.1863, byte miss ratio 0.1863
result/io_traces.ns509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    51698, 22400000 req, miss ratio 0.1422, byte miss ratio 0.1422
result/io_traces.ns509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   172329, 22400000 req, miss ratio 0.1045, byte miss ratio 0.1045
result/io_traces.ns509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   344659, 22400000 req, miss ratio 0.0853, byte miss ratio 0.0853
result/io_traces.ns509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   689318, 22400000 req, miss ratio 0.0799, byte miss ratio 0.0799
result/io_traces.ns509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1378636, 22400000 req, miss ratio 0.0773, byte miss ratio 0.0773
result/io_traces.ns509.oracleGeneral.zst TwoQ cache size     1723, 22400000 req, miss ratio 0.2553, byte miss ratio 0.2553
result/io_traces.ns509.oracleGeneral.zst TwoQ cache size     5169, 22400000 req, miss ratio 0.2160, byte miss ratio 0.2160
result/io_traces.ns509.oracleGeneral.zst TwoQ cache size    17232, 22400000 req, miss ratio 0.1672, byte miss ratio 0.1672
result/io_traces.ns509.oracleGeneral.zst TwoQ cache size    51698, 22400000 req, miss ratio 0.1250, byte miss ratio 0.1250
result/io_traces.ns509.oracleGeneral.zst TwoQ cache size   172329, 22400000 req, miss ratio 0.0820, byte miss ratio 0.0820
result/io_traces.ns509.oracleGeneral.zst TwoQ cache size   344659, 22400000 req, miss ratio 0.0811, byte miss ratio 0.0811
result/io_traces.ns509.oracleGeneral.zst TwoQ cache size   689318, 22400000 req, miss ratio 0.0797, byte miss ratio 0.0797
result/io_traces.ns509.oracleGeneral.zst TwoQ cache size  1378636, 22400000 req, miss ratio 0.0785, byte miss ratio 0.0785
result/io_traces.ns509.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1723, 22400000 req, miss ratio 0.2560, byte miss ratio 0.2560
result/io_traces.ns509.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5169, 22400000 req, miss ratio 0.2250, byte miss ratio 0.2250
result/io_traces.ns509.oracleGeneral.zst S4LRU(25:25:25:25) cache size    17232, 22400000 req, miss ratio 0.1768, byte miss ratio 0.1768
result/io_traces.ns509.oracleGeneral.zst S4LRU(25:25:25:25) cache size    51698, 22400000 req, miss ratio 0.1303, byte miss ratio 0.1303
result/io_traces.ns509.oracleGeneral.zst S4LRU(25:25:25:25) cache size   172329, 22400000 req, miss ratio 0.0823, byte miss ratio 0.0823
result/io_traces.ns509.oracleGeneral.zst S4LRU(25:25:25:25) cache size   344659, 22400000 req, miss ratio 0.0802, byte miss ratio 0.0802
result/io_traces.ns509.oracleGeneral.zst S4LRU(25:25:25:25) cache size   689318, 22400000 req, miss ratio 0.0795, byte miss ratio 0.0795
result/io_traces.ns509.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1378636, 22400000 req, miss ratio 0.0770, byte miss ratio 0.0770
result/io_traces.ns509.oracleGeneral.zst S3FIFO cache size     1723, 22400000 req, miss ratio 0.2450, byte miss ratio 0.2450
result/io_traces.ns509.oracleGeneral.zst S3FIFO cache size     5169, 22400000 req, miss ratio 0.2175, byte miss ratio 0.2175
result/io_traces.ns509.oracleGeneral.zst S3FIFO cache size    17232, 22400000 req, miss ratio 0.1659, byte miss ratio 0.1659
result/io_traces.ns509.oracleGeneral.zst S3FIFO cache size    51698, 22400000 req, miss ratio 0.1345, byte miss ratio 0.1345
result/io_traces.ns509.oracleGeneral.zst S3FIFO cache size   172329, 22400000 req, miss ratio 0.0837, byte miss ratio 0.0837
result/io_traces.ns509.oracleGeneral.zst S3FIFO cache size   344659, 22400000 req, miss ratio 0.0805, byte miss ratio 0.0805
result/io_traces.ns509.oracleGeneral.zst S3FIFO cache size   689318, 22400000 req, miss ratio 0.0797, byte miss ratio 0.0797
result/io_traces.ns509.oracleGeneral.zst S3FIFO cache size  1378636, 22400000 req, miss ratio 0.0770, byte miss ratio 0.0770
result/io_traces.ns509.oracleGeneral.zst S3FIFO-d cache size     1723, 22400000 req, miss ratio 0.2522, byte miss ratio 0.2522
result/io_traces.ns509.oracleGeneral.zst S3FIFO-d cache size     5169, 22400000 req, miss ratio 0.2162, byte miss ratio 0.2162
result/io_traces.ns509.oracleGeneral.zst S3FIFO-d cache size    17232, 22400000 req, miss ratio 0.1655, byte miss ratio 0.1655
result/io_traces.ns509.oracleGeneral.zst S3FIFO-d cache size    51698, 22400000 req, miss ratio 0.1180, byte miss ratio 0.1180
result/io_traces.ns509.oracleGeneral.zst S3FIFO-d cache size   172329, 22400000 req, miss ratio 0.0817, byte miss ratio 0.0817
result/io_traces.ns509.oracleGeneral.zst S3FIFO-d cache size   344659, 22400000 req, miss ratio 0.0804, byte miss ratio 0.0804
result/io_traces.ns509.oracleGeneral.zst S3FIFO-d cache size   689318, 22400000 req, miss ratio 0.0797, byte miss ratio 0.0797
result/io_traces.ns509.oracleGeneral.zst S3FIFO-d cache size  1378636, 22400000 req, miss ratio 0.0770, byte miss ratio 0.0770
result/io_traces.ns509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1723, 22400000 req, miss ratio 0.3715, byte miss ratio 0.3715
result/io_traces.ns509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5169, 22400000 req, miss ratio 0.3247, byte miss ratio 0.3247
result/io_traces.ns509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    17232, 22400000 req, miss ratio 0.4629, byte miss ratio 0.4629
result/io_traces.ns509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    51698, 22400000 req, miss ratio 0.1761, byte miss ratio 0.1761
result/io_traces.ns509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   172329, 22400000 req, miss ratio 0.1495, byte miss ratio 0.1495
result/io_traces.ns509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   344659, 22400000 req, miss ratio 0.1245, byte miss ratio 0.1245
result/io_traces.ns509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   689318, 22400000 req, miss ratio 0.1094, byte miss ratio 0.1094
result/io_traces.ns509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1378636, 22400000 req, miss ratio 0.0820, byte miss ratio 0.0820
result/io_traces.ns509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1723, 22400000 req, miss ratio 0.2757, byte miss ratio 0.2757
result/io_traces.ns509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5169, 22400000 req, miss ratio 0.2511, byte miss ratio 0.2511
result/io_traces.ns509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    17232, 22400000 req, miss ratio 0.2192, byte miss ratio 0.2192
result/io_traces.ns509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    51698, 22400000 req, miss ratio 0.1471, byte miss ratio 0.1471
result/io_traces.ns509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   172329, 22400000 req, miss ratio 0.0953, byte miss ratio 0.0953
result/io_traces.ns509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   344659, 22400000 req, miss ratio 0.0812, byte miss ratio 0.0812
result/io_traces.ns509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   689318, 22400000 req, miss ratio 0.0810, byte miss ratio 0.0810
result/io_traces.ns509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1378636, 22400000 req, miss ratio 0.0780, byte miss ratio 0.0780
