result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-1 cache size     6730, 1497698 req, miss ratio 0.0904, byte miss ratio 0.0904
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-1 cache size    13461, 1497698 req, miss ratio 0.0366, byte miss ratio 0.0366
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-1 cache size    26923, 1497698 req, miss ratio 0.0233, byte miss ratio 0.0233
result/cdn1_sjc.ns509.oracleGeneral.bin.zst clock2 cache size       33, 1497698 req, miss ratio 0.7287, byte miss ratio 0.7287
result/cdn1_sjc.ns509.oracleGeneral.bin.zst clock2 cache size      100, 1497698 req, miss ratio 0.6291, byte miss ratio 0.6291
result/cdn1_sjc.ns509.oracleGeneral.bin.zst clock2 cache size      336, 1497698 req, miss ratio 0.5150, byte miss ratio 0.5150
result/cdn1_sjc.ns509.oracleGeneral.bin.zst clock2 cache size     1009, 1497698 req, miss ratio 0.4062, byte miss ratio 0.4062
result/cdn1_sjc.ns509.oracleGeneral.bin.zst clock2 cache size     3365, 1497698 req, miss ratio 0.2179, byte miss ratio 0.2179
result/cdn1_sjc.ns509.oracleGeneral.bin.zst clock2 cache size     6730, 1497698 req, miss ratio 0.0948, byte miss ratio 0.0948
result/cdn1_sjc.ns509.oracleGeneral.bin.zst clock2 cache size    13461, 1497698 req, miss ratio 0.0386, byte miss ratio 0.0386
result/cdn1_sjc.ns509.oracleGeneral.bin.zst clock2 cache size    26923, 1497698 req, miss ratio 0.0233, byte miss ratio 0.0233
result/cdn1_sjc.ns509.oracleGeneral.bin.zst Cacheus cache size       33, 1497698 req, miss ratio 0.7349, byte miss ratio 0.7349
result/cdn1_sjc.ns509.oracleGeneral.bin.zst Cacheus cache size      100, 1497698 req, miss ratio 0.6432, byte miss ratio 0.6432
result/cdn1_sjc.ns509.oracleGeneral.bin.zst Cacheus cache size      336, 1497698 req, miss ratio 0.5175, byte miss ratio 0.5175
