result/cdn2_colo28.ns703.oracleGeneral.zst LIRS cache size       11, 1643873 req, miss ratio 0.7779, byte miss ratio 0.7779
result/cdn2_colo28.ns703.oracleGeneral.zst LIRS cache size       34, 1643873 req, miss ratio 0.6506, byte miss ratio 0.6506
result/cdn2_colo28.ns703.oracleGeneral.zst LIRS cache size      115, 1643873 req, miss ratio 0.4841, byte miss ratio 0.4841
result/cdn2_colo28.ns703.oracleGeneral.zst LIRS cache size      345, 1643873 req, miss ratio 0.2678, byte miss ratio 0.2678
result/cdn2_colo28.ns703.oracleGeneral.zst LIRS cache size     1151, 1643873 req, miss ratio 0.0545, byte miss ratio 0.0545
result/cdn2_colo28.ns703.oracleGeneral.zst LIRS cache size     2303, 1643873 req, miss ratio 0.0228, byte miss ratio 0.0228
result/cdn2_colo28.ns703.oracleGeneral.zst LIRS cache size     4607, 1643873 req, miss ratio 0.0094, byte miss ratio 0.0094
result/cdn2_colo28.ns703.oracleGeneral.zst LIRS cache size     9214, 1643873 req, miss ratio 0.0072, byte miss ratio 0.0072
result/cdn2_colo28.ns703.oracleGeneral.zst LRU cache size       11, 1643873 req, miss ratio 0.9242, byte miss ratio 0.9242
result/cdn2_colo28.ns703.oracleGeneral.zst LRU cache size       34, 1643873 req, miss ratio 0.7722, byte miss ratio 0.7722
result/cdn2_colo28.ns703.oracleGeneral.zst LRU cache size      115, 1643873 req, miss ratio 0.5674, byte miss ratio 0.5674
result/cdn2_colo28.ns703.oracleGeneral.zst LRU cache size      345, 1643873 req, miss ratio 0.3255, byte miss ratio 0.3255
result/cdn2_colo28.ns703.oracleGeneral.zst LRU cache size     1151, 1643873 req, miss ratio 0.0685, byte miss ratio 0.0685
result/cdn2_colo28.ns703.oracleGeneral.zst LRU cache size     2303, 1643873 req, miss ratio 0.0260, byte miss ratio 0.0260
result/cdn2_colo28.ns703.oracleGeneral.zst LRU cache size     4607, 1643873 req, miss ratio 0.0101, byte miss ratio 0.0101
result/cdn2_colo28.ns703.oracleGeneral.zst LRU cache size     9214, 1643873 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_colo28.ns703.oracleGeneral.zst clock2 cache size       11, 1643873 req, miss ratio 0.9183, byte miss ratio 0.9183
result/cdn2_colo28.ns703.oracleGeneral.zst clock2 cache size       34, 1643873 req, miss ratio 0.7350, byte miss ratio 0.7350
result/cdn2_colo28.ns703.oracleGeneral.zst clock2 cache size      115, 1643873 req, miss ratio 0.5416, byte miss ratio 0.5416
result/cdn2_colo28.ns703.oracleGeneral.zst clock2 cache size      345, 1643873 req, miss ratio 0.2928, byte miss ratio 0.2928
result/cdn2_colo28.ns703.oracleGeneral.zst clock2 cache size     1151, 1643873 req, miss ratio 0.0582, byte miss ratio 0.0582
result/cdn2_colo28.ns703.oracleGeneral.zst clock2 cache size     2303, 1643873 req, miss ratio 0.0238, byte miss ratio 0.0238
result/cdn2_colo28.ns703.oracleGeneral.zst clock2 cache size     4607, 1643873 req, miss ratio 0.0097, byte miss ratio 0.0097
result/cdn2_colo28.ns703.oracleGeneral.zst clock2 cache size     9214, 1643873 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-1 cache size       11, 1643873 req, miss ratio 0.7688, byte miss ratio 0.7688
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-1 cache size       34, 1643873 req, miss ratio 0.6422, byte miss ratio 0.6422
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-1 cache size      115, 1643873 req, miss ratio 0.4736, byte miss ratio 0.4736
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-1 cache size      345, 1643873 req, miss ratio 0.2632, byte miss ratio 0.2632
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-1 cache size     1151, 1643873 req, miss ratio 0.0547, byte miss ratio 0.0547
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-1 cache size     2303, 1643873 req, miss ratio 0.0227, byte miss ratio 0.0227
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-1 cache size     4607, 1643873 req, miss ratio 0.0092, byte miss ratio 0.0092
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-1 cache size     9214, 1643873 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-d-1 cache size       11, 1643873 req, miss ratio 0.7678, byte miss ratio 0.7678
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-d-1 cache size       34, 1643873 req, miss ratio 0.6447, byte miss ratio 0.6447
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-d-1 cache size      115, 1643873 req, miss ratio 0.4813, byte miss ratio 0.4813
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-d-1 cache size      345, 1643873 req, miss ratio 0.2653, byte miss ratio 0.2653
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-d-1 cache size     1151, 1643873 req, miss ratio 0.0547, byte miss ratio 0.0547
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-d-1 cache size     2303, 1643873 req, miss ratio 0.0226, byte miss ratio 0.0226
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-d-1 cache size     4607, 1643873 req, miss ratio 0.0092, byte miss ratio 0.0092
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-d-1 cache size     9214, 1643873 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_colo28.ns703.oracleGeneral.zst LRB cache size       11, 1643873 req, miss ratio 0.8019, byte miss ratio 0.8019
result/cdn2_colo28.ns703.oracleGeneral.zst LRB cache size       34, 1643873 req, miss ratio 0.6422, byte miss ratio 0.6422
result/cdn2_colo28.ns703.oracleGeneral.zst LRB cache size      115, 1643873 req, miss ratio 0.4509, byte miss ratio 0.4509
result/cdn2_colo28.ns703.oracleGeneral.zst LRB cache size      345, 1643873 req, miss ratio 0.2391, byte miss ratio 0.2391
result/cdn2_colo28.ns703.oracleGeneral.zst LRB cache size     1151, 1643873 req, miss ratio 0.0519, byte miss ratio 0.0519
result/cdn2_colo28.ns703.oracleGeneral.zst LRB cache size     2303, 1643873 req, miss ratio 0.0220, byte miss ratio 0.0220
result/cdn2_colo28.ns703.oracleGeneral.zst LRB cache size     4607, 1643873 req, miss ratio 0.0098, byte miss ratio 0.0098
result/cdn2_colo28.ns703.oracleGeneral.zst LRB cache size     9214, 1643873 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_colo28.ns703.oracleGeneral.zst TwoQ cache size       11, 1643873 req, miss ratio 0.7974, byte miss ratio 0.7974
result/cdn2_colo28.ns703.oracleGeneral.zst TwoQ cache size       34, 1643873 req, miss ratio 0.6631, byte miss ratio 0.6631
result/cdn2_colo28.ns703.oracleGeneral.zst TwoQ cache size      115, 1643873 req, miss ratio 0.4962, byte miss ratio 0.4962
result/cdn2_colo28.ns703.oracleGeneral.zst TwoQ cache size      345, 1643873 req, miss ratio 0.2866, byte miss ratio 0.2866
result/cdn2_colo28.ns703.oracleGeneral.zst TwoQ cache size     1151, 1643873 req, miss ratio 0.0659, byte miss ratio 0.0659
result/cdn2_colo28.ns703.oracleGeneral.zst TwoQ cache size     2303, 1643873 req, miss ratio 0.0263, byte miss ratio 0.0263
result/cdn2_colo28.ns703.oracleGeneral.zst TwoQ cache size     4607, 1643873 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_colo28.ns703.oracleGeneral.zst TwoQ cache size     9214, 1643873 req, miss ratio 0.0090, byte miss ratio 0.0090
result/cdn2_colo28.ns703.oracleGeneral.zst S4LRU(25:25:25:25) cache size       11, 1643873 req, miss ratio 0.8229, byte miss ratio 0.8229
result/cdn2_colo28.ns703.oracleGeneral.zst S4LRU(25:25:25:25) cache size       34, 1643873 req, miss ratio 0.6545, byte miss ratio 0.6545
result/cdn2_colo28.ns703.oracleGeneral.zst S4LRU(25:25:25:25) cache size      115, 1643873 req, miss ratio 0.4812, byte miss ratio 0.4812
result/cdn2_colo28.ns703.oracleGeneral.zst S4LRU(25:25:25:25) cache size      345, 1643873 req, miss ratio 0.2649, byte miss ratio 0.2649
result/cdn2_colo28.ns703.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1151, 1643873 req, miss ratio 0.0571, byte miss ratio 0.0571
result/cdn2_colo28.ns703.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2303, 1643873 req, miss ratio 0.0234, byte miss ratio 0.0234
result/cdn2_colo28.ns703.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4607, 1643873 req, miss ratio 0.0095, byte miss ratio 0.0095
result/cdn2_colo28.ns703.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9214, 1643873 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_colo28.ns703.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       11, 1643873 req, miss ratio 0.9248, byte miss ratio 0.9248
result/cdn2_colo28.ns703.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       34, 1643873 req, miss ratio 0.7988, byte miss ratio 0.7988
result/cdn2_colo28.ns703.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      115, 1643873 req, miss ratio 0.5635, byte miss ratio 0.5635
result/cdn2_colo28.ns703.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      345, 1643873 req, miss ratio 0.3244, byte miss ratio 0.3244
result/cdn2_colo28.ns703.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1151, 1643873 req, miss ratio 0.0765, byte miss ratio 0.0765
result/cdn2_colo28.ns703.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2303, 1643873 req, miss ratio 0.0299, byte miss ratio 0.0299
result/cdn2_colo28.ns703.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4607, 1643873 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_colo28.ns703.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9214, 1643873 req, miss ratio 0.0083, byte miss ratio 0.0083
result/cdn2_colo28.ns703.oracleGeneral.zst B-LRU cache size       11, 1643873 req, miss ratio 0.9238, byte miss ratio 0.9238
result/cdn2_colo28.ns703.oracleGeneral.zst B-LRU cache size       34, 1643873 req, miss ratio 0.7714, byte miss ratio 0.7714
result/cdn2_colo28.ns703.oracleGeneral.zst B-LRU cache size      115, 1643873 req, miss ratio 0.5662, byte miss ratio 0.5662
result/cdn2_colo28.ns703.oracleGeneral.zst B-LRU cache size      345, 1643873 req, miss ratio 0.3237, byte miss ratio 0.3237
result/cdn2_colo28.ns703.oracleGeneral.zst B-LRU cache size     1151, 1643873 req, miss ratio 0.0667, byte miss ratio 0.0667
result/cdn2_colo28.ns703.oracleGeneral.zst B-LRU cache size     2303, 1643873 req, miss ratio 0.0260, byte miss ratio 0.0260
result/cdn2_colo28.ns703.oracleGeneral.zst B-LRU cache size     4607, 1643873 req, miss ratio 0.0124, byte miss ratio 0.0124
result/cdn2_colo28.ns703.oracleGeneral.zst B-LRU cache size     9214, 1643873 req, miss ratio 0.0116, byte miss ratio 0.0116
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO cache size       11, 1643873 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO cache size       34, 1643873 req, miss ratio 0.6407, byte miss ratio 0.6407
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO cache size      115, 1643873 req, miss ratio 0.4715, byte miss ratio 0.4715
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO cache size      345, 1643873 req, miss ratio 0.2619, byte miss ratio 0.2619
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO cache size     1151, 1643873 req, miss ratio 0.0547, byte miss ratio 0.0547
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO cache size     2303, 1643873 req, miss ratio 0.0227, byte miss ratio 0.0227
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO cache size     4607, 1643873 req, miss ratio 0.0093, byte miss ratio 0.0093
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO cache size     9214, 1643873 req, miss ratio 0.0072, byte miss ratio 0.0072
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-d cache size       11, 1643873 req, miss ratio 0.7667, byte miss ratio 0.7667
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-d cache size       34, 1643873 req, miss ratio 0.6605, byte miss ratio 0.6605
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-d cache size      115, 1643873 req, miss ratio 0.5497, byte miss ratio 0.5497
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-d cache size      345, 1643873 req, miss ratio 0.3009, byte miss ratio 0.3009
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-d cache size     1151, 1643873 req, miss ratio 0.0582, byte miss ratio 0.0582
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-d cache size     2303, 1643873 req, miss ratio 0.0230, byte miss ratio 0.0230
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-d cache size     4607, 1643873 req, miss ratio 0.0093, byte miss ratio 0.0093
result/cdn2_colo28.ns703.oracleGeneral.zst S3FIFO-d cache size     9214, 1643873 req, miss ratio 0.0072, byte miss ratio 0.0072
result/cdn2_colo28.ns703.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       11, 1643873 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns703.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       34, 1643873 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns703.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      115, 1643873 req, miss ratio 0.4615, byte miss ratio 0.4615
result/cdn2_colo28.ns703.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      345, 1643873 req, miss ratio 0.2472, byte miss ratio 0.2472
result/cdn2_colo28.ns703.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1151, 1643873 req, miss ratio 0.0608, byte miss ratio 0.0608
result/cdn2_colo28.ns703.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2303, 1643873 req, miss ratio 0.0279, byte miss ratio 0.0279
result/cdn2_colo28.ns703.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4607, 1643873 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_colo28.ns703.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9214, 1643873 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_colo28.ns703.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       11, 1643873 req, miss ratio 0.7913, byte miss ratio 0.7913
result/cdn2_colo28.ns703.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       34, 1643873 req, miss ratio 0.6433, byte miss ratio 0.6433
result/cdn2_colo28.ns703.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      115, 1643873 req, miss ratio 0.4656, byte miss ratio 0.4656
result/cdn2_colo28.ns703.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      345, 1643873 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns703.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1151, 1643873 req, miss ratio 0.0539, byte miss ratio 0.0539
result/cdn2_colo28.ns703.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2303, 1643873 req, miss ratio 0.0222, byte miss ratio 0.0222
result/cdn2_colo28.ns703.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4607, 1643873 req, miss ratio 0.0100, byte miss ratio 0.0100
result/cdn2_colo28.ns703.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9214, 1643873 req, miss ratio 0.0075, byte miss ratio 0.0075
