result/tencentBlock.ns2672.oracleGeneral.zst LRU cache size      236, 2500041 req, miss ratio 0.3761, byte miss ratio 0.3761
result/tencentBlock.ns2672.oracleGeneral.zst LRU cache size      708, 2500041 req, miss ratio 0.2411, byte miss ratio 0.2411
result/tencentBlock.ns2672.oracleGeneral.zst LRU cache size     2360, 2500041 req, miss ratio 0.2327, byte miss ratio 0.2327
result/tencentBlock.ns2672.oracleGeneral.zst LRU cache size     7082, 2500041 req, miss ratio 0.2303, byte miss ratio 0.2303
result/tencentBlock.ns2672.oracleGeneral.zst LRU cache size    23607, 2500041 req, miss ratio 0.1728, byte miss ratio 0.1728
result/tencentBlock.ns2672.oracleGeneral.zst LRU cache size    47215, 2500041 req, miss ratio 0.1305, byte miss ratio 0.1305
result/tencentBlock.ns2672.oracleGeneral.zst LRU cache size    94430, 2500041 req, miss ratio 0.0992, byte miss ratio 0.0992
result/tencentBlock.ns2672.oracleGeneral.zst LRU cache size   188861, 2500041 req, miss ratio 0.0947, byte miss ratio 0.0947
result/tencentBlock.ns2672.oracleGeneral.zst LIRS cache size      236, 2500041 req, miss ratio 0.2982, byte miss ratio 0.2982
result/tencentBlock.ns2672.oracleGeneral.zst LIRS cache size      708, 2500041 req, miss ratio 0.2461, byte miss ratio 0.2461
result/tencentBlock.ns2672.oracleGeneral.zst LIRS cache size     2360, 2500041 req, miss ratio 0.2336, byte miss ratio 0.2336
result/tencentBlock.ns2672.oracleGeneral.zst LIRS cache size     7082, 2500041 req, miss ratio 0.2245, byte miss ratio 0.2245
result/tencentBlock.ns2672.oracleGeneral.zst LIRS cache size    23607, 2500041 req, miss ratio 0.1787, byte miss ratio 0.1787
result/tencentBlock.ns2672.oracleGeneral.zst LIRS cache size    47215, 2500041 req, miss ratio 0.1316, byte miss ratio 0.1316
result/tencentBlock.ns2672.oracleGeneral.zst LIRS cache size    94430, 2500041 req, miss ratio 0.0989, byte miss ratio 0.0989
