result/tencentBlock.ns17932.oracleGeneral.zst Clock cache size      237, 2558511 req, miss ratio 0.3939, byte miss ratio 0.3939
result/tencentBlock.ns17932.oracleGeneral.zst Clock cache size      712, 2558511 req, miss ratio 0.3661, byte miss ratio 0.3661
result/tencentBlock.ns17932.oracleGeneral.zst Clock cache size     2374, 2558511 req, miss ratio 0.3325, byte miss ratio 0.3325
result/tencentBlock.ns17932.oracleGeneral.zst Clock cache size     7123, 2558511 req, miss ratio 0.2934, byte miss ratio 0.2934
result/tencentBlock.ns17932.oracleGeneral.zst Clock cache size    23743, 2558511 req, miss ratio 0.2683, byte miss ratio 0.2683
result/tencentBlock.ns17932.oracleGeneral.zst Clock cache size    47486, 2558511 req, miss ratio 0.2229, byte miss ratio 0.2229
result/tencentBlock.ns17932.oracleGeneral.zst Clock cache size    94973, 2558511 req, miss ratio 0.1334, byte miss ratio 0.1334
result/tencentBlock.ns17932.oracleGeneral.zst Clock cache size   189947, 2558511 req, miss ratio 0.0945, byte miss ratio 0.0945
result/tencentBlock.ns17932.oracleGeneral.zst clock2 cache size      237, 2558511 req, miss ratio 0.3918, byte miss ratio 0.3918
result/tencentBlock.ns17932.oracleGeneral.zst clock2 cache size      712, 2558511 req, miss ratio 0.3668, byte miss ratio 0.3668
result/tencentBlock.ns17932.oracleGeneral.zst clock2 cache size     2374, 2558511 req, miss ratio 0.3339, byte miss ratio 0.3339
result/tencentBlock.ns17932.oracleGeneral.zst clock2 cache size     7123, 2558511 req, miss ratio 0.2880, byte miss ratio 0.2880
result/tencentBlock.ns17932.oracleGeneral.zst clock2 cache size    23743, 2558511 req, miss ratio 0.2746, byte miss ratio 0.2746
result/tencentBlock.ns17932.oracleGeneral.zst clock2 cache size    47486, 2558511 req, miss ratio 0.2297, byte miss ratio 0.2297
result/tencentBlock.ns17932.oracleGeneral.zst clock2 cache size    94973, 2558511 req, miss ratio 0.1479, byte miss ratio 0.1479
result/tencentBlock.ns17932.oracleGeneral.zst clock2 cache size   189947, 2558511 req, miss ratio 0.0943, byte miss ratio 0.0943
result/tencentBlock.ns17932.oracleGeneral.zst LHD cache size      237, 2558511 req, miss ratio 0.3899, byte miss ratio 0.3899
result/tencentBlock.ns17932.oracleGeneral.zst LHD cache size      712, 2558511 req, miss ratio 0.3637, byte miss ratio 0.3637
result/tencentBlock.ns17932.oracleGeneral.zst LHD cache size     2374, 2558511 req, miss ratio 0.3250, byte miss ratio 0.3250
result/tencentBlock.ns17932.oracleGeneral.zst LHD cache size     7123, 2558511 req, miss ratio 0.2877, byte miss ratio 0.2877
result/tencentBlock.ns17932.oracleGeneral.zst LHD cache size    23743, 2558511 req, miss ratio 0.2480, byte miss ratio 0.2480
result/tencentBlock.ns17932.oracleGeneral.zst LHD cache size    47486, 2558511 req, miss ratio 0.2008, byte miss ratio 0.2008
result/tencentBlock.ns17932.oracleGeneral.zst LHD cache size    94973, 2558511 req, miss ratio 0.1187, byte miss ratio 0.1187
result/tencentBlock.ns17932.oracleGeneral.zst LHD cache size   189947, 2558511 req, miss ratio 0.0946, byte miss ratio 0.0946
result/tencentBlock.ns17932.oracleGeneral.zst Cacheus cache size      237, 2558511 req, miss ratio 0.3813, byte miss ratio 0.3813
result/tencentBlock.ns17932.oracleGeneral.zst Cacheus cache size      712, 2558511 req, miss ratio 0.3603, byte miss ratio 0.3603
result/tencentBlock.ns17932.oracleGeneral.zst Cacheus cache size     2374, 2558511 req, miss ratio 0.3180, byte miss ratio 0.3180
result/tencentBlock.ns17932.oracleGeneral.zst Cacheus cache size     7123, 2558511 req, miss ratio 0.2841, byte miss ratio 0.2841
result/tencentBlock.ns17932.oracleGeneral.zst Cacheus cache size    23743, 2558511 req, miss ratio 0.2529, byte miss ratio 0.2529
result/tencentBlock.ns17932.oracleGeneral.zst Cacheus cache size    47486, 2558511 req, miss ratio 0.2163, byte miss ratio 0.2163
result/tencentBlock.ns17932.oracleGeneral.zst Cacheus cache size    94973, 2558511 req, miss ratio 0.1200, byte miss ratio 0.1200
result/tencentBlock.ns17932.oracleGeneral.zst Cacheus cache size   189947, 2558511 req, miss ratio 0.0933, byte miss ratio 0.0933
result/tencentBlock.ns17932.oracleGeneral.zst LRU cache size      237, 2558511 req, miss ratio 0.3997, byte miss ratio 0.3997
result/tencentBlock.ns17932.oracleGeneral.zst LRU cache size      712, 2558511 req, miss ratio 0.3665, byte miss ratio 0.3665
result/tencentBlock.ns17932.oracleGeneral.zst LRU cache size     2374, 2558511 req, miss ratio 0.3333, byte miss ratio 0.3333
result/tencentBlock.ns17932.oracleGeneral.zst LRU cache size     7123, 2558511 req, miss ratio 0.2969, byte miss ratio 0.2969
result/tencentBlock.ns17932.oracleGeneral.zst LRU cache size    23743, 2558511 req, miss ratio 0.2475, byte miss ratio 0.2475
result/tencentBlock.ns17932.oracleGeneral.zst LRU cache size    47486, 2558511 req, miss ratio 0.2210, byte miss ratio 0.2210
result/tencentBlock.ns17932.oracleGeneral.zst LRU cache size    94973, 2558511 req, miss ratio 0.1254, byte miss ratio 0.1254
result/tencentBlock.ns17932.oracleGeneral.zst LRU cache size   189947, 2558511 req, miss ratio 0.0933, byte miss ratio 0.0933
result/tencentBlock.ns17932.oracleGeneral.zst FIFO cache size      237, 2558511 req, miss ratio 0.5359, byte miss ratio 0.5359
