result/tencentBlock.ns14067.oracleGeneral.zst clock2 cache size  1206440, 10364967 req, miss ratio 0.1461, byte miss ratio 0.1461
result/tencentBlock.ns14067.oracleGeneral.zst LRU cache size     1508, 10364967 req, miss ratio 0.5353, byte miss ratio 0.5353
result/tencentBlock.ns14067.oracleGeneral.zst LRU cache size     4524, 10364967 req, miss ratio 0.3766, byte miss ratio 0.3766
result/tencentBlock.ns14067.oracleGeneral.zst LRU cache size    15080, 10364967 req, miss ratio 0.3335, byte miss ratio 0.3335
result/tencentBlock.ns14067.oracleGeneral.zst LRU cache size    45241, 10364967 req, miss ratio 0.2509, byte miss ratio 0.2509
result/tencentBlock.ns14067.oracleGeneral.zst LRU cache size   150805, 10364967 req, miss ratio 0.1910, byte miss ratio 0.1910
result/tencentBlock.ns14067.oracleGeneral.zst LRU cache size   301610, 10364967 req, miss ratio 0.1627, byte miss ratio 0.1627
result/tencentBlock.ns14067.oracleGeneral.zst LRU cache size   603220, 10364967 req, miss ratio 0.1489, byte miss ratio 0.1489
result/tencentBlock.ns14067.oracleGeneral.zst LRU cache size  1206440, 10364967 req, miss ratio 0.1461, byte miss ratio 0.1461
result/tencentBlock.ns14067.oracleGeneral.zst Cacheus cache size     1508, 10364967 req, miss ratio 0.4397, byte miss ratio 0.4397
result/tencentBlock.ns14067.oracleGeneral.zst Cacheus cache size     4524, 10364967 req, miss ratio 0.3672, byte miss ratio 0.3672
result/tencentBlock.ns14067.oracleGeneral.zst Cacheus cache size    15080, 10364967 req, miss ratio 0.3198, byte miss ratio 0.3198
result/tencentBlock.ns14067.oracleGeneral.zst Cacheus cache size    45241, 10364967 req, miss ratio 0.2497, byte miss ratio 0.2497
result/tencentBlock.ns14067.oracleGeneral.zst Cacheus cache size   150805, 10364967 req, miss ratio 0.1862, byte miss ratio 0.1862
result/tencentBlock.ns14067.oracleGeneral.zst Cacheus cache size   301610, 10364967 req, miss ratio 0.1649, byte miss ratio 0.1649
result/tencentBlock.ns14067.oracleGeneral.zst Cacheus cache size   603220, 10364967 req, miss ratio 0.1513, byte miss ratio 0.1513
result/tencentBlock.ns14067.oracleGeneral.zst Cacheus cache size  1206440, 10364967 req, miss ratio 0.1461, byte miss ratio 0.1461
result/tencentBlock.ns14067.oracleGeneral.zst FIFO cache size     1508, 10364967 req, miss ratio 0.5996, byte miss ratio 0.5996
result/tencentBlock.ns14067.oracleGeneral.zst FIFO cache size     4524, 10364967 req, miss ratio 0.4495, byte miss ratio 0.4495
result/tencentBlock.ns14067.oracleGeneral.zst FIFO cache size    15080, 10364967 req, miss ratio 0.3592, byte miss ratio 0.3592
result/tencentBlock.ns14067.oracleGeneral.zst FIFO cache size    45241, 10364967 req, miss ratio 0.2689, byte miss ratio 0.2689
result/tencentBlock.ns14067.oracleGeneral.zst FIFO cache size   150805, 10364967 req, miss ratio 0.2103, byte miss ratio 0.2103
result/tencentBlock.ns14067.oracleGeneral.zst FIFO cache size   301610, 10364967 req, miss ratio 0.1821, byte miss ratio 0.1821
result/tencentBlock.ns14067.oracleGeneral.zst FIFO cache size   603220, 10364967 req, miss ratio 0.1609, byte miss ratio 0.1609
result/tencentBlock.ns14067.oracleGeneral.zst FIFO cache size  1206440, 10364967 req, miss ratio 0.1514, byte miss ratio 0.1514
result/tencentBlock.ns14067.oracleGeneral.zst ARC cache size     1508, 10364967 req, miss ratio 0.4138, byte miss ratio 0.4138
