result/io_traces.ns611.oracleGeneral.zst clock2 cache size     5429, 2600000 req, miss ratio 0.6488, byte miss ratio 0.6488
result/io_traces.ns611.oracleGeneral.zst clock2 cache size    18097, 2600000 req, miss ratio 0.3944, byte miss ratio 0.3944
result/io_traces.ns611.oracleGeneral.zst clock2 cache size    36194, 2600000 req, miss ratio 0.2759, byte miss ratio 0.2759
result/io_traces.ns611.oracleGeneral.zst clock2 cache size    72388, 2600000 req, miss ratio 0.1087, byte miss ratio 0.1087
result/io_traces.ns611.oracleGeneral.zst clock2 cache size   144777, 2600000 req, miss ratio 0.0720, byte miss ratio 0.0720
result/io_traces.ns611.oracleGeneral.zst S3FIFO-1 cache size      180, 2600000 req, miss ratio 0.7179, byte miss ratio 0.7179
result/io_traces.ns611.oracleGeneral.zst S3FIFO-1 cache size      542, 2600000 req, miss ratio 0.6839, byte miss ratio 0.6839
result/io_traces.ns611.oracleGeneral.zst S3FIFO-1 cache size     1809, 2600000 req, miss ratio 0.6218, byte miss ratio 0.6218
result/io_traces.ns611.oracleGeneral.zst S3FIFO-1 cache size     5429, 2600000 req, miss ratio 0.5140, byte miss ratio 0.5140
result/io_traces.ns611.oracleGeneral.zst S3FIFO-1 cache size    18097, 2600000 req, miss ratio 0.3921, byte miss ratio 0.3921
result/io_traces.ns611.oracleGeneral.zst S3FIFO-1 cache size    36194, 2600000 req, miss ratio 0.2732, byte miss ratio 0.2732
result/io_traces.ns611.oracleGeneral.zst S3FIFO-1 cache size    72388, 2600000 req, miss ratio 0.1037, byte miss ratio 0.1037
result/io_traces.ns611.oracleGeneral.zst S3FIFO-1 cache size   144777, 2600000 req, miss ratio 0.0723, byte miss ratio 0.0723
result/io_traces.ns611.oracleGeneral.zst Cacheus cache size      180, 2600000 req, miss ratio 0.7260, byte miss ratio 0.7260
result/io_traces.ns611.oracleGeneral.zst Cacheus cache size      542, 2600000 req, miss ratio 0.6954, byte miss ratio 0.6954
result/io_traces.ns611.oracleGeneral.zst Cacheus cache size     1809, 2600000 req, miss ratio 0.6499, byte miss ratio 0.6499
result/io_traces.ns611.oracleGeneral.zst Cacheus cache size     5429, 2600000 req, miss ratio 0.5669, byte miss ratio 0.5669
result/io_traces.ns611.oracleGeneral.zst Cacheus cache size    18097, 2600000 req, miss ratio 0.3827, byte miss ratio 0.3827
result/io_traces.ns611.oracleGeneral.zst Cacheus cache size    36194, 2600000 req, miss ratio 0.2625, byte miss ratio 0.2625
result/io_traces.ns611.oracleGeneral.zst Cacheus cache size    72388, 2600000 req, miss ratio 0.1072, byte miss ratio 0.1072
result/io_traces.ns611.oracleGeneral.zst Cacheus cache size   144777, 2600000 req, miss ratio 0.0712, byte miss ratio 0.0712
result/io_traces.ns611.oracleGeneral.zst FIFO cache size      180, 2600000 req, miss ratio 0.8436, byte miss ratio 0.8436
result/io_traces.ns611.oracleGeneral.zst FIFO cache size      542, 2600000 req, miss ratio 0.7749, byte miss ratio 0.7749
result/io_traces.ns611.oracleGeneral.zst FIFO cache size     1809, 2600000 req, miss ratio 0.7259, byte miss ratio 0.7259
result/io_traces.ns611.oracleGeneral.zst FIFO cache size     5429, 2600000 req, miss ratio 0.6744, byte miss ratio 0.6744
result/io_traces.ns611.oracleGeneral.zst FIFO cache size    18097, 2600000 req, miss ratio 0.4500, byte miss ratio 0.4500
result/io_traces.ns611.oracleGeneral.zst FIFO cache size    36194, 2600000 req, miss ratio 0.2888, byte miss ratio 0.2888
result/io_traces.ns611.oracleGeneral.zst FIFO cache size    72388, 2600000 req, miss ratio 0.1443, byte miss ratio 0.1443
result/io_traces.ns611.oracleGeneral.zst FIFO cache size   144777, 2600000 req, miss ratio 0.0808, byte miss ratio 0.0808
result/io_traces.ns611.oracleGeneral.zst S3FIFO-d-1 cache size      180, 2600000 req, miss ratio 0.7172, byte miss ratio 0.7172
result/io_traces.ns611.oracleGeneral.zst S3FIFO-d-1 cache size      542, 2600000 req, miss ratio 0.6840, byte miss ratio 0.6840
result/io_traces.ns611.oracleGeneral.zst S3FIFO-d-1 cache size     1809, 2600000 req, miss ratio 0.6235, byte miss ratio 0.6235
result/io_traces.ns611.oracleGeneral.zst S3FIFO-d-1 cache size     5429, 2600000 req, miss ratio 0.5148, byte miss ratio 0.5148
result/io_traces.ns611.oracleGeneral.zst S3FIFO-d-1 cache size    18097, 2600000 req, miss ratio 0.3948, byte miss ratio 0.3948
result/io_traces.ns611.oracleGeneral.zst S3FIFO-d-1 cache size    36194, 2600000 req, miss ratio 0.2738, byte miss ratio 0.2738
result/io_traces.ns611.oracleGeneral.zst S3FIFO-d-1 cache size    72388, 2600000 req, miss ratio 0.1035, byte miss ratio 0.1035
result/io_traces.ns611.oracleGeneral.zst S3FIFO-d-1 cache size   144777, 2600000 req, miss ratio 0.0723, byte miss ratio 0.0723
result/io_traces.ns611.oracleGeneral.zst LRB cache size      180, 2600000 req, miss ratio 0.7188, byte miss ratio 0.7188
result/io_traces.ns611.oracleGeneral.zst LRB cache size      542, 2600000 req, miss ratio 0.6873, byte miss ratio 0.6873
result/io_traces.ns611.oracleGeneral.zst LRB cache size     1809, 2600000 req, miss ratio 0.6077, byte miss ratio 0.6077
result/io_traces.ns611.oracleGeneral.zst LRB cache size     5429, 2600000 req, miss ratio 0.5277, byte miss ratio 0.5277
result/io_traces.ns611.oracleGeneral.zst LRB cache size    18097, 2600000 req, miss ratio 0.4072, byte miss ratio 0.4072
result/io_traces.ns611.oracleGeneral.zst LRB cache size    36194, 2600000 req, miss ratio 0.3088, byte miss ratio 0.3088
result/io_traces.ns611.oracleGeneral.zst LRB cache size    72388, 2600000 req, miss ratio 0.1379, byte miss ratio 0.1379
result/io_traces.ns611.oracleGeneral.zst LRB cache size   144777, 2600000 req, miss ratio 0.0720, byte miss ratio 0.0720
result/io_traces.ns611.oracleGeneral.zst B-LRU cache size      180, 2600000 req, miss ratio 0.8110, byte miss ratio 0.8110
result/io_traces.ns611.oracleGeneral.zst B-LRU cache size      542, 2600000 req, miss ratio 0.7338, byte miss ratio 0.7338
result/io_traces.ns611.oracleGeneral.zst B-LRU cache size     1809, 2600000 req, miss ratio 0.7011, byte miss ratio 0.7011
result/io_traces.ns611.oracleGeneral.zst B-LRU cache size     5429, 2600000 req, miss ratio 0.6492, byte miss ratio 0.6492
result/io_traces.ns611.oracleGeneral.zst B-LRU cache size    18097, 2600000 req, miss ratio 0.4169, byte miss ratio 0.4169
result/io_traces.ns611.oracleGeneral.zst B-LRU cache size    36194, 2600000 req, miss ratio 0.2640, byte miss ratio 0.2640
result/io_traces.ns611.oracleGeneral.zst B-LRU cache size    72388, 2600000 req, miss ratio 0.1346, byte miss ratio 0.1346
result/io_traces.ns611.oracleGeneral.zst B-LRU cache size   144777, 2600000 req, miss ratio 0.1257, byte miss ratio 0.1257
result/io_traces.ns611.oracleGeneral.zst TwoQ cache size      180, 2600000 req, miss ratio 0.7216, byte miss ratio 0.7216
result/io_traces.ns611.oracleGeneral.zst TwoQ cache size      542, 2600000 req, miss ratio 0.6899, byte miss ratio 0.6899
