result/tencentBlock.ns2554.oracleGeneral.zst S3FIFO-1 cache size      125, 4745281 req, miss ratio 0.2513, byte miss ratio 0.2513
result/tencentBlock.ns2554.oracleGeneral.zst S3FIFO-1 cache size      376, 4745281 req, miss ratio 0.1607, byte miss ratio 0.1607
result/tencentBlock.ns2554.oracleGeneral.zst S3FIFO-1 cache size     1254, 4745281 req, miss ratio 0.1418, byte miss ratio 0.1418
result/tencentBlock.ns2554.oracleGeneral.zst S3FIFO-1 cache size     3764, 4745281 req, miss ratio 0.1260, byte miss ratio 0.1260
result/tencentBlock.ns2554.oracleGeneral.zst S3FIFO-1 cache size    12549, 4745281 req, miss ratio 0.0918, byte miss ratio 0.0918
result/tencentBlock.ns2554.oracleGeneral.zst S3FIFO-1 cache size    25098, 4745281 req, miss ratio 0.0516, byte miss ratio 0.0516
result/tencentBlock.ns2554.oracleGeneral.zst S3FIFO-1 cache size    50196, 4745281 req, miss ratio 0.0292, byte miss ratio 0.0292
result/tencentBlock.ns2554.oracleGeneral.zst S3FIFO-1 cache size   100392, 4745281 req, miss ratio 0.0267, byte miss ratio 0.0267
result/tencentBlock.ns2554.oracleGeneral.zst FIFO cache size      125, 4745281 req, miss ratio 0.4219, byte miss ratio 0.4219
result/tencentBlock.ns2554.oracleGeneral.zst FIFO cache size      376, 4745281 req, miss ratio 0.2379, byte miss ratio 0.2379
result/tencentBlock.ns2554.oracleGeneral.zst FIFO cache size     1254, 4745281 req, miss ratio 0.1703, byte miss ratio 0.1703
result/tencentBlock.ns2554.oracleGeneral.zst FIFO cache size     3764, 4745281 req, miss ratio 0.1482, byte miss ratio 0.1482
result/tencentBlock.ns2554.oracleGeneral.zst FIFO cache size    12549, 4745281 req, miss ratio 0.1075, byte miss ratio 0.1075
result/tencentBlock.ns2554.oracleGeneral.zst FIFO cache size    25098, 4745281 req, miss ratio 0.0739, byte miss ratio 0.0739
result/tencentBlock.ns2554.oracleGeneral.zst FIFO cache size    50196, 4745281 req, miss ratio 0.0417, byte miss ratio 0.0417
result/tencentBlock.ns2554.oracleGeneral.zst FIFO cache size   100392, 4745281 req, miss ratio 0.0314, byte miss ratio 0.0314
result/tencentBlock.ns2554.oracleGeneral.zst LRU cache size      125, 4745281 req, miss ratio 0.3544, byte miss ratio 0.3544
result/tencentBlock.ns2554.oracleGeneral.zst LRU cache size      376, 4745281 req, miss ratio 0.1852, byte miss ratio 0.1852
result/tencentBlock.ns2554.oracleGeneral.zst LRU cache size     1254, 4745281 req, miss ratio 0.1496, byte miss ratio 0.1496
result/tencentBlock.ns2554.oracleGeneral.zst LRU cache size     3764, 4745281 req, miss ratio 0.1387, byte miss ratio 0.1387
result/tencentBlock.ns2554.oracleGeneral.zst LRU cache size    12549, 4745281 req, miss ratio 0.0937, byte miss ratio 0.0937
result/tencentBlock.ns2554.oracleGeneral.zst LRU cache size    25098, 4745281 req, miss ratio 0.0615, byte miss ratio 0.0615
result/tencentBlock.ns2554.oracleGeneral.zst LRU cache size    50196, 4745281 req, miss ratio 0.0319, byte miss ratio 0.0319
result/tencentBlock.ns2554.oracleGeneral.zst LRU cache size   100392, 4745281 req, miss ratio 0.0267, byte miss ratio 0.0267
result/tencentBlock.ns2554.oracleGeneral.zst LIRS cache size      125, 4745281 req, miss ratio 0.2355, byte miss ratio 0.2355
result/tencentBlock.ns2554.oracleGeneral.zst LIRS cache size      376, 4745281 req, miss ratio 0.1675, byte miss ratio 0.1675
result/tencentBlock.ns2554.oracleGeneral.zst LIRS cache size     1254, 4745281 req, miss ratio 0.1459, byte miss ratio 0.1459
result/tencentBlock.ns2554.oracleGeneral.zst LIRS cache size     3764, 4745281 req, miss ratio 0.1277, byte miss ratio 0.1277
result/tencentBlock.ns2554.oracleGeneral.zst LIRS cache size    12549, 4745281 req, miss ratio 0.0877, byte miss ratio 0.0877
result/tencentBlock.ns2554.oracleGeneral.zst LIRS cache size    25098, 4745281 req, miss ratio 0.0530, byte miss ratio 0.0530
result/tencentBlock.ns2554.oracleGeneral.zst LIRS cache size    50196, 4745281 req, miss ratio 0.0294, byte miss ratio 0.0294
result/tencentBlock.ns2554.oracleGeneral.zst LIRS cache size   100392, 4745281 req, miss ratio 0.0268, byte miss ratio 0.0268
result/tencentBlock.ns2554.oracleGeneral.zst Clock cache size      125, 4745281 req, miss ratio 0.3363, byte miss ratio 0.3363
result/tencentBlock.ns2554.oracleGeneral.zst Clock cache size      376, 4745281 req, miss ratio 0.1845, byte miss ratio 0.1845
result/tencentBlock.ns2554.oracleGeneral.zst Clock cache size     1254, 4745281 req, miss ratio 0.1484, byte miss ratio 0.1484
result/tencentBlock.ns2554.oracleGeneral.zst Clock cache size     3764, 4745281 req, miss ratio 0.1371, byte miss ratio 0.1371
result/tencentBlock.ns2554.oracleGeneral.zst Clock cache size    12549, 4745281 req, miss ratio 0.0958, byte miss ratio 0.0958
result/tencentBlock.ns2554.oracleGeneral.zst Clock cache size    25098, 4745281 req, miss ratio 0.0631, byte miss ratio 0.0631
result/tencentBlock.ns2554.oracleGeneral.zst Clock cache size    50196, 4745281 req, miss ratio 0.0317, byte miss ratio 0.0317
result/tencentBlock.ns2554.oracleGeneral.zst Clock cache size   100392, 4745281 req, miss ratio 0.0267, byte miss ratio 0.0267
result/tencentBlock.ns2554.oracleGeneral.zst Cacheus cache size      125, 4745281 req, miss ratio 0.3016, byte miss ratio 0.3016
result/tencentBlock.ns2554.oracleGeneral.zst Cacheus cache size      376, 4745281 req, miss ratio 0.1680, byte miss ratio 0.1680
result/tencentBlock.ns2554.oracleGeneral.zst Cacheus cache size     1254, 4745281 req, miss ratio 0.1434, byte miss ratio 0.1434
result/tencentBlock.ns2554.oracleGeneral.zst Cacheus cache size     3764, 4745281 req, miss ratio 0.1294, byte miss ratio 0.1294
result/tencentBlock.ns2554.oracleGeneral.zst Cacheus cache size    12549, 4745281 req, miss ratio 0.0952, byte miss ratio 0.0952
result/tencentBlock.ns2554.oracleGeneral.zst Cacheus cache size    25098, 4745281 req, miss ratio 0.0571, byte miss ratio 0.0571
result/tencentBlock.ns2554.oracleGeneral.zst Cacheus cache size    50196, 4745281 req, miss ratio 0.0300, byte miss ratio 0.0300
result/tencentBlock.ns2554.oracleGeneral.zst Cacheus cache size   100392, 4745281 req, miss ratio 0.0268, byte miss ratio 0.0268
result/tencentBlock.ns2554.oracleGeneral.zst ARC cache size      125, 4745281 req, miss ratio 0.2401, byte miss ratio 0.2401
