result/tencentBlock.ns6048.oracleGeneral.zst clock2 cache size      294, 3182596 req, miss ratio 0.4867, byte miss ratio 0.4867
result/tencentBlock.ns6048.oracleGeneral.zst clock2 cache size      883, 3182596 req, miss ratio 0.4010, byte miss ratio 0.4010
result/tencentBlock.ns6048.oracleGeneral.zst clock2 cache size     2944, 3182596 req, miss ratio 0.2556, byte miss ratio 0.2556
result/tencentBlock.ns6048.oracleGeneral.zst clock2 cache size     8833, 3182596 req, miss ratio 0.2247, byte miss ratio 0.2247
result/tencentBlock.ns6048.oracleGeneral.zst clock2 cache size    29444, 3182596 req, miss ratio 0.1695, byte miss ratio 0.1695
result/tencentBlock.ns6048.oracleGeneral.zst clock2 cache size    58888, 3182596 req, miss ratio 0.1386, byte miss ratio 0.1386
result/tencentBlock.ns6048.oracleGeneral.zst clock2 cache size   117777, 3182596 req, miss ratio 0.1044, byte miss ratio 0.1044
result/tencentBlock.ns6048.oracleGeneral.zst clock2 cache size   235555, 3182596 req, miss ratio 0.0933, byte miss ratio 0.0933
result/tencentBlock.ns6048.oracleGeneral.zst Clock cache size      294, 3182596 req, miss ratio 0.4883, byte miss ratio 0.4883
result/tencentBlock.ns6048.oracleGeneral.zst Clock cache size      883, 3182596 req, miss ratio 0.3972, byte miss ratio 0.3972
result/tencentBlock.ns6048.oracleGeneral.zst Clock cache size     2944, 3182596 req, miss ratio 0.2665, byte miss ratio 0.2665
result/tencentBlock.ns6048.oracleGeneral.zst Clock cache size     8833, 3182596 req, miss ratio 0.2227, byte miss ratio 0.2227
result/tencentBlock.ns6048.oracleGeneral.zst Clock cache size    29444, 3182596 req, miss ratio 0.1647, byte miss ratio 0.1647
result/tencentBlock.ns6048.oracleGeneral.zst Clock cache size    58888, 3182596 req, miss ratio 0.1291, byte miss ratio 0.1291
result/tencentBlock.ns6048.oracleGeneral.zst Clock cache size   117777, 3182596 req, miss ratio 0.1018, byte miss ratio 0.1018
result/tencentBlock.ns6048.oracleGeneral.zst Clock cache size   235555, 3182596 req, miss ratio 0.0933, byte miss ratio 0.0933
result/tencentBlock.ns6048.oracleGeneral.zst LHD cache size      294, 3182596 req, miss ratio 0.4798, byte miss ratio 0.4798
result/tencentBlock.ns6048.oracleGeneral.zst LHD cache size      883, 3182596 req, miss ratio 0.3916, byte miss ratio 0.3916
result/tencentBlock.ns6048.oracleGeneral.zst LHD cache size     2944, 3182596 req, miss ratio 0.2525, byte miss ratio 0.2525
result/tencentBlock.ns6048.oracleGeneral.zst LHD cache size     8833, 3182596 req, miss ratio 0.2158, byte miss ratio 0.2158
