result/cdn1_nyc.ns1.oracleGeneral.bin.zst LRU cache size      610, 17591590 req, miss ratio 0.0134, byte miss ratio 0.0134
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LRU cache size     1831, 17591590 req, miss ratio 0.0092, byte miss ratio 0.0092
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LRU cache size     6106, 17591590 req, miss ratio 0.0061, byte miss ratio 0.0061
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LRU cache size    12212, 17591590 req, miss ratio 0.0047, byte miss ratio 0.0047
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LRU cache size    24424, 17591590 req, miss ratio 0.0039, byte miss ratio 0.0039
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LRU cache size    48849, 17591590 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LeCaR cache size       61, 17591590 req, miss ratio 0.0193, byte miss ratio 0.0193
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LeCaR cache size      183, 17591590 req, miss ratio 0.0165, byte miss ratio 0.0165
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LeCaR cache size      610, 17591590 req, miss ratio 0.0132, byte miss ratio 0.0132
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LeCaR cache size     1831, 17591590 req, miss ratio 0.0090, byte miss ratio 0.0090
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LeCaR cache size     6106, 17591590 req, miss ratio 0.0059, byte miss ratio 0.0059
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LeCaR cache size    12212, 17591590 req, miss ratio 0.0047, byte miss ratio 0.0047
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LeCaR cache size    24424, 17591590 req, miss ratio 0.0039, byte miss ratio 0.0039
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LeCaR cache size    48849, 17591590 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn1_nyc.ns1.oracleGeneral.bin.zst ARC cache size       61, 17591590 req, miss ratio 0.0189, byte miss ratio 0.0189
result/cdn1_nyc.ns1.oracleGeneral.bin.zst ARC cache size      183, 17591590 req, miss ratio 0.0159, byte miss ratio 0.0159
result/cdn1_nyc.ns1.oracleGeneral.bin.zst ARC cache size      610, 17591590 req, miss ratio 0.0124, byte miss ratio 0.0124
result/cdn1_nyc.ns1.oracleGeneral.bin.zst ARC cache size     1831, 17591590 req, miss ratio 0.0087, byte miss ratio 0.0087
result/cdn1_nyc.ns1.oracleGeneral.bin.zst ARC cache size     6106, 17591590 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn1_nyc.ns1.oracleGeneral.bin.zst ARC cache size    12212, 17591590 req, miss ratio 0.0045, byte miss ratio 0.0045
result/cdn1_nyc.ns1.oracleGeneral.bin.zst ARC cache size    24424, 17591590 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn1_nyc.ns1.oracleGeneral.bin.zst ARC cache size    48849, 17591590 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn1_nyc.ns1.oracleGeneral.bin.zst Clock cache size       61, 17591590 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn1_nyc.ns1.oracleGeneral.bin.zst Clock cache size      183, 17591590 req, miss ratio 0.0164, byte miss ratio 0.0164
result/cdn1_nyc.ns1.oracleGeneral.bin.zst Clock cache size      610, 17591590 req, miss ratio 0.0132, byte miss ratio 0.0132
result/cdn1_nyc.ns1.oracleGeneral.bin.zst Clock cache size     1831, 17591590 req, miss ratio 0.0091, byte miss ratio 0.0091
result/cdn1_nyc.ns1.oracleGeneral.bin.zst Clock cache size     6106, 17591590 req, miss ratio 0.0059, byte miss ratio 0.0059
result/cdn1_nyc.ns1.oracleGeneral.bin.zst Clock cache size    12212, 17591590 req, miss ratio 0.0046, byte miss ratio 0.0046
result/cdn1_nyc.ns1.oracleGeneral.bin.zst Clock cache size    24424, 17591590 req, miss ratio 0.0039, byte miss ratio 0.0039
result/cdn1_nyc.ns1.oracleGeneral.bin.zst Clock cache size    48849, 17591590 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LIRS cache size       61, 17591590 req, miss ratio 0.0201, byte miss ratio 0.0201
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LIRS cache size      183, 17591590 req, miss ratio 0.0169, byte miss ratio 0.0169
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LIRS cache size      610, 17591590 req, miss ratio 0.0125, byte miss ratio 0.0125
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LIRS cache size     1831, 17591590 req, miss ratio 0.0090, byte miss ratio 0.0090
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LIRS cache size     6106, 17591590 req, miss ratio 0.0059, byte miss ratio 0.0059
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LIRS cache size    12212, 17591590 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LIRS cache size    24424, 17591590 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LIRS cache size    48849, 17591590 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO-d-1 cache size       61, 17591590 req, miss ratio 0.0189, byte miss ratio 0.0189
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO-d-1 cache size      183, 17591590 req, miss ratio 0.0157, byte miss ratio 0.0157
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO-d-1 cache size      610, 17591590 req, miss ratio 0.0121, byte miss ratio 0.0121
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1831, 17591590 req, miss ratio 0.0085, byte miss ratio 0.0085
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO-d-1 cache size     6106, 17591590 req, miss ratio 0.0055, byte miss ratio 0.0055
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO-d-1 cache size    12212, 17591590 req, miss ratio 0.0045, byte miss ratio 0.0045
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO-d-1 cache size    24424, 17591590 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO-d-1 cache size    48849, 17591590 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LRB cache size       61, 17591590 req, miss ratio 0.0286, byte miss ratio 0.0286
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LRB cache size      183, 17591590 req, miss ratio 0.0182, byte miss ratio 0.0182
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LRB cache size      610, 17591590 req, miss ratio 0.0132, byte miss ratio 0.0132
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LRB cache size     1831, 17591590 req, miss ratio 0.0096, byte miss ratio 0.0096
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LRB cache size     6106, 17591590 req, miss ratio 0.0072, byte miss ratio 0.0072
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LRB cache size    12212, 17591590 req, miss ratio 0.0063, byte miss ratio 0.0063
