result/io_traces.ns9.oracleGeneral.zst Cacheus cache size     7202, 22600000 req, miss ratio 0.1344, byte miss ratio 0.1344
result/io_traces.ns9.oracleGeneral.zst Cacheus cache size    21606, 22600000 req, miss ratio 0.1289, byte miss ratio 0.1289
result/io_traces.ns9.oracleGeneral.zst Cacheus cache size    72020, 22600000 req, miss ratio 0.0954, byte miss ratio 0.0954
result/io_traces.ns9.oracleGeneral.zst Cacheus cache size   144041, 22600000 req, miss ratio 0.0852, byte miss ratio 0.0852
result/io_traces.ns9.oracleGeneral.zst Cacheus cache size   288082, 22600000 req, miss ratio 0.0619, byte miss ratio 0.0619
result/io_traces.ns9.oracleGeneral.zst Cacheus cache size   576164, 22600000 req, miss ratio 0.0362, byte miss ratio 0.0362
result/io_traces.ns9.oracleGeneral.zst Clock cache size      720, 22600000 req, miss ratio 0.2048, byte miss ratio 0.2048
result/io_traces.ns9.oracleGeneral.zst Clock cache size     2160, 22600000 req, miss ratio 0.1491, byte miss ratio 0.1491
result/io_traces.ns9.oracleGeneral.zst Clock cache size     7202, 22600000 req, miss ratio 0.1360, byte miss ratio 0.1360
result/io_traces.ns9.oracleGeneral.zst Clock cache size    21606, 22600000 req, miss ratio 0.1306, byte miss ratio 0.1306
result/io_traces.ns9.oracleGeneral.zst Clock cache size    72020, 22600000 req, miss ratio 0.1132, byte miss ratio 0.1132
result/io_traces.ns9.oracleGeneral.zst Clock cache size   144041, 22600000 req, miss ratio 0.0865, byte miss ratio 0.0865
result/io_traces.ns9.oracleGeneral.zst Clock cache size   288082, 22600000 req, miss ratio 0.0624, byte miss ratio 0.0624
result/io_traces.ns9.oracleGeneral.zst Clock cache size   576164, 22600000 req, miss ratio 0.0366, byte miss ratio 0.0366
result/io_traces.ns9.oracleGeneral.zst ARC cache size      720, 22600000 req, miss ratio 0.1704, byte miss ratio 0.1704
result/io_traces.ns9.oracleGeneral.zst ARC cache size     2160, 22600000 req, miss ratio 0.1423, byte miss ratio 0.1423
result/io_traces.ns9.oracleGeneral.zst ARC cache size     7202, 22600000 req, miss ratio 0.1341, byte miss ratio 0.1341
result/io_traces.ns9.oracleGeneral.zst ARC cache size    21606, 22600000 req, miss ratio 0.1276, byte miss ratio 0.1276
result/io_traces.ns9.oracleGeneral.zst ARC cache size    72020, 22600000 req, miss ratio 0.0912, byte miss ratio 0.0912
result/io_traces.ns9.oracleGeneral.zst ARC cache size   144041, 22600000 req, miss ratio 0.0795, byte miss ratio 0.0795
result/io_traces.ns9.oracleGeneral.zst ARC cache size   288082, 22600000 req, miss ratio 0.0655, byte miss ratio 0.0655
result/io_traces.ns9.oracleGeneral.zst ARC cache size   576164, 22600000 req, miss ratio 0.0362, byte miss ratio 0.0362
result/io_traces.ns9.oracleGeneral.zst LHD cache size      720, 22600000 req, miss ratio 0.1899, byte miss ratio 0.1899
result/io_traces.ns9.oracleGeneral.zst LHD cache size     2160, 22600000 req, miss ratio 0.1440, byte miss ratio 0.1440
result/io_traces.ns9.oracleGeneral.zst LHD cache size     7202, 22600000 req, miss ratio 0.1333, byte miss ratio 0.1333
result/io_traces.ns9.oracleGeneral.zst LHD cache size    21606, 22600000 req, miss ratio 0.1231, byte miss ratio 0.1231
result/io_traces.ns9.oracleGeneral.zst LHD cache size    72020, 22600000 req, miss ratio 0.0965, byte miss ratio 0.0965
result/io_traces.ns9.oracleGeneral.zst LHD cache size   144041, 22600000 req, miss ratio 0.0809, byte miss ratio 0.0809
result/io_traces.ns9.oracleGeneral.zst LHD cache size   288082, 22600000 req, miss ratio 0.0615, byte miss ratio 0.0615
result/io_traces.ns9.oracleGeneral.zst LHD cache size   576164, 22600000 req, miss ratio 0.0359, byte miss ratio 0.0359
result/io_traces.ns9.oracleGeneral.zst S3FIFO-d-1 cache size      720, 22600000 req, miss ratio 0.1671, byte miss ratio 0.1671
result/io_traces.ns9.oracleGeneral.zst S3FIFO-d-1 cache size     2160, 22600000 req, miss ratio 0.1395, byte miss ratio 0.1395
result/io_traces.ns9.oracleGeneral.zst S3FIFO-d-1 cache size     7202, 22600000 req, miss ratio 0.1332, byte miss ratio 0.1332
result/io_traces.ns9.oracleGeneral.zst S3FIFO-d-1 cache size    21606, 22600000 req, miss ratio 0.1266, byte miss ratio 0.1266
result/io_traces.ns9.oracleGeneral.zst S3FIFO-d-1 cache size    72020, 22600000 req, miss ratio 0.0888, byte miss ratio 0.0888
result/io_traces.ns9.oracleGeneral.zst S3FIFO-d-1 cache size   144041, 22600000 req, miss ratio 0.0755, byte miss ratio 0.0755
result/io_traces.ns9.oracleGeneral.zst S3FIFO-d-1 cache size   288082, 22600000 req, miss ratio 0.0618, byte miss ratio 0.0618
result/io_traces.ns9.oracleGeneral.zst S3FIFO-d-1 cache size   576164, 22600000 req, miss ratio 0.0369, byte miss ratio 0.0369
result/io_traces.ns9.oracleGeneral.zst LRB cache size      720, 22600000 req, miss ratio 0.1912, byte miss ratio 0.1912
result/io_traces.ns9.oracleGeneral.zst LRB cache size     2160, 22600000 req, miss ratio 0.1419, byte miss ratio 0.1419
result/io_traces.ns9.oracleGeneral.zst LRB cache size     7202, 22600000 req, miss ratio 0.1311, byte miss ratio 0.1311
result/io_traces.ns9.oracleGeneral.zst LRB cache size    21606, 22600000 req, miss ratio 0.1159, byte miss ratio 0.1159
result/io_traces.ns9.oracleGeneral.zst LRB cache size    72020, 22600000 req, miss ratio 0.0880, byte miss ratio 0.0880
result/io_traces.ns9.oracleGeneral.zst LRB cache size   144041, 22600000 req, miss ratio 0.0770, byte miss ratio 0.0770
result/io_traces.ns9.oracleGeneral.zst LRB cache size   288082, 22600000 req, miss ratio 0.0599, byte miss ratio 0.0599
result/io_traces.ns9.oracleGeneral.zst LRB cache size   576164, 22600000 req, miss ratio 0.0359, byte miss ratio 0.0359
result/io_traces.ns9.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      720, 22600000 req, miss ratio 0.2302, byte miss ratio 0.2302
result/io_traces.ns9.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2160, 22600000 req, miss ratio 0.1572, byte miss ratio 0.1572
result/io_traces.ns9.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7202, 22600000 req, miss ratio 0.1389, byte miss ratio 0.1389
result/io_traces.ns9.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    21606, 22600000 req, miss ratio 0.1315, byte miss ratio 0.1315
result/io_traces.ns9.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    72020, 22600000 req, miss ratio 0.1117, byte miss ratio 0.1117
result/io_traces.ns9.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   144041, 22600000 req, miss ratio 0.0863, byte miss ratio 0.0863
result/io_traces.ns9.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   288082, 22600000 req, miss ratio 0.0663, byte miss ratio 0.0663
result/io_traces.ns9.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   576164, 22600000 req, miss ratio 0.0377, byte miss ratio 0.0377
result/io_traces.ns9.oracleGeneral.zst TwoQ cache size      720, 22600000 req, miss ratio 0.1665, byte miss ratio 0.1665
result/io_traces.ns9.oracleGeneral.zst TwoQ cache size     2160, 22600000 req, miss ratio 0.1402, byte miss ratio 0.1402
result/io_traces.ns9.oracleGeneral.zst TwoQ cache size     7202, 22600000 req, miss ratio 0.1299, byte miss ratio 0.1299
result/io_traces.ns9.oracleGeneral.zst TwoQ cache size    21606, 22600000 req, miss ratio 0.1215, byte miss ratio 0.1215
result/io_traces.ns9.oracleGeneral.zst TwoQ cache size    72020, 22600000 req, miss ratio 0.0920, byte miss ratio 0.0920
result/io_traces.ns9.oracleGeneral.zst TwoQ cache size   144041, 22600000 req, miss ratio 0.0828, byte miss ratio 0.0828
result/io_traces.ns9.oracleGeneral.zst TwoQ cache size   288082, 22600000 req, miss ratio 0.0666, byte miss ratio 0.0666
result/io_traces.ns9.oracleGeneral.zst TwoQ cache size   576164, 22600000 req, miss ratio 0.0398, byte miss ratio 0.0398
result/io_traces.ns9.oracleGeneral.zst S4LRU(25:25:25:25) cache size      720, 22600000 req, miss ratio 0.1833, byte miss ratio 0.1833
result/io_traces.ns9.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2160, 22600000 req, miss ratio 0.1429, byte miss ratio 0.1429
result/io_traces.ns9.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7202, 22600000 req, miss ratio 0.1341, byte miss ratio 0.1341
result/io_traces.ns9.oracleGeneral.zst S4LRU(25:25:25:25) cache size    21606, 22600000 req, miss ratio 0.1279, byte miss ratio 0.1279
result/io_traces.ns9.oracleGeneral.zst S4LRU(25:25:25:25) cache size    72020, 22600000 req, miss ratio 0.1028, byte miss ratio 0.1028
result/io_traces.ns9.oracleGeneral.zst S4LRU(25:25:25:25) cache size   144041, 22600000 req, miss ratio 0.0770, byte miss ratio 0.0770
result/io_traces.ns9.oracleGeneral.zst S4LRU(25:25:25:25) cache size   288082, 22600000 req, miss ratio 0.0630, byte miss ratio 0.0630
result/io_traces.ns9.oracleGeneral.zst S4LRU(25:25:25:25) cache size   576164, 22600000 req, miss ratio 0.0371, byte miss ratio 0.0371
result/io_traces.ns9.oracleGeneral.zst B-LRU cache size      720, 22600000 req, miss ratio 0.2034, byte miss ratio 0.2034
result/io_traces.ns9.oracleGeneral.zst B-LRU cache size     2160, 22600000 req, miss ratio 0.1532, byte miss ratio 0.1532
