result/cluster3.oracleGeneral.sample10.zst ARC cache size    62778, 86950524 req, miss ratio 0.0155, byte miss ratio 0.0155
result/cluster3.oracleGeneral.sample10.zst ARC cache size   125556, 86950524 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cluster3.oracleGeneral.sample10.zst ARC cache size   251112, 86950524 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cluster3.oracleGeneral.sample10.zst ARC cache size   502225, 86950524 req, miss ratio 0.0073, byte miss ratio 0.0073
result/cluster3.oracleGeneral.sample10.zst LeCaR cache size      627, 86950524 req, miss ratio 0.2195, byte miss ratio 0.2195
result/cluster3.oracleGeneral.sample10.zst LeCaR cache size     1883, 86950524 req, miss ratio 0.1318, byte miss ratio 0.1318
result/cluster3.oracleGeneral.sample10.zst LeCaR cache size     6277, 86950524 req, miss ratio 0.0656, byte miss ratio 0.0656
result/cluster3.oracleGeneral.sample10.zst LeCaR cache size    18833, 86950524 req, miss ratio 0.0319, byte miss ratio 0.0319
result/cluster3.oracleGeneral.sample10.zst LeCaR cache size    62778, 86950524 req, miss ratio 0.0150, byte miss ratio 0.0150
result/cluster3.oracleGeneral.sample10.zst LeCaR cache size   125556, 86950524 req, miss ratio 0.0107, byte miss ratio 0.0107
result/cluster3.oracleGeneral.sample10.zst LeCaR cache size   251112, 86950524 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cluster3.oracleGeneral.sample10.zst LeCaR cache size   502225, 86950524 req, miss ratio 0.0073, byte miss ratio 0.0073
result/cluster3.oracleGeneral.sample10.zst Clock cache size      627, 86950524 req, miss ratio 0.2229, byte miss ratio 0.2229
result/cluster3.oracleGeneral.sample10.zst Clock cache size     1883, 86950524 req, miss ratio 0.1353, byte miss ratio 0.1353
result/cluster3.oracleGeneral.sample10.zst Clock cache size     6277, 86950524 req, miss ratio 0.0687, byte miss ratio 0.0687
result/cluster3.oracleGeneral.sample10.zst Clock cache size    18833, 86950524 req, miss ratio 0.0335, byte miss ratio 0.0335
result/cluster3.oracleGeneral.sample10.zst Clock cache size    62778, 86950524 req, miss ratio 0.0156, byte miss ratio 0.0156
result/cluster3.oracleGeneral.sample10.zst Clock cache size   125556, 86950524 req, miss ratio 0.0108, byte miss ratio 0.0108
result/cluster3.oracleGeneral.sample10.zst Clock cache size   251112, 86950524 req, miss ratio 0.0083, byte miss ratio 0.0083
result/cluster3.oracleGeneral.sample10.zst Clock cache size   502225, 86950524 req, miss ratio 0.0073, byte miss ratio 0.0073
result/cluster3.oracleGeneral.sample10.zst LHD cache size      627, 86950524 req, miss ratio 0.1996, byte miss ratio 0.1996
result/cluster3.oracleGeneral.sample10.zst LHD cache size     1883, 86950524 req, miss ratio 0.1200, byte miss ratio 0.1200
result/cluster3.oracleGeneral.sample10.zst LHD cache size     6277, 86950524 req, miss ratio 0.0606, byte miss ratio 0.0606
result/cluster3.oracleGeneral.sample10.zst LHD cache size    18833, 86950524 req, miss ratio 0.0304, byte miss ratio 0.0304
result/cluster3.oracleGeneral.sample10.zst LHD cache size    62778, 86950524 req, miss ratio 0.0146, byte miss ratio 0.0146
result/cluster3.oracleGeneral.sample10.zst LHD cache size   125556, 86950524 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cluster3.oracleGeneral.sample10.zst LHD cache size   251112, 86950524 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cluster3.oracleGeneral.sample10.zst LHD cache size   502225, 86950524 req, miss ratio 0.0073, byte miss ratio 0.0073
result/cluster3.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      627, 86950524 req, miss ratio 0.1904, byte miss ratio 0.1904
result/cluster3.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     1883, 86950524 req, miss ratio 0.1156, byte miss ratio 0.1156
result/cluster3.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     6277, 86950524 req, miss ratio 0.0588, byte miss ratio 0.0588
result/cluster3.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    18833, 86950524 req, miss ratio 0.0298, byte miss ratio 0.0298
result/cluster3.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    62778, 86950524 req, miss ratio 0.0146, byte miss ratio 0.0146
result/cluster3.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   125556, 86950524 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cluster3.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   251112, 86950524 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cluster3.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   502225, 86950524 req, miss ratio 0.0073, byte miss ratio 0.0073
result/cluster3.oracleGeneral.sample10.zst LRB cache size      627, 86950524 req, miss ratio 0.1883, byte miss ratio 0.1883
result/cluster3.oracleGeneral.sample10.zst LRB cache size     1883, 86950524 req, miss ratio 0.1133, byte miss ratio 0.1133
result/cluster3.oracleGeneral.sample10.zst LRB cache size     6277, 86950524 req, miss ratio 0.0576, byte miss ratio 0.0576
result/cluster3.oracleGeneral.sample10.zst LRB cache size    18833, 86950524 req, miss ratio 0.0303, byte miss ratio 0.0303
result/cluster3.oracleGeneral.sample10.zst LRB cache size    62778, 86950524 req, miss ratio 0.0170, byte miss ratio 0.0170
result/cluster3.oracleGeneral.sample10.zst LRB cache size   125556, 86950524 req, miss ratio 0.0119, byte miss ratio 0.0119
result/cluster3.oracleGeneral.sample10.zst LRB cache size   251112, 86950524 req, miss ratio 0.0085, byte miss ratio 0.0085
result/cluster3.oracleGeneral.sample10.zst LRB cache size   502225, 86950524 req, miss ratio 0.0073, byte miss ratio 0.0073
result/cluster3.oracleGeneral.sample10.zst B-LRU cache size      627, 86950524 req, miss ratio 0.2330, byte miss ratio 0.2330
result/cluster3.oracleGeneral.sample10.zst B-LRU cache size     1883, 86950524 req, miss ratio 0.1438, byte miss ratio 0.1438
result/cluster3.oracleGeneral.sample10.zst B-LRU cache size     6277, 86950524 req, miss ratio 0.0755, byte miss ratio 0.0755
result/cluster3.oracleGeneral.sample10.zst B-LRU cache size    18833, 86950524 req, miss ratio 0.0392, byte miss ratio 0.0392
result/cluster3.oracleGeneral.sample10.zst B-LRU cache size    62778, 86950524 req, miss ratio 0.0212, byte miss ratio 0.0212
result/cluster3.oracleGeneral.sample10.zst B-LRU cache size   125556, 86950524 req, miss ratio 0.0168, byte miss ratio 0.0168
result/cluster3.oracleGeneral.sample10.zst B-LRU cache size   251112, 86950524 req, miss ratio 0.0147, byte miss ratio 0.0147
