result/tencentBlock.ns7590.oracleGeneral.zst ARC cache size      135, 2207253 req, miss ratio 0.3271, byte miss ratio 0.3271
result/tencentBlock.ns7590.oracleGeneral.zst ARC cache size      405, 2207253 req, miss ratio 0.2539, byte miss ratio 0.2539
result/tencentBlock.ns7590.oracleGeneral.zst ARC cache size     1352, 2207253 req, miss ratio 0.2338, byte miss ratio 0.2338
result/tencentBlock.ns7590.oracleGeneral.zst ARC cache size     4057, 2207253 req, miss ratio 0.2188, byte miss ratio 0.2188
result/tencentBlock.ns7590.oracleGeneral.zst ARC cache size    13526, 2207253 req, miss ratio 0.2046, byte miss ratio 0.2046
result/tencentBlock.ns7590.oracleGeneral.zst ARC cache size    27052, 2207253 req, miss ratio 0.1851, byte miss ratio 0.1851
result/tencentBlock.ns7590.oracleGeneral.zst ARC cache size    54104, 2207253 req, miss ratio 0.1073, byte miss ratio 0.1073
result/tencentBlock.ns7590.oracleGeneral.zst ARC cache size   108208, 2207253 req, miss ratio 0.0620, byte miss ratio 0.0620
result/tencentBlock.ns7590.oracleGeneral.zst Clock cache size      135, 2207253 req, miss ratio 0.3612, byte miss ratio 0.3612
result/tencentBlock.ns7590.oracleGeneral.zst Clock cache size      405, 2207253 req, miss ratio 0.2750, byte miss ratio 0.2750
result/tencentBlock.ns7590.oracleGeneral.zst Clock cache size     1352, 2207253 req, miss ratio 0.2461, byte miss ratio 0.2461
result/tencentBlock.ns7590.oracleGeneral.zst Clock cache size     4057, 2207253 req, miss ratio 0.2304, byte miss ratio 0.2304
result/tencentBlock.ns7590.oracleGeneral.zst Clock cache size    13526, 2207253 req, miss ratio 0.2155, byte miss ratio 0.2155
result/tencentBlock.ns7590.oracleGeneral.zst Clock cache size    27052, 2207253 req, miss ratio 0.1961, byte miss ratio 0.1961
result/tencentBlock.ns7590.oracleGeneral.zst Clock cache size    54104, 2207253 req, miss ratio 0.1135, byte miss ratio 0.1135
result/tencentBlock.ns7590.oracleGeneral.zst Clock cache size   108208, 2207253 req, miss ratio 0.0621, byte miss ratio 0.0621
result/tencentBlock.ns7590.oracleGeneral.zst LeCaR cache size      135, 2207253 req, miss ratio 0.3536, byte miss ratio 0.3536
result/tencentBlock.ns7590.oracleGeneral.zst LeCaR cache size      405, 2207253 req, miss ratio 0.2662, byte miss ratio 0.2662
result/tencentBlock.ns7590.oracleGeneral.zst LeCaR cache size     1352, 2207253 req, miss ratio 0.2431, byte miss ratio 0.2431
