result/tencentBlock.ns25663.oracleGeneral.zst LIRS cache size      278, 1888496 req, miss ratio 0.5431, byte miss ratio 0.5431
result/tencentBlock.ns25663.oracleGeneral.zst LIRS cache size      835, 1888496 req, miss ratio 0.4285, byte miss ratio 0.4285
result/tencentBlock.ns25663.oracleGeneral.zst LIRS cache size     2784, 1888496 req, miss ratio 0.2980, byte miss ratio 0.2980
result/tencentBlock.ns25663.oracleGeneral.zst LIRS cache size     8353, 1888496 req, miss ratio 0.2663, byte miss ratio 0.2663
result/tencentBlock.ns25663.oracleGeneral.zst LIRS cache size    27843, 1888496 req, miss ratio 0.2258, byte miss ratio 0.2258
result/tencentBlock.ns25663.oracleGeneral.zst LIRS cache size    55687, 1888496 req, miss ratio 0.1997, byte miss ratio 0.1997
result/tencentBlock.ns25663.oracleGeneral.zst LIRS cache size   111374, 1888496 req, miss ratio 0.1719, byte miss ratio 0.1719
result/tencentBlock.ns25663.oracleGeneral.zst LIRS cache size   222748, 1888496 req, miss ratio 0.1515, byte miss ratio 0.1515
result/tencentBlock.ns25663.oracleGeneral.zst LeCaR cache size      278, 1888496 req, miss ratio 0.5391, byte miss ratio 0.5391
result/tencentBlock.ns25663.oracleGeneral.zst LeCaR cache size      835, 1888496 req, miss ratio 0.4344, byte miss ratio 0.4344
result/tencentBlock.ns25663.oracleGeneral.zst LeCaR cache size     2784, 1888496 req, miss ratio 0.2924, byte miss ratio 0.2924
result/tencentBlock.ns25663.oracleGeneral.zst LeCaR cache size     8353, 1888496 req, miss ratio 0.2668, byte miss ratio 0.2668
result/tencentBlock.ns25663.oracleGeneral.zst LeCaR cache size    27843, 1888496 req, miss ratio 0.2191, byte miss ratio 0.2191
result/tencentBlock.ns25663.oracleGeneral.zst LeCaR cache size    55687, 1888496 req, miss ratio 0.1868, byte miss ratio 0.1868
result/tencentBlock.ns25663.oracleGeneral.zst LeCaR cache size   111374, 1888496 req, miss ratio 0.1570, byte miss ratio 0.1570
result/tencentBlock.ns25663.oracleGeneral.zst LeCaR cache size   222748, 1888496 req, miss ratio 0.1476, byte miss ratio 0.1476
result/tencentBlock.ns25663.oracleGeneral.zst LRU cache size      278, 1888496 req, miss ratio 0.5586, byte miss ratio 0.5586
result/tencentBlock.ns25663.oracleGeneral.zst LRU cache size      835, 1888496 req, miss ratio 0.4352, byte miss ratio 0.4352
result/tencentBlock.ns25663.oracleGeneral.zst LRU cache size     2784, 1888496 req, miss ratio 0.3154, byte miss ratio 0.3154
result/tencentBlock.ns25663.oracleGeneral.zst LRU cache size     8353, 1888496 req, miss ratio 0.2690, byte miss ratio 0.2690
result/tencentBlock.ns25663.oracleGeneral.zst LRU cache size    27843, 1888496 req, miss ratio 0.2199, byte miss ratio 0.2199
result/tencentBlock.ns25663.oracleGeneral.zst LRU cache size    55687, 1888496 req, miss ratio 0.1868, byte miss ratio 0.1868
result/tencentBlock.ns25663.oracleGeneral.zst LRU cache size   111374, 1888496 req, miss ratio 0.1573, byte miss ratio 0.1573
result/tencentBlock.ns25663.oracleGeneral.zst LRU cache size   222748, 1888496 req, miss ratio 0.1476, byte miss ratio 0.1476
result/tencentBlock.ns25663.oracleGeneral.zst FIFO cache size      278, 1888496 req, miss ratio 0.6321, byte miss ratio 0.6321
result/tencentBlock.ns25663.oracleGeneral.zst FIFO cache size      835, 1888496 req, miss ratio 0.4813, byte miss ratio 0.4813
result/tencentBlock.ns25663.oracleGeneral.zst FIFO cache size     2784, 1888496 req, miss ratio 0.3604, byte miss ratio 0.3604
result/tencentBlock.ns25663.oracleGeneral.zst FIFO cache size     8353, 1888496 req, miss ratio 0.2958, byte miss ratio 0.2958
result/tencentBlock.ns25663.oracleGeneral.zst FIFO cache size    27843, 1888496 req, miss ratio 0.2328, byte miss ratio 0.2328
