result/tencentBlock.ns18770.oracleGeneral.zst Cacheus cache size      533, 4006044 req, miss ratio 0.5596, byte miss ratio 0.5596
result/tencentBlock.ns18770.oracleGeneral.zst Cacheus cache size     1599, 4006044 req, miss ratio 0.4261, byte miss ratio 0.4261
result/tencentBlock.ns18770.oracleGeneral.zst Cacheus cache size     5332, 4006044 req, miss ratio 0.3560, byte miss ratio 0.3560
result/tencentBlock.ns18770.oracleGeneral.zst Cacheus cache size    15998, 4006044 req, miss ratio 0.3249, byte miss ratio 0.3249
result/tencentBlock.ns18770.oracleGeneral.zst Cacheus cache size    53327, 4006044 req, miss ratio 0.2682, byte miss ratio 0.2682
result/tencentBlock.ns18770.oracleGeneral.zst Cacheus cache size   106654, 4006044 req, miss ratio 0.2149, byte miss ratio 0.2149
result/tencentBlock.ns18770.oracleGeneral.zst Cacheus cache size   213308, 4006044 req, miss ratio 0.1652, byte miss ratio 0.1652
result/tencentBlock.ns18770.oracleGeneral.zst Cacheus cache size   426617, 4006044 req, miss ratio 0.1350, byte miss ratio 0.1350
result/tencentBlock.ns18770.oracleGeneral.zst ARC cache size      533, 4006044 req, miss ratio 0.5588, byte miss ratio 0.5588
result/tencentBlock.ns18770.oracleGeneral.zst ARC cache size     1599, 4006044 req, miss ratio 0.3953, byte miss ratio 0.3953
result/tencentBlock.ns18770.oracleGeneral.zst ARC cache size     5332, 4006044 req, miss ratio 0.3557, byte miss ratio 0.3557
result/tencentBlock.ns18770.oracleGeneral.zst ARC cache size    15998, 4006044 req, miss ratio 0.3206, byte miss ratio 0.3206
result/tencentBlock.ns18770.oracleGeneral.zst ARC cache size    53327, 4006044 req, miss ratio 0.2674, byte miss ratio 0.2674
result/tencentBlock.ns18770.oracleGeneral.zst ARC cache size   106654, 4006044 req, miss ratio 0.2042, byte miss ratio 0.2042
result/tencentBlock.ns18770.oracleGeneral.zst ARC cache size   213308, 4006044 req, miss ratio 0.1571, byte miss ratio 0.1571
result/tencentBlock.ns18770.oracleGeneral.zst ARC cache size   426617, 4006044 req, miss ratio 0.1350, byte miss ratio 0.1350
result/tencentBlock.ns18770.oracleGeneral.zst Clock cache size      533, 4006044 req, miss ratio 0.5795, byte miss ratio 0.5795
result/tencentBlock.ns18770.oracleGeneral.zst Clock cache size     1599, 4006044 req, miss ratio 0.4656, byte miss ratio 0.4656
result/tencentBlock.ns18770.oracleGeneral.zst Clock cache size     5332, 4006044 req, miss ratio 0.3655, byte miss ratio 0.3655
result/tencentBlock.ns18770.oracleGeneral.zst Clock cache size    15998, 4006044 req, miss ratio 0.3347, byte miss ratio 0.3347
result/tencentBlock.ns18770.oracleGeneral.zst Clock cache size    53327, 4006044 req, miss ratio 0.2732, byte miss ratio 0.2732
result/tencentBlock.ns18770.oracleGeneral.zst Clock cache size   106654, 4006044 req, miss ratio 0.2150, byte miss ratio 0.2150
result/tencentBlock.ns18770.oracleGeneral.zst Clock cache size   213308, 4006044 req, miss ratio 0.1593, byte miss ratio 0.1593
result/tencentBlock.ns18770.oracleGeneral.zst Clock cache size   426617, 4006044 req, miss ratio 0.1350, byte miss ratio 0.1350
result/tencentBlock.ns18770.oracleGeneral.zst LHD cache size      533, 4006044 req, miss ratio 0.5792, byte miss ratio 0.5792
result/tencentBlock.ns18770.oracleGeneral.zst LHD cache size     1599, 4006044 req, miss ratio 0.4306, byte miss ratio 0.4306
result/tencentBlock.ns18770.oracleGeneral.zst LHD cache size     5332, 4006044 req, miss ratio 0.3604, byte miss ratio 0.3604
result/tencentBlock.ns18770.oracleGeneral.zst LHD cache size    15998, 4006044 req, miss ratio 0.3262, byte miss ratio 0.3262
result/tencentBlock.ns18770.oracleGeneral.zst LHD cache size    53327, 4006044 req, miss ratio 0.2703, byte miss ratio 0.2703
result/tencentBlock.ns18770.oracleGeneral.zst LHD cache size   106654, 4006044 req, miss ratio 0.2028, byte miss ratio 0.2028
result/tencentBlock.ns18770.oracleGeneral.zst LHD cache size   213308, 4006044 req, miss ratio 0.1617, byte miss ratio 0.1617
result/tencentBlock.ns18770.oracleGeneral.zst LHD cache size   426617, 4006044 req, miss ratio 0.1349, byte miss ratio 0.1349
result/tencentBlock.ns18770.oracleGeneral.zst LeCaR cache size      533, 4006044 req, miss ratio 0.5794, byte miss ratio 0.5794
result/tencentBlock.ns18770.oracleGeneral.zst LeCaR cache size     1599, 4006044 req, miss ratio 0.4571, byte miss ratio 0.4571
result/tencentBlock.ns18770.oracleGeneral.zst LeCaR cache size     5332, 4006044 req, miss ratio 0.3611, byte miss ratio 0.3611
result/tencentBlock.ns18770.oracleGeneral.zst LeCaR cache size    15998, 4006044 req, miss ratio 0.3332, byte miss ratio 0.3332
result/tencentBlock.ns18770.oracleGeneral.zst LeCaR cache size    53327, 4006044 req, miss ratio 0.2712, byte miss ratio 0.2712
result/tencentBlock.ns18770.oracleGeneral.zst LeCaR cache size   106654, 4006044 req, miss ratio 0.2046, byte miss ratio 0.2046
result/tencentBlock.ns18770.oracleGeneral.zst LeCaR cache size   213308, 4006044 req, miss ratio 0.1553, byte miss ratio 0.1553
result/tencentBlock.ns18770.oracleGeneral.zst LeCaR cache size   426617, 4006044 req, miss ratio 0.1351, byte miss ratio 0.1351
result/tencentBlock.ns18770.oracleGeneral.zst S3FIFO-1 cache size      533, 4006044 req, miss ratio 0.5625, byte miss ratio 0.5625
result/tencentBlock.ns18770.oracleGeneral.zst S3FIFO-1 cache size     1599, 4006044 req, miss ratio 0.3754, byte miss ratio 0.3754
result/tencentBlock.ns18770.oracleGeneral.zst S3FIFO-1 cache size     5332, 4006044 req, miss ratio 0.3571, byte miss ratio 0.3571
result/tencentBlock.ns18770.oracleGeneral.zst S3FIFO-1 cache size    15998, 4006044 req, miss ratio 0.3191, byte miss ratio 0.3191
result/tencentBlock.ns18770.oracleGeneral.zst S3FIFO-1 cache size    53327, 4006044 req, miss ratio 0.2749, byte miss ratio 0.2749
result/tencentBlock.ns18770.oracleGeneral.zst S3FIFO-1 cache size   106654, 4006044 req, miss ratio 0.2064, byte miss ratio 0.2064
result/tencentBlock.ns18770.oracleGeneral.zst S3FIFO-1 cache size   213308, 4006044 req, miss ratio 0.1578, byte miss ratio 0.1578
result/tencentBlock.ns18770.oracleGeneral.zst S3FIFO-1 cache size   426617, 4006044 req, miss ratio 0.1350, byte miss ratio 0.1350
result/tencentBlock.ns18770.oracleGeneral.zst clock2 cache size      533, 4006044 req, miss ratio 0.5778, byte miss ratio 0.5778
result/tencentBlock.ns18770.oracleGeneral.zst clock2 cache size     1599, 4006044 req, miss ratio 0.4569, byte miss ratio 0.4569
result/tencentBlock.ns18770.oracleGeneral.zst clock2 cache size     5332, 4006044 req, miss ratio 0.3598, byte miss ratio 0.3598
result/tencentBlock.ns18770.oracleGeneral.zst clock2 cache size    15998, 4006044 req, miss ratio 0.3352, byte miss ratio 0.3352
result/tencentBlock.ns18770.oracleGeneral.zst clock2 cache size    53327, 4006044 req, miss ratio 0.2749, byte miss ratio 0.2749
result/tencentBlock.ns18770.oracleGeneral.zst clock2 cache size   106654, 4006044 req, miss ratio 0.2239, byte miss ratio 0.2239
result/tencentBlock.ns18770.oracleGeneral.zst clock2 cache size   213308, 4006044 req, miss ratio 0.1569, byte miss ratio 0.1569
result/tencentBlock.ns18770.oracleGeneral.zst clock2 cache size   426617, 4006044 req, miss ratio 0.1350, byte miss ratio 0.1350
result/tencentBlock.ns18770.oracleGeneral.zst LRU cache size      533, 4006044 req, miss ratio 0.5837, byte miss ratio 0.5837
result/tencentBlock.ns18770.oracleGeneral.zst LRU cache size     1599, 4006044 req, miss ratio 0.4739, byte miss ratio 0.4739
result/tencentBlock.ns18770.oracleGeneral.zst LRU cache size     5332, 4006044 req, miss ratio 0.3695, byte miss ratio 0.3695
result/tencentBlock.ns18770.oracleGeneral.zst LRU cache size    15998, 4006044 req, miss ratio 0.3343, byte miss ratio 0.3343
result/tencentBlock.ns18770.oracleGeneral.zst LRU cache size    53327, 4006044 req, miss ratio 0.2728, byte miss ratio 0.2728
result/tencentBlock.ns18770.oracleGeneral.zst LRU cache size   106654, 4006044 req, miss ratio 0.2079, byte miss ratio 0.2079
result/tencentBlock.ns18770.oracleGeneral.zst LRU cache size   213308, 4006044 req, miss ratio 0.1583, byte miss ratio 0.1583
result/tencentBlock.ns18770.oracleGeneral.zst LRU cache size   426617, 4006044 req, miss ratio 0.1351, byte miss ratio 0.1351
result/tencentBlock.ns18770.oracleGeneral.zst LIRS cache size      533, 4006044 req, miss ratio 0.5696, byte miss ratio 0.5696
result/tencentBlock.ns18770.oracleGeneral.zst LIRS cache size     1599, 4006044 req, miss ratio 0.4060, byte miss ratio 0.4060
result/tencentBlock.ns18770.oracleGeneral.zst LIRS cache size     5332, 4006044 req, miss ratio 0.3669, byte miss ratio 0.3669
result/tencentBlock.ns18770.oracleGeneral.zst LIRS cache size    15998, 4006044 req, miss ratio 0.3210, byte miss ratio 0.3210
result/tencentBlock.ns18770.oracleGeneral.zst LIRS cache size    53327, 4006044 req, miss ratio 0.2686, byte miss ratio 0.2686
result/tencentBlock.ns18770.oracleGeneral.zst LIRS cache size   106654, 4006044 req, miss ratio 0.2200, byte miss ratio 0.2200
result/tencentBlock.ns18770.oracleGeneral.zst LIRS cache size   213308, 4006044 req, miss ratio 0.1674, byte miss ratio 0.1674
result/tencentBlock.ns18770.oracleGeneral.zst LIRS cache size   426617, 4006044 req, miss ratio 0.1380, byte miss ratio 0.1380
result/tencentBlock.ns18770.oracleGeneral.zst FIFO cache size      533, 4006044 req, miss ratio 0.6630, byte miss ratio 0.6630
result/tencentBlock.ns18770.oracleGeneral.zst FIFO cache size     1599, 4006044 req, miss ratio 0.5200, byte miss ratio 0.5200
result/tencentBlock.ns18770.oracleGeneral.zst FIFO cache size     5332, 4006044 req, miss ratio 0.4144, byte miss ratio 0.4144
result/tencentBlock.ns18770.oracleGeneral.zst FIFO cache size    15998, 4006044 req, miss ratio 0.3550, byte miss ratio 0.3550
