result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-1 cache size      115, 2367987 req, miss ratio 0.3958, byte miss ratio 0.3958
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-1 cache size      345, 2367987 req, miss ratio 0.3012, byte miss ratio 0.3012
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-1 cache size     1152, 2367987 req, miss ratio 0.2166, byte miss ratio 0.2166
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-1 cache size     3458, 2367987 req, miss ratio 0.1572, byte miss ratio 0.1572
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-1 cache size    11528, 2367987 req, miss ratio 0.0972, byte miss ratio 0.0972
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-1 cache size    23057, 2367987 req, miss ratio 0.0715, byte miss ratio 0.0715
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-1 cache size    46114, 2367987 req, miss ratio 0.0583, byte miss ratio 0.0583
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-1 cache size    92228, 2367987 req, miss ratio 0.0493, byte miss ratio 0.0493
result/cdn2_colo28.ns988.oracleGeneral.zst LeCaR cache size      115, 2367987 req, miss ratio 0.4539, byte miss ratio 0.4539
result/cdn2_colo28.ns988.oracleGeneral.zst LeCaR cache size      345, 2367987 req, miss ratio 0.3546, byte miss ratio 0.3546
result/cdn2_colo28.ns988.oracleGeneral.zst LeCaR cache size     1152, 2367987 req, miss ratio 0.2526, byte miss ratio 0.2526
result/cdn2_colo28.ns988.oracleGeneral.zst LeCaR cache size     3458, 2367987 req, miss ratio 0.1805, byte miss ratio 0.1805
result/cdn2_colo28.ns988.oracleGeneral.zst LeCaR cache size    11528, 2367987 req, miss ratio 0.1129, byte miss ratio 0.1129
result/cdn2_colo28.ns988.oracleGeneral.zst LeCaR cache size    23057, 2367987 req, miss ratio 0.0803, byte miss ratio 0.0803
result/cdn2_colo28.ns988.oracleGeneral.zst LeCaR cache size    46114, 2367987 req, miss ratio 0.0611, byte miss ratio 0.0611
result/cdn2_colo28.ns988.oracleGeneral.zst LeCaR cache size    92228, 2367987 req, miss ratio 0.0494, byte miss ratio 0.0494
result/cdn2_colo28.ns988.oracleGeneral.zst LRU cache size      115, 2367987 req, miss ratio 0.4677, byte miss ratio 0.4677
result/cdn2_colo28.ns988.oracleGeneral.zst LRU cache size      345, 2367987 req, miss ratio 0.3711, byte miss ratio 0.3711
result/cdn2_colo28.ns988.oracleGeneral.zst LRU cache size     1152, 2367987 req, miss ratio 0.2630, byte miss ratio 0.2630
result/cdn2_colo28.ns988.oracleGeneral.zst LRU cache size     3458, 2367987 req, miss ratio 0.1860, byte miss ratio 0.1860
result/cdn2_colo28.ns988.oracleGeneral.zst LRU cache size    11528, 2367987 req, miss ratio 0.1191, byte miss ratio 0.1191
result/cdn2_colo28.ns988.oracleGeneral.zst LRU cache size    23057, 2367987 req, miss ratio 0.0850, byte miss ratio 0.0850
result/cdn2_colo28.ns988.oracleGeneral.zst LRU cache size    46114, 2367987 req, miss ratio 0.0626, byte miss ratio 0.0626
result/cdn2_colo28.ns988.oracleGeneral.zst LRU cache size    92228, 2367987 req, miss ratio 0.0493, byte miss ratio 0.0493
result/cdn2_colo28.ns988.oracleGeneral.zst Cacheus cache size      115, 2367987 req, miss ratio 0.4311, byte miss ratio 0.4311
result/cdn2_colo28.ns988.oracleGeneral.zst Cacheus cache size      345, 2367987 req, miss ratio 0.3338, byte miss ratio 0.3338
result/cdn2_colo28.ns988.oracleGeneral.zst Cacheus cache size     1152, 2367987 req, miss ratio 0.2371, byte miss ratio 0.2371
result/cdn2_colo28.ns988.oracleGeneral.zst Cacheus cache size     3458, 2367987 req, miss ratio 0.1650, byte miss ratio 0.1650
result/cdn2_colo28.ns988.oracleGeneral.zst Cacheus cache size    11528, 2367987 req, miss ratio 0.1096, byte miss ratio 0.1096
result/cdn2_colo28.ns988.oracleGeneral.zst Cacheus cache size    23057, 2367987 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cdn2_colo28.ns988.oracleGeneral.zst Cacheus cache size    46114, 2367987 req, miss ratio 0.0596, byte miss ratio 0.0596
result/cdn2_colo28.ns988.oracleGeneral.zst Cacheus cache size    92228, 2367987 req, miss ratio 0.0500, byte miss ratio 0.0500
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-d-1 cache size      115, 2367987 req, miss ratio 0.4038, byte miss ratio 0.4038
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-d-1 cache size      345, 2367987 req, miss ratio 0.3030, byte miss ratio 0.3030
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-d-1 cache size     1152, 2367987 req, miss ratio 0.2164, byte miss ratio 0.2164
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-d-1 cache size     3458, 2367987 req, miss ratio 0.1571, byte miss ratio 0.1571
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-d-1 cache size    11528, 2367987 req, miss ratio 0.0972, byte miss ratio 0.0972
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-d-1 cache size    23057, 2367987 req, miss ratio 0.0715, byte miss ratio 0.0715
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-d-1 cache size    46114, 2367987 req, miss ratio 0.0583, byte miss ratio 0.0583
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-d-1 cache size    92228, 2367987 req, miss ratio 0.0493, byte miss ratio 0.0493
result/cdn2_colo28.ns988.oracleGeneral.zst LRB cache size      115, 2367987 req, miss ratio 0.3972, byte miss ratio 0.3972
result/cdn2_colo28.ns988.oracleGeneral.zst LRB cache size      345, 2367987 req, miss ratio 0.3056, byte miss ratio 0.3056
result/cdn2_colo28.ns988.oracleGeneral.zst LRB cache size     1152, 2367987 req, miss ratio 0.2197, byte miss ratio 0.2197
result/cdn2_colo28.ns988.oracleGeneral.zst LRB cache size     3458, 2367987 req, miss ratio 0.1570, byte miss ratio 0.1570
result/cdn2_colo28.ns988.oracleGeneral.zst LRB cache size    11528, 2367987 req, miss ratio 0.0995, byte miss ratio 0.0995
result/cdn2_colo28.ns988.oracleGeneral.zst LRB cache size    23057, 2367987 req, miss ratio 0.0756, byte miss ratio 0.0756
result/cdn2_colo28.ns988.oracleGeneral.zst LRB cache size    46114, 2367987 req, miss ratio 0.0594, byte miss ratio 0.0594
result/cdn2_colo28.ns988.oracleGeneral.zst LRB cache size    92228, 2367987 req, miss ratio 0.0494, byte miss ratio 0.0494
result/cdn2_colo28.ns988.oracleGeneral.zst B-LRU cache size      115, 2367987 req, miss ratio 0.4631, byte miss ratio 0.4631
result/cdn2_colo28.ns988.oracleGeneral.zst B-LRU cache size      345, 2367987 req, miss ratio 0.3635, byte miss ratio 0.3635
result/cdn2_colo28.ns988.oracleGeneral.zst B-LRU cache size     1152, 2367987 req, miss ratio 0.2548, byte miss ratio 0.2548
result/cdn2_colo28.ns988.oracleGeneral.zst B-LRU cache size     3458, 2367987 req, miss ratio 0.1787, byte miss ratio 0.1787
result/cdn2_colo28.ns988.oracleGeneral.zst B-LRU cache size    11528, 2367987 req, miss ratio 0.1113, byte miss ratio 0.1113
result/cdn2_colo28.ns988.oracleGeneral.zst B-LRU cache size    23057, 2367987 req, miss ratio 0.0824, byte miss ratio 0.0824
result/cdn2_colo28.ns988.oracleGeneral.zst B-LRU cache size    46114, 2367987 req, miss ratio 0.0714, byte miss ratio 0.0714
result/cdn2_colo28.ns988.oracleGeneral.zst B-LRU cache size    92228, 2367987 req, miss ratio 0.0711, byte miss ratio 0.0711
result/cdn2_colo28.ns988.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      115, 2367987 req, miss ratio 0.4586, byte miss ratio 0.4586
result/cdn2_colo28.ns988.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      345, 2367987 req, miss ratio 0.3617, byte miss ratio 0.3617
result/cdn2_colo28.ns988.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1152, 2367987 req, miss ratio 0.2556, byte miss ratio 0.2556
result/cdn2_colo28.ns988.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3458, 2367987 req, miss ratio 0.1816, byte miss ratio 0.1816
result/cdn2_colo28.ns988.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11528, 2367987 req, miss ratio 0.1143, byte miss ratio 0.1143
result/cdn2_colo28.ns988.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    23057, 2367987 req, miss ratio 0.0837, byte miss ratio 0.0837
result/cdn2_colo28.ns988.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    46114, 2367987 req, miss ratio 0.0629, byte miss ratio 0.0629
result/cdn2_colo28.ns988.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    92228, 2367987 req, miss ratio 0.0523, byte miss ratio 0.0523
result/cdn2_colo28.ns988.oracleGeneral.zst S4LRU(25:25:25:25) cache size      115, 2367987 req, miss ratio 0.4077, byte miss ratio 0.4077
result/cdn2_colo28.ns988.oracleGeneral.zst S4LRU(25:25:25:25) cache size      345, 2367987 req, miss ratio 0.3123, byte miss ratio 0.3123
result/cdn2_colo28.ns988.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1152, 2367987 req, miss ratio 0.2247, byte miss ratio 0.2247
