result/cdn1_lax.ns310.oracleGeneral.bin.zst clock2 cache size     3468, 27800596 req, miss ratio 0.0889, byte miss ratio 0.0889
result/cdn1_lax.ns310.oracleGeneral.bin.zst clock2 cache size     6937, 27800596 req, miss ratio 0.0203, byte miss ratio 0.0203
result/cdn1_lax.ns310.oracleGeneral.bin.zst clock2 cache size    13874, 27800596 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_lax.ns310.oracleGeneral.bin.zst Clock cache size       17, 27800596 req, miss ratio 0.5943, byte miss ratio 0.5943
result/cdn1_lax.ns310.oracleGeneral.bin.zst Clock cache size       52, 27800596 req, miss ratio 0.4541, byte miss ratio 0.4541
result/cdn1_lax.ns310.oracleGeneral.bin.zst Clock cache size      173, 27800596 req, miss ratio 0.3438, byte miss ratio 0.3438
result/cdn1_lax.ns310.oracleGeneral.bin.zst Clock cache size      520, 27800596 req, miss ratio 0.2390, byte miss ratio 0.2390
result/cdn1_lax.ns310.oracleGeneral.bin.zst Clock cache size     1734, 27800596 req, miss ratio 0.1435, byte miss ratio 0.1435
result/cdn1_lax.ns310.oracleGeneral.bin.zst Clock cache size     3468, 27800596 req, miss ratio 0.0924, byte miss ratio 0.0924
result/cdn1_lax.ns310.oracleGeneral.bin.zst Clock cache size     6937, 27800596 req, miss ratio 0.0226, byte miss ratio 0.0226
result/cdn1_lax.ns310.oracleGeneral.bin.zst Clock cache size    13874, 27800596 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_lax.ns310.oracleGeneral.bin.zst LRU cache size       17, 27800596 req, miss ratio 0.6022, byte miss ratio 0.6022
result/cdn1_lax.ns310.oracleGeneral.bin.zst LRU cache size       52, 27800596 req, miss ratio 0.4576, byte miss ratio 0.4576
result/cdn1_lax.ns310.oracleGeneral.bin.zst LRU cache size      173, 27800596 req, miss ratio 0.3460, byte miss ratio 0.3460
result/cdn1_lax.ns310.oracleGeneral.bin.zst LRU cache size      520, 27800596 req, miss ratio 0.2417, byte miss ratio 0.2417
result/cdn1_lax.ns310.oracleGeneral.bin.zst LRU cache size     1734, 27800596 req, miss ratio 0.1446, byte miss ratio 0.1446
result/cdn1_lax.ns310.oracleGeneral.bin.zst LRU cache size     3468, 27800596 req, miss ratio 0.0931, byte miss ratio 0.0931
result/cdn1_lax.ns310.oracleGeneral.bin.zst LRU cache size     6937, 27800596 req, miss ratio 0.0228, byte miss ratio 0.0228
result/cdn1_lax.ns310.oracleGeneral.bin.zst LRU cache size    13874, 27800596 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_lax.ns310.oracleGeneral.bin.zst LeCaR cache size       17, 27800596 req, miss ratio 0.5887, byte miss ratio 0.5887
result/cdn1_lax.ns310.oracleGeneral.bin.zst LeCaR cache size       52, 27800596 req, miss ratio 0.4535, byte miss ratio 0.4535
result/cdn1_lax.ns310.oracleGeneral.bin.zst LeCaR cache size      173, 27800596 req, miss ratio 0.3423, byte miss ratio 0.3423
result/cdn1_lax.ns310.oracleGeneral.bin.zst LeCaR cache size      520, 27800596 req, miss ratio 0.2316, byte miss ratio 0.2316
result/cdn1_lax.ns310.oracleGeneral.bin.zst LeCaR cache size     1734, 27800596 req, miss ratio 0.1398, byte miss ratio 0.1398
result/cdn1_lax.ns310.oracleGeneral.bin.zst LeCaR cache size     3468, 27800596 req, miss ratio 0.0890, byte miss ratio 0.0890
result/cdn1_lax.ns310.oracleGeneral.bin.zst LeCaR cache size     6937, 27800596 req, miss ratio 0.0199, byte miss ratio 0.0199
result/cdn1_lax.ns310.oracleGeneral.bin.zst LeCaR cache size    13874, 27800596 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_lax.ns310.oracleGeneral.bin.zst LIRS cache size       17, 27800596 req, miss ratio 0.5940, byte miss ratio 0.5940
result/cdn1_lax.ns310.oracleGeneral.bin.zst LIRS cache size       52, 27800596 req, miss ratio 0.5007, byte miss ratio 0.5007
result/cdn1_lax.ns310.oracleGeneral.bin.zst LIRS cache size      173, 27800596 req, miss ratio 0.3990, byte miss ratio 0.3990
result/cdn1_lax.ns310.oracleGeneral.bin.zst LIRS cache size      520, 27800596 req, miss ratio 0.2560, byte miss ratio 0.2560
result/cdn1_lax.ns310.oracleGeneral.bin.zst LIRS cache size     1734, 27800596 req, miss ratio 0.1457, byte miss ratio 0.1457
result/cdn1_lax.ns310.oracleGeneral.bin.zst LIRS cache size     3468, 27800596 req, miss ratio 0.0904, byte miss ratio 0.0904
result/cdn1_lax.ns310.oracleGeneral.bin.zst LIRS cache size     6937, 27800596 req, miss ratio 0.0202, byte miss ratio 0.0202
