result/tencentBlock.ns19618.oracleGeneral.zst LHD cache size      276, 3270647 req, miss ratio 0.4700, byte miss ratio 0.4700
result/tencentBlock.ns19618.oracleGeneral.zst LHD cache size      829, 3270647 req, miss ratio 0.3992, byte miss ratio 0.3992
result/tencentBlock.ns19618.oracleGeneral.zst LHD cache size     2765, 3270647 req, miss ratio 0.2903, byte miss ratio 0.2903
result/tencentBlock.ns19618.oracleGeneral.zst LHD cache size     8296, 3270647 req, miss ratio 0.2613, byte miss ratio 0.2613
result/tencentBlock.ns19618.oracleGeneral.zst LHD cache size    27656, 3270647 req, miss ratio 0.2169, byte miss ratio 0.2169
result/tencentBlock.ns19618.oracleGeneral.zst LHD cache size    55312, 3270647 req, miss ratio 0.1733, byte miss ratio 0.1733
result/tencentBlock.ns19618.oracleGeneral.zst LHD cache size   110625, 3270647 req, miss ratio 0.1093, byte miss ratio 0.1093
result/tencentBlock.ns19618.oracleGeneral.zst LHD cache size   221250, 3270647 req, miss ratio 0.0861, byte miss ratio 0.0861
result/tencentBlock.ns19618.oracleGeneral.zst ARC cache size      276, 3270647 req, miss ratio 0.4551, byte miss ratio 0.4551
result/tencentBlock.ns19618.oracleGeneral.zst ARC cache size      829, 3270647 req, miss ratio 0.3785, byte miss ratio 0.3785
result/tencentBlock.ns19618.oracleGeneral.zst ARC cache size     2765, 3270647 req, miss ratio 0.2754, byte miss ratio 0.2754
result/tencentBlock.ns19618.oracleGeneral.zst ARC cache size     8296, 3270647 req, miss ratio 0.2580, byte miss ratio 0.2580
result/tencentBlock.ns19618.oracleGeneral.zst ARC cache size    27656, 3270647 req, miss ratio 0.2139, byte miss ratio 0.2139
result/tencentBlock.ns19618.oracleGeneral.zst ARC cache size    55312, 3270647 req, miss ratio 0.1736, byte miss ratio 0.1736
result/tencentBlock.ns19618.oracleGeneral.zst ARC cache size   110625, 3270647 req, miss ratio 0.1116, byte miss ratio 0.1116
result/tencentBlock.ns19618.oracleGeneral.zst ARC cache size   221250, 3270647 req, miss ratio 0.0853, byte miss ratio 0.0853
result/tencentBlock.ns19618.oracleGeneral.zst FIFO cache size      276, 3270647 req, miss ratio 0.6039, byte miss ratio 0.6039
result/tencentBlock.ns19618.oracleGeneral.zst FIFO cache size      829, 3270647 req, miss ratio 0.4556, byte miss ratio 0.4556
result/tencentBlock.ns19618.oracleGeneral.zst FIFO cache size     2765, 3270647 req, miss ratio 0.3510, byte miss ratio 0.3510
result/tencentBlock.ns19618.oracleGeneral.zst FIFO cache size     8296, 3270647 req, miss ratio 0.2934, byte miss ratio 0.2934
result/tencentBlock.ns19618.oracleGeneral.zst FIFO cache size    27656, 3270647 req, miss ratio 0.2374, byte miss ratio 0.2374
result/tencentBlock.ns19618.oracleGeneral.zst FIFO cache size    55312, 3270647 req, miss ratio 0.1968, byte miss ratio 0.1968
result/tencentBlock.ns19618.oracleGeneral.zst FIFO cache size   110625, 3270647 req, miss ratio 0.1279, byte miss ratio 0.1279
result/tencentBlock.ns19618.oracleGeneral.zst FIFO cache size   221250, 3270647 req, miss ratio 0.0948, byte miss ratio 0.0948
result/tencentBlock.ns19618.oracleGeneral.zst Cacheus cache size      276, 3270647 req, miss ratio 0.4583, byte miss ratio 0.4583
result/tencentBlock.ns19618.oracleGeneral.zst Cacheus cache size      829, 3270647 req, miss ratio 0.3858, byte miss ratio 0.3858
result/tencentBlock.ns19618.oracleGeneral.zst Cacheus cache size     2765, 3270647 req, miss ratio 0.2826, byte miss ratio 0.2826
result/tencentBlock.ns19618.oracleGeneral.zst Cacheus cache size     8296, 3270647 req, miss ratio 0.2599, byte miss ratio 0.2599
result/tencentBlock.ns19618.oracleGeneral.zst Cacheus cache size    27656, 3270647 req, miss ratio 0.2184, byte miss ratio 0.2184
result/tencentBlock.ns19618.oracleGeneral.zst Cacheus cache size    55312, 3270647 req, miss ratio 0.1798, byte miss ratio 0.1798
result/tencentBlock.ns19618.oracleGeneral.zst Cacheus cache size   110625, 3270647 req, miss ratio 0.1109, byte miss ratio 0.1109
result/tencentBlock.ns19618.oracleGeneral.zst Cacheus cache size   221250, 3270647 req, miss ratio 0.0855, byte miss ratio 0.0855
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-d-1 cache size      276, 3270647 req, miss ratio 0.4527, byte miss ratio 0.4527
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-d-1 cache size      829, 3270647 req, miss ratio 0.3713, byte miss ratio 0.3713
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-d-1 cache size     2765, 3270647 req, miss ratio 0.2756, byte miss ratio 0.2756
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-d-1 cache size     8296, 3270647 req, miss ratio 0.2572, byte miss ratio 0.2572
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-d-1 cache size    27656, 3270647 req, miss ratio 0.2158, byte miss ratio 0.2158
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-d-1 cache size    55312, 3270647 req, miss ratio 0.1843, byte miss ratio 0.1843
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-d-1 cache size   110625, 3270647 req, miss ratio 0.1114, byte miss ratio 0.1114
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-d-1 cache size   221250, 3270647 req, miss ratio 0.0853, byte miss ratio 0.0853
result/tencentBlock.ns19618.oracleGeneral.zst LRB cache size      276, 3270647 req, miss ratio 0.4805, byte miss ratio 0.4805
result/tencentBlock.ns19618.oracleGeneral.zst LRB cache size      829, 3270647 req, miss ratio 0.3738, byte miss ratio 0.3738
result/tencentBlock.ns19618.oracleGeneral.zst LRB cache size     2765, 3270647 req, miss ratio 0.2883, byte miss ratio 0.2883
result/tencentBlock.ns19618.oracleGeneral.zst LRB cache size     8296, 3270647 req, miss ratio 0.2649, byte miss ratio 0.2649
result/tencentBlock.ns19618.oracleGeneral.zst LRB cache size    27656, 3270647 req, miss ratio 0.2146, byte miss ratio 0.2146
