result/io_traces.ns310.oracleGeneral.zst ARC cache size     7732, 10400000 req, miss ratio 0.2664, byte miss ratio 0.2664
result/io_traces.ns310.oracleGeneral.zst ARC cache size    23198, 10400000 req, miss ratio 0.2019, byte miss ratio 0.2019
result/io_traces.ns310.oracleGeneral.zst ARC cache size    77329, 10400000 req, miss ratio 0.0994, byte miss ratio 0.0994
result/io_traces.ns310.oracleGeneral.zst ARC cache size   154658, 10400000 req, miss ratio 0.0829, byte miss ratio 0.0829
result/io_traces.ns310.oracleGeneral.zst ARC cache size   309316, 10400000 req, miss ratio 0.0785, byte miss ratio 0.0785
result/io_traces.ns310.oracleGeneral.zst ARC cache size   618632, 10400000 req, miss ratio 0.0744, byte miss ratio 0.0744
result/io_traces.ns310.oracleGeneral.zst Clock cache size      773, 10400000 req, miss ratio 0.5415, byte miss ratio 0.5415
result/io_traces.ns310.oracleGeneral.zst Clock cache size     2319, 10400000 req, miss ratio 0.3648, byte miss ratio 0.3648
result/io_traces.ns310.oracleGeneral.zst Clock cache size     7732, 10400000 req, miss ratio 0.2868, byte miss ratio 0.2868
result/io_traces.ns310.oracleGeneral.zst Clock cache size    23198, 10400000 req, miss ratio 0.2078, byte miss ratio 0.2078
result/io_traces.ns310.oracleGeneral.zst Clock cache size    77329, 10400000 req, miss ratio 0.1042, byte miss ratio 0.1042
result/io_traces.ns310.oracleGeneral.zst Clock cache size   154658, 10400000 req, miss ratio 0.0817, byte miss ratio 0.0817
result/io_traces.ns310.oracleGeneral.zst Clock cache size   309316, 10400000 req, miss ratio 0.0766, byte miss ratio 0.0766
result/io_traces.ns310.oracleGeneral.zst Clock cache size   618632, 10400000 req, miss ratio 0.0744, byte miss ratio 0.0744
result/io_traces.ns310.oracleGeneral.zst FIFO cache size      773, 10400000 req, miss ratio 0.6125, byte miss ratio 0.6125
result/io_traces.ns310.oracleGeneral.zst FIFO cache size     2319, 10400000 req, miss ratio 0.4480, byte miss ratio 0.4480
result/io_traces.ns310.oracleGeneral.zst FIFO cache size     7732, 10400000 req, miss ratio 0.3306, byte miss ratio 0.3306
result/io_traces.ns310.oracleGeneral.zst FIFO cache size    23198, 10400000 req, miss ratio 0.2381, byte miss ratio 0.2381
result/io_traces.ns310.oracleGeneral.zst FIFO cache size    77329, 10400000 req, miss ratio 0.1331, byte miss ratio 0.1331
result/io_traces.ns310.oracleGeneral.zst FIFO cache size   154658, 10400000 req, miss ratio 0.1006, byte miss ratio 0.1006
result/io_traces.ns310.oracleGeneral.zst FIFO cache size   309316, 10400000 req, miss ratio 0.0832, byte miss ratio 0.0832
result/io_traces.ns310.oracleGeneral.zst FIFO cache size   618632, 10400000 req, miss ratio 0.0777, byte miss ratio 0.0777
result/io_traces.ns310.oracleGeneral.zst LeCaR cache size      773, 10400000 req, miss ratio 0.5464, byte miss ratio 0.5464
result/io_traces.ns310.oracleGeneral.zst LeCaR cache size     2319, 10400000 req, miss ratio 0.3378, byte miss ratio 0.3378
result/io_traces.ns310.oracleGeneral.zst LeCaR cache size     7732, 10400000 req, miss ratio 0.2892, byte miss ratio 0.2892
result/io_traces.ns310.oracleGeneral.zst LeCaR cache size    23198, 10400000 req, miss ratio 0.2035, byte miss ratio 0.2035
result/io_traces.ns310.oracleGeneral.zst LeCaR cache size    77329, 10400000 req, miss ratio 0.0982, byte miss ratio 0.0982
