result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-1 cache size       22, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-1 cache size       67, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-1 cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-1 cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-1 cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-1 cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-1 cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-1 cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst clock2 cache size       22, 1130468 req, miss ratio 0.0202, byte miss ratio 0.0202
result/cdn2_allcolo.ns394.oracleGeneral.zst clock2 cache size       67, 1130468 req, miss ratio 0.0201, byte miss ratio 0.0201
result/cdn2_allcolo.ns394.oracleGeneral.zst clock2 cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst clock2 cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst clock2 cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst clock2 cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst clock2 cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst clock2 cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst Clock cache size       22, 1130468 req, miss ratio 0.0202, byte miss ratio 0.0202
result/cdn2_allcolo.ns394.oracleGeneral.zst Clock cache size       67, 1130468 req, miss ratio 0.0201, byte miss ratio 0.0201
result/cdn2_allcolo.ns394.oracleGeneral.zst Clock cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst Clock cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst Clock cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst Clock cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst Clock cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst Clock cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LRU cache size       22, 1130468 req, miss ratio 0.0202, byte miss ratio 0.0202
result/cdn2_allcolo.ns394.oracleGeneral.zst LRU cache size       67, 1130468 req, miss ratio 0.0201, byte miss ratio 0.0201
result/cdn2_allcolo.ns394.oracleGeneral.zst LRU cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LRU cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LRU cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LRU cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LRU cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LRU cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst Cacheus cache size       22, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst Cacheus cache size       67, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst Cacheus cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst Cacheus cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst Cacheus cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst Cacheus cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst Cacheus cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst Cacheus cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LIRS cache size       22, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LIRS cache size       67, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LIRS cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LIRS cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LIRS cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LIRS cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LIRS cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LIRS cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst FIFO cache size       22, 1130468 req, miss ratio 0.0221, byte miss ratio 0.0221
result/cdn2_allcolo.ns394.oracleGeneral.zst FIFO cache size       67, 1130468 req, miss ratio 0.0208, byte miss ratio 0.0208
result/cdn2_allcolo.ns394.oracleGeneral.zst FIFO cache size      225, 1130468 req, miss ratio 0.0203, byte miss ratio 0.0203
result/cdn2_allcolo.ns394.oracleGeneral.zst FIFO cache size      677, 1130468 req, miss ratio 0.0201, byte miss ratio 0.0201
result/cdn2_allcolo.ns394.oracleGeneral.zst FIFO cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst FIFO cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst FIFO cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst FIFO cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LeCaR cache size       22, 1130468 req, miss ratio 0.0202, byte miss ratio 0.0202
result/cdn2_allcolo.ns394.oracleGeneral.zst LeCaR cache size       67, 1130468 req, miss ratio 0.0201, byte miss ratio 0.0201
