result/tencentBlock.ns21269.oracleGeneral.zst clock2 cache size      162, 1821404 req, miss ratio 0.4586, byte miss ratio 0.4586
result/tencentBlock.ns21269.oracleGeneral.zst clock2 cache size      487, 1821404 req, miss ratio 0.2155, byte miss ratio 0.2155
result/tencentBlock.ns21269.oracleGeneral.zst clock2 cache size     1624, 1821404 req, miss ratio 0.2137, byte miss ratio 0.2137
result/tencentBlock.ns21269.oracleGeneral.zst clock2 cache size     4874, 1821404 req, miss ratio 0.2128, byte miss ratio 0.2128
result/tencentBlock.ns21269.oracleGeneral.zst clock2 cache size    16247, 1821404 req, miss ratio 0.2108, byte miss ratio 0.2108
result/tencentBlock.ns21269.oracleGeneral.zst clock2 cache size    32495, 1821404 req, miss ratio 0.1623, byte miss ratio 0.1623
result/tencentBlock.ns21269.oracleGeneral.zst clock2 cache size    64991, 1821404 req, miss ratio 0.1113, byte miss ratio 0.1113
result/tencentBlock.ns21269.oracleGeneral.zst clock2 cache size   129983, 1821404 req, miss ratio 0.0896, byte miss ratio 0.0896
result/tencentBlock.ns21269.oracleGeneral.zst S3FIFO-1 cache size      162, 1821404 req, miss ratio 0.2789, byte miss ratio 0.2789
result/tencentBlock.ns21269.oracleGeneral.zst S3FIFO-1 cache size      487, 1821404 req, miss ratio 0.2142, byte miss ratio 0.2142
result/tencentBlock.ns21269.oracleGeneral.zst S3FIFO-1 cache size     1624, 1821404 req, miss ratio 0.2131, byte miss ratio 0.2131
result/tencentBlock.ns21269.oracleGeneral.zst S3FIFO-1 cache size     4874, 1821404 req, miss ratio 0.2126, byte miss ratio 0.2126
result/tencentBlock.ns21269.oracleGeneral.zst S3FIFO-1 cache size    16247, 1821404 req, miss ratio 0.1788, byte miss ratio 0.1788
result/tencentBlock.ns21269.oracleGeneral.zst S3FIFO-1 cache size    32495, 1821404 req, miss ratio 0.1405, byte miss ratio 0.1405
result/tencentBlock.ns21269.oracleGeneral.zst S3FIFO-1 cache size    64991, 1821404 req, miss ratio 0.1013, byte miss ratio 0.1013
result/tencentBlock.ns21269.oracleGeneral.zst S3FIFO-1 cache size   129983, 1821404 req, miss ratio 0.0896, byte miss ratio 0.0896
result/tencentBlock.ns21269.oracleGeneral.zst Clock cache size      162, 1821404 req, miss ratio 0.4619, byte miss ratio 0.4619
result/tencentBlock.ns21269.oracleGeneral.zst Clock cache size      487, 1821404 req, miss ratio 0.2158, byte miss ratio 0.2158
result/tencentBlock.ns21269.oracleGeneral.zst Clock cache size     1624, 1821404 req, miss ratio 0.2135, byte miss ratio 0.2135
result/tencentBlock.ns21269.oracleGeneral.zst Clock cache size     4874, 1821404 req, miss ratio 0.2128, byte miss ratio 0.2128
result/tencentBlock.ns21269.oracleGeneral.zst Clock cache size    16247, 1821404 req, miss ratio 0.1906, byte miss ratio 0.1906
result/tencentBlock.ns21269.oracleGeneral.zst Clock cache size    32495, 1821404 req, miss ratio 0.1495, byte miss ratio 0.1495
result/tencentBlock.ns21269.oracleGeneral.zst Clock cache size    64991, 1821404 req, miss ratio 0.1068, byte miss ratio 0.1068
result/tencentBlock.ns21269.oracleGeneral.zst Clock cache size   129983, 1821404 req, miss ratio 0.0896, byte miss ratio 0.0896
result/tencentBlock.ns21269.oracleGeneral.zst LRU cache size      162, 1821404 req, miss ratio 0.4713, byte miss ratio 0.4713
result/tencentBlock.ns21269.oracleGeneral.zst LRU cache size      487, 1821404 req, miss ratio 0.2159, byte miss ratio 0.2159
result/tencentBlock.ns21269.oracleGeneral.zst LRU cache size     1624, 1821404 req, miss ratio 0.2135, byte miss ratio 0.2135
result/tencentBlock.ns21269.oracleGeneral.zst LRU cache size     4874, 1821404 req, miss ratio 0.2128, byte miss ratio 0.2128
result/tencentBlock.ns21269.oracleGeneral.zst LRU cache size    16247, 1821404 req, miss ratio 0.1712, byte miss ratio 0.1712
result/tencentBlock.ns21269.oracleGeneral.zst LRU cache size    32495, 1821404 req, miss ratio 0.1445, byte miss ratio 0.1445
result/tencentBlock.ns21269.oracleGeneral.zst LRU cache size    64991, 1821404 req, miss ratio 0.1015, byte miss ratio 0.1015
result/tencentBlock.ns21269.oracleGeneral.zst LRU cache size   129983, 1821404 req, miss ratio 0.0893, byte miss ratio 0.0893
result/tencentBlock.ns21269.oracleGeneral.zst Cacheus cache size      162, 1821404 req, miss ratio 0.2978, byte miss ratio 0.2978
result/tencentBlock.ns21269.oracleGeneral.zst Cacheus cache size      487, 1821404 req, miss ratio 0.2145, byte miss ratio 0.2145
result/tencentBlock.ns21269.oracleGeneral.zst Cacheus cache size     1624, 1821404 req, miss ratio 0.2130, byte miss ratio 0.2130
result/tencentBlock.ns21269.oracleGeneral.zst Cacheus cache size     4874, 1821404 req, miss ratio 0.2127, byte miss ratio 0.2127
result/tencentBlock.ns21269.oracleGeneral.zst Cacheus cache size    16247, 1821404 req, miss ratio 0.1871, byte miss ratio 0.1871
result/tencentBlock.ns21269.oracleGeneral.zst Cacheus cache size    32495, 1821404 req, miss ratio 0.1400, byte miss ratio 0.1400
result/tencentBlock.ns21269.oracleGeneral.zst Cacheus cache size    64991, 1821404 req, miss ratio 0.1007, byte miss ratio 0.1007
result/tencentBlock.ns21269.oracleGeneral.zst Cacheus cache size   129983, 1821404 req, miss ratio 0.0896, byte miss ratio 0.0896
result/tencentBlock.ns21269.oracleGeneral.zst ARC cache size      162, 1821404 req, miss ratio 0.2555, byte miss ratio 0.2555
result/tencentBlock.ns21269.oracleGeneral.zst ARC cache size      487, 1821404 req, miss ratio 0.2143, byte miss ratio 0.2143
result/tencentBlock.ns21269.oracleGeneral.zst ARC cache size     1624, 1821404 req, miss ratio 0.2131, byte miss ratio 0.2131
result/tencentBlock.ns21269.oracleGeneral.zst ARC cache size     4874, 1821404 req, miss ratio 0.2128, byte miss ratio 0.2128
result/tencentBlock.ns21269.oracleGeneral.zst ARC cache size    16247, 1821404 req, miss ratio 0.1806, byte miss ratio 0.1806
result/tencentBlock.ns21269.oracleGeneral.zst ARC cache size    32495, 1821404 req, miss ratio 0.1418, byte miss ratio 0.1418
result/tencentBlock.ns21269.oracleGeneral.zst ARC cache size    64991, 1821404 req, miss ratio 0.0993, byte miss ratio 0.0993
result/tencentBlock.ns21269.oracleGeneral.zst ARC cache size   129983, 1821404 req, miss ratio 0.0896, byte miss ratio 0.0896
result/tencentBlock.ns21269.oracleGeneral.zst LHD cache size      162, 1821404 req, miss ratio 0.3433, byte miss ratio 0.3433
result/tencentBlock.ns21269.oracleGeneral.zst LHD cache size      487, 1821404 req, miss ratio 0.2157, byte miss ratio 0.2157
result/tencentBlock.ns21269.oracleGeneral.zst LHD cache size     1624, 1821404 req, miss ratio 0.2133, byte miss ratio 0.2133
result/tencentBlock.ns21269.oracleGeneral.zst LHD cache size     4874, 1821404 req, miss ratio 0.2082, byte miss ratio 0.2082
result/tencentBlock.ns21269.oracleGeneral.zst LHD cache size    16247, 1821404 req, miss ratio 0.1761, byte miss ratio 0.1761
result/tencentBlock.ns21269.oracleGeneral.zst LHD cache size    32495, 1821404 req, miss ratio 0.1371, byte miss ratio 0.1371
result/tencentBlock.ns21269.oracleGeneral.zst LHD cache size    64991, 1821404 req, miss ratio 0.0999, byte miss ratio 0.0999
result/tencentBlock.ns21269.oracleGeneral.zst LHD cache size   129983, 1821404 req, miss ratio 0.0900, byte miss ratio 0.0900
result/tencentBlock.ns21269.oracleGeneral.zst LIRS cache size      162, 1821404 req, miss ratio 0.2740, byte miss ratio 0.2740
result/tencentBlock.ns21269.oracleGeneral.zst LIRS cache size      487, 1821404 req, miss ratio 0.2358, byte miss ratio 0.2358
result/tencentBlock.ns21269.oracleGeneral.zst LIRS cache size     1624, 1821404 req, miss ratio 0.2150, byte miss ratio 0.2150
result/tencentBlock.ns21269.oracleGeneral.zst LIRS cache size     4874, 1821404 req, miss ratio 0.2102, byte miss ratio 0.2102
result/tencentBlock.ns21269.oracleGeneral.zst LIRS cache size    16247, 1821404 req, miss ratio 0.1782, byte miss ratio 0.1782
result/tencentBlock.ns21269.oracleGeneral.zst LIRS cache size    32495, 1821404 req, miss ratio 0.1438, byte miss ratio 0.1438
result/tencentBlock.ns21269.oracleGeneral.zst LIRS cache size    64991, 1821404 req, miss ratio 0.0991, byte miss ratio 0.0991
result/tencentBlock.ns21269.oracleGeneral.zst LIRS cache size   129983, 1821404 req, miss ratio 0.0894, byte miss ratio 0.0894
result/tencentBlock.ns21269.oracleGeneral.zst LeCaR cache size      162, 1821404 req, miss ratio 0.4475, byte miss ratio 0.4475
result/tencentBlock.ns21269.oracleGeneral.zst LeCaR cache size      487, 1821404 req, miss ratio 0.2157, byte miss ratio 0.2157
result/tencentBlock.ns21269.oracleGeneral.zst LeCaR cache size     1624, 1821404 req, miss ratio 0.2134, byte miss ratio 0.2134
result/tencentBlock.ns21269.oracleGeneral.zst LeCaR cache size     4874, 1821404 req, miss ratio 0.2128, byte miss ratio 0.2128
result/tencentBlock.ns21269.oracleGeneral.zst LeCaR cache size    16247, 1821404 req, miss ratio 0.1713, byte miss ratio 0.1713
result/tencentBlock.ns21269.oracleGeneral.zst LeCaR cache size    32495, 1821404 req, miss ratio 0.1404, byte miss ratio 0.1404
result/tencentBlock.ns21269.oracleGeneral.zst LeCaR cache size    64991, 1821404 req, miss ratio 0.1004, byte miss ratio 0.1004
result/tencentBlock.ns21269.oracleGeneral.zst LeCaR cache size   129983, 1821404 req, miss ratio 0.0893, byte miss ratio 0.0893
result/tencentBlock.ns21269.oracleGeneral.zst FIFO cache size      162, 1821404 req, miss ratio 0.5139, byte miss ratio 0.5139
result/tencentBlock.ns21269.oracleGeneral.zst FIFO cache size      487, 1821404 req, miss ratio 0.2830, byte miss ratio 0.2830
result/tencentBlock.ns21269.oracleGeneral.zst FIFO cache size     1624, 1821404 req, miss ratio 0.2317, byte miss ratio 0.2317
result/tencentBlock.ns21269.oracleGeneral.zst FIFO cache size     4874, 1821404 req, miss ratio 0.2189, byte miss ratio 0.2189
result/tencentBlock.ns21269.oracleGeneral.zst FIFO cache size    16247, 1821404 req, miss ratio 0.1842, byte miss ratio 0.1842
result/tencentBlock.ns21269.oracleGeneral.zst FIFO cache size    32495, 1821404 req, miss ratio 0.1532, byte miss ratio 0.1532
result/tencentBlock.ns21269.oracleGeneral.zst FIFO cache size    64991, 1821404 req, miss ratio 0.1207, byte miss ratio 0.1207
result/tencentBlock.ns21269.oracleGeneral.zst FIFO cache size   129983, 1821404 req, miss ratio 0.0965, byte miss ratio 0.0965
result/tencentBlock.ns21269.oracleGeneral.zst S3FIFO-d-1 cache size      162, 1821404 req, miss ratio 0.2921, byte miss ratio 0.2921
result/tencentBlock.ns21269.oracleGeneral.zst S3FIFO-d-1 cache size      487, 1821404 req, miss ratio 0.2142, byte miss ratio 0.2142
result/tencentBlock.ns21269.oracleGeneral.zst S3FIFO-d-1 cache size     1624, 1821404 req, miss ratio 0.2130, byte miss ratio 0.2130
result/tencentBlock.ns21269.oracleGeneral.zst S3FIFO-d-1 cache size     4874, 1821404 req, miss ratio 0.2126, byte miss ratio 0.2126
result/tencentBlock.ns21269.oracleGeneral.zst S3FIFO-d-1 cache size    16247, 1821404 req, miss ratio 0.1780, byte miss ratio 0.1780
result/tencentBlock.ns21269.oracleGeneral.zst S3FIFO-d-1 cache size    32495, 1821404 req, miss ratio 0.1414, byte miss ratio 0.1414
result/tencentBlock.ns21269.oracleGeneral.zst S3FIFO-d-1 cache size    64991, 1821404 req, miss ratio 0.1014, byte miss ratio 0.1014
result/tencentBlock.ns21269.oracleGeneral.zst S3FIFO-d-1 cache size   129983, 1821404 req, miss ratio 0.0896, byte miss ratio 0.0896
result/tencentBlock.ns21269.oracleGeneral.zst LRB cache size      162, 1821404 req, miss ratio 0.3348, byte miss ratio 0.3348
result/tencentBlock.ns21269.oracleGeneral.zst LRB cache size      487, 1821404 req, miss ratio 0.2300, byte miss ratio 0.2300
result/tencentBlock.ns21269.oracleGeneral.zst LRB cache size     1624, 1821404 req, miss ratio 0.2089, byte miss ratio 0.2089
result/tencentBlock.ns21269.oracleGeneral.zst LRB cache size     4874, 1821404 req, miss ratio 0.1964, byte miss ratio 0.1964
result/tencentBlock.ns21269.oracleGeneral.zst LRB cache size    16247, 1821404 req, miss ratio 0.1540, byte miss ratio 0.1540
result/tencentBlock.ns21269.oracleGeneral.zst LRB cache size    32495, 1821404 req, miss ratio 0.1207, byte miss ratio 0.1207
result/tencentBlock.ns21269.oracleGeneral.zst LRB cache size    64991, 1821404 req, miss ratio 0.0961, byte miss ratio 0.0961
result/tencentBlock.ns21269.oracleGeneral.zst LRB cache size   129983, 1821404 req, miss ratio 0.0893, byte miss ratio 0.0893
result/tencentBlock.ns21269.oracleGeneral.zst B-LRU cache size      162, 1821404 req, miss ratio 0.5005, byte miss ratio 0.5005
result/tencentBlock.ns21269.oracleGeneral.zst B-LRU cache size      487, 1821404 req, miss ratio 0.2628, byte miss ratio 0.2628
result/tencentBlock.ns21269.oracleGeneral.zst B-LRU cache size     1624, 1821404 req, miss ratio 0.2609, byte miss ratio 0.2609
result/tencentBlock.ns21269.oracleGeneral.zst B-LRU cache size     4874, 1821404 req, miss ratio 0.2605, byte miss ratio 0.2605
result/tencentBlock.ns21269.oracleGeneral.zst B-LRU cache size    16247, 1821404 req, miss ratio 0.2231, byte miss ratio 0.2231
result/tencentBlock.ns21269.oracleGeneral.zst B-LRU cache size    32495, 1821404 req, miss ratio 0.1903, byte miss ratio 0.1903
result/tencentBlock.ns21269.oracleGeneral.zst B-LRU cache size    64991, 1821404 req, miss ratio 0.1586, byte miss ratio 0.1586
result/tencentBlock.ns21269.oracleGeneral.zst B-LRU cache size   129983, 1821404 req, miss ratio 0.1564, byte miss ratio 0.1564
result/tencentBlock.ns21269.oracleGeneral.zst TwoQ cache size      162, 1821404 req, miss ratio 0.2589, byte miss ratio 0.2589
result/tencentBlock.ns21269.oracleGeneral.zst TwoQ cache size      487, 1821404 req, miss ratio 0.2155, byte miss ratio 0.2155
result/tencentBlock.ns21269.oracleGeneral.zst TwoQ cache size     1624, 1821404 req, miss ratio 0.2130, byte miss ratio 0.2130
result/tencentBlock.ns21269.oracleGeneral.zst TwoQ cache size     4874, 1821404 req, miss ratio 0.2127, byte miss ratio 0.2127
result/tencentBlock.ns21269.oracleGeneral.zst TwoQ cache size    16247, 1821404 req, miss ratio 0.1647, byte miss ratio 0.1647
result/tencentBlock.ns21269.oracleGeneral.zst TwoQ cache size    32495, 1821404 req, miss ratio 0.1276, byte miss ratio 0.1276
result/tencentBlock.ns21269.oracleGeneral.zst TwoQ cache size    64991, 1821404 req, miss ratio 0.1105, byte miss ratio 0.1105
result/tencentBlock.ns21269.oracleGeneral.zst TwoQ cache size   129983, 1821404 req, miss ratio 0.0965, byte miss ratio 0.0965
result/tencentBlock.ns21269.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      162, 1821404 req, miss ratio 0.4468, byte miss ratio 0.4468
result/tencentBlock.ns21269.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      487, 1821404 req, miss ratio 0.2403, byte miss ratio 0.2403
result/tencentBlock.ns21269.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1624, 1821404 req, miss ratio 0.2161, byte miss ratio 0.2161
result/tencentBlock.ns21269.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4874, 1821404 req, miss ratio 0.2133, byte miss ratio 0.2133
result/tencentBlock.ns21269.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    16247, 1821404 req, miss ratio 0.2073, byte miss ratio 0.2073
result/tencentBlock.ns21269.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    32495, 1821404 req, miss ratio 0.1738, byte miss ratio 0.1738
result/tencentBlock.ns21269.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    64991, 1821404 req, miss ratio 0.1251, byte miss ratio 0.1251
result/tencentBlock.ns21269.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   129983, 1821404 req, miss ratio 0.0944, byte miss ratio 0.0944
result/tencentBlock.ns21269.oracleGeneral.zst S4LRU(25:25:25:25) cache size      162, 1821404 req, miss ratio 0.3727, byte miss ratio 0.3727
result/tencentBlock.ns21269.oracleGeneral.zst S4LRU(25:25:25:25) cache size      487, 1821404 req, miss ratio 0.2156, byte miss ratio 0.2156
