result/cdn2_allcolo.ns1198.oracleGeneral.zst LRU cache size    30567, 2118317 req, miss ratio 0.0765, byte miss ratio 0.0765
result/cdn2_allcolo.ns1198.oracleGeneral.zst LRU cache size    61134, 2118317 req, miss ratio 0.0385, byte miss ratio 0.0385
result/cdn2_allcolo.ns1198.oracleGeneral.zst clock2 cache size       76, 2118317 req, miss ratio 0.6395, byte miss ratio 0.6395
result/cdn2_allcolo.ns1198.oracleGeneral.zst clock2 cache size      229, 2118317 req, miss ratio 0.5656, byte miss ratio 0.5656
result/cdn2_allcolo.ns1198.oracleGeneral.zst clock2 cache size      764, 2118317 req, miss ratio 0.4756, byte miss ratio 0.4756
result/cdn2_allcolo.ns1198.oracleGeneral.zst clock2 cache size     2292, 2118317 req, miss ratio 0.3700, byte miss ratio 0.3700
result/cdn2_allcolo.ns1198.oracleGeneral.zst clock2 cache size     7641, 2118317 req, miss ratio 0.2220, byte miss ratio 0.2220
result/cdn2_allcolo.ns1198.oracleGeneral.zst clock2 cache size    15283, 2118317 req, miss ratio 0.1357, byte miss ratio 0.1357
result/cdn2_allcolo.ns1198.oracleGeneral.zst clock2 cache size    30567, 2118317 req, miss ratio 0.0696, byte miss ratio 0.0696
result/cdn2_allcolo.ns1198.oracleGeneral.zst clock2 cache size    61134, 2118317 req, miss ratio 0.0381, byte miss ratio 0.0381
result/cdn2_allcolo.ns1198.oracleGeneral.zst LeCaR cache size       76, 2118317 req, miss ratio 0.6455, byte miss ratio 0.6455
result/cdn2_allcolo.ns1198.oracleGeneral.zst LeCaR cache size      229, 2118317 req, miss ratio 0.5768, byte miss ratio 0.5768
result/cdn2_allcolo.ns1198.oracleGeneral.zst LeCaR cache size      764, 2118317 req, miss ratio 0.4893, byte miss ratio 0.4893
result/cdn2_allcolo.ns1198.oracleGeneral.zst LeCaR cache size     2292, 2118317 req, miss ratio 0.3860, byte miss ratio 0.3860
result/cdn2_allcolo.ns1198.oracleGeneral.zst LeCaR cache size     7641, 2118317 req, miss ratio 0.2342, byte miss ratio 0.2342
result/cdn2_allcolo.ns1198.oracleGeneral.zst LeCaR cache size    15283, 2118317 req, miss ratio 0.1418, byte miss ratio 0.1418
result/cdn2_allcolo.ns1198.oracleGeneral.zst LeCaR cache size    30567, 2118317 req, miss ratio 0.0715, byte miss ratio 0.0715
result/cdn2_allcolo.ns1198.oracleGeneral.zst LeCaR cache size    61134, 2118317 req, miss ratio 0.0384, byte miss ratio 0.0384
