result/cdn2_colo28.ns629.oracleGeneral.zst Clock cache size  1742243, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst LRU cache size     2177, 3722658 req, miss ratio 0.7483, byte miss ratio 0.7483
result/cdn2_colo28.ns629.oracleGeneral.zst LRU cache size     6533, 3722658 req, miss ratio 0.6508, byte miss ratio 0.6508
result/cdn2_colo28.ns629.oracleGeneral.zst LRU cache size    21778, 3722658 req, miss ratio 0.6025, byte miss ratio 0.6025
result/cdn2_colo28.ns629.oracleGeneral.zst LRU cache size    65334, 3722658 req, miss ratio 0.5908, byte miss ratio 0.5908
result/cdn2_colo28.ns629.oracleGeneral.zst LRU cache size   217780, 3722658 req, miss ratio 0.5856, byte miss ratio 0.5856
result/cdn2_colo28.ns629.oracleGeneral.zst LRU cache size   435560, 3722658 req, miss ratio 0.5851, byte miss ratio 0.5851
result/cdn2_colo28.ns629.oracleGeneral.zst LRU cache size   871121, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst LRU cache size  1742243, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst LHD cache size     2177, 3722658 req, miss ratio 0.7313, byte miss ratio 0.7313
result/cdn2_colo28.ns629.oracleGeneral.zst LHD cache size     6533, 3722658 req, miss ratio 0.6468, byte miss ratio 0.6468
result/cdn2_colo28.ns629.oracleGeneral.zst LHD cache size    21778, 3722658 req, miss ratio 0.6015, byte miss ratio 0.6015
result/cdn2_colo28.ns629.oracleGeneral.zst LHD cache size    65334, 3722658 req, miss ratio 0.5903, byte miss ratio 0.5903
result/cdn2_colo28.ns629.oracleGeneral.zst LHD cache size   217780, 3722658 req, miss ratio 0.5858, byte miss ratio 0.5858
result/cdn2_colo28.ns629.oracleGeneral.zst LHD cache size   435560, 3722658 req, miss ratio 0.5852, byte miss ratio 0.5852
result/cdn2_colo28.ns629.oracleGeneral.zst LHD cache size   871121, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst LHD cache size  1742243, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst Cacheus cache size     2177, 3722658 req, miss ratio 0.7195, byte miss ratio 0.7195
