result/tencentBlock.ns16221.oracleGeneral.zst Cacheus cache size      768, 8659578 req, miss ratio 0.4666, byte miss ratio 0.4666
result/tencentBlock.ns16221.oracleGeneral.zst Cacheus cache size     2306, 8659578 req, miss ratio 0.3122, byte miss ratio 0.3122
result/tencentBlock.ns16221.oracleGeneral.zst Cacheus cache size     7689, 8659578 req, miss ratio 0.2413, byte miss ratio 0.2413
result/tencentBlock.ns16221.oracleGeneral.zst Cacheus cache size    23067, 8659578 req, miss ratio 0.1946, byte miss ratio 0.1946
result/tencentBlock.ns16221.oracleGeneral.zst Cacheus cache size    76890, 8659578 req, miss ratio 0.1599, byte miss ratio 0.1599
result/tencentBlock.ns16221.oracleGeneral.zst Cacheus cache size   153780, 8659578 req, miss ratio 0.1371, byte miss ratio 0.1371
result/tencentBlock.ns16221.oracleGeneral.zst Cacheus cache size   307560, 8659578 req, miss ratio 0.1037, byte miss ratio 0.1037
result/tencentBlock.ns16221.oracleGeneral.zst Cacheus cache size   615120, 8659578 req, miss ratio 0.0891, byte miss ratio 0.0891
result/tencentBlock.ns16221.oracleGeneral.zst FIFO cache size      768, 8659578 req, miss ratio 0.5757, byte miss ratio 0.5757
result/tencentBlock.ns16221.oracleGeneral.zst FIFO cache size     2306, 8659578 req, miss ratio 0.4030, byte miss ratio 0.4030
result/tencentBlock.ns16221.oracleGeneral.zst FIFO cache size     7689, 8659578 req, miss ratio 0.2885, byte miss ratio 0.2885
result/tencentBlock.ns16221.oracleGeneral.zst FIFO cache size    23067, 8659578 req, miss ratio 0.2216, byte miss ratio 0.2216
result/tencentBlock.ns16221.oracleGeneral.zst FIFO cache size    76890, 8659578 req, miss ratio 0.1667, byte miss ratio 0.1667
result/tencentBlock.ns16221.oracleGeneral.zst FIFO cache size   153780, 8659578 req, miss ratio 0.1351, byte miss ratio 0.1351
result/tencentBlock.ns16221.oracleGeneral.zst FIFO cache size   307560, 8659578 req, miss ratio 0.1121, byte miss ratio 0.1121
result/tencentBlock.ns16221.oracleGeneral.zst FIFO cache size   615120, 8659578 req, miss ratio 0.0976, byte miss ratio 0.0976
result/tencentBlock.ns16221.oracleGeneral.zst ARC cache size      768, 8659578 req, miss ratio 0.4558, byte miss ratio 0.4558
result/tencentBlock.ns16221.oracleGeneral.zst ARC cache size     2306, 8659578 req, miss ratio 0.2916, byte miss ratio 0.2916
result/tencentBlock.ns16221.oracleGeneral.zst ARC cache size     7689, 8659578 req, miss ratio 0.2398, byte miss ratio 0.2398
result/tencentBlock.ns16221.oracleGeneral.zst ARC cache size    23067, 8659578 req, miss ratio 0.1949, byte miss ratio 0.1949
result/tencentBlock.ns16221.oracleGeneral.zst ARC cache size    76890, 8659578 req, miss ratio 0.1602, byte miss ratio 0.1602
result/tencentBlock.ns16221.oracleGeneral.zst ARC cache size   153780, 8659578 req, miss ratio 0.1316, byte miss ratio 0.1316
result/tencentBlock.ns16221.oracleGeneral.zst ARC cache size   307560, 8659578 req, miss ratio 0.0984, byte miss ratio 0.0984
result/tencentBlock.ns16221.oracleGeneral.zst ARC cache size   615120, 8659578 req, miss ratio 0.0892, byte miss ratio 0.0892
result/tencentBlock.ns16221.oracleGeneral.zst LeCaR cache size      768, 8659578 req, miss ratio 0.4829, byte miss ratio 0.4829
result/tencentBlock.ns16221.oracleGeneral.zst LeCaR cache size     2306, 8659578 req, miss ratio 0.3146, byte miss ratio 0.3146
result/tencentBlock.ns16221.oracleGeneral.zst LeCaR cache size     7689, 8659578 req, miss ratio 0.2497, byte miss ratio 0.2497
result/tencentBlock.ns16221.oracleGeneral.zst LeCaR cache size    23067, 8659578 req, miss ratio 0.1975, byte miss ratio 0.1975
