result/tencentBlock.ns16779.oracleGeneral.zst LIRS cache size      309, 2140863 req, miss ratio 0.5584, byte miss ratio 0.5584
result/tencentBlock.ns16779.oracleGeneral.zst LIRS cache size      929, 2140863 req, miss ratio 0.4308, byte miss ratio 0.4308
result/tencentBlock.ns16779.oracleGeneral.zst LIRS cache size     3099, 2140863 req, miss ratio 0.3675, byte miss ratio 0.3675
result/tencentBlock.ns16779.oracleGeneral.zst LIRS cache size     9297, 2140863 req, miss ratio 0.3442, byte miss ratio 0.3442
result/tencentBlock.ns16779.oracleGeneral.zst LIRS cache size    30993, 2140863 req, miss ratio 0.2956, byte miss ratio 0.2956
result/tencentBlock.ns16779.oracleGeneral.zst LIRS cache size    61986, 2140863 req, miss ratio 0.2480, byte miss ratio 0.2480
result/tencentBlock.ns16779.oracleGeneral.zst LIRS cache size   123972, 2140863 req, miss ratio 0.1688, byte miss ratio 0.1688
result/tencentBlock.ns16779.oracleGeneral.zst LIRS cache size   247944, 2140863 req, miss ratio 0.1475, byte miss ratio 0.1475
result/tencentBlock.ns16779.oracleGeneral.zst clock2 cache size      309, 2140863 req, miss ratio 0.5367, byte miss ratio 0.5367
result/tencentBlock.ns16779.oracleGeneral.zst clock2 cache size      929, 2140863 req, miss ratio 0.5094, byte miss ratio 0.5094
result/tencentBlock.ns16779.oracleGeneral.zst clock2 cache size     3099, 2140863 req, miss ratio 0.3843, byte miss ratio 0.3843
result/tencentBlock.ns16779.oracleGeneral.zst clock2 cache size     9297, 2140863 req, miss ratio 0.3416, byte miss ratio 0.3416
result/tencentBlock.ns16779.oracleGeneral.zst clock2 cache size    30993, 2140863 req, miss ratio 0.3091, byte miss ratio 0.3091
result/tencentBlock.ns16779.oracleGeneral.zst clock2 cache size    61986, 2140863 req, miss ratio 0.2707, byte miss ratio 0.2707
result/tencentBlock.ns16779.oracleGeneral.zst clock2 cache size   123972, 2140863 req, miss ratio 0.1804, byte miss ratio 0.1804
result/tencentBlock.ns16779.oracleGeneral.zst clock2 cache size   247944, 2140863 req, miss ratio 0.1461, byte miss ratio 0.1461
result/tencentBlock.ns16779.oracleGeneral.zst LRU cache size      309, 2140863 req, miss ratio 0.5521, byte miss ratio 0.5521
result/tencentBlock.ns16779.oracleGeneral.zst LRU cache size      929, 2140863 req, miss ratio 0.4616, byte miss ratio 0.4616
result/tencentBlock.ns16779.oracleGeneral.zst LRU cache size     3099, 2140863 req, miss ratio 0.3846, byte miss ratio 0.3846
result/tencentBlock.ns16779.oracleGeneral.zst LRU cache size     9297, 2140863 req, miss ratio 0.3491, byte miss ratio 0.3491
result/tencentBlock.ns16779.oracleGeneral.zst LRU cache size    30993, 2140863 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tencentBlock.ns16779.oracleGeneral.zst LRU cache size    61986, 2140863 req, miss ratio 0.2601, byte miss ratio 0.2601
result/tencentBlock.ns16779.oracleGeneral.zst LRU cache size   123972, 2140863 req, miss ratio 0.1610, byte miss ratio 0.1610
result/tencentBlock.ns16779.oracleGeneral.zst LRU cache size   247944, 2140863 req, miss ratio 0.1463, byte miss ratio 0.1463
result/tencentBlock.ns16779.oracleGeneral.zst FIFO cache size      309, 2140863 req, miss ratio 0.6274, byte miss ratio 0.6274
result/tencentBlock.ns16779.oracleGeneral.zst FIFO cache size      929, 2140863 req, miss ratio 0.5133, byte miss ratio 0.5133
result/tencentBlock.ns16779.oracleGeneral.zst FIFO cache size     3099, 2140863 req, miss ratio 0.4174, byte miss ratio 0.4174
result/tencentBlock.ns16779.oracleGeneral.zst FIFO cache size     9297, 2140863 req, miss ratio 0.3709, byte miss ratio 0.3709
result/tencentBlock.ns16779.oracleGeneral.zst FIFO cache size    30993, 2140863 req, miss ratio 0.3188, byte miss ratio 0.3188
result/tencentBlock.ns16779.oracleGeneral.zst FIFO cache size    61986, 2140863 req, miss ratio 0.2517, byte miss ratio 0.2517
result/tencentBlock.ns16779.oracleGeneral.zst FIFO cache size   123972, 2140863 req, miss ratio 0.1973, byte miss ratio 0.1973
result/tencentBlock.ns16779.oracleGeneral.zst FIFO cache size   247944, 2140863 req, miss ratio 0.1580, byte miss ratio 0.1580
