result/w88.oracleGeneral.bin.zst ARC cache size    83605, 4711053 req, miss ratio 0.1863, byte miss ratio 0.1863
result/w88.oracleGeneral.bin.zst ARC cache size   167210, 4711053 req, miss ratio 0.1239, byte miss ratio 0.1239
result/w88.oracleGeneral.bin.zst ARC cache size   334421, 4711053 req, miss ratio 0.0908, byte miss ratio 0.0908
result/w88.oracleGeneral.bin.zst LeCaR cache size      418, 4711053 req, miss ratio 0.5172, byte miss ratio 0.5172
result/w88.oracleGeneral.bin.zst LeCaR cache size     1254, 4711053 req, miss ratio 0.4350, byte miss ratio 0.4350
result/w88.oracleGeneral.bin.zst LeCaR cache size     4180, 4711053 req, miss ratio 0.3483, byte miss ratio 0.3483
result/w88.oracleGeneral.bin.zst LeCaR cache size    12540, 4711053 req, miss ratio 0.2797, byte miss ratio 0.2797
result/w88.oracleGeneral.bin.zst LeCaR cache size    41802, 4711053 req, miss ratio 0.2270, byte miss ratio 0.2270
result/w88.oracleGeneral.bin.zst LeCaR cache size    83605, 4711053 req, miss ratio 0.1849, byte miss ratio 0.1849
result/w88.oracleGeneral.bin.zst LeCaR cache size   167210, 4711053 req, miss ratio 0.1210, byte miss ratio 0.1210
result/w88.oracleGeneral.bin.zst LeCaR cache size   334421, 4711053 req, miss ratio 0.0903, byte miss ratio 0.0903
result/w88.oracleGeneral.bin.zst FIFO cache size      418, 4711053 req, miss ratio 0.5572, byte miss ratio 0.5572
result/w88.oracleGeneral.bin.zst FIFO cache size     1254, 4711053 req, miss ratio 0.4613, byte miss ratio 0.4613
result/w88.oracleGeneral.bin.zst FIFO cache size     4180, 4711053 req, miss ratio 0.3742, byte miss ratio 0.3742
result/w88.oracleGeneral.bin.zst FIFO cache size    12540, 4711053 req, miss ratio 0.2959, byte miss ratio 0.2959
result/w88.oracleGeneral.bin.zst FIFO cache size    41802, 4711053 req, miss ratio 0.2556, byte miss ratio 0.2556
result/w88.oracleGeneral.bin.zst FIFO cache size    83605, 4711053 req, miss ratio 0.2115, byte miss ratio 0.2115
result/w88.oracleGeneral.bin.zst FIFO cache size   167210, 4711053 req, miss ratio 0.1463, byte miss ratio 0.1463
result/w88.oracleGeneral.bin.zst FIFO cache size   334421, 4711053 req, miss ratio 0.1048, byte miss ratio 0.1048
result/w88.oracleGeneral.bin.zst S3FIFO-1 cache size      418, 4711053 req, miss ratio 0.4992, byte miss ratio 0.4992
result/w88.oracleGeneral.bin.zst S3FIFO-1 cache size     1254, 4711053 req, miss ratio 0.4173, byte miss ratio 0.4173
result/w88.oracleGeneral.bin.zst S3FIFO-1 cache size     4180, 4711053 req, miss ratio 0.3348, byte miss ratio 0.3348
result/w88.oracleGeneral.bin.zst S3FIFO-1 cache size    12540, 4711053 req, miss ratio 0.2789, byte miss ratio 0.2789
result/w88.oracleGeneral.bin.zst S3FIFO-1 cache size    41802, 4711053 req, miss ratio 0.2089, byte miss ratio 0.2089
result/w88.oracleGeneral.bin.zst S3FIFO-1 cache size    83605, 4711053 req, miss ratio 0.1760, byte miss ratio 0.1760
result/w88.oracleGeneral.bin.zst S3FIFO-1 cache size   167210, 4711053 req, miss ratio 0.1225, byte miss ratio 0.1225
result/w88.oracleGeneral.bin.zst S3FIFO-1 cache size   334421, 4711053 req, miss ratio 0.0908, byte miss ratio 0.0908
result/w88.oracleGeneral.bin.zst S3FIFO-d-1 cache size      418, 4711053 req, miss ratio 0.5050, byte miss ratio 0.5050
result/w88.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1254, 4711053 req, miss ratio 0.4159, byte miss ratio 0.4159
result/w88.oracleGeneral.bin.zst S3FIFO-d-1 cache size     4180, 4711053 req, miss ratio 0.3350, byte miss ratio 0.3350
result/w88.oracleGeneral.bin.zst S3FIFO-d-1 cache size    12540, 4711053 req, miss ratio 0.2780, byte miss ratio 0.2780
result/w88.oracleGeneral.bin.zst S3FIFO-d-1 cache size    41802, 4711053 req, miss ratio 0.2089, byte miss ratio 0.2089
result/w88.oracleGeneral.bin.zst S3FIFO-d-1 cache size    83605, 4711053 req, miss ratio 0.1759, byte miss ratio 0.1759
result/w88.oracleGeneral.bin.zst S3FIFO-d-1 cache size   167210, 4711053 req, miss ratio 0.1225, byte miss ratio 0.1225
result/w88.oracleGeneral.bin.zst S3FIFO-d-1 cache size   334421, 4711053 req, miss ratio 0.0908, byte miss ratio 0.0908
result/w88.oracleGeneral.bin.zst LRB cache size      418, 4711053 req, miss ratio 0.5239, byte miss ratio 0.5239
result/w88.oracleGeneral.bin.zst LRB cache size     1254, 4711053 req, miss ratio 0.4161, byte miss ratio 0.4161
