result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO-1 cache size       46, 9419593 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO-1 cache size       92, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO-1 cache size      184, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO-d-1 cache size        6, 9419593 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO-d-1 cache size       23, 9419593 req, miss ratio 0.0132, byte miss ratio 0.0132
result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO-d-1 cache size       46, 9419593 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO-d-1 cache size       92, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO-d-1 cache size      184, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst LRB cache size        6, 9419593 req, miss ratio 0.1234, byte miss ratio 0.1234
result/cdn2_allcolo.ns796.oracleGeneral.zst LRB cache size       23, 9419593 req, miss ratio 0.0115, byte miss ratio 0.0115
result/cdn2_allcolo.ns796.oracleGeneral.zst LRB cache size       46, 9419593 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns796.oracleGeneral.zst LRB cache size       92, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst LRB cache size      184, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst S4LRU(25:25:25:25) cache size        6, 9419593 req, miss ratio 0.1752, byte miss ratio 0.1752
result/cdn2_allcolo.ns796.oracleGeneral.zst S4LRU(25:25:25:25) cache size       23, 9419593 req, miss ratio 0.0219, byte miss ratio 0.0219
result/cdn2_allcolo.ns796.oracleGeneral.zst S4LRU(25:25:25:25) cache size       46, 9419593 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns796.oracleGeneral.zst S4LRU(25:25:25:25) cache size       92, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst S4LRU(25:25:25:25) cache size      184, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        6, 9419593 req, miss ratio 0.1655, byte miss ratio 0.1655
result/cdn2_allcolo.ns796.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       23, 9419593 req, miss ratio 0.0274, byte miss ratio 0.0274
result/cdn2_allcolo.ns796.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       46, 9419593 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns796.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       92, 9419593 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns796.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      184, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst TwoQ cache size        6, 9419593 req, miss ratio 0.1391, byte miss ratio 0.1391
result/cdn2_allcolo.ns796.oracleGeneral.zst TwoQ cache size       23, 9419593 req, miss ratio 0.0171, byte miss ratio 0.0171
result/cdn2_allcolo.ns796.oracleGeneral.zst TwoQ cache size       46, 9419593 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns796.oracleGeneral.zst TwoQ cache size       92, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst TwoQ cache size      184, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst B-LRU cache size        6, 9419593 req, miss ratio 0.1484, byte miss ratio 0.1484
result/cdn2_allcolo.ns796.oracleGeneral.zst B-LRU cache size       23, 9419593 req, miss ratio 0.0156, byte miss ratio 0.0156
result/cdn2_allcolo.ns796.oracleGeneral.zst B-LRU cache size       46, 9419593 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns796.oracleGeneral.zst B-LRU cache size       92, 9419593 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns796.oracleGeneral.zst B-LRU cache size      184, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO-d cache size        6, 9419593 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO-d cache size       23, 9419593 req, miss ratio 0.0148, byte miss ratio 0.0148
result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO-d cache size       46, 9419593 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO-d cache size       92, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO-d cache size      184, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO cache size        6, 9419593 req, miss ratio 1.0000, byte miss ratio 1.0000
