result/tencentBlock.ns8147.oracleGeneral.zst LHD cache size      157, 2640960 req, miss ratio 0.4142, byte miss ratio 0.4142
result/tencentBlock.ns8147.oracleGeneral.zst LHD cache size      471, 2640960 req, miss ratio 0.3343, byte miss ratio 0.3343
result/tencentBlock.ns8147.oracleGeneral.zst LHD cache size     1570, 2640960 req, miss ratio 0.3030, byte miss ratio 0.3030
result/tencentBlock.ns8147.oracleGeneral.zst LHD cache size     4712, 2640960 req, miss ratio 0.2514, byte miss ratio 0.2514
result/tencentBlock.ns8147.oracleGeneral.zst LHD cache size    15708, 2640960 req, miss ratio 0.2058, byte miss ratio 0.2058
result/tencentBlock.ns8147.oracleGeneral.zst LHD cache size    31416, 2640960 req, miss ratio 0.1692, byte miss ratio 0.1692
result/tencentBlock.ns8147.oracleGeneral.zst LHD cache size    62832, 2640960 req, miss ratio 0.0891, byte miss ratio 0.0891
result/tencentBlock.ns8147.oracleGeneral.zst LHD cache size   125665, 2640960 req, miss ratio 0.0613, byte miss ratio 0.0613
result/tencentBlock.ns8147.oracleGeneral.zst FIFO cache size      157, 2640960 req, miss ratio 0.5307, byte miss ratio 0.5307
result/tencentBlock.ns8147.oracleGeneral.zst FIFO cache size      471, 2640960 req, miss ratio 0.3833, byte miss ratio 0.3833
result/tencentBlock.ns8147.oracleGeneral.zst FIFO cache size     1570, 2640960 req, miss ratio 0.3284, byte miss ratio 0.3284
result/tencentBlock.ns8147.oracleGeneral.zst FIFO cache size     4712, 2640960 req, miss ratio 0.2787, byte miss ratio 0.2787
result/tencentBlock.ns8147.oracleGeneral.zst FIFO cache size    15708, 2640960 req, miss ratio 0.2148, byte miss ratio 0.2148
result/tencentBlock.ns8147.oracleGeneral.zst FIFO cache size    31416, 2640960 req, miss ratio 0.1896, byte miss ratio 0.1896
result/tencentBlock.ns8147.oracleGeneral.zst FIFO cache size    62832, 2640960 req, miss ratio 0.1138, byte miss ratio 0.1138
result/tencentBlock.ns8147.oracleGeneral.zst FIFO cache size   125665, 2640960 req, miss ratio 0.0747, byte miss ratio 0.0747
result/tencentBlock.ns8147.oracleGeneral.zst Cacheus cache size      157, 2640960 req, miss ratio 0.4443, byte miss ratio 0.4443
result/tencentBlock.ns8147.oracleGeneral.zst Cacheus cache size      471, 2640960 req, miss ratio 0.3267, byte miss ratio 0.3267
result/tencentBlock.ns8147.oracleGeneral.zst Cacheus cache size     1570, 2640960 req, miss ratio 0.2961, byte miss ratio 0.2961
result/tencentBlock.ns8147.oracleGeneral.zst Cacheus cache size     4712, 2640960 req, miss ratio 0.2494, byte miss ratio 0.2494
result/tencentBlock.ns8147.oracleGeneral.zst Cacheus cache size    15708, 2640960 req, miss ratio 0.2109, byte miss ratio 0.2109
result/tencentBlock.ns8147.oracleGeneral.zst Cacheus cache size    31416, 2640960 req, miss ratio 0.1515, byte miss ratio 0.1515
result/tencentBlock.ns8147.oracleGeneral.zst Cacheus cache size    62832, 2640960 req, miss ratio 0.0829, byte miss ratio 0.0829
result/tencentBlock.ns8147.oracleGeneral.zst Cacheus cache size   125665, 2640960 req, miss ratio 0.0602, byte miss ratio 0.0602
result/tencentBlock.ns8147.oracleGeneral.zst S3FIFO-1 cache size      157, 2640960 req, miss ratio 0.4020, byte miss ratio 0.4020
result/tencentBlock.ns8147.oracleGeneral.zst S3FIFO-1 cache size      471, 2640960 req, miss ratio 0.3251, byte miss ratio 0.3251
result/tencentBlock.ns8147.oracleGeneral.zst S3FIFO-1 cache size     1570, 2640960 req, miss ratio 0.2970, byte miss ratio 0.2970
result/tencentBlock.ns8147.oracleGeneral.zst S3FIFO-1 cache size     4712, 2640960 req, miss ratio 0.2376, byte miss ratio 0.2376
result/tencentBlock.ns8147.oracleGeneral.zst S3FIFO-1 cache size    15708, 2640960 req, miss ratio 0.2062, byte miss ratio 0.2062
result/tencentBlock.ns8147.oracleGeneral.zst S3FIFO-1 cache size    31416, 2640960 req, miss ratio 0.1568, byte miss ratio 0.1568
result/tencentBlock.ns8147.oracleGeneral.zst S3FIFO-1 cache size    62832, 2640960 req, miss ratio 0.0830, byte miss ratio 0.0830
