result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-1 cache size       12, 91792396 req, miss ratio 0.0217, byte miss ratio 0.0217
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-1 cache size       37, 91792396 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-1 cache size      126, 91792396 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-1 cache size      378, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-1 cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-1 cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-1 cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-1 cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst clock2 cache size       12, 91792396 req, miss ratio 0.0225, byte miss ratio 0.0225
result/cdn2_allcolo.ns352.oracleGeneral.zst clock2 cache size       37, 91792396 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns352.oracleGeneral.zst clock2 cache size      126, 91792396 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns352.oracleGeneral.zst clock2 cache size      378, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst clock2 cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst clock2 cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst clock2 cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst clock2 cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst ARC cache size       12, 91792396 req, miss ratio 0.0240, byte miss ratio 0.0240
result/cdn2_allcolo.ns352.oracleGeneral.zst ARC cache size       37, 91792396 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_allcolo.ns352.oracleGeneral.zst ARC cache size      126, 91792396 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns352.oracleGeneral.zst ARC cache size      378, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst ARC cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst ARC cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst ARC cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst ARC cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LIRS cache size       12, 91792396 req, miss ratio 0.0209, byte miss ratio 0.0209
result/cdn2_allcolo.ns352.oracleGeneral.zst LIRS cache size       37, 91792396 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_allcolo.ns352.oracleGeneral.zst LIRS cache size      126, 91792396 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns352.oracleGeneral.zst LIRS cache size      378, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LIRS cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LIRS cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LIRS cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LIRS cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst Clock cache size       12, 91792396 req, miss ratio 0.0256, byte miss ratio 0.0256
result/cdn2_allcolo.ns352.oracleGeneral.zst Clock cache size       37, 91792396 req, miss ratio 0.0039, byte miss ratio 0.0039
result/cdn2_allcolo.ns352.oracleGeneral.zst Clock cache size      126, 91792396 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns352.oracleGeneral.zst Clock cache size      378, 91792396 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns352.oracleGeneral.zst Clock cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst Clock cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst Clock cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst Clock cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LRU cache size       12, 91792396 req, miss ratio 0.0267, byte miss ratio 0.0267
result/cdn2_allcolo.ns352.oracleGeneral.zst LRU cache size       37, 91792396 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns352.oracleGeneral.zst LRU cache size      126, 91792396 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_allcolo.ns352.oracleGeneral.zst LRU cache size      378, 91792396 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns352.oracleGeneral.zst LRU cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LRU cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LRU cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LRU cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst Cacheus cache size       12, 91792396 req, miss ratio 0.0215, byte miss ratio 0.0215
result/cdn2_allcolo.ns352.oracleGeneral.zst Cacheus cache size       37, 91792396 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn2_allcolo.ns352.oracleGeneral.zst Cacheus cache size      126, 91792396 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns352.oracleGeneral.zst Cacheus cache size      378, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst Cacheus cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst Cacheus cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst Cacheus cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst Cacheus cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LHD cache size       12, 91792396 req, miss ratio 0.0227, byte miss ratio 0.0227
result/cdn2_allcolo.ns352.oracleGeneral.zst LHD cache size       37, 91792396 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns352.oracleGeneral.zst LHD cache size      126, 91792396 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_allcolo.ns352.oracleGeneral.zst LHD cache size      378, 91792396 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns352.oracleGeneral.zst LHD cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LHD cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LHD cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LHD cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst FIFO cache size       12, 91792396 req, miss ratio 0.0477, byte miss ratio 0.0477
result/cdn2_allcolo.ns352.oracleGeneral.zst FIFO cache size       37, 91792396 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns352.oracleGeneral.zst FIFO cache size      126, 91792396 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns352.oracleGeneral.zst FIFO cache size      378, 91792396 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns352.oracleGeneral.zst FIFO cache size     1260, 91792396 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns352.oracleGeneral.zst FIFO cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst FIFO cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst FIFO cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LeCaR cache size       12, 91792396 req, miss ratio 0.0218, byte miss ratio 0.0218
result/cdn2_allcolo.ns352.oracleGeneral.zst LeCaR cache size       37, 91792396 req, miss ratio 0.0035, byte miss ratio 0.0035
